AREACS,AREA
CS ABRAÃO 0,570
CS ABRAÃO 1,571
CS ABRAÃO 2,572
CS AGRONÔMICA 0,690
CS AGRONÔMICA 1,691
CS AGRONÔMICA 2,692
CS AGRONÔMICA 3,693
CS ALTO RIBEIRÃO 0,210
CS ARMAÇÃO 0,240
CS ARMAÇÃO 1,241
CS ARMAÇÃO 2,242
CS BALNEÁRIO 0,20
CS BALNEÁRIO 1,21
CS BARRA DA LAGOA 0,440
CS BARRA DA LAGOA 1,441
CS BARRA DA LAGOA 2,442
CS CACHOEIRA BOM JESUS 0,400
CS CACHOEIRA BOM JESUS 1,401
CS CAIEIRA BARRA DO SUL 0,200
CS CAMPECHE 0,280
CS CAMPECHE 1,281
CS CANASVIEIRAS 0,380
CS CANASVIEIRAS 1,381
CS CANASVIEIRAS 2,382
CS CANASVIEIRAS 3,383
CS CANASVIEIRAS 4,384
CS CANTO DA LAGOA 0,450
CS CAPOEIRAS 0,60
CS CAPOEIRAS 1,61
CS CAPOEIRAS 2,62
CS CARIANOS 0,270
CS CARIANOS 1,271
CS CARIANOS 2,272
CS CENTRO 0,950
CS CENTRO 1,951
CS CENTRO 2,952
CS COLONINHA 0,70
CS COLONINHA 1,71
CS COLONINHA 2,72
CS COQUEIROS 0,600
CS COQUEIROS 1,601
CS COQUEIROS 2,602
CS CÓRREGO GRANDE 0,170
CS CÓRREGO GRANDE 1,171
CS CÓRREGO GRANDE 2,172
CS COSTA DA LAGOA 0,460
CS COSTEIRA DO PIRAJUBAÉ 0,300
CS COSTEIRA DO PIRAJUBAÉ 1,301
CS COSTEIRA DO PIRAJUBAÉ 2,302
CS ESTREITO 0,80
CS ESTREITO 1,81
CS ESTREITO 2,82
CS ESTREITO 3,83
CS FAZENDA DO RIO TAVARES 0,780
CS FAZENDA DO RIO TAVARES 1,781
CS INGLESES 1,431
CS INGLESES 2,432
CS INGLESES 3,433
CS INGLESES 4,434
CS INGLESES 5,435
CS INGLESES 6,436
CS INGLESES 7,437
CS INGLESES 8,438
CS ITACORUBI 0,190
CS ITACORUBI 1,191
CS ITACORUBI 2,192
CS ITACORUBI 3,193
CS JARDIM ATLÂNTICO 0,10
CS JARDIM ATLÂNTICO 1,11
CS JOÃO PAULO 0,320
CS JOÃO PAULO 1,321
CS JURERE 0,390
CS LAGOA DA CONCEIÇÃO 0,470
CS LAGOA DA CONCEIÇÃO 1,471
CS LAGOA DA CONCEIÇÃO 2,472
CS MONTE CRISTO 0,40
CS MONTE CRISTO 1,41
CS MONTE CRISTO 2,42
CS MONTE CRISTO 3,43
CS MONTE CRISTO 4,44
CS MONTE CRISTO 5,45
CS MONTE CRISTO 6,46
CS MONTE SERRAT 0,120
CS MONTE SERRAT 1,121
CS MONTE SERRAT 2,122
CS MORRO DAS PEDRAS 0,250
CS MORRO DAS PEDRAS 1,251
CS NOVO CONTINENTE 0,100
CS NOVO CONTINENTE 1,101
CS NOVO CONTINENTE 2,102
CS NOVO CONTINENTE 3,103
CS PANTANAL 0,160
CS PANTANAL 1,161
CS PANTANO DO SUL 0,230
CS PONTA DAS CANAS 0,370
CS PONTA DAS CANAS 1,371
CS PRAINHA 0,130
CS PRAINHA 1,131
CS PRAINHA 2,132
CS RATONES 0,350
CS RATONES 1,351
CS RIBEIRÃO DA ILHA 0,220
CS RIO TAVARES 0,290
CS RIO TAVARES 1,291
CS RIO TAVARES 2,292
CS RIO TAVARES 3,293
CS RIO VERMELHO 0,420
CS RIO VERMELHO 1,421
CS RIO VERMELHO 2,422
CS RIO VERMELHO 3,423
CS RIO VERMELHO 4,424
CS SACO DOS LIMÕES 0,310
CS SACO DOS LIMÕES 1,311
CS SACO DOS LIMÕES 2,312
CS SACO DOS LIMÕES 3,313
CS SACO DOS LIMÕES 4,314
CS SACO GRANDE 0,330
CS SACO GRANDE 1,331
CS SACO GRANDE 2,332
CS SACO GRANDE 3,333
CS SACO GRANDE 4,334
CS SACO GRANDE 5,335
CS SANTINHO 0,980
CS SANTINHO 1,981
CS SANTO ANTONIO LISBOA 0,360
CS SANTO ANTONIO LISBOA 1,361
CS SAPE 0,30
CS SAPE 1,31
CS TAPERA 0,260
CS TAPERA 1,261
CS TAPERA 2,262
CS TAPERA 3,263
CS TRINDADE 0,850
CS TRINDADE 1,851
CS TRINDADE 2,852
CS TRINDADE 3,853
CS TRINDADE 4,854
CS VARGEM GRANDE 0,410
CS VARGEM PEQUENA 0,340
CS VILA APARECIDA 0,90
CS VILA APARECIDA 1,91
