"DISTRITO","UNIDADE","AREA","ANO","MES","QTDE_ATEND"
"Centro","CS AGRONÔMICA",0,2018,4,12
"Centro","CS AGRONÔMICA",0,2018,5,4
"Centro","CS AGRONÔMICA",0,2018,6,6
"Centro","CS AGRONÔMICA",0,2018,7,18
"Centro","CS AGRONÔMICA",1,2018,4,4
"Centro","CS AGRONÔMICA",1,2018,5,5
"Centro","CS AGRONÔMICA",1,2018,6,3
"Centro","CS AGRONÔMICA",1,2018,7,12
"Centro","CS AGRONÔMICA",2,2018,4,2
"Centro","CS AGRONÔMICA",2,2018,5,4
"Centro","CS AGRONÔMICA",2,2018,6,10
"Centro","CS AGRONÔMICA",2,2018,7,7
"Centro","CS AGRONÔMICA",3,2018,4,7
"Centro","CS AGRONÔMICA",3,2018,5,3
"Centro","CS AGRONÔMICA",3,2018,6,9
"Centro","CS AGRONÔMICA",3,2018,7,6
"Centro","CS CENTRO",0,2018,4,1
"Centro","CS CENTRO",0,2018,5,7
"Centro","CS CENTRO",0,2018,6,9
"Centro","CS CENTRO",0,2018,7,12
"Centro","CS CENTRO",1,2018,4,1
"Centro","CS CENTRO",1,2018,5,2
"Centro","CS CENTRO",1,2018,6,6
"Centro","CS CENTRO",1,2018,7,2
"Centro","CS CENTRO",2,2018,4,4
"Centro","CS CENTRO",2,2018,5,9
"Centro","CS CENTRO",2,2018,6,13
"Centro","CS CENTRO",2,2018,7,12
"Centro","CS CÓRREGO GRANDE",0,2018,4,5
"Centro","CS CÓRREGO GRANDE",0,2018,5,6
"Centro","CS CÓRREGO GRANDE",0,2018,6,9
"Centro","CS CÓRREGO GRANDE",0,2018,7,11
"Centro","CS CÓRREGO GRANDE",1,2018,4,5
"Centro","CS CÓRREGO GRANDE",1,2018,5,4
"Centro","CS CÓRREGO GRANDE",1,2018,6,4
"Centro","CS CÓRREGO GRANDE",1,2018,7,10
"Centro","CS ITACORUBI",0,2018,5,4
"Centro","CS ITACORUBI",0,2018,6,8
"Centro","CS ITACORUBI",0,2018,7,5
"Centro","CS ITACORUBI",1,2018,4,3
"Centro","CS ITACORUBI",1,2018,5,6
"Centro","CS ITACORUBI",1,2018,6,7
"Centro","CS ITACORUBI",1,2018,7,4
"Centro","CS ITACORUBI",2,2018,4,8
"Centro","CS ITACORUBI",2,2018,5,2
"Centro","CS ITACORUBI",2,2018,6,8
"Centro","CS ITACORUBI",2,2018,7,2
"Centro","CS ITACORUBI",3,2018,4,2
"Centro","CS ITACORUBI",3,2018,5,2
"Centro","CS ITACORUBI",3,2018,6,6
"Centro","CS ITACORUBI",3,2018,7,7
"Centro","CS JOÃO PAULO",0,2018,4,1
"Centro","CS JOÃO PAULO",0,2018,5,2
"Centro","CS JOÃO PAULO",0,2018,6,5
"Centro","CS JOÃO PAULO",0,2018,7,8
"Centro","CS JOÃO PAULO",1,2018,4,1
"Centro","CS JOÃO PAULO",1,2018,5,1
"Centro","CS JOÃO PAULO",1,2018,6,3
"Centro","CS JOÃO PAULO",1,2018,7,2
"Centro","CS MONTE SERRAT",0,2018,4,4
"Centro","CS MONTE SERRAT",0,2018,5,4
"Centro","CS MONTE SERRAT",0,2018,6,6
"Centro","CS MONTE SERRAT",0,2018,7,5
"Centro","CS MONTE SERRAT",1,2018,4,4
"Centro","CS MONTE SERRAT",1,2018,5,6
"Centro","CS MONTE SERRAT",1,2018,6,2
"Centro","CS MONTE SERRAT",1,2018,7,6
"Centro","CS MONTE SERRAT",2,2018,4,4
"Centro","CS MONTE SERRAT",2,2018,5,6
"Centro","CS MONTE SERRAT",2,2018,6,6
"Centro","CS MONTE SERRAT",2,2018,7,7
"Centro","CS PANTANAL",0,2018,4,10
"Centro","CS PANTANAL",0,2018,5,11
"Centro","CS PANTANAL",0,2018,6,27
"Centro","CS PANTANAL",0,2018,7,9
"Centro","CS PANTANAL",1,2018,4,9
"Centro","CS PANTANAL",1,2018,5,13
"Centro","CS PANTANAL",1,2018,6,15
"Centro","CS PANTANAL",1,2018,7,22
"Centro","CS PRAINHA",0,2018,4,8
"Centro","CS PRAINHA",0,2018,5,6
"Centro","CS PRAINHA",0,2018,6,7
"Centro","CS PRAINHA",0,2018,7,13
"Centro","CS PRAINHA",1,2018,4,10
"Centro","CS PRAINHA",1,2018,5,8
"Centro","CS PRAINHA",1,2018,6,18
"Centro","CS PRAINHA",1,2018,7,13
"Centro","CS PRAINHA",2,2018,4,12
"Centro","CS PRAINHA",2,2018,5,10
"Centro","CS PRAINHA",2,2018,6,12
"Centro","CS PRAINHA",2,2018,7,20
"Centro","CS SACO DOS LIMÕES",0,2018,4,2
"Centro","CS SACO DOS LIMÕES",0,2018,5,7
"Centro","CS SACO DOS LIMÕES",0,2018,6,13
"Centro","CS SACO DOS LIMÕES",0,2018,7,17
"Centro","CS SACO DOS LIMÕES",1,2018,4,13
"Centro","CS SACO DOS LIMÕES",1,2018,5,16
"Centro","CS SACO DOS LIMÕES",1,2018,6,15
"Centro","CS SACO DOS LIMÕES",1,2018,7,18
"Centro","CS SACO DOS LIMÕES",2,2018,4,15
"Centro","CS SACO DOS LIMÕES",2,2018,5,28
"Centro","CS SACO DOS LIMÕES",2,2018,6,43
"Centro","CS SACO DOS LIMÕES",2,2018,7,25
"Centro","CS SACO DOS LIMÕES",3,2018,4,4
"Centro","CS SACO DOS LIMÕES",3,2018,5,2
"Centro","CS SACO DOS LIMÕES",3,2018,6,1
"Centro","CS SACO DOS LIMÕES",3,2018,7,5
"Centro","CS SACO DOS LIMÕES",4,2018,5,1
