"","DISTRITO","UNIDADE","AREA","ANO","MES","QTDE_ATEND"
"1","Centro","CS AGRONÔMICA",0,2013,1,24
"2","Centro","CS AGRONÔMICA",0,2013,2,21
"3","Centro","CS AGRONÔMICA",0,2013,3,29
"4","Centro","CS AGRONÔMICA",0,2013,4,27
"5","Centro","CS AGRONÔMICA",0,2013,5,24
"6","Centro","CS AGRONÔMICA",0,2013,6,19
"7","Centro","CS AGRONÔMICA",0,2013,7,28
"8","Centro","CS AGRONÔMICA",0,2013,8,28
"9","Centro","CS AGRONÔMICA",0,2013,9,24
"10","Centro","CS AGRONÔMICA",0,2013,10,17
"11","Centro","CS AGRONÔMICA",0,2013,11,7
"12","Centro","CS AGRONÔMICA",0,2013,12,15
"13","Centro","CS AGRONÔMICA",0,2014,1,14
"14","Centro","CS AGRONÔMICA",0,2014,2,27
"15","Centro","CS AGRONÔMICA",0,2014,3,30
"16","Centro","CS AGRONÔMICA",0,2014,4,26
"17","Centro","CS AGRONÔMICA",0,2014,5,15
"18","Centro","CS AGRONÔMICA",0,2014,6,24
"19","Centro","CS AGRONÔMICA",0,2014,7,18
"20","Centro","CS AGRONÔMICA",0,2014,8,19
"21","Centro","CS AGRONÔMICA",0,2014,9,21
"22","Centro","CS AGRONÔMICA",0,2014,10,27
"23","Centro","CS AGRONÔMICA",0,2014,11,15
"24","Centro","CS AGRONÔMICA",0,2014,12,14
"25","Centro","CS AGRONÔMICA",0,2015,1,15
"26","Centro","CS AGRONÔMICA",0,2015,2,14
"27","Centro","CS AGRONÔMICA",0,2015,3,15
"28","Centro","CS AGRONÔMICA",0,2015,4,24
"29","Centro","CS AGRONÔMICA",0,2015,5,7
"30","Centro","CS AGRONÔMICA",0,2015,6,13
"31","Centro","CS AGRONÔMICA",0,2015,7,30
"32","Centro","CS AGRONÔMICA",0,2015,8,20
"33","Centro","CS AGRONÔMICA",0,2015,9,16
"34","Centro","CS AGRONÔMICA",0,2015,10,14
"35","Centro","CS AGRONÔMICA",0,2015,11,14
