"","DISTRITO","UNIDADE","AREA","ANO","MES","CITOPATO"
"1","Centro","CS AGRONÔMICA",0,2013,1,12
"2","Centro","CS AGRONÔMICA",0,2013,2,3
"3","Centro","CS AGRONÔMICA",0,2013,3,10
"4","Centro","CS AGRONÔMICA",0,2013,4,7
"5","Centro","CS AGRONÔMICA",0,2013,5,8
"6","Centro","CS AGRONÔMICA",0,2013,6,14
"7","Centro","CS AGRONÔMICA",0,2013,7,7
"8","Centro","CS AGRONÔMICA",0,2013,8,20
"9","Centro","CS AGRONÔMICA",0,2013,9,9
"10","Centro","CS AGRONÔMICA",0,2013,10,30
"11","Centro","CS AGRONÔMICA",0,2013,11,5
"12","Centro","CS AGRONÔMICA",0,2013,12,5
"13","Centro","CS AGRONÔMICA",0,2014,1,5
"14","Centro","CS AGRONÔMICA",0,2014,2,11
"15","Centro","CS AGRONÔMICA",0,2014,3,9
"16","Centro","CS AGRONÔMICA",0,2014,4,4
"17","Centro","CS AGRONÔMICA",0,2014,5,12
"18","Centro","CS AGRONÔMICA",0,2014,6,8
"19","Centro","CS AGRONÔMICA",0,2014,7,13
"20","Centro","CS AGRONÔMICA",0,2014,8,12
"21","Centro","CS AGRONÔMICA",0,2014,9,10
"22","Centro","CS AGRONÔMICA",0,2014,10,17
"23","Centro","CS AGRONÔMICA",0,2014,11,4
"24","Centro","CS AGRONÔMICA",0,2014,12,2
"25","Centro","CS AGRONÔMICA",0,2015,1,6
"26","Centro","CS AGRONÔMICA",0,2015,2,9
"27","Centro","CS AGRONÔMICA",0,2015,3,2
"28","Centro","CS AGRONÔMICA",0,2015,4,5
"29","Centro","CS AGRONÔMICA",0,2015,6,5
"30","Centro","CS AGRONÔMICA",0,2015,7,3
"31","Centro","CS AGRONÔMICA",0,2015,8,5
"32","Centro","CS AGRONÔMICA",0,2015,9,9
"33","Centro","CS AGRONÔMICA",0,2015,10,24
"34","Centro","CS AGRONÔMICA",0,2015,11,14
"35","Centro","CS AGRONÔMICA",0,2015,12,5
"36","Centro","CS AGRONÔMICA",0,2016,1,9
"37","Centro","CS AGRONÔMICA",0,2016,2,3
"38","Centro","CS AGRONÔMICA",0,2016,3,7
"39","Centro","CS AGRONÔMICA",0,2016,4,1
"40","Centro","CS AGRONÔMICA",0,2016,5,4
"41","Centro","CS AGRONÔMICA",0,2016,6,1
"42","Centro","CS AGRONÔMICA",0,2016,7,5
"43","Centro","CS AGRONÔMICA",0,2016,8,5
"44","Centro","CS AGRONÔMICA",0,2016,9,10
"45","Centro","CS AGRONÔMICA",0,2016,10,9
"46","Centro","CS AGRONÔMICA",0,2016,11,10
"47","Centro","CS AGRONÔMICA",0,2016,12,1
"48","Centro","CS AGRONÔMICA",0,2017,1,4
"49","Centro","CS AGRONÔMICA",0,2017,3,19
"50","Centro","CS AGRONÔMICA",0,2017,4,5
"51","Centro","CS AGRONÔMICA",0,2017,5,4
"52","Centro","CS AGRONÔMICA",0,2017,6,6
"53","Centro","CS AGRONÔMICA",0,2017,7,7
