DISTRITO,UNIDADE,AREA,ANO,MES,CONSULTA_MED,CONSULTA_ODO,ENCS_MED,ENCS_ODO
Centro,CS AGRONÔMICA,0,2013,1,223,98,40,7
Centro,CS AGRONÔMICA,0,2013,2,125,74,9,5
Centro,CS AGRONÔMICA,0,2013,3,221,71,39,2
Centro,CS AGRONÔMICA,0,2013,4,260,85,53,8
Centro,CS AGRONÔMICA,0,2013,5,222,80,30,1
Centro,CS AGRONÔMICA,0,2013,6,252,93,36,2
Centro,CS AGRONÔMICA,0,2013,7,190,81,15,3
Centro,CS AGRONÔMICA,0,2013,8,270,68,38,3
Centro,CS AGRONÔMICA,0,2013,9,270,86,34,3
Centro,CS AGRONÔMICA,0,2013,10,302,89,44,5
Centro,CS AGRONÔMICA,0,2013,11,289,70,34,2
Centro,CS AGRONÔMICA,0,2013,12,282,78,41,3
Centro,CS AGRONÔMICA,0,2014,1,282,118,44,6
Centro,CS AGRONÔMICA,0,2014,2,314,93,46,12
Centro,CS AGRONÔMICA,0,2014,3,302,90,44,7
Centro,CS AGRONÔMICA,0,2014,4,293,94,42,8
Centro,CS AGRONÔMICA,0,2014,5,334,104,44,8
Centro,CS AGRONÔMICA,0,2014,6,272,85,41,6
Centro,CS AGRONÔMICA,0,2014,7,278,118,46,4
Centro,CS AGRONÔMICA,0,2014,8,135,104,16,4
Centro,CS AGRONÔMICA,0,2014,9,287,31,47,2
Centro,CS AGRONÔMICA,0,2014,10,231,101,25,5
Centro,CS AGRONÔMICA,0,2014,11,266,89,33,7
Centro,CS AGRONÔMICA,0,2014,12,269,77,43,4
Centro,CS AGRONÔMICA,0,2015,1,129,93,8,6
Centro,CS AGRONÔMICA,0,2015,2,281,58,36,6
Centro,CS AGRONÔMICA,0,2015,3,267,47,49,1
Centro,CS AGRONÔMICA,0,2015,4,366,33,29,4
Centro,CS AGRONÔMICA,0,2015,5,194,39,15,2
Centro,CS AGRONÔMICA,0,2015,6,370,83,40,3
Centro,CS AGRONÔMICA,0,2015,7,409,25,41,4
Centro,CS AGRONÔMICA,0,2015,8,359,78,42,5
Centro,CS AGRONÔMICA,0,2015,9,378,81,30,6
Centro,CS AGRONÔMICA,0,2015,10,324,63,39,3
Centro,CS AGRONÔMICA,0,2015,11,289,70,29,2
Centro,CS AGRONÔMICA,0,2015,12,116,35,9,2
Centro,CS AGRONÔMICA,0,2016,1,309,40,28,4
Centro,CS AGRONÔMICA,0,2016,2,222,71,26,2
Centro,CS AGRONÔMICA,0,2016,3,150,42,14,0
Centro,CS AGRONÔMICA,0,2016,4,339,45,32,0
Centro,CS AGRONÔMICA,0,2016,5,423,86,32,4
Centro,CS AGRONÔMICA,0,2016,6,382,69,17,5
Centro,CS AGRONÔMICA,0,2016,7,425,114,18,3
Centro,CS AGRONÔMICA,0,2016,8,295,17,15,2
Centro,CS AGRONÔMICA,0,2016,9,471,90,28,4
Centro,CS AGRONÔMICA,0,2016,10,409,83,25,4
Centro,CS AGRONÔMICA,0,2016,11,458,90,31,3
Centro,CS AGRONÔMICA,0,2016,12,346,52,23,5
Centro,CS AGRONÔMICA,0,2017,1,240,38,20,0
Centro,CS AGRONÔMICA,0,2017,2,83,22,3,2
Centro,CS AGRONÔMICA,0,2017,3,270,77,20,2
Centro,CS AGRONÔMICA,0,2017,4,288,117,28,3
Centro,CS AGRONÔMICA,0,2017,5,287,148,19,4
Centro,CS AGRONÔMICA,0,2017,6,280,111,20,4
Centro,CS AGRONÔMICA,0,2017,7,286,108,15,3
Centro,CS AGRONÔMICA,0,2017,8,442,46,34,6
Centro,CS AGRONÔMICA,0,2017,9,428,85,30,7
Centro,CS AGRONÔMICA,0,2017,10,568,101,33,3
Centro,CS AGRONÔMICA,0,2017,11,478,96,33,4
Centro,CS AGRONÔMICA,0,2017,12,383,80,33,5
Centro,CS AGRONÔMICA,1,2013,1,233,78,33,2
Centro,CS AGRONÔMICA,1,2013,2,148,42,22,1
Centro,CS AGRONÔMICA,1,2013,3,186,79,23,4
Centro,CS AGRONÔMICA,1,2013,4,247,67,36,4
Centro,CS AGRONÔMICA,1,2013,5,195,53,30,0
Centro,CS AGRONÔMICA,1,2013,6,189,46,28,1
Centro,CS AGRONÔMICA,1,2013,7,186,74,38,2
Centro,CS AGRONÔMICA,1,2013,8,107,40,5,1
Centro,CS AGRONÔMICA,1,2013,9,230,24,30,0
Centro,CS AGRONÔMICA,1,2013,10,240,58,39,1
Centro,CS AGRONÔMICA,1,2013,11,277,40,35,3
Centro,CS AGRONÔMICA,1,2013,12,203,52,20,4
Centro,CS AGRONÔMICA,1,2014,1,267,59,30,2
Centro,CS AGRONÔMICA,1,2014,2,189,68,23,1
Centro,CS AGRONÔMICA,1,2014,3,266,55,46,5
Centro,CS AGRONÔMICA,1,2014,4,286,66,35,0
Centro,CS AGRONÔMICA,1,2014,5,281,66,37,5
Centro,CS AGRONÔMICA,1,2014,6,246,76,26,1
Centro,CS AGRONÔMICA,1,2014,7,305,72,50,1
Centro,CS AGRONÔMICA,1,2014,8,261,71,43,3
