"","DISTRITO","UNIDADE","AREA","ANO","MES","PRIM_CONS_ODO","TC","PROCEDIMENTOS"
"1","Centro","CS AGRONÔMICA",0,2013,1,47,25,327
"2","Centro","CS AGRONÔMICA",0,2013,2,24,22,299
"3","Centro","CS AGRONÔMICA",0,2013,3,32,17,227
"4","Centro","CS AGRONÔMICA",0,2013,4,31,22,388
"5","Centro","CS AGRONÔMICA",0,2013,5,26,20,573
"6","Centro","CS AGRONÔMICA",0,2013,6,34,17,378
"7","Centro","CS AGRONÔMICA",0,2013,7,28,17,207
"8","Centro","CS AGRONÔMICA",0,2013,8,20,20,348
"9","Centro","CS AGRONÔMICA",0,2013,9,38,27,751
"10","Centro","CS AGRONÔMICA",0,2013,10,31,23,450
"11","Centro","CS AGRONÔMICA",0,2013,11,22,14,301
"12","Centro","CS AGRONÔMICA",0,2013,12,14,15,258
"13","Centro","CS AGRONÔMICA",0,2014,1,54,36,372
"14","Centro","CS AGRONÔMICA",0,2014,2,34,13,317
"15","Centro","CS AGRONÔMICA",0,2014,3,21,21,237
"16","Centro","CS AGRONÔMICA",0,2014,4,36,26,499
"17","Centro","CS AGRONÔMICA",0,2014,5,43,40,544
"18","Centro","CS AGRONÔMICA",0,2014,6,28,26,371
"19","Centro","CS AGRONÔMICA",0,2014,7,32,27,398
"20","Centro","CS AGRONÔMICA",0,2014,8,35,33,349
"21","Centro","CS AGRONÔMICA",0,2014,9,8,3,249
"22","Centro","CS AGRONÔMICA",0,2014,10,36,24,420
"23","Centro","CS AGRONÔMICA",0,2014,11,23,22,384
"24","Centro","CS AGRONÔMICA",0,2014,12,22,26,227
"25","Centro","CS AGRONÔMICA",0,2015,1,40,26,342
"26","Centro","CS AGRONÔMICA",0,2015,2,10,8,128
"27","Centro","CS AGRONÔMICA",0,2015,3,9,11,172
"28","Centro","CS AGRONÔMICA",0,2015,4,7,0,176
"29","Centro","CS AGRONÔMICA",0,2015,5,25,21,215
"30","Centro","CS AGRONÔMICA",0,2015,6,28,22,410
"31","Centro","CS AGRONÔMICA",0,2015,7,4,0,354
"32","Centro","CS AGRONÔMICA",0,2015,8,36,29,429
"33","Centro","CS AGRONÔMICA",0,2015,9,34,25,472
"34","Centro","CS AGRONÔMICA",0,2015,10,31,31,379
"35","Centro","CS AGRONÔMICA",0,2015,11,33,24,318
"36","Centro","CS AGRONÔMICA",0,2015,12,8,13,212
"37","Centro","CS AGRONÔMICA",0,2016,1,19,8,177
"38","Centro","CS AGRONÔMICA",0,2016,2,30,29,204
"39","Centro","CS AGRONÔMICA",0,2016,3,18,11,188
"40","Centro","CS AGRONÔMICA",0,2016,4,22,17,270
"41","Centro","CS AGRONÔMICA",0,2016,5,40,30,425
"42","Centro","CS AGRONÔMICA",0,2016,6,27,24,489
"43","Centro","CS AGRONÔMICA",0,2016,7,36,33,362
"44","Centro","CS AGRONÔMICA",0,2016,8,5,5,214
"45","Centro","CS AGRONÔMICA",0,2016,9,44,30,414
"46","Centro","CS AGRONÔMICA",0,2016,10,27,18,311
"47","Centro","CS AGRONÔMICA",0,2016,11,34,31,327
"48","Centro","CS AGRONÔMICA",0,2016,12,17,23,153
"49","Centro","CS AGRONÔMICA",0,2017,1,25,12,155
"50","Centro","CS AGRONÔMICA",0,2017,2,4,5,61
"51","Centro","CS AGRONÔMICA",0,2017,3,25,16,231
"52","Centro","CS AGRONÔMICA",0,2017,4,47,39,378
"53","Centro","CS AGRONÔMICA",0,2017,5,52,36,500
"54","Centro","CS AGRONÔMICA",0,2017,6,44,32,377
"55","Centro","CS AGRONÔMICA",0,2017,7,30,28,306
"56","Centro","CS AGRONÔMICA",0,2017,8,4,3,166
"57","Centro","CS AGRONÔMICA",0,2017,9,36,28,259
"58","Centro","CS AGRONÔMICA",0,2017,10,33,23,300
"59","Centro","CS AGRONÔMICA",0,2017,11,31,26,310
"60","Centro","CS AGRONÔMICA",0,2017,12,23,27,222
"61","Centro","CS AGRONÔMICA",0,2013,1,0,0,0
"62","Centro","CS AGRONÔMICA",0,2013,2,0,0,0
"63","Centro","CS AGRONÔMICA",0,2013,3,0,0,1
"64","Centro","CS AGRONÔMICA",0,2013,4,0,0,2
"65","Centro","CS AGRONÔMICA",0,2013,5,0,0,129
"66","Centro","CS AGRONÔMICA",0,2013,6,0,0,1
"67","Centro","CS AGRONÔMICA",0,2013,7,0,0,0
"68","Centro","CS AGRONÔMICA",0,2013,8,0,0,36
"69","Centro","CS AGRONÔMICA",0,2013,9,0,0,290
"70","Centro","CS AGRONÔMICA",0,2013,10,0,0,22
"71","Centro","CS AGRONÔMICA",0,2013,11,0,0,3
"72","Centro","CS AGRONÔMICA",0,2013,12,0,0,0
"73","Centro","CS AGRONÔMICA",0,2014,1,0,0,0
"74","Centro","CS AGRONÔMICA",0,2014,2,0,0,1
"75","Centro","CS AGRONÔMICA",0,2014,3,0,0,4
"76","Centro","CS AGRONÔMICA",0,2014,4,0,0,1
"77","Centro","CS AGRONÔMICA",0,2014,5,0,0,21
"78","Centro","CS AGRONÔMICA",0,2014,6,0,0,1
"79","Centro","CS AGRONÔMICA",0,2014,7,0,0,4
"80","Centro","CS AGRONÔMICA",0,2014,8,0,0,50
"81","Centro","CS AGRONÔMICA",0,2014,9,0,0,99
"82","Centro","CS AGRONÔMICA",0,2014,10,0,0,85
"83","Centro","CS AGRONÔMICA",0,2014,11,0,0,132
"84","Centro","CS AGRONÔMICA",0,2014,12,0,0,22
"85","Centro","CS AGRONÔMICA",0,2015,1,0,0,11
"86","Centro","CS AGRONÔMICA",0,2015,2,0,0,18
"87","Centro","CS AGRONÔMICA",0,2015,3,0,0,46
"88","Centro","CS AGRONÔMICA",0,2015,4,0,0,99
"89","Centro","CS AGRONÔMICA",0,2015,5,0,0,105
"90","Centro","CS AGRONÔMICA",0,2015,6,0,0,238
"91","Centro","CS AGRONÔMICA",0,2015,7,0,0,204
"92","Centro","CS AGRONÔMICA",0,2015,8,0,0,208
"93","Centro","CS AGRONÔMICA",0,2015,9,0,0,211
"94","Centro","CS AGRONÔMICA",0,2015,10,0,0,151
"95","Centro","CS AGRONÔMICA",0,2015,11,0,0,109
"96","Centro","CS AGRONÔMICA",0,2015,12,0,0,80
"97","Centro","CS AGRONÔMICA",0,2016,1,0,0,1
"98","Centro","CS AGRONÔMICA",0,2016,2,0,0,24
"99","Centro","CS AGRONÔMICA",0,2016,3,0,0,69
"100","Centro","CS AGRONÔMICA",0,2016,4,0,0,149
"101","Centro","CS AGRONÔMICA",0,2016,5,0,0,228
"102","Centro","CS AGRONÔMICA",0,2016,6,0,0,230
"103","Centro","CS AGRONÔMICA",0,2016,7,0,0,88
"104","Centro","CS AGRONÔMICA",0,2016,8,0,0,106
"105","Centro","CS AGRONÔMICA",0,2016,9,0,0,187
"106","Centro","CS AGRONÔMICA",0,2016,10,0,0,83
"107","Centro","CS AGRONÔMICA",0,2016,11,0,0,78
"108","Centro","CS AGRONÔMICA",0,2016,12,0,0,13
"109","Centro","CS AGRONÔMICA",0,2017,1,0,0,1
"110","Centro","CS AGRONÔMICA",0,2017,2,0,0,0
"111","Centro","CS AGRONÔMICA",0,2017,3,0,0,58
"112","Centro","CS AGRONÔMICA",0,2017,4,0,0,78
"113","Centro","CS AGRONÔMICA",0,2017,5,0,0,119
"114","Centro","CS AGRONÔMICA",0,2017,6,0,0,72
"115","Centro","CS AGRONÔMICA",0,2017,7,0,0,12
"116","Centro","CS AGRONÔMICA",0,2017,8,0,0,29
"117","Centro","CS AGRONÔMICA",0,2017,9,0,0,20
"118","Centro","CS AGRONÔMICA",0,2017,10,0,0,8
"119","Centro","CS AGRONÔMICA",0,2017,11,0,0,31
"120","Centro","CS AGRONÔMICA",0,2017,12,0,0,6
"121","Centro","CS AGRONÔMICA",1,2013,1,25,19,360
"122","Centro","CS AGRONÔMICA",1,2013,2,19,10,232
"123","Centro","CS AGRONÔMICA",1,2013,3,34,10,291
"124","Centro","CS AGRONÔMICA",1,2013,4,43,17,380
"125","Centro","CS AGRONÔMICA",1,2013,5,34,24,515
"126","Centro","CS AGRONÔMICA",1,2013,6,19,4,367
"127","Centro","CS AGRONÔMICA",1,2013,7,30,17,297
"128","Centro","CS AGRONÔMICA",1,2013,8,16,15,298
"129","Centro","CS AGRONÔMICA",1,2013,9,10,6,452
"130","Centro","CS AGRONÔMICA",1,2013,10,41,17,536
"131","Centro","CS AGRONÔMICA",1,2013,11,16,11,221
"132","Centro","CS AGRONÔMICA",1,2013,12,22,25,260
"133","Centro","CS AGRONÔMICA",1,2014,1,24,14,146
"134","Centro","CS AGRONÔMICA",1,2014,2,39,24,359
"135","Centro","CS AGRONÔMICA",1,2014,3,23,19,345
"136","Centro","CS AGRONÔMICA",1,2014,4,42,25,393
"137","Centro","CS AGRONÔMICA",1,2014,5,30,22,482
"138","Centro","CS AGRONÔMICA",1,2014,6,29,21,464
"139","Centro","CS AGRONÔMICA",1,2014,7,33,11,308
"140","Centro","CS AGRONÔMICA",1,2014,8,38,25,474
"141","Centro","CS AGRONÔMICA",1,2014,9,28,19,452
"142","Centro","CS AGRONÔMICA",1,2014,10,9,6,207
"143","Centro","CS AGRONÔMICA",1,2014,11,25,21,542
"144","Centro","CS AGRONÔMICA",1,2014,12,10,10,147
"145","Centro","CS AGRONÔMICA",1,2015,1,56,46,467
"146","Centro","CS AGRONÔMICA",1,2015,2,14,13,179
"147","Centro","CS AGRONÔMICA",1,2015,3,12,11,255
"148","Centro","CS AGRONÔMICA",1,2015,4,12,4,444
"149","Centro","CS AGRONÔMICA",1,2015,5,12,8,122
"150","Centro","CS AGRONÔMICA",1,2015,6,14,9,358
"151","Centro","CS AGRONÔMICA",1,2015,7,11,4,378
"152","Centro","CS AGRONÔMICA",1,2015,8,28,29,367
"153","Centro","CS AGRONÔMICA",1,2015,9,24,18,345
"154","Centro","CS AGRONÔMICA",1,2015,10,25,20,339
"155","Centro","CS AGRONÔMICA",1,2015,11,22,10,232
"156","Centro","CS AGRONÔMICA",1,2015,12,13,9,140
"157","Centro","CS AGRONÔMICA",1,2016,1,18,7,136
"158","Centro","CS AGRONÔMICA",1,2016,2,39,24,229
"159","Centro","CS AGRONÔMICA",1,2016,3,15,12,211
"160","Centro","CS AGRONÔMICA",1,2016,4,31,16,390
"161","Centro","CS AGRONÔMICA",1,2016,5,49,43,784
"162","Centro","CS AGRONÔMICA",1,2016,6,41,32,665
"163","Centro","CS AGRONÔMICA",1,2016,7,29,33,434
"164","Centro","CS AGRONÔMICA",1,2016,8,5,5,169
"165","Centro","CS AGRONÔMICA",1,2016,9,38,39,513
"166","Centro","CS AGRONÔMICA",1,2016,10,34,21,464
"167","Centro","CS AGRONÔMICA",1,2016,11,25,22,336
"168","Centro","CS AGRONÔMICA",1,2016,12,21,23,181
"169","Centro","CS AGRONÔMICA",1,2017,1,13,5,89
"170","Centro","CS AGRONÔMICA",1,2017,2,6,3,65
"171","Centro","CS AGRONÔMICA",1,2017,3,47,27,341
"172","Centro","CS AGRONÔMICA",1,2017,4,37,25,324
"173","Centro","CS AGRONÔMICA",1,2017,5,70,30,602
"174","Centro","CS AGRONÔMICA",1,2017,6,45,24,491
"175","Centro","CS AGRONÔMICA",1,2017,7,59,40,282
"176","Centro","CS AGRONÔMICA",1,2017,8,35,20,290
"177","Centro","CS AGRONÔMICA",1,2017,9,42,30,264
"178","Centro","CS AGRONÔMICA",1,2017,10,7,6,142
"179","Centro","CS AGRONÔMICA",1,2017,11,37,26,214
"180","Centro","CS AGRONÔMICA",1,2017,12,28,30,216
