"","DISTRITO","UNIDADE","AREA","ANO","MES","CANTOPLASTIA","EXERESE_CISTO","DIU","RETIRADA_CERUMEN","SUTURA","EXO_DESCIDUO","BIOPSIA_BOCA","RASPAGEM_SUB","ADAPT_PROTESE"
"1","Centro","CS AGRONÔMICA",0,2013,1,0,0,0,0,0,1,0,1,0
"2","Centro","CS AGRONÔMICA",0,2013,2,0,0,0,0,0,0,0,0,0
"3","Centro","CS AGRONÔMICA",0,2013,3,0,0,0,0,0,0,0,1,0
"4","Centro","CS AGRONÔMICA",0,2013,4,0,0,0,0,0,5,0,1,0
"5","Centro","CS AGRONÔMICA",0,2013,5,0,0,0,0,0,1,0,0,0
"6","Centro","CS AGRONÔMICA",0,2013,6,0,0,0,0,0,3,0,0,0
"7","Centro","CS AGRONÔMICA",0,2013,7,0,0,0,0,0,1,0,0,0
"8","Centro","CS AGRONÔMICA",0,2013,8,0,0,0,0,0,2,0,0,0
"9","Centro","CS AGRONÔMICA",0,2013,9,0,0,0,0,0,5,0,1,0
"10","Centro","CS AGRONÔMICA",0,2013,10,0,0,0,0,0,2,0,0,0
"11","Centro","CS AGRONÔMICA",0,2013,11,0,0,0,0,0,2,0,0,0
"12","Centro","CS AGRONÔMICA",0,2013,12,0,0,0,0,1,3,0,1,0
"13","Centro","CS AGRONÔMICA",0,2014,1,0,1,0,0,0,2,0,0,0
"14","Centro","CS AGRONÔMICA",0,2014,2,0,0,0,0,0,2,0,0,0
"15","Centro","CS AGRONÔMICA",0,2014,3,0,0,0,0,0,2,0,0,0
"16","Centro","CS AGRONÔMICA",0,2014,4,0,0,0,0,0,2,0,0,0
"17","Centro","CS AGRONÔMICA",0,2014,5,0,0,0,0,0,4,0,1,0
"18","Centro","CS AGRONÔMICA",0,2014,6,0,0,0,0,0,2,0,0,0
"19","Centro","CS AGRONÔMICA",0,2014,7,0,0,0,0,0,3,0,0,0
"20","Centro","CS AGRONÔMICA",0,2014,8,0,0,0,0,0,2,0,0,0
"21","Centro","CS AGRONÔMICA",0,2014,9,0,0,0,0,0,0,0,0,0
"22","Centro","CS AGRONÔMICA",0,2014,10,0,0,0,0,0,4,0,0,0
"23","Centro","CS AGRONÔMICA",0,2014,11,0,0,0,0,0,1,0,0,0
"24","Centro","CS AGRONÔMICA",0,2014,12,0,0,0,0,0,1,0,0,0
"25","Centro","CS AGRONÔMICA",0,2015,1,0,0,0,0,0,2,0,1,0
"26","Centro","CS AGRONÔMICA",0,2015,2,0,0,0,0,0,0,0,0,0
"27","Centro","CS AGRONÔMICA",0,2015,3,0,0,0,0,0,1,0,0,0
"28","Centro","CS AGRONÔMICA",0,2015,4,0,0,0,0,0,0,0,0,0
"29","Centro","CS AGRONÔMICA",0,2015,5,0,0,0,0,0,0,0,0,0
"30","Centro","CS AGRONÔMICA",0,2015,6,0,0,0,0,1,1,0,0,0
"31","Centro","CS AGRONÔMICA",0,2015,7,0,0,0,1,0,0,0,0,0
"32","Centro","CS AGRONÔMICA",0,2015,8,0,0,0,0,0,0,0,0,0
"33","Centro","CS AGRONÔMICA",0,2015,9,0,0,0,1,0,1,0,0,0
"34","Centro","CS AGRONÔMICA",0,2015,10,0,0,0,2,0,0,0,0,0
"35","Centro","CS AGRONÔMICA",0,2015,11,0,0,0,0,0,1,0,0,0
"36","Centro","CS AGRONÔMICA",0,2015,12,0,0,0,0,0,0,0,0,0
"37","Centro","CS AGRONÔMICA",0,2016,1,0,0,0,0,0,3,0,0,0
"38","Centro","CS AGRONÔMICA",0,2016,2,0,0,0,0,0,1,0,0,0
"39","Centro","CS AGRONÔMICA",0,2016,3,0,0,0,0,0,1,0,0,0
"40","Centro","CS AGRONÔMICA",0,2016,4,0,0,0,0,0,2,0,0,0
"41","Centro","CS AGRONÔMICA",0,2016,5,0,0,0,0,0,3,0,0,0
"42","Centro","CS AGRONÔMICA",0,2016,6,0,1,1,0,1,2,0,0,0
"43","Centro","CS AGRONÔMICA",0,2016,7,0,0,1,0,0,3,0,0,0
"44","Centro","CS AGRONÔMICA",0,2016,8,0,0,0,1,0,2,0,0,0
"45","Centro","CS AGRONÔMICA",0,2016,9,0,0,5,0,0,3,0,1,0
"46","Centro","CS AGRONÔMICA",0,2016,10,0,0,0,1,0,2,0,0,0
"47","Centro","CS AGRONÔMICA",0,2016,11,1,0,0,0,0,2,0,0,0
"48","Centro","CS AGRONÔMICA",0,2016,12,0,0,1,1,0,1,0,0,0
"49","Centro","CS AGRONÔMICA",0,2017,1,0,0,0,0,0,0,0,0,0
"50","Centro","CS AGRONÔMICA",0,2017,2,0,0,0,0,0,0,0,0,0
"51","Centro","CS AGRONÔMICA",0,2017,3,0,1,0,0,0,0,0,0,0
"52","Centro","CS AGRONÔMICA",0,2017,4,0,0,0,0,0,4,0,3,1
"53","Centro","CS AGRONÔMICA",0,2017,5,0,0,0,3,1,1,0,1,0
"54","Centro","CS AGRONÔMICA",0,2017,6,0,0,0,1,0,6,0,1,0
"55","Centro","CS AGRONÔMICA",0,2017,7,0,1,1,0,0,3,0,0,0
"56","Centro","CS AGRONÔMICA",0,2017,8,0,0,0,0,0,1,0,0,0
"57","Centro","CS AGRONÔMICA",0,2017,9,0,0,0,0,0,2,0,1,0
"58","Centro","CS AGRONÔMICA",0,2017,10,0,2,0,0,0,1,0,0,0
"59","Centro","CS AGRONÔMICA",0,2017,11,0,1,0,1,0,1,0,0,0
"60","Centro","CS AGRONÔMICA",0,2017,12,1,0,0,2,0,1,0,1,0
"61","Centro","CS AGRONÔMICA",0,2018,1,0,1,0,3,0,2,0,0,0
"62","Centro","CS AGRONÔMICA",0,2018,2,1,2,0,3,1,1,0,0,0
"63","Centro","CS AGRONÔMICA",0,2018,3,0,1,0,0,0,0,0,0,0
"64","Centro","CS AGRONÔMICA",1,2013,1,0,0,0,0,0,0,0,1,0
"65","Centro","CS AGRONÔMICA",1,2013,2,0,0,0,2,0,2,0,1,0
"66","Centro","CS AGRONÔMICA",1,2013,3,0,0,0,0,0,0,0,0,0
"67","Centro","CS AGRONÔMICA",1,2013,4,0,0,1,0,0,1,0,0,0
"68","Centro","CS AGRONÔMICA",1,2013,5,0,0,0,1,0,1,0,0,0
"69","Centro","CS AGRONÔMICA",1,2013,6,0,0,0,0,0,1,0,1,0
"70","Centro","CS AGRONÔMICA",1,2013,7,0,0,0,0,0,2,0,1,0
"71","Centro","CS AGRONÔMICA",1,2013,8,0,2,0,0,0,2,0,0,0
"72","Centro","CS AGRONÔMICA",1,2013,9,0,0,0,0,0,1,0,0,0
"73","Centro","CS AGRONÔMICA",1,2013,10,0,0,1,0,0,0,0,0,0
"74","Centro","CS AGRONÔMICA",1,2013,11,0,1,0,0,0,2,0,0,0
"75","Centro","CS AGRONÔMICA",1,2013,12,0,0,1,1,1,2,0,0,0
"76","Centro","CS AGRONÔMICA",1,2014,1,0,1,0,0,0,1,0,0,0
"77","Centro","CS AGRONÔMICA",1,2014,2,0,0,0,0,0,2,0,0,0
"78","Centro","CS AGRONÔMICA",1,2014,3,0,0,0,0,0,5,0,1,0
"79","Centro","CS AGRONÔMICA",1,2014,4,0,0,0,0,0,4,0,0,0
"80","Centro","CS AGRONÔMICA",1,2014,5,0,0,0,0,0,1,0,0,0
"81","Centro","CS AGRONÔMICA",1,2014,6,0,0,0,0,0,2,0,0,0
"82","Centro","CS AGRONÔMICA",1,2014,7,0,0,0,0,0,4,0,0,0
"83","Centro","CS AGRONÔMICA",1,2014,8,0,0,0,0,0,1,0,1,0
"84","Centro","CS AGRONÔMICA",1,2014,9,0,0,0,0,0,0,0,0,0
"85","Centro","CS AGRONÔMICA",1,2014,10,0,0,0,0,0,1,0,0,0
"86","Centro","CS AGRONÔMICA",1,2014,11,0,0,0,0,0,2,0,0,0
"87","Centro","CS AGRONÔMICA",1,2014,12,0,0,0,0,0,0,0,1,0
"88","Centro","CS AGRONÔMICA",1,2015,1,0,0,0,0,0,3,0,2,0
"89","Centro","CS AGRONÔMICA",1,2015,2,0,0,0,0,1,0,0,1,2
"90","Centro","CS AGRONÔMICA",1,2015,3,0,0,0,0,0,0,0,0,0
"91","Centro","CS AGRONÔMICA",1,2015,4,0,0,0,3,0,0,0,0,0
"92","Centro","CS AGRONÔMICA",1,2015,5,0,0,0,1,0,1,0,0,0
"93","Centro","CS AGRONÔMICA",1,2015,6,0,0,0,0,0,1,0,0,0
"94","Centro","CS AGRONÔMICA",1,2015,7,0,0,0,0,0,2,0,0,0
"95","Centro","CS AGRONÔMICA",1,2015,8,0,0,0,0,0,3,0,0,0
"96","Centro","CS AGRONÔMICA",1,2015,9,0,0,0,0,0,3,0,0,0
"97","Centro","CS AGRONÔMICA",1,2015,10,0,0,0,1,0,2,0,0,0
"98","Centro","CS AGRONÔMICA",1,2015,11,0,0,0,0,0,3,0,0,0
"99","Centro","CS AGRONÔMICA",1,2015,12,0,0,0,0,0,1,0,0,0
"100","Centro","CS AGRONÔMICA",1,2016,1,0,0,0,0,0,1,0,0,0
"101","Centro","CS AGRONÔMICA",1,2016,2,0,0,0,0,0,1,0,0,0
"102","Centro","CS AGRONÔMICA",1,2016,3,0,0,0,0,0,1,0,1,0
"103","Centro","CS AGRONÔMICA",1,2016,4,0,0,0,0,0,1,0,0,0
"104","Centro","CS AGRONÔMICA",1,2016,5,0,1,0,0,0,1,0,0,1
"105","Centro","CS AGRONÔMICA",1,2016,6,0,0,1,0,0,1,0,0,0
"106","Centro","CS AGRONÔMICA",1,2016,7,0,0,0,0,0,0,0,0,0
"107","Centro","CS AGRONÔMICA",1,2016,8,0,0,0,0,0,1,0,0,0
"108","Centro","CS AGRONÔMICA",1,2016,9,0,0,0,0,0,2,0,2,0
"109","Centro","CS AGRONÔMICA",1,2016,10,0,0,0,0,0,0,0,2,0
"110","Centro","CS AGRONÔMICA",1,2016,11,0,0,0,0,0,0,0,0,0
"111","Centro","CS AGRONÔMICA",1,2016,12,0,0,0,2,0,0,0,0,0
"112","Centro","CS AGRONÔMICA",1,2017,1,0,0,0,0,0,0,0,0,0
"113","Centro","CS AGRONÔMICA",1,2017,2,0,0,0,0,0,1,0,0,0
"114","Centro","CS AGRONÔMICA",1,2017,3,0,0,0,1,1,0,0,1,0
"115","Centro","CS AGRONÔMICA",1,2017,4,0,0,0,1,0,0,0,0,0
"116","Centro","CS AGRONÔMICA",1,2017,5,1,0,2,0,0,0,0,5,1
"117","Centro","CS AGRONÔMICA",1,2017,6,0,0,2,2,0,1,0,1,0
"118","Centro","CS AGRONÔMICA",1,2017,7,0,1,1,0,0,3,0,0,0
"119","Centro","CS AGRONÔMICA",1,2017,8,0,2,1,1,0,1,0,2,0
"120","Centro","CS AGRONÔMICA",1,2017,9,0,0,0,1,0,1,0,0,0
