"","DISTRITO","UNIDADE","AREA","ANO","MES","PESSOAS_SIFILIS","PESSOAS_TTO"
"1","Centro","CS AGRONÔMICA",0,2013,5,1,0
"2","Centro","CS AGRONÔMICA",0,2013,7,1,0
"3","Centro","CS AGRONÔMICA",0,2013,10,1,1
"4","Centro","CS AGRONÔMICA",0,2013,12,1,1
"5","Centro","CS AGRONÔMICA",0,2014,2,1,1
"6","Centro","CS AGRONÔMICA",0,2014,3,2,0
"7","Centro","CS AGRONÔMICA",0,2014,10,2,0
"8","Centro","CS AGRONÔMICA",0,2014,11,1,0
"9","Centro","CS AGRONÔMICA",0,2014,12,2,0
"10","Centro","CS AGRONÔMICA",0,2015,3,1,0
"11","Centro","CS AGRONÔMICA",0,2015,4,1,0
"12","Centro","CS AGRONÔMICA",0,2015,5,2,0
"13","Centro","CS AGRONÔMICA",0,2015,7,1,0
"14","Centro","CS AGRONÔMICA",0,2015,8,1,0
"15","Centro","CS AGRONÔMICA",0,2015,11,3,0
"16","Centro","CS AGRONÔMICA",0,2016,2,2,1
"17","Centro","CS AGRONÔMICA",0,2016,4,1,0
"18","Centro","CS AGRONÔMICA",0,2016,8,1,1
"19","Centro","CS AGRONÔMICA",0,2016,9,2,0
"20","Centro","CS AGRONÔMICA",0,2016,12,1,1
"21","Centro","CS AGRONÔMICA",0,2017,3,2,2
"22","Centro","CS AGRONÔMICA",0,2017,4,1,0
"23","Centro","CS AGRONÔMICA",0,2017,5,1,1
"24","Centro","CS AGRONÔMICA",0,2017,6,2,2
"25","Centro","CS AGRONÔMICA",0,2017,8,2,2
"26","Centro","CS AGRONÔMICA",0,2017,9,2,1
"27","Centro","CS AGRONÔMICA",0,2017,10,4,3
"28","Centro","CS AGRONÔMICA",0,2017,11,2,1
"29","Centro","CS AGRONÔMICA",0,2017,12,1,1
"30","Centro","CS AGRONÔMICA",1,2013,4,1,0
"31","Centro","CS AGRONÔMICA",1,2013,11,1,0
"32","Centro","CS AGRONÔMICA",1,2014,6,1,0
"33","Centro","CS AGRONÔMICA",1,2014,10,1,0
"34","Centro","CS AGRONÔMICA",1,2014,12,1,0
"35","Centro","CS AGRONÔMICA",1,2015,1,1,0
"36","Centro","CS AGRONÔMICA",1,2015,4,2,0
"37","Centro","CS AGRONÔMICA",1,2015,7,1,1
"38","Centro","CS AGRONÔMICA",1,2015,8,2,2
"39","Centro","CS AGRONÔMICA",1,2016,3,3,2
"40","Centro","CS AGRONÔMICA",1,2016,5,2,1
"41","Centro","CS AGRONÔMICA",1,2016,7,1,1
"42","Centro","CS AGRONÔMICA",1,2016,9,1,0
"43","Centro","CS AGRONÔMICA",1,2016,11,2,0
"44","Centro","CS AGRONÔMICA",1,2016,12,1,0
"45","Centro","CS AGRONÔMICA",1,2017,1,1,1
"46","Centro","CS AGRONÔMICA",1,2017,4,1,0
"47","Centro","CS AGRONÔMICA",1,2017,6,5,5
"48","Centro","CS AGRONÔMICA",1,2017,7,6,2
"49","Centro","CS AGRONÔMICA",1,2017,8,1,0
"50","Centro","CS AGRONÔMICA",1,2017,9,2,1
"51","Centro","CS AGRONÔMICA",1,2017,10,1,1
"52","Centro","CS AGRONÔMICA",1,2017,11,4,3
"53","Centro","CS AGRONÔMICA",1,2017,12,3,1
"54","Centro","CS AGRONÔMICA",2,2013,1,2,1
"55","Centro","CS AGRONÔMICA",2,2013,3,1,0
"56","Centro","CS AGRONÔMICA",2,2013,8,1,0
"57","Centro","CS AGRONÔMICA",2,2013,10,1,0
"58","Centro","CS AGRONÔMICA",2,2014,3,1,0
"59","Centro","CS AGRONÔMICA",2,2014,8,1,0
"60","Centro","CS AGRONÔMICA",2,2014,9,1,0
"61","Centro","CS AGRONÔMICA",2,2014,12,1,0
"62","Centro","CS AGRONÔMICA",2,2015,2,1,0
"63","Centro","CS AGRONÔMICA",2,2015,3,5,0
"64","Centro","CS AGRONÔMICA",2,2015,4,2,0
"65","Centro","CS AGRONÔMICA",2,2015,8,1,0
"66","Centro","CS AGRONÔMICA",2,2015,9,1,0
"67","Centro","CS AGRONÔMICA",2,2015,10,3,0
"68","Centro","CS AGRONÔMICA",2,2015,12,1,1
"69","Centro","CS AGRONÔMICA",2,2016,1,1,1
"70","Centro","CS AGRONÔMICA",2,2016,2,1,1
"71","Centro","CS AGRONÔMICA",2,2016,4,2,0
"72","Centro","CS AGRONÔMICA",2,2016,5,1,1
"73","Centro","CS AGRONÔMICA",2,2016,7,2,1
"74","Centro","CS AGRONÔMICA",2,2016,8,1,1
"75","Centro","CS AGRONÔMICA",2,2016,9,1,0
"76","Centro","CS AGRONÔMICA",2,2016,12,1,0
"77","Centro","CS AGRONÔMICA",2,2017,1,1,0
