"","DISTRITO","UNIDADE","AREA","ANO","MES","COD_PROCEDIMENTO","QUANTIDADE"
"1","Centro","CS AGRONÔMICA",0,2016,5,"0214010040",1
"2","Centro","CS AGRONÔMICA",0,2016,12,"0214010040",1
"3","Centro","CS AGRONÔMICA",0,2017,1,"0214010040",1
"4","Centro","CS AGRONÔMICA",0,2016,6,"0214010058",2
"5","Centro","CS AGRONÔMICA",0,2016,7,"0214010058",1
"6","Centro","CS AGRONÔMICA",0,2016,8,"0214010058",2
"7","Centro","CS AGRONÔMICA",0,2016,11,"0214010058",1
"8","Centro","CS AGRONÔMICA",0,2017,6,"0214010058",1
"9","Centro","CS AGRONÔMICA",0,2017,9,"0214010058",4
"10","Centro","CS AGRONÔMICA",0,2017,10,"0214010058",3
"11","Centro","CS AGRONÔMICA",0,2016,6,"0214010074",2
"12","Centro","CS AGRONÔMICA",0,2016,8,"0214010074",1
"13","Centro","CS AGRONÔMICA",0,2017,6,"0214010074",1
"14","Centro","CS AGRONÔMICA",0,2017,9,"0214010074",4
"15","Centro","CS AGRONÔMICA",0,2017,10,"0214010074",1
"16","Centro","CS AGRONÔMICA",0,2014,8,"0214010082",1
"17","Centro","CS AGRONÔMICA",0,2016,5,"0214010082",1
"18","Centro","CS AGRONÔMICA",0,2016,12,"0214010082",1
"19","Centro","CS AGRONÔMICA",0,2017,1,"0214010082",1
"20","Centro","CS AGRONÔMICA",0,2016,6,"0214010090",2
"21","Centro","CS AGRONÔMICA",0,2016,8,"0214010090",1
"22","Centro","CS AGRONÔMICA",0,2016,9,"0214010090",1
"23","Centro","CS AGRONÔMICA",0,2017,10,"0214010090",2
"24","Centro","CS AGRONÔMICA",0,2017,10,"0214010104",1
"25","Centro","CS AGRONÔMICA",1,2016,6,"0214010040",3
"26","Centro","CS AGRONÔMICA",1,2016,9,"0214010040",1
"27","Centro","CS AGRONÔMICA",1,2016,12,"0214010040",3
"28","Centro","CS AGRONÔMICA",1,2017,1,"0214010040",1
"29","Centro","CS AGRONÔMICA",1,2017,2,"0214010040",1
"30","Centro","CS AGRONÔMICA",1,2017,3,"0214010040",1
"31","Centro","CS AGRONÔMICA",1,2017,5,"0214010040",2
"32","Centro","CS AGRONÔMICA",1,2017,6,"0214010040",2
"33","Centro","CS AGRONÔMICA",1,2017,7,"0214010040",1
"34","Centro","CS AGRONÔMICA",1,2017,8,"0214010040",1
"35","Centro","CS AGRONÔMICA",1,2017,9,"0214010040",2
"36","Centro","CS AGRONÔMICA",1,2017,10,"0214010040",2
"37","Centro","CS AGRONÔMICA",1,2017,11,"0214010040",2
"38","Centro","CS AGRONÔMICA",1,2018,3,"0214010040",2
"39","Centro","CS AGRONÔMICA",1,2015,3,"0214010058",1
