"DISTRITO","UNIDADE","AREA","ANO","MES","PESSOAS"
"Centro","CS AGRONÔMICA",0,2018,4,153
"Centro","CS AGRONÔMICA",0,2018,5,195
"Centro","CS AGRONÔMICA",0,2018,6,211
"Centro","CS AGRONÔMICA",0,2018,7,154
"Centro","CS AGRONÔMICA",1,2018,4,121
"Centro","CS AGRONÔMICA",1,2018,5,155
"Centro","CS AGRONÔMICA",1,2018,6,195
"Centro","CS AGRONÔMICA",1,2018,7,193
"Centro","CS AGRONÔMICA",2,2018,4,82
"Centro","CS AGRONÔMICA",2,2018,5,118
"Centro","CS AGRONÔMICA",2,2018,6,164
"Centro","CS AGRONÔMICA",2,2018,7,130
"Centro","CS AGRONÔMICA",3,2018,4,126
"Centro","CS AGRONÔMICA",3,2018,5,160
"Centro","CS AGRONÔMICA",3,2018,6,170
"Centro","CS AGRONÔMICA",3,2018,7,192
"Centro","CS CENTRO",0,2018,4,168
"Centro","CS CENTRO",0,2018,5,155
"Centro","CS CENTRO",0,2018,6,190
"Centro","CS CENTRO",0,2018,7,181
"Centro","CS CENTRO",1,2018,4,87
"Centro","CS CENTRO",1,2018,5,81
"Centro","CS CENTRO",1,2018,6,88
"Centro","CS CENTRO",1,2018,7,101
"Centro","CS CENTRO",2,2018,4,118
"Centro","CS CENTRO",2,2018,5,108
"Centro","CS CENTRO",2,2018,6,104
"Centro","CS CENTRO",2,2018,7,117
"Centro","CS CÓRREGO GRANDE",0,2018,4,76
"Centro","CS CÓRREGO GRANDE",0,2018,5,103
"Centro","CS CÓRREGO GRANDE",0,2018,6,139
"Centro","CS CÓRREGO GRANDE",0,2018,7,139
"Centro","CS CÓRREGO GRANDE",1,2018,4,71
"Centro","CS CÓRREGO GRANDE",1,2018,5,122
"Centro","CS CÓRREGO GRANDE",1,2018,6,136
"Centro","CS CÓRREGO GRANDE",1,2018,7,139
"Centro","CS ITACORUBI",0,2018,4,159
"Centro","CS ITACORUBI",0,2018,5,143
"Centro","CS ITACORUBI",0,2018,6,151
"Centro","CS ITACORUBI",0,2018,7,164
"Centro","CS ITACORUBI",1,2018,4,162
"Centro","CS ITACORUBI",1,2018,5,158
"Centro","CS ITACORUBI",1,2018,6,176
"Centro","CS ITACORUBI",1,2018,7,209
"Centro","CS ITACORUBI",2,2018,4,110
"Centro","CS ITACORUBI",2,2018,5,134
"Centro","CS ITACORUBI",2,2018,6,139
"Centro","CS ITACORUBI",2,2018,7,146
"Centro","CS ITACORUBI",3,2018,4,57
"Centro","CS ITACORUBI",3,2018,5,91
"Centro","CS ITACORUBI",3,2018,6,94
"Centro","CS ITACORUBI",3,2018,7,104
"Centro","CS JOÃO PAULO",0,2018,4,153
"Centro","CS JOÃO PAULO",0,2018,5,156
"Centro","CS JOÃO PAULO",0,2018,6,196
"Centro","CS JOÃO PAULO",0,2018,7,203
"Centro","CS JOÃO PAULO",1,2018,4,113
"Centro","CS JOÃO PAULO",1,2018,5,111
"Centro","CS JOÃO PAULO",1,2018,6,118
"Centro","CS JOÃO PAULO",1,2018,7,130
"Centro","CS MONTE SERRAT",0,2018,4,119
"Centro","CS MONTE SERRAT",0,2018,5,137
"Centro","CS MONTE SERRAT",0,2018,6,137
"Centro","CS MONTE SERRAT",0,2018,7,161
"Centro","CS MONTE SERRAT",1,2018,4,102
"Centro","CS MONTE SERRAT",1,2018,5,109
"Centro","CS MONTE SERRAT",1,2018,6,123
"Centro","CS MONTE SERRAT",1,2018,7,102
"Centro","CS MONTE SERRAT",2,2018,4,162
"Centro","CS MONTE SERRAT",2,2018,5,188
"Centro","CS MONTE SERRAT",2,2018,6,181
"Centro","CS MONTE SERRAT",2,2018,7,182
"Centro","CS PANTANAL",0,2018,4,62
"Centro","CS PANTANAL",0,2018,5,121
"Centro","CS PANTANAL",0,2018,6,121
"Centro","CS PANTANAL",0,2018,7,128
"Centro","CS PANTANAL",1,2018,4,48
"Centro","CS PANTANAL",1,2018,5,103
"Centro","CS PANTANAL",1,2018,6,109
"Centro","CS PANTANAL",1,2018,7,96
"Centro","CS PRAINHA",0,2018,4,89
"Centro","CS PRAINHA",0,2018,5,133
"Centro","CS PRAINHA",0,2018,6,178
"Centro","CS PRAINHA",0,2018,7,163
"Centro","CS PRAINHA",1,2018,4,54
"Centro","CS PRAINHA",1,2018,5,107
"Centro","CS PRAINHA",1,2018,6,108
"Centro","CS PRAINHA",1,2018,7,132
"Centro","CS PRAINHA",2,2018,4,67
"Centro","CS PRAINHA",2,2018,5,100
"Centro","CS PRAINHA",2,2018,6,125
"Centro","CS PRAINHA",2,2018,7,144
"Centro","CS SACO DOS LIMÕES",0,2018,4,61
"Centro","CS SACO DOS LIMÕES",0,2018,5,94
"Centro","CS SACO DOS LIMÕES",0,2018,6,124
"Centro","CS SACO DOS LIMÕES",0,2018,7,123
"Centro","CS SACO DOS LIMÕES",1,2018,4,91
"Centro","CS SACO DOS LIMÕES",1,2018,5,126
"Centro","CS SACO DOS LIMÕES",1,2018,6,141
"Centro","CS SACO DOS LIMÕES",1,2018,7,157
"Centro","CS SACO DOS LIMÕES",2,2018,4,120
"Centro","CS SACO DOS LIMÕES",2,2018,5,145
"Centro","CS SACO DOS LIMÕES",2,2018,6,209
"Centro","CS SACO DOS LIMÕES",2,2018,7,201
"Centro","CS SACO DOS LIMÕES",3,2018,4,22
"Centro","CS SACO DOS LIMÕES",3,2018,5,25
"Centro","CS SACO DOS LIMÕES",3,2018,6,33
"Centro","CS SACO DOS LIMÕES",3,2018,7,37
"Centro","CS SACO DOS LIMÕES",4,2018,4,14
"Centro","CS SACO DOS LIMÕES",4,2018,5,19
"Centro","CS SACO DOS LIMÕES",4,2018,6,23
"Centro","CS SACO DOS LIMÕES",4,2018,7,24
"Centro","CS SACO DOS LIMÕES",312,2018,6,2
"Centro","CS SACO DOS LIMÕES",312,2018,7,1
"Centro","CS TRINDADE",0,2018,4,80
"Centro","CS TRINDADE",0,2018,5,110
"Centro","CS TRINDADE",0,2018,6,141
"Centro","CS TRINDADE",0,2018,7,121
"Centro","CS TRINDADE",1,2018,4,104
"Centro","CS TRINDADE",1,2018,5,149
"Centro","CS TRINDADE",1,2018,6,161
"Centro","CS TRINDADE",1,2018,7,159
"Centro","CS TRINDADE",2,2018,4,99
"Centro","CS TRINDADE",2,2018,5,132
"Centro","CS TRINDADE",2,2018,6,153
"Centro","CS TRINDADE",2,2018,7,159
"Centro","CS TRINDADE",3,2018,4,84
"Centro","CS TRINDADE",3,2018,5,125
"Centro","CS TRINDADE",3,2018,6,132
"Centro","CS TRINDADE",3,2018,7,135
"Centro","CS TRINDADE",4,2018,4,67
"Centro","CS TRINDADE",4,2018,5,80
"Centro","CS TRINDADE",4,2018,6,105
"Centro","CS TRINDADE",4,2018,7,99
"Centro","CS TRINDADE",5,2018,4,12
"Centro","CS TRINDADE",5,2018,5,17
"Centro","CS TRINDADE",5,2018,6,27
"Centro","CS TRINDADE",5,2018,7,16
"Continente","CS ABRAÃO",0,2018,4,94
"Continente","CS ABRAÃO",0,2018,5,113
"Continente","CS ABRAÃO",0,2018,6,124
"Continente","CS ABRAÃO",0,2018,7,135
"Continente","CS ABRAÃO",1,2018,4,79
"Continente","CS ABRAÃO",1,2018,5,83
"Continente","CS ABRAÃO",1,2018,6,111
"Continente","CS ABRAÃO",1,2018,7,117
"Continente","CS ABRAÃO",2,2018,4,49
"Continente","CS ABRAÃO",2,2018,5,66
"Continente","CS ABRAÃO",2,2018,6,75
"Continente","CS ABRAÃO",2,2018,7,86
"Continente","CS BALNEÁRIO",0,2018,4,79
"Continente","CS BALNEÁRIO",0,2018,5,105
"Continente","CS BALNEÁRIO",0,2018,6,100
"Continente","CS BALNEÁRIO",0,2018,7,96
"Continente","CS BALNEÁRIO",1,2018,4,102
"Continente","CS BALNEÁRIO",1,2018,5,119
"Continente","CS BALNEÁRIO",1,2018,6,109
"Continente","CS BALNEÁRIO",1,2018,7,120
"Continente","CS CAPOEIRAS",0,2018,4,41
"Continente","CS CAPOEIRAS",0,2018,5,132
"Continente","CS CAPOEIRAS",0,2018,6,109
"Continente","CS CAPOEIRAS",0,2018,7,98
"Continente","CS CAPOEIRAS",1,2018,4,47
"Continente","CS CAPOEIRAS",1,2018,5,82
"Continente","CS CAPOEIRAS",1,2018,6,96
"Continente","CS CAPOEIRAS",1,2018,7,77
"Continente","CS CAPOEIRAS",2,2018,4,28
"Continente","CS CAPOEIRAS",2,2018,5,108
"Continente","CS CAPOEIRAS",2,2018,6,84
"Continente","CS CAPOEIRAS",2,2018,7,59
"Continente","CS COLONINHA",0,2018,4,77
"Continente","CS COLONINHA",0,2018,5,118
"Continente","CS COLONINHA",0,2018,6,107
"Continente","CS COLONINHA",0,2018,7,97
"Continente","CS COLONINHA",1,2018,4,89
"Continente","CS COLONINHA",1,2018,5,130
"Continente","CS COLONINHA",1,2018,6,117
"Continente","CS COLONINHA",1,2018,7,131
"Continente","CS COLONINHA",2,2018,4,73
"Continente","CS COLONINHA",2,2018,5,138
"Continente","CS COLONINHA",2,2018,6,158
"Continente","CS COLONINHA",2,2018,7,167
"Continente","CS COQUEIROS",0,2018,4,74
"Continente","CS COQUEIROS",0,2018,5,101
"Continente","CS COQUEIROS",0,2018,6,103
"Continente","CS COQUEIROS",0,2018,7,105
"Continente","CS COQUEIROS",1,2018,4,103
"Continente","CS COQUEIROS",1,2018,5,106
"Continente","CS COQUEIROS",1,2018,6,145
"Continente","CS COQUEIROS",1,2018,7,139
"Continente","CS COQUEIROS",2,2018,4,88
"Continente","CS COQUEIROS",2,2018,5,119
"Continente","CS COQUEIROS",2,2018,6,148
"Continente","CS COQUEIROS",2,2018,7,186
"Continente","CS ESTREITO",0,2018,4,64
"Continente","CS ESTREITO",0,2018,5,123
"Continente","CS ESTREITO",0,2018,6,81
"Continente","CS ESTREITO",0,2018,7,122
"Continente","CS ESTREITO",1,2018,4,81
"Continente","CS ESTREITO",1,2018,5,119
"Continente","CS ESTREITO",1,2018,6,129
"Continente","CS ESTREITO",1,2018,7,104
"Continente","CS ESTREITO",2,2018,4,51
"Continente","CS ESTREITO",2,2018,5,57
"Continente","CS ESTREITO",2,2018,6,91
"Continente","CS ESTREITO",2,2018,7,86
"Continente","CS ESTREITO",3,2018,4,76
"Continente","CS ESTREITO",3,2018,5,128
"Continente","CS ESTREITO",3,2018,6,137
"Continente","CS ESTREITO",3,2018,7,120
"Continente","CS JARDIM ATLÂNTICO",0,2018,4,60
"Continente","CS JARDIM ATLÂNTICO",0,2018,5,79
"Continente","CS JARDIM ATLÂNTICO",0,2018,6,58
"Continente","CS JARDIM ATLÂNTICO",0,2018,7,106
"Continente","CS JARDIM ATLÂNTICO",1,2018,4,50
"Continente","CS JARDIM ATLÂNTICO",1,2018,5,64
"Continente","CS JARDIM ATLÂNTICO",1,2018,6,53
"Continente","CS JARDIM ATLÂNTICO",1,2018,7,85
"Continente","CS MONTE CRISTO",0,2018,4,130
"Continente","CS MONTE CRISTO",0,2018,5,159
"Continente","CS MONTE CRISTO",0,2018,6,172
"Continente","CS MONTE CRISTO",0,2018,7,154
"Continente","CS MONTE CRISTO",1,2018,4,156
"Continente","CS MONTE CRISTO",1,2018,5,209
"Continente","CS MONTE CRISTO",1,2018,6,205
"Continente","CS MONTE CRISTO",1,2018,7,199
"Continente","CS MONTE CRISTO",2,2018,4,73
"Continente","CS MONTE CRISTO",2,2018,5,97
"Continente","CS MONTE CRISTO",2,2018,6,71
"Continente","CS MONTE CRISTO",2,2018,7,101
"Continente","CS MONTE CRISTO",3,2018,4,105
"Continente","CS MONTE CRISTO",3,2018,5,138
"Continente","CS MONTE CRISTO",3,2018,6,155
"Continente","CS MONTE CRISTO",3,2018,7,139
"Continente","CS MONTE CRISTO",4,2018,4,174
"Continente","CS MONTE CRISTO",4,2018,5,188
"Continente","CS MONTE CRISTO",4,2018,6,205
"Continente","CS MONTE CRISTO",4,2018,7,202
"Continente","CS MONTE CRISTO",5,2018,4,116
"Continente","CS MONTE CRISTO",5,2018,5,151
"Continente","CS MONTE CRISTO",5,2018,6,137
"Continente","CS MONTE CRISTO",5,2018,7,162
"Continente","CS MONTE CRISTO",6,2018,4,33
"Continente","CS MONTE CRISTO",6,2018,5,43
"Continente","CS MONTE CRISTO",6,2018,6,43
"Continente","CS MONTE CRISTO",6,2018,7,50
"Continente","CS NOVO CONTINENTE",0,2018,4,113
"Continente","CS NOVO CONTINENTE",0,2018,5,178
"Continente","CS NOVO CONTINENTE",0,2018,6,178
"Continente","CS NOVO CONTINENTE",0,2018,7,174
"Continente","CS NOVO CONTINENTE",1,2018,4,73
"Continente","CS NOVO CONTINENTE",1,2018,5,125
"Continente","CS NOVO CONTINENTE",1,2018,6,129
"Continente","CS NOVO CONTINENTE",1,2018,7,118
"Continente","CS NOVO CONTINENTE",2,2018,4,88
"Continente","CS NOVO CONTINENTE",2,2018,5,133
"Continente","CS NOVO CONTINENTE",2,2018,6,147
"Continente","CS NOVO CONTINENTE",2,2018,7,151
"Continente","CS SAPE",0,2018,4,70
"Continente","CS SAPE",0,2018,5,91
"Continente","CS SAPE",0,2018,6,130
"Continente","CS SAPE",0,2018,7,121
"Continente","CS SAPE",1,2018,4,82
"Continente","CS SAPE",1,2018,5,112
"Continente","CS SAPE",1,2018,6,141
"Continente","CS SAPE",1,2018,7,134
"Continente","CS VILA APARECIDA",0,2018,4,68
"Continente","CS VILA APARECIDA",0,2018,5,87
"Continente","CS VILA APARECIDA",0,2018,6,93
"Continente","CS VILA APARECIDA",0,2018,7,93
"Continente","CS VILA APARECIDA",1,2018,4,45
"Continente","CS VILA APARECIDA",1,2018,5,46
"Continente","CS VILA APARECIDA",1,2018,6,45
"Continente","CS VILA APARECIDA",1,2018,7,54
"Norte","CS BARRA DA LAGOA",0,2018,4,113
"Norte","CS BARRA DA LAGOA",0,2018,5,160
"Norte","CS BARRA DA LAGOA",0,2018,6,154
"Norte","CS BARRA DA LAGOA",0,2018,7,137
"Norte","CS BARRA DA LAGOA",1,2018,4,120
"Norte","CS BARRA DA LAGOA",1,2018,5,200
"Norte","CS BARRA DA LAGOA",1,2018,6,166
"Norte","CS BARRA DA LAGOA",1,2018,7,167
"Norte","CS BARRA DA LAGOA",2,2018,4,19
"Norte","CS BARRA DA LAGOA",2,2018,5,40
"Norte","CS BARRA DA LAGOA",2,2018,6,36
"Norte","CS BARRA DA LAGOA",2,2018,7,41
"Norte","CS CACHOEIRA BOM JESUS",0,2018,4,94
"Norte","CS CACHOEIRA BOM JESUS",0,2018,5,195
"Norte","CS CACHOEIRA BOM JESUS",0,2018,6,243
"Norte","CS CACHOEIRA BOM JESUS",0,2018,7,185
"Norte","CS CACHOEIRA BOM JESUS",1,2018,4,80
"Norte","CS CACHOEIRA BOM JESUS",1,2018,5,116
"Norte","CS CACHOEIRA BOM JESUS",1,2018,6,160
"Norte","CS CACHOEIRA BOM JESUS",1,2018,7,132
"Norte","CS CANASVIEIRAS",0,2018,4,76
"Norte","CS CANASVIEIRAS",0,2018,5,110
"Norte","CS CANASVIEIRAS",0,2018,6,144
