"DISTRITO","UNIDADE","AREA","ANO","MES","CONS_MED","AGENDADA_MED","ESPONTANEA_MED","CONS_ENF","AGENDADA_ENF","ESPONTANEA_ENF","CONS_ODO","AGENDADA_ODO","ESPONTANEA_ODO"
"Centro","CS AGRONÔMICA",0,2018,4,405,24,381,94,9,85,70,23,47
"Centro","CS AGRONÔMICA",0,2018,5,499,26,473,180,15,165,87,32,55
"Centro","CS AGRONÔMICA",0,2018,6,657,31,626,135,20,115,90,22,68
"Centro","CS AGRONÔMICA",0,2018,7,282,6,276,299,63,236,116,35,81
"Centro","CS AGRONÔMICA",1,2018,4,310,1,309,104,0,104,40,0,40
"Centro","CS AGRONÔMICA",1,2018,5,397,3,394,126,0,126,63,9,54
"Centro","CS AGRONÔMICA",1,2018,6,490,12,478,205,1,204,72,4,68
"Centro","CS AGRONÔMICA",1,2018,7,498,1,497,182,1,181,79,7,72
"Centro","CS AGRONÔMICA",2,2018,4,246,10,236,39,1,38,58,16,42
"Centro","CS AGRONÔMICA",2,2018,5,399,21,378,163,13,150,50,22,28
"Centro","CS AGRONÔMICA",2,2018,6,478,49,429,171,15,156,67,25,42
"Centro","CS AGRONÔMICA",2,2018,7,456,49,407,131,7,124,68,18,50
"Centro","CS AGRONÔMICA",3,2018,4,344,0,344,70,0,70,62,19,43
"Centro","CS AGRONÔMICA",3,2018,5,495,9,486,152,0,152,63,27,36
"Centro","CS AGRONÔMICA",3,2018,6,602,9,593,181,5,176,69,15,54
"Centro","CS AGRONÔMICA",3,2018,7,620,25,595,184,5,179,56,12,44
"Centro","CS CENTRO",0,2018,4,451,167,284,241,15,226,81,32,49
"Centro","CS CENTRO",0,2018,5,374,154,220,276,11,265,79,52,27
"Centro","CS CENTRO",0,2018,6,415,169,246,338,16,322,54,16,38
"Centro","CS CENTRO",0,2018,7,488,182,306,410,18,392,79,40,39
"Centro","CS CENTRO",1,2018,4,200,93,107,109,8,101,32,22,10
"Centro","CS CENTRO",1,2018,5,180,87,93,132,3,129,38,24,14
"Centro","CS CENTRO",1,2018,6,189,104,85,127,4,123,10,3,7
"Centro","CS CENTRO",1,2018,7,178,79,99,174,6,168,25,14,11
"Centro","CS CENTRO",2,2018,4,228,98,130,137,10,127,44,22,22
"Centro","CS CENTRO",2,2018,5,198,89,109,197,3,194,30,15,15
"Centro","CS CENTRO",2,2018,6,258,124,134,211,7,204,15,0,15
"Centro","CS CENTRO",2,2018,7,296,156,140,228,13,215,50,35,15
"Centro","CS CÓRREGO GRANDE",0,2018,4,163,10,153,128,5,123,29,12,17
"Centro","CS CÓRREGO GRANDE",0,2018,5,264,23,241,186,13,173,55,27,28
"Centro","CS CÓRREGO GRANDE",0,2018,6,342,17,325,198,27,171,71,44,27
"Centro","CS CÓRREGO GRANDE",0,2018,7,379,24,355,20,4,16,21,5,16
"Centro","CS CÓRREGO GRANDE",1,2018,4,188,17,171,164,9,155,47,15,32
"Centro","CS CÓRREGO GRANDE",1,2018,5,280,25,255,254,21,233,49,26,23
"Centro","CS CÓRREGO GRANDE",1,2018,6,348,28,320,232,13,219,47,20,27
"Centro","CS CÓRREGO GRANDE",1,2018,7,336,34,302,168,12,156,30,7,23
"Centro","CS ITACORUBI",0,2018,4,244,26,218,365,29,336,22,1,21
"Centro","CS ITACORUBI",0,2018,5,303,33,270,248,34,214,3,0,3
"Centro","CS ITACORUBI",0,2018,6,331,32,299,210,26,184,31,5,26
"Centro","CS ITACORUBI",0,2018,7,328,39,289,238,26,212,39,4,35
"Centro","CS ITACORUBI",1,2018,4,299,4,295,380,18,362,32,4,28
"Centro","CS ITACORUBI",1,2018,5,193,16,177,357,25,332,4,2,2
"Centro","CS ITACORUBI",1,2018,6,457,40,417,68,5,63,56,15,41
"Centro","CS ITACORUBI",1,2018,7,387,22,365,407,31,376,61,9,52
"Centro","CS ITACORUBI",2,2018,4,269,35,234,158,30,128,62,3,59
"Centro","CS ITACORUBI",2,2018,5,275,41,234,161,22,139,13,1,12
"Centro","CS ITACORUBI",2,2018,6,366,32,334,111,17,94,62,15,47
"Centro","CS ITACORUBI",2,2018,7,417,60,357,145,27,118,65,6,59
"Centro","CS ITACORUBI",3,2018,4,71,4,67,128,6,122,15,3,12
"Centro","CS ITACORUBI",3,2018,5,181,32,149,144,15,129,8,3,5
"Centro","CS ITACORUBI",3,2018,6,235,48,187,74,4,70,33,10,23
"Centro","CS ITACORUBI",3,2018,7,235,38,197,125,10,115,31,2,29
"Centro","CS JOÃO PAULO",0,2018,4,519,108,411,254,16,238,76,15,61
"Centro","CS JOÃO PAULO",0,2018,5,585,116,469,364,12,352,109,56,53
"Centro","CS JOÃO PAULO",0,2018,6,660,176,484,373,30,343,54,20,34
"Centro","CS JOÃO PAULO",0,2018,7,690,201,489,404,23,381,84,45,39
"Centro","CS JOÃO PAULO",1,2018,4,432,69,363,129,1,128,53,22,31
"Centro","CS JOÃO PAULO",1,2018,5,389,73,316,209,5,204,25,5,20
"Centro","CS JOÃO PAULO",1,2018,6,406,104,302,176,1,175,70,29,41
"Centro","CS JOÃO PAULO",1,2018,7,450,102,348,184,7,177,34,14,20
"Centro","CS MONTE SERRAT",0,2018,4,165,11,154,258,6,252,41,4,37
"Centro","CS MONTE SERRAT",0,2018,5,274,28,246,201,11,190,32,11,21
"Centro","CS MONTE SERRAT",0,2018,6,334,28,306,286,15,271,36,10,26
"Centro","CS MONTE SERRAT",0,2018,7,442,30,412,217,17,200,42,16,26
"Centro","CS MONTE SERRAT",1,2018,4,140,18,122,100,2,98,25,8,17
"Centro","CS MONTE SERRAT",1,2018,5,104,3,101,143,6,137,20,3,17
"Centro","CS MONTE SERRAT",1,2018,6,293,25,268,91,9,82,28,11,17
"Centro","CS MONTE SERRAT",1,2018,7,277,8,269,41,11,30,36,16,20
"Centro","CS MONTE SERRAT",2,2018,4,224,9,215,277,16,261,45,12,33
"Centro","CS MONTE SERRAT",2,2018,5,392,27,365,207,12,195,44,13,31
"Centro","CS MONTE SERRAT",2,2018,6,516,51,465,263,19,244,47,17,30
"Centro","CS MONTE SERRAT",2,2018,7,532,19,513,196,20,176,59,17,42
"Centro","CS PANTANAL",0,2018,4,187,4,183,29,4,25,5,1,4
"Centro","CS PANTANAL",0,2018,5,261,32,229,136,27,109,24,7,17
"Centro","CS PANTANAL",0,2018,6,376,30,346,146,25,121,45,12,33
"Centro","CS PANTANAL",0,2018,7,400,43,357,153,25,128,53,11,42
"Centro","CS PANTANAL",1,2018,4,153,7,146,16,1,15,3,0,3
"Centro","CS PANTANAL",1,2018,5,253,45,208,180,24,156,13,4,9
"Centro","CS PANTANAL",1,2018,6,314,50,264,110,16,94,64,15,49
"Centro","CS PANTANAL",1,2018,7,251,23,228,74,10,64,33,7,26
"Centro","CS PRAINHA",0,2018,4,176,18,158,75,2,73,25,3,22
"Centro","CS PRAINHA",0,2018,5,291,55,236,148,17,131,48,14,34
"Centro","CS PRAINHA",0,2018,6,438,61,377,196,5,191,71,19,52
"Centro","CS PRAINHA",0,2018,7,383,39,344,168,12,156,74,15,59
"Centro","CS PRAINHA",1,2018,4,120,8,112,66,5,61,23,1,22
"Centro","CS PRAINHA",1,2018,5,203,24,179,106,8,98,45,13,32
"Centro","CS PRAINHA",1,2018,6,210,19,191,124,7,117,52,15,37
"Centro","CS PRAINHA",1,2018,7,314,23,291,121,19,102,64,8,56
"Centro","CS PRAINHA",2,2018,4,83,14,69,127,3,124,46,2,44
"Centro","CS PRAINHA",2,2018,5,172,13,159,110,13,97,59,16,43
"Centro","CS PRAINHA",2,2018,6,236,36,200,129,9,120,98,37,61
"Centro","CS PRAINHA",2,2018,7,278,28,250,146,18,128,83,16,67
"Centro","CS SACO DOS LIMÕES",0,2018,4,197,10,187,50,2,48,5,0,5
"Centro","CS SACO DOS LIMÕES",0,2018,5,338,20,318,53,6,47,5,1,4
"Centro","CS SACO DOS LIMÕES",0,2018,6,472,34,438,90,6,84,20,2,18
"Centro","CS SACO DOS LIMÕES",0,2018,7,443,18,425,95,6,89,13,5,8
"Centro","CS SACO DOS LIMÕES",1,2018,4,155,6,149,131,13,118,13,2,11
"Centro","CS SACO DOS LIMÕES",1,2018,5,308,8,300,125,10,115,10,3,7
"Centro","CS SACO DOS LIMÕES",1,2018,6,328,11,317,162,2,160,14,1,13
"Centro","CS SACO DOS LIMÕES",1,2018,7,359,10,349,162,5,157,13,0,13
"Centro","CS SACO DOS LIMÕES",2,2018,4,183,5,178,276,30,246,18,0,18
"Centro","CS SACO DOS LIMÕES",2,2018,5,163,5,158,331,13,318,18,4,14
"Centro","CS SACO DOS LIMÕES",2,2018,6,458,19,439,376,17,359,29,1,28
"Centro","CS SACO DOS LIMÕES",2,2018,7,414,16,398,304,20,284,31,15,16
"Centro","CS SACO DOS LIMÕES",3,2018,4,90,7,83,24,1,23,7,1,6
"Centro","CS SACO DOS LIMÕES",3,2018,5,130,8,122,27,4,23,2,0,2
"Centro","CS SACO DOS LIMÕES",3,2018,6,151,15,136,46,7,39,1,0,1
"Centro","CS SACO DOS LIMÕES",3,2018,7,137,11,126,51,8,43,0,0,0
"Centro","CS SACO DOS LIMÕES",4,2018,4,49,1,48,9,1,8,2,1,1
"Centro","CS SACO DOS LIMÕES",4,2018,5,73,0,73,9,0,9,1,1,0
"Centro","CS SACO DOS LIMÕES",4,2018,6,79,5,74,20,0,20,3,0,3
"Centro","CS SACO DOS LIMÕES",4,2018,7,91,4,87,8,1,7,1,0,1
"Centro","CS SACO DOS LIMÕES",312,2018,4,2,0,2,3,1,2,0,0,0
"Centro","CS SACO DOS LIMÕES",312,2018,5,0,0,0,2,0,2,0,0,0
"Centro","CS SACO DOS LIMÕES",312,2018,6,2,0,2,3,0,3,0,0,0
"Centro","CS SACO DOS LIMÕES",312,2018,7,1,0,1,2,0,2,0,0,0
"Centro","CS TRINDADE",0,2018,4,136,13,123,83,11,72,24,6,18
"Centro","CS TRINDADE",0,2018,5,288,7,281,83,4,79,37,11,26
"Centro","CS TRINDADE",0,2018,6,337,6,331,155,8,147,62,25,37
"Centro","CS TRINDADE",0,2018,7,309,12,297,67,7,60,68,31,37
"Centro","CS TRINDADE",1,2018,4,217,34,183,133,11,122,37,14,23
"Centro","CS TRINDADE",1,2018,5,329,5,324,165,2,163,51,21,30
"Centro","CS TRINDADE",1,2018,6,418,4,414,194,1,193,53,18,35
"Centro","CS TRINDADE",1,2018,7,203,1,202,371,0,371,66,31,35
"Centro","CS TRINDADE",2,2018,4,214,57,157,52,5,47,28,5,23
"Centro","CS TRINDADE",2,2018,5,359,34,325,137,7,130,46,21,25
