"DISTRITO","UNIDADE","AREA","ANO","MES","CONS_ENF","CONS_MED","CONS_ODO","FALTAS_ENF","FALTAS_MED","FALTAS_ODO"
"Centro","CS AGRONÔMICA",0,2018,4,94,405,70,4,9,17
"Centro","CS AGRONÔMICA",0,2018,5,180,499,87,11,7,7
"Centro","CS AGRONÔMICA",0,2018,6,135,657,90,13,7,13
"Centro","CS AGRONÔMICA",0,2018,7,299,282,116,41,2,17
"Centro","CS AGRONÔMICA",1,2018,4,104,311,40,4,4,4
"Centro","CS AGRONÔMICA",1,2018,5,126,397,63,5,3,1
"Centro","CS AGRONÔMICA",1,2018,6,205,490,72,8,5,4
"Centro","CS AGRONÔMICA",1,2018,7,182,499,79,6,6,2
"Centro","CS AGRONÔMICA",2,2018,4,39,246,58,0,2,9
"Centro","CS AGRONÔMICA",2,2018,5,163,399,50,7,10,9
"Centro","CS AGRONÔMICA",2,2018,6,171,480,67,8,10,7
"Centro","CS AGRONÔMICA",2,2018,7,131,456,68,6,7,9
"Centro","CS AGRONÔMICA",3,2018,4,70,344,62,0,3,5
"Centro","CS AGRONÔMICA",3,2018,5,152,495,63,2,6,4
"Centro","CS AGRONÔMICA",3,2018,6,181,602,69,2,12,11
"Centro","CS AGRONÔMICA",3,2018,7,185,620,56,5,20,3
"Centro","CS CENTRO",0,2018,4,241,451,81,6,25,10
"Centro","CS CENTRO",0,2018,5,276,374,79,3,16,16
"Centro","CS CENTRO",0,2018,6,338,417,54,10,39,8
"Centro","CS CENTRO",0,2018,7,410,488,79,11,17,11
"Centro","CS CENTRO",1,2018,4,109,200,32,0,18,5
"Centro","CS CENTRO",1,2018,5,132,180,38,1,16,4
"Centro","CS CENTRO",1,2018,6,127,190,10,5,19,1
"Centro","CS CENTRO",1,2018,7,174,177,25,8,18,4
"Centro","CS CENTRO",2,2018,4,137,228,44,1,17,9
"Centro","CS CENTRO",2,2018,5,197,198,30,5,15,3
"Centro","CS CENTRO",2,2018,6,211,258,15,6,27,3
"Centro","CS CENTRO",2,2018,7,228,296,50,9,19,1
"Centro","CS CÓRREGO GRANDE",0,2018,4,128,163,29,2,3,0
"Centro","CS CÓRREGO GRANDE",0,2018,5,187,264,55,7,4,5
"Centro","CS CÓRREGO GRANDE",0,2018,6,198,342,71,14,6,5
"Centro","CS CÓRREGO GRANDE",0,2018,7,20,380,21,1,13,2
"Centro","CS CÓRREGO GRANDE",1,2018,4,164,188,47,9,5,9
"Centro","CS CÓRREGO GRANDE",1,2018,5,254,280,49,2,2,12
"Centro","CS CÓRREGO GRANDE",1,2018,6,232,348,47,6,6,7
"Centro","CS CÓRREGO GRANDE",1,2018,7,168,336,30,6,9,1
"Centro","CS ITACORUBI",0,2018,4,365,244,22,19,7,2
"Centro","CS ITACORUBI",0,2018,5,248,303,3,6,10,0
"Centro","CS ITACORUBI",0,2018,6,210,331,31,5,8,2
"Centro","CS ITACORUBI",0,2018,7,238,328,39,13,9,2
"Centro","CS ITACORUBI",1,2018,4,380,299,32,2,3,2
"Centro","CS ITACORUBI",1,2018,5,357,194,4,2,4,1
"Centro","CS ITACORUBI",1,2018,6,68,457,56,2,4,3
"Centro","CS ITACORUBI",1,2018,7,407,387,61,2,3,2
"Centro","CS ITACORUBI",2,2018,4,158,269,62,10,13,3
"Centro","CS ITACORUBI",2,2018,5,161,275,13,10,9,0
"Centro","CS ITACORUBI",2,2018,6,111,366,62,11,16,3
"Centro","CS ITACORUBI",2,2018,7,145,417,65,18,18,5
"Centro","CS ITACORUBI",3,2018,4,128,71,15,3,1,3
"Centro","CS ITACORUBI",3,2018,5,144,181,8,9,14,1
"Centro","CS ITACORUBI",3,2018,6,74,235,33,5,10,2
"Centro","CS ITACORUBI",3,2018,7,125,235,31,3,14,5
"Centro","CS JOÃO PAULO",0,2018,4,254,519,76,1,40,3
"Centro","CS JOÃO PAULO",0,2018,5,364,586,109,1,26,6
"Centro","CS JOÃO PAULO",0,2018,6,373,663,54,5,35,4
"Centro","CS JOÃO PAULO",0,2018,7,404,695,84,6,63,2
"Centro","CS JOÃO PAULO",1,2018,4,129,432,53,0,40,10
