"DISTRITO","UNIDADE","AREA","ANO","MES","GESTANTES","GESTANTES_7_CONS","GEST_TODOS_TRI","GEST_ODONTO"
"Centro","CS AGRONÔMICA",0,2018,4,11,10,8,2
"Centro","CS AGRONÔMICA",0,2018,5,4,4,3,2
"Centro","CS AGRONÔMICA",0,2018,6,2,1,0,1
"Centro","CS AGRONÔMICA",0,2018,7,6,5,5,0
"Centro","CS AGRONÔMICA",1,2018,4,6,6,3,1
"Centro","CS AGRONÔMICA",1,2018,5,3,3,3,0
"Centro","CS AGRONÔMICA",1,2018,6,2,2,1,0
"Centro","CS AGRONÔMICA",1,2018,7,4,4,4,0
"Centro","CS AGRONÔMICA",2,2018,4,4,3,3,3
"Centro","CS AGRONÔMICA",2,2018,5,1,1,1,0
"Centro","CS AGRONÔMICA",2,2018,6,2,1,1,1
"Centro","CS AGRONÔMICA",2,2018,7,3,2,1,1
"Centro","CS AGRONÔMICA",3,2018,4,5,3,3,1
"Centro","CS AGRONÔMICA",3,2018,5,3,3,2,1
"Centro","CS AGRONÔMICA",3,2018,6,8,7,4,3
"Centro","CS CENTRO",0,2018,4,3,1,1,0
"Centro","CS CENTRO",0,2018,5,3,3,2,1
"Centro","CS CENTRO",0,2018,6,2,0,0,0
"Centro","CS CENTRO",0,2018,7,6,3,1,2
"Centro","CS CENTRO",1,2018,7,1,1,1,0
"Centro","CS CENTRO",2,2018,5,1,1,0,0
"Centro","CS CENTRO",2,2018,7,1,0,0,0
"Centro","CS CÓRREGO GRANDE",0,2018,4,1,0,0,0
"Centro","CS CÓRREGO GRANDE",0,2018,5,2,2,1,0
"Centro","CS CÓRREGO GRANDE",0,2018,6,1,1,1,0
"Centro","CS CÓRREGO GRANDE",0,2018,7,3,2,1,1
"Centro","CS CÓRREGO GRANDE",1,2018,4,3,2,3,0
"Centro","CS CÓRREGO GRANDE",1,2018,5,2,1,1,1
"Centro","CS CÓRREGO GRANDE",1,2018,6,3,3,2,2
"Centro","CS CÓRREGO GRANDE",1,2018,7,3,2,2,0
"Centro","CS ITACORUBI",0,2018,4,2,1,1,1
"Centro","CS ITACORUBI",0,2018,5,2,1,2,1
"Centro","CS ITACORUBI",0,2018,7,1,0,0,0
"Centro","CS ITACORUBI",1,2018,4,4,4,3,1
"Centro","CS ITACORUBI",1,2018,5,2,2,2,1
"Centro","CS ITACORUBI",1,2018,6,1,1,1,0
"Centro","CS ITACORUBI",1,2018,7,1,1,1,0
"Centro","CS ITACORUBI",2,2018,4,4,4,3,1
"Centro","CS ITACORUBI",2,2018,5,4,3,3,1
"Centro","CS ITACORUBI",2,2018,7,4,4,4,1
"Centro","CS ITACORUBI",3,2018,4,1,1,1,0
"Centro","CS ITACORUBI",3,2018,5,2,2,2,1
"Centro","CS ITACORUBI",3,2018,6,1,0,1,0
"Centro","CS ITACORUBI",3,2018,7,2,1,0,0
"Centro","CS JOÃO PAULO",0,2018,4,4,3,3,1
"Centro","CS JOÃO PAULO",0,2018,5,1,1,1,0
"Centro","CS JOÃO PAULO",0,2018,6,1,1,0,0
"Centro","CS JOÃO PAULO",0,2018,7,2,2,1,0
"Centro","CS JOÃO PAULO",1,2018,4,4,4,3,0
"Centro","CS JOÃO PAULO",1,2018,6,1,1,1,0
"Centro","CS JOÃO PAULO",1,2018,7,2,2,2,2
"Centro","CS MONTE SERRAT",0,2018,4,2,2,2,0
"Centro","CS MONTE SERRAT",0,2018,5,8,6,5,1
"Centro","CS MONTE SERRAT",0,2018,6,3,3,3,1
"Centro","CS MONTE SERRAT",0,2018,7,1,1,0,0
"Centro","CS MONTE SERRAT",1,2018,5,1,0,0,0
"Centro","CS MONTE SERRAT",1,2018,7,2,2,1,0
"Centro","CS MONTE SERRAT",2,2018,4,11,10,7,2
"Centro","CS MONTE SERRAT",2,2018,5,3,1,1,0
"Centro","CS MONTE SERRAT",2,2018,6,2,2,2,1
"Centro","CS MONTE SERRAT",2,2018,7,3,3,3,0
"Centro","CS PANTANAL",0,2018,4,2,1,1,2
"Centro","CS PANTANAL",0,2018,5,1,0,1,0
"Centro","CS PANTANAL",0,2018,6,3,3,2,0
"Centro","CS PANTANAL",0,2018,7,1,1,0,1
"Centro","CS PANTANAL",1,2018,4,2,2,2,0
"Centro","CS PANTANAL",1,2018,5,2,2,2,1
