"DISTRITO","UNIDADE","AREA","ANO","MES","PRIM_CONS_ODO","TC","PROCEDIMENTOS"
"Centro","CS AGRONÔMICA",0,2018,4,25,21,255
"Centro","CS AGRONÔMICA",0,2018,5,26,20,399
"Centro","CS AGRONÔMICA",0,2018,6,41,26,417
"Centro","CS AGRONÔMICA",0,2018,7,42,46,338
"Centro","CS AGRONÔMICA",1,2018,4,18,6,142
"Centro","CS AGRONÔMICA",1,2018,5,23,14,221
"Centro","CS AGRONÔMICA",1,2018,6,39,20,222
"Centro","CS AGRONÔMICA",1,2018,7,39,12,218
"Centro","CS AGRONÔMICA",2,2018,4,14,12,160
"Centro","CS AGRONÔMICA",2,2018,5,12,8,215
"Centro","CS AGRONÔMICA",2,2018,6,29,20,208
"Centro","CS AGRONÔMICA",2,2018,7,20,13,169
"Centro","CS AGRONÔMICA",3,2018,4,19,21,256
"Centro","CS AGRONÔMICA",3,2018,5,20,19,280
"Centro","CS AGRONÔMICA",3,2018,6,18,22,238
"Centro","CS AGRONÔMICA",3,2018,7,16,12,140
"Centro","CS CENTRO",0,2018,4,25,14,193
"Centro","CS CENTRO",0,2018,5,26,10,155
"Centro","CS CENTRO",0,2018,6,13,13,137
"Centro","CS CENTRO",0,2018,7,25,18,138
"Centro","CS CENTRO",1,2018,4,14,4,62
"Centro","CS CENTRO",1,2018,5,7,6,79
"Centro","CS CENTRO",1,2018,6,1,3,24
"Centro","CS CENTRO",1,2018,7,7,6,41
"Centro","CS CENTRO",2,2018,4,15,7,97
"Centro","CS CENTRO",2,2018,5,4,9,81
"Centro","CS CENTRO",2,2018,6,3,1,40
"Centro","CS CENTRO",2,2018,7,7,17,97
"Centro","CS CÓRREGO GRANDE",0,2018,4,19,19,75
"Centro","CS CÓRREGO GRANDE",0,2018,5,22,18,172
"Centro","CS CÓRREGO GRANDE",0,2018,6,33,30,266
"Centro","CS CÓRREGO GRANDE",0,2018,7,6,4,61
"Centro","CS CÓRREGO GRANDE",1,2018,4,17,16,148
"Centro","CS CÓRREGO GRANDE",1,2018,5,24,20,141
"Centro","CS CÓRREGO GRANDE",1,2018,6,19,16,203
"Centro","CS CÓRREGO GRANDE",1,2018,7,7,6,72
"Centro","CS ITACORUBI",0,2018,4,3,2,49
"Centro","CS ITACORUBI",0,2018,5,0,0,2
"Centro","CS ITACORUBI",0,2018,6,0,0,40
"Centro","CS ITACORUBI",0,2018,7,0,0,33
"Centro","CS ITACORUBI",1,2018,4,3,1,33
"Centro","CS ITACORUBI",1,2018,5,2,1,13
"Centro","CS ITACORUBI",1,2018,6,5,3,69
"Centro","CS ITACORUBI",1,2018,7,1,3,70
"Centro","CS ITACORUBI",2,2018,4,17,4,106
"Centro","CS ITACORUBI",2,2018,5,2,0,16
"Centro","CS ITACORUBI",2,2018,6,1,2,80
"Centro","CS ITACORUBI",2,2018,7,0,0,68
"Centro","CS ITACORUBI",3,2018,4,2,0,19
"Centro","CS ITACORUBI",3,2018,5,1,0,23
"Centro","CS ITACORUBI",3,2018,6,0,0,39
"Centro","CS ITACORUBI",3,2018,7,0,1,29
"Centro","CS JOÃO PAULO",0,2018,4,3,10,129
"Centro","CS JOÃO PAULO",0,2018,5,0,19,127
"Centro","CS JOÃO PAULO",0,2018,6,7,6,79
"Centro","CS JOÃO PAULO",0,2018,7,0,8,100
"Centro","CS JOÃO PAULO",1,2018,4,16,10,159
"Centro","CS JOÃO PAULO",1,2018,5,0,3,31
"Centro","CS JOÃO PAULO",1,2018,6,21,7,141
"Centro","CS JOÃO PAULO",1,2018,7,1,5,54
"Centro","CS MONTE SERRAT",0,2018,4,13,6,100
"Centro","CS MONTE SERRAT",0,2018,5,4,3,64
"Centro","CS MONTE SERRAT",0,2018,6,9,6,74
"Centro","CS MONTE SERRAT",0,2018,7,7,3,60
"Centro","CS MONTE SERRAT",1,2018,4,9,2,36
"Centro","CS MONTE SERRAT",1,2018,5,5,3,62
"Centro","CS MONTE SERRAT",1,2018,6,7,6,53
"Centro","CS MONTE SERRAT",1,2018,7,4,5,59
"Centro","CS MONTE SERRAT",2,2018,4,13,5,110
"Centro","CS MONTE SERRAT",2,2018,5,11,7,92
"Centro","CS MONTE SERRAT",2,2018,6,6,5,99
"Centro","CS MONTE SERRAT",2,2018,7,12,7,105
"Centro","CS PANTANAL",0,2018,4,2,1,11
"Centro","CS PANTANAL",0,2018,5,17,12,70
