"DISTRITO","UNIDADE","AREA","ANO","MES","USU_MED_ENF","USU_ENF","USU_MED","USU_ODO","USU_TODOS_SERVICOS"
"Centro","CS AGRONÔMICA",0,2018,4,373,84,333,52,661
"Centro","CS AGRONÔMICA",0,2018,5,485,162,413,64,922
"Centro","CS AGRONÔMICA",0,2018,6,561,118,521,74,1110
"Centro","CS AGRONÔMICA",0,2018,7,363,231,237,88,916
"Centro","CS AGRONÔMICA",1,2018,4,286,94,251,35,518
"Centro","CS AGRONÔMICA",1,2018,5,364,113,323,42,665
"Centro","CS AGRONÔMICA",1,2018,6,456,173,397,59,845
"Centro","CS AGRONÔMICA",1,2018,7,426,163,375,61,733
"Centro","CS AGRONÔMICA",2,2018,4,219,36,206,38,547
"Centro","CS AGRONÔMICA",2,2018,5,354,149,318,38,791
"Centro","CS AGRONÔMICA",2,2018,6,416,158,382,58,902
"Centro","CS AGRONÔMICA",2,2018,7,389,116,354,51,789
"Centro","CS AGRONÔMICA",3,2018,4,309,67,285,50,588
"Centro","CS AGRONÔMICA",3,2018,5,453,139,392,46,816
"Centro","CS AGRONÔMICA",3,2018,6,503,153,452,51,960
"Centro","CS AGRONÔMICA",3,2018,7,513,152,466,50,947
"Centro","CS CENTRO",0,2018,4,464,205,373,57,775
"Centro","CS CENTRO",0,2018,5,434,224,318,50,1093
"Centro","CS CENTRO",0,2018,6,475,264,347,38,1171
"Centro","CS CENTRO",0,2018,7,540,314,405,55,1160
"Centro","CS CENTRO",1,2018,4,211,90,177,23,441
"Centro","CS CENTRO",1,2018,5,229,112,155,23,681
"Centro","CS CENTRO",1,2018,6,217,102,170,8,741
"Centro","CS CENTRO",1,2018,7,214,137,153,16,654
"Centro","CS CENTRO",2,2018,4,256,116,203,31,455
"Centro","CS CENTRO",2,2018,5,265,160,176,23,733
"Centro","CS CENTRO",2,2018,6,291,164,221,10,812
"Centro","CS CENTRO",2,2018,7,331,178,251,29,694
"Centro","CS CÓRREGO GRANDE",0,2018,4,191,118,131,26,537
"Centro","CS CÓRREGO GRANDE",0,2018,5,275,168,228,40,726
"Centro","CS CÓRREGO GRANDE",0,2018,6,347,183,281,51,761
"Centro","CS CÓRREGO GRANDE",0,2018,7,333,20,320,17,812
