"DISTRITO","UNIDADE","AREA","ANO","MES","CANTOPLASTIA","EXERESE_CISTO","DIU","RETIRADA_CERUME","SUTURA","EXO_DESCIDUO","BIOPSIA_BOCA","RASPAGEM_SUB","ADAPT_PROTESE"
"Centro","CS AGRONÔMICA",0,2018,4,3,0,0,0,0,0,0,0,0
"Centro","CS AGRONÔMICA",0,2018,5,1,0,0,0,0,1,0,0,0
"Centro","CS AGRONÔMICA",0,2018,6,2,0,0,1,1,3,0,1,0
"Centro","CS AGRONÔMICA",0,2018,7,0,0,0,2,0,3,0,0,0
"Centro","CS AGRONÔMICA",1,2018,4,0,0,2,0,1,0,0,1,0
"Centro","CS AGRONÔMICA",1,2018,5,0,1,0,0,0,0,0,0,0
"Centro","CS AGRONÔMICA",1,2018,6,0,0,1,0,0,0,0,1,1
"Centro","CS AGRONÔMICA",1,2018,7,0,2,0,0,0,0,0,0,0
"Centro","CS AGRONÔMICA",2,2018,4,0,0,0,0,0,0,0,0,0
"Centro","CS AGRONÔMICA",2,2018,5,1,0,1,2,0,3,0,0,0
"Centro","CS AGRONÔMICA",2,2018,6,0,0,0,0,0,2,0,0,0
"Centro","CS AGRONÔMICA",2,2018,7,1,0,0,0,0,5,0,0,0
"Centro","CS AGRONÔMICA",3,2018,4,1,0,2,0,0,3,0,0,0
"Centro","CS AGRONÔMICA",3,2018,5,0,0,1,2,0,4,0,0,0
"Centro","CS AGRONÔMICA",3,2018,6,0,1,0,0,1,4,0,0,0
"Centro","CS AGRONÔMICA",3,2018,7,0,1,2,1,0,4,0,1,0
"Centro","CS CENTRO",0,2018,4,0,0,0,1,0,0,0,1,1
"Centro","CS CENTRO",0,2018,5,0,1,0,1,0,1,0,1,0
"Centro","CS CENTRO",0,2018,6,0,0,0,0,0,0,0,2,0
"Centro","CS CENTRO",0,2018,7,0,0,0,0,0,1,0,1,1
"Centro","CS CENTRO",1,2018,4,0,0,0,0,0,0,0,0,0
