"DISTRITO","UNIDADE","AREA","ANO","MES","COD_PROCEDIMENTO","QUANTIDADE"
"Centro","CS AGRONÔMICA",0,2018,4,"0214010058",1
"Centro","CS AGRONÔMICA",0,2018,4,"0214010074",1
"Centro","CS AGRONÔMICA",0,2018,4,"0214010090",1
"Centro","CS AGRONÔMICA",0,2018,4,"0214010104",1
"Centro","CS AGRONÔMICA",1,2018,7,"0214010040",1
"Centro","CS AGRONÔMICA",1,2018,5,"0214010058",2
"Centro","CS AGRONÔMICA",1,2018,5,"0214010074",2
"Centro","CS AGRONÔMICA",1,2018,6,"0214010074",1
"Centro","CS AGRONÔMICA",1,2018,7,"0214010074",1
"Centro","CS AGRONÔMICA",1,2018,7,"0214010082",1
"Centro","CS AGRONÔMICA",1,2018,5,"0214010090",2
"Centro","CS AGRONÔMICA",1,2018,5,"0214010104",2
"Centro","CS AGRONÔMICA",2,2018,5,"0214010040",4
"Centro","CS AGRONÔMICA",2,2018,6,"0214010040",2
"Centro","CS AGRONÔMICA",2,2018,7,"0214010040",1
"Centro","CS AGRONÔMICA",2,2018,4,"0214010058",1
"Centro","CS AGRONÔMICA",2,2018,6,"0214010058",1
"Centro","CS AGRONÔMICA",2,2018,4,"0214010074",1
"Centro","CS AGRONÔMICA",2,2018,5,"0214010074",1
"Centro","CS AGRONÔMICA",2,2018,6,"0214010074",1
"Centro","CS AGRONÔMICA",2,2018,7,"0214010074",1
"Centro","CS AGRONÔMICA",2,2018,5,"0214010082",4
"Centro","CS AGRONÔMICA",2,2018,6,"0214010082",2
"Centro","CS AGRONÔMICA",2,2018,7,"0214010082",2
"Centro","CS AGRONÔMICA",2,2018,4,"0214010090",1
"Centro","CS AGRONÔMICA",2,2018,6,"0214010090",1
"Centro","CS AGRONÔMICA",2,2018,6,"0214010104",1
"Centro","CS AGRONÔMICA",3,2018,5,"0214010058",5
"Centro","CS AGRONÔMICA",3,2018,6,"0214010058",1
"Centro","CS AGRONÔMICA",3,2018,5,"0214010074",5
"Centro","CS AGRONÔMICA",3,2018,6,"0214010074",1
"Centro","CS AGRONÔMICA",3,2018,5,"0214010090",2
"Centro","CS AGRONÔMICA",3,2018,6,"0214010090",2
"Centro","CS AGRONÔMICA",3,2018,5,"0214010104",4
"Centro","CS AGRONÔMICA",3,2018,6,"0214010104",2
"Centro","CS CENTRO",0,2018,5,"0214010040",3
"Centro","CS CENTRO",0,2018,4,"0214010058",6
"Centro","CS CENTRO",0,2018,5,"0214010058",2
"Centro","CS CENTRO",0,2018,6,"0214010058",6
"Centro","CS CENTRO",0,2018,7,"0214010058",10
"Centro","CS CENTRO",0,2018,4,"0214010074",6
"Centro","CS CENTRO",0,2018,5,"0214010074",3
"Centro","CS CENTRO",0,2018,6,"0214010074",6
"Centro","CS CENTRO",0,2018,7,"0214010074",9
"Centro","CS CENTRO",0,2018,4,"0214010082",1
"Centro","CS CENTRO",0,2018,5,"0214010082",2
"Centro","CS CENTRO",0,2018,4,"0214010090",6
"Centro","CS CENTRO",0,2018,5,"0214010090",5
"Centro","CS CENTRO",0,2018,6,"0214010090",6
"Centro","CS CENTRO",0,2018,7,"0214010090",11
"Centro","CS CENTRO",0,2018,4,"0214010104",4
"Centro","CS CENTRO",0,2018,5,"0214010104",3
"Centro","CS CENTRO",0,2018,6,"0214010104",6
"Centro","CS CENTRO",0,2018,7,"0214010104",10
"Centro","CS CENTRO",1,2018,4,"0214010058",2
"Centro","CS CENTRO",1,2018,5,"0214010058",2
"Centro","CS CENTRO",1,2018,6,"0214010058",1
"Centro","CS CENTRO",1,2018,7,"0214010058",2
"Centro","CS CENTRO",1,2018,4,"0214010074",2
"Centro","CS CENTRO",1,2018,5,"0214010074",2
"Centro","CS CENTRO",1,2018,6,"0214010074",1
"Centro","CS CENTRO",1,2018,7,"0214010074",2
"Centro","CS CENTRO",1,2018,4,"0214010090",2
