UNIDADE,DISTRITO,AREA,INDICADOR,BIENIO,VALOR,X,Y,DESCRICAO
CS ABRAÃO,Continente,570,PACIENT_DIF,2013/2014,1527,-48.596048,-27.603667,"CS ABRAÃO - Coordenador: Sandra Elizabete Just. Horários: 08:00 - 12:00 / 13:00 - 17:00. Endereço: R. João Meirelles, s/n. . T: (48) 3249-5844 / 3249-5962<br>"
CS ABRAÃO,Continente,572,PACIENT_DIF,2015/2016,1082,-48.596048,-27.603667,"CS ABRAÃO - Coordenador: Sandra Elizabete Just. Horários: 08:00 - 12:00 / 13:00 - 17:00. Endereço: R. João Meirelles, s/n. . T: (48) 3249-5844 / 3249-5962<br>"
CS ABRAÃO,Continente,571,PACIENT_DIF,2015/2016,1323,-48.596048,-27.603667,"CS ABRAÃO - Coordenador: Sandra Elizabete Just. Horários: 08:00 - 12:00 / 13:00 - 17:00. Endereço: R. João Meirelles, s/n. . T: (48) 3249-5844 / 3249-5962<br>"
CS ABRAÃO,Continente,572,PACIENT_DIF,2013/2014,1053,-48.596048,-27.603667,"CS ABRAÃO - Coordenador: Sandra Elizabete Just. Horários: 08:00 - 12:00 / 13:00 - 17:00. Endereço: R. João Meirelles, s/n. . T: (48) 3249-5844 / 3249-5962<br>"
CS ABRAÃO,Continente,570,PACIENT_DIF,2015/2016,1576,-48.596048,-27.603667,"CS ABRAÃO - Coordenador: Sandra Elizabete Just. Horários: 08:00 - 12:00 / 13:00 - 17:00. Endereço: R. João Meirelles, s/n. . T: (48) 3249-5844 / 3249-5962<br>"
CS ABRAÃO,Continente,571,PACIENT_DIF,2013/2014,1261,-48.596048,-27.603667,"CS ABRAÃO - Coordenador: Sandra Elizabete Just. Horários: 08:00 - 12:00 / 13:00 - 17:00. Endereço: R. João Meirelles, s/n. . T: (48) 3249-5844 / 3249-5962<br>"
CS AGRONÔMICA,Centro,693,PACIENT_DIF,2013/2014,2255,-48.537053,-27.574558,"CS AGRONÔMICA - Coordenador: Vanessa Andrade. Horários: 08:00 - 12:00 / 13:00 - 17:00. Endereço: R. Rui Barbosa, s/n. . T: (48) 3228-1310 / 3228-1809<br>"
CS AGRONÔMICA,Centro,690,PACIENT_DIF,2015/2016,2547,-48.537053,-27.574558,"CS AGRONÔMICA - Coordenador: Vanessa Andrade. Horários: 08:00 - 12:00 / 13:00 - 17:00. Endereço: R. Rui Barbosa, s/n. . T: (48) 3228-1310 / 3228-1809<br>"
CS AGRONÔMICA,Centro,692,PACIENT_DIF,2015/2016,1905,-48.537053,-27.574558,"CS AGRONÔMICA - Coordenador: Vanessa Andrade. Horários: 08:00 - 12:00 / 13:00 - 17:00. Endereço: R. Rui Barbosa, s/n. . T: (48) 3228-1310 / 3228-1809<br>"
CS AGRONÔMICA,Centro,690,PACIENT_DIF,2013/2014,2616,-48.537053,-27.574558,"CS AGRONÔMICA - Coordenador: Vanessa Andrade. Horários: 08:00 - 12:00 / 13:00 - 17:00. Endereço: R. Rui Barbosa, s/n. . T: (48) 3228-1310 / 3228-1809<br>"
