"DISTRITO","UNIDADE","ANO","MES","QUANTIDADE","AREA"
"Centro","CS AGRONÔMICA",2018,4,12,690
"Centro","CS AGRONÔMICA",2018,5,4,690
"Centro","CS AGRONÔMICA",2018,6,6,690
"Centro","CS AGRONÔMICA",2018,7,18,690
"Centro","CS AGRONÔMICA",2018,4,4,691
"Centro","CS AGRONÔMICA",2018,5,5,691
"Centro","CS AGRONÔMICA",2018,6,3,691
"Centro","CS AGRONÔMICA",2018,7,12,691
"Centro","CS AGRONÔMICA",2018,4,2,692
"Centro","CS AGRONÔMICA",2018,5,4,692
"Centro","CS AGRONÔMICA",2018,6,10,692
"Centro","CS AGRONÔMICA",2018,7,7,692
"Centro","CS AGRONÔMICA",2018,4,7,693
"Centro","CS AGRONÔMICA",2018,5,3,693
"Centro","CS AGRONÔMICA",2018,6,9,693
"Centro","CS AGRONÔMICA",2018,7,6,693
"Centro","CS CENTRO",2018,4,1,950
"Centro","CS CENTRO",2018,5,7,950
"Centro","CS CENTRO",2018,6,9,950
"Centro","CS CENTRO",2018,7,12,950
"Centro","CS CENTRO",2018,4,1,951
"Centro","CS CENTRO",2018,5,2,951
"Centro","CS CENTRO",2018,6,6,951
"Centro","CS CENTRO",2018,7,2,951
"Centro","CS CENTRO",2018,4,4,952
"Centro","CS CENTRO",2018,5,9,952
"Centro","CS CENTRO",2018,6,13,952
"Centro","CS CENTRO",2018,7,12,952
"Centro","CS CÓRREGO GRANDE",2018,4,5,170
"Centro","CS CÓRREGO GRANDE",2018,5,6,170
"Centro","CS CÓRREGO GRANDE",2018,6,9,170
"Centro","CS CÓRREGO GRANDE",2018,7,11,170
"Centro","CS CÓRREGO GRANDE",2018,4,5,171
"Centro","CS CÓRREGO GRANDE",2018,5,4,171
"Centro","CS CÓRREGO GRANDE",2018,6,4,171
"Centro","CS CÓRREGO GRANDE",2018,7,10,171
"Centro","CS ITACORUBI",2018,5,4,190
"Centro","CS ITACORUBI",2018,6,8,190
"Centro","CS ITACORUBI",2018,7,5,190
"Centro","CS ITACORUBI",2018,4,3,191
"Centro","CS ITACORUBI",2018,5,6,191
"Centro","CS ITACORUBI",2018,6,7,191
"Centro","CS ITACORUBI",2018,7,4,191
"Centro","CS ITACORUBI",2018,4,8,192
"Centro","CS ITACORUBI",2018,5,2,192
"Centro","CS ITACORUBI",2018,6,8,192
"Centro","CS ITACORUBI",2018,7,2,192
"Centro","CS ITACORUBI",2018,4,2,193
"Centro","CS ITACORUBI",2018,5,2,193
"Centro","CS ITACORUBI",2018,6,6,193
"Centro","CS ITACORUBI",2018,7,7,193
"Centro","CS JOÃO PAULO",2018,4,1,320
"Centro","CS JOÃO PAULO",2018,5,2,320
"Centro","CS JOÃO PAULO",2018,6,5,320
"Centro","CS JOÃO PAULO",2018,7,8,320
"Centro","CS JOÃO PAULO",2018,4,1,321
"Centro","CS JOÃO PAULO",2018,5,1,321
"Centro","CS JOÃO PAULO",2018,6,3,321
"Centro","CS JOÃO PAULO",2018,7,2,321
"Centro","CS MONTE SERRAT",2018,4,4,120
"Centro","CS MONTE SERRAT",2018,5,4,120
"Centro","CS MONTE SERRAT",2018,6,6,120
"Centro","CS MONTE SERRAT",2018,7,5,120
"Centro","CS MONTE SERRAT",2018,4,4,121
"Centro","CS MONTE SERRAT",2018,5,6,121
"Centro","CS MONTE SERRAT",2018,6,2,121
"Centro","CS MONTE SERRAT",2018,7,6,121
"Centro","CS MONTE SERRAT",2018,4,4,122
"Centro","CS MONTE SERRAT",2018,5,6,122
"Centro","CS MONTE SERRAT",2018,6,6,122
"Centro","CS MONTE SERRAT",2018,7,7,122
"Centro","CS PANTANAL",2018,4,10,160
"Centro","CS PANTANAL",2018,5,11,160
"Centro","CS PANTANAL",2018,6,27,160
"Centro","CS PANTANAL",2018,7,9,160
"Centro","CS PANTANAL",2018,4,9,161
"Centro","CS PANTANAL",2018,5,13,161
"Centro","CS PANTANAL",2018,6,15,161
"Centro","CS PANTANAL",2018,7,22,161
"Centro","CS PRAINHA",2018,4,8,130
"Centro","CS PRAINHA",2018,5,6,130
"Centro","CS PRAINHA",2018,6,7,130
"Centro","CS PRAINHA",2018,7,13,130
"Centro","CS PRAINHA",2018,4,10,131
"Centro","CS PRAINHA",2018,5,8,131
"Centro","CS PRAINHA",2018,6,18,131
"Centro","CS PRAINHA",2018,7,13,131
"Centro","CS PRAINHA",2018,4,12,132
"Centro","CS PRAINHA",2018,5,10,132
"Centro","CS PRAINHA",2018,6,12,132
"Centro","CS PRAINHA",2018,7,20,132
"Centro","CS SACO DOS LIMÕES",2018,4,2,310
"Centro","CS SACO DOS LIMÕES",2018,5,7,310
"Centro","CS SACO DOS LIMÕES",2018,6,13,310
"Centro","CS SACO DOS LIMÕES",2018,7,17,310
"Centro","CS SACO DOS LIMÕES",2018,4,13,311
"Centro","CS SACO DOS LIMÕES",2018,5,16,311
"Centro","CS SACO DOS LIMÕES",2018,6,15,311
"Centro","CS SACO DOS LIMÕES",2018,7,18,311
"Centro","CS SACO DOS LIMÕES",2018,4,15,312
"Centro","CS SACO DOS LIMÕES",2018,5,28,312
"Centro","CS SACO DOS LIMÕES",2018,6,43,312
"Centro","CS SACO DOS LIMÕES",2018,7,25,312
"Centro","CS SACO DOS LIMÕES",2018,4,4,313
"Centro","CS SACO DOS LIMÕES",2018,5,2,313
"Centro","CS SACO DOS LIMÕES",2018,6,1,313
"Centro","CS SACO DOS LIMÕES",2018,7,5,313
"Centro","CS SACO DOS LIMÕES",2018,5,1,314
"Centro","CS TRINDADE",2018,4,7,850
"Centro","CS TRINDADE",2018,5,2,850
"Centro","CS TRINDADE",2018,6,12,850
"Centro","CS TRINDADE",2018,7,8,850
"Centro","CS TRINDADE",2018,4,8,851
"Centro","CS TRINDADE",2018,5,10,851
"Centro","CS TRINDADE",2018,6,21,851
"Centro","CS TRINDADE",2018,7,21,851
"Centro","CS TRINDADE",2018,4,3,852
"Centro","CS TRINDADE",2018,5,11,852
"Centro","CS TRINDADE",2018,6,11,852
"Centro","CS TRINDADE",2018,7,11,852
"Centro","CS TRINDADE",2018,4,7,853
"Centro","CS TRINDADE",2018,5,8,853
"Centro","CS TRINDADE",2018,6,13,853
"Centro","CS TRINDADE",2018,7,14,853
"Centro","CS TRINDADE",2018,4,10,854
"Centro","CS TRINDADE",2018,5,2,854
"Centro","CS TRINDADE",2018,6,14,854
"Centro","CS TRINDADE",2018,7,13,854
"Continente","CS ABRAÃO",2018,5,1,570
"Continente","CS ABRAÃO",2018,6,1,570
"Continente","CS ABRAÃO",2018,7,6,570
"Continente","CS ABRAÃO",2018,5,1,571
"Continente","CS ABRAÃO",2018,6,4,571
"Continente","CS ABRAÃO",2018,7,1,571
"Continente","CS ABRAÃO",2018,4,2,572
"Continente","CS ABRAÃO",2018,5,5,572
"Continente","CS ABRAÃO",2018,6,2,572
"Continente","CS ABRAÃO",2018,7,1,572
"Continente","CS BALNEÁRIO",2018,4,1,20
"Continente","CS BALNEÁRIO",2018,7,1,20
"Continente","CS BALNEÁRIO",2018,4,1,21
"Continente","CS BALNEÁRIO",2018,5,1,21
"Continente","CS BALNEÁRIO",2018,7,1,21
"Continente","CS CAPOEIRAS",2018,4,2,60
"Continente","CS CAPOEIRAS",2018,5,1,60
"Continente","CS CAPOEIRAS",2018,6,4,60
"Continente","CS CAPOEIRAS",2018,7,2,60
"Continente","CS CAPOEIRAS",2018,4,2,61
"Continente","CS CAPOEIRAS",2018,5,1,61
"Continente","CS CAPOEIRAS",2018,7,3,61
"Continente","CS CAPOEIRAS",2018,6,2,62
"Continente","CS CAPOEIRAS",2018,7,1,62
"Continente","CS COLONINHA",2018,4,2,70
"Continente","CS COLONINHA",2018,6,4,70
"Continente","CS COLONINHA",2018,7,2,70
"Continente","CS COLONINHA",2018,4,2,71
"Continente","CS COLONINHA",2018,7,1,71
"Continente","CS COLONINHA",2018,5,1,72
"Continente","CS COLONINHA",2018,7,1,72
"Continente","CS COQUEIROS",2018,4,4,600
"Continente","CS COQUEIROS",2018,7,2,600
"Continente","CS COQUEIROS",2018,6,4,601
"Continente","CS COQUEIROS",2018,7,4,601
"Continente","CS COQUEIROS",2018,4,3,602
"Continente","CS COQUEIROS",2018,5,1,602
"Continente","CS COQUEIROS",2018,6,4,602
"Continente","CS COQUEIROS",2018,7,2,602
"Continente","CS ESTREITO",2018,7,2,80
"Continente","CS ESTREITO",2018,6,2,81
"Continente","CS ESTREITO",2018,5,2,82
"Continente","CS ESTREITO",2018,7,2,82
"Continente","CS ESTREITO",2018,6,2,83
"Continente","CS JARDIM ATLÂNTICO",2018,4,1,10
"Continente","CS JARDIM ATLÂNTICO",2018,5,2,10
"Continente","CS JARDIM ATLÂNTICO",2018,6,1,10
"Continente","CS JARDIM ATLÂNTICO",2018,7,3,10
"Continente","CS JARDIM ATLÂNTICO",2018,5,1,11
"Continente","CS JARDIM ATLÂNTICO",2018,6,4,11
"Continente","CS JARDIM ATLÂNTICO",2018,7,2,11
"Continente","CS MONTE CRISTO",2018,4,2,40
"Continente","CS MONTE CRISTO",2018,7,2,40
"Continente","CS MONTE CRISTO",2018,5,3,41
"Continente","CS MONTE CRISTO",2018,4,1,42
"Continente","CS MONTE CRISTO",2018,6,4,42
"Continente","CS MONTE CRISTO",2018,7,1,42
"Continente","CS MONTE CRISTO",2018,4,1,43
"Continente","CS MONTE CRISTO",2018,6,1,43
"Continente","CS MONTE CRISTO",2018,7,1,43
"Continente","CS MONTE CRISTO",2018,5,1,44
"Continente","CS MONTE CRISTO",2018,6,2,44
"Continente","CS MONTE CRISTO",2018,7,1,44
"Continente","CS MONTE CRISTO",2018,6,3,45
"Continente","CS MONTE CRISTO",2018,7,3,45
"Continente","CS NOVO CONTINENTE",2018,5,1,100
"Continente","CS NOVO CONTINENTE",2018,7,2,100
"Continente","CS NOVO CONTINENTE",2018,4,1,101
"Continente","CS NOVO CONTINENTE",2018,5,2,101
"Continente","CS NOVO CONTINENTE",2018,6,1,101
"Continente","CS NOVO CONTINENTE",2018,4,1,102
"Continente","CS NOVO CONTINENTE",2018,6,3,102
"Continente","CS NOVO CONTINENTE",2018,7,1,102
"Continente","CS SAPE",2018,4,5,30
"Continente","CS SAPE",2018,7,2,30
"Continente","CS SAPE",2018,6,1,31
"Continente","CS SAPE",2018,7,1,31
"Continente","CS VILA APARECIDA",2018,6,3,90
"Continente","CS VILA APARECIDA",2018,7,1,90
"Continente","CS VILA APARECIDA",2018,5,1,91
"Continente","CS VILA APARECIDA",2018,6,6,91
"Continente","CS VILA APARECIDA",2018,7,4,91
"Norte","CS BARRA DA LAGOA",2018,4,7,440
"Norte","CS BARRA DA LAGOA",2018,5,12,440
"Norte","CS BARRA DA LAGOA",2018,6,22,440
"Norte","CS BARRA DA LAGOA",2018,7,18,440
"Norte","CS BARRA DA LAGOA",2018,4,9,441
"Norte","CS BARRA DA LAGOA",2018,5,13,441
"Norte","CS BARRA DA LAGOA",2018,6,28,441
"Norte","CS BARRA DA LAGOA",2018,7,19,441
"Norte","CS BARRA DA LAGOA",2018,4,2,442
"Norte","CS BARRA DA LAGOA",2018,5,7,442
"Norte","CS BARRA DA LAGOA",2018,6,7,442
"Norte","CS BARRA DA LAGOA",2018,7,9,442
"Norte","CS CACHOEIRA BOM JESUS",2018,4,42,400
"Norte","CS CACHOEIRA BOM JESUS",2018,5,53,400
"Norte","CS CACHOEIRA BOM JESUS",2018,6,64,400
"Norte","CS CACHOEIRA BOM JESUS",2018,7,90,400
"Norte","CS CACHOEIRA BOM JESUS",2018,4,26,401
"Norte","CS CACHOEIRA BOM JESUS",2018,5,36,401
"Norte","CS CACHOEIRA BOM JESUS",2018,6,65,401
"Norte","CS CACHOEIRA BOM JESUS",2018,7,107,401
"Norte","CS CANASVIEIRAS",2018,4,42,380
"Norte","CS CANASVIEIRAS",2018,5,64,380
"Norte","CS CANASVIEIRAS",2018,6,91,380
"Norte","CS CANASVIEIRAS",2018,7,95,380
"Norte","CS CANASVIEIRAS",2018,4,43,381
"Norte","CS CANASVIEIRAS",2018,5,52,381
"Norte","CS CANASVIEIRAS",2018,6,94,381
"Norte","CS CANASVIEIRAS",2018,7,118,381
"Norte","CS CANASVIEIRAS",2018,4,29,382
"Norte","CS CANASVIEIRAS",2018,5,61,382
"Norte","CS CANASVIEIRAS",2018,6,111,382
"Norte","CS CANASVIEIRAS",2018,7,88,382
"Norte","CS CANASVIEIRAS",2018,4,28,383
"Norte","CS CANASVIEIRAS",2018,5,29,383
"Norte","CS CANASVIEIRAS",2018,6,65,383
"Norte","CS CANASVIEIRAS",2018,7,77,383
"Norte","CS CANASVIEIRAS",2018,4,50,384
"Norte","CS CANASVIEIRAS",2018,5,70,384
"Norte","CS CANASVIEIRAS",2018,6,119,384
"Norte","CS CANASVIEIRAS",2018,7,138,384
"Norte","CS INGLESES",2018,4,34,431
"Norte","CS INGLESES",2018,5,38,431
"Norte","CS INGLESES",2018,6,51,431
"Norte","CS INGLESES",2018,7,54,431
"Norte","CS INGLESES",2018,4,41,432
"Norte","CS INGLESES",2018,5,78,432
"Norte","CS INGLESES",2018,6,119,432
"Norte","CS INGLESES",2018,7,116,432
"Norte","CS INGLESES",2018,4,25,433
"Norte","CS INGLESES",2018,5,41,433
"Norte","CS INGLESES",2018,6,88,433
"Norte","CS INGLESES",2018,7,107,433
"Norte","CS INGLESES",2018,4,22,434
"Norte","CS INGLESES",2018,5,26,434
"Norte","CS INGLESES",2018,6,49,434
"Norte","CS INGLESES",2018,7,75,434
"Norte","CS INGLESES",2018,4,36,435
"Norte","CS INGLESES",2018,5,37,435
"Norte","CS INGLESES",2018,6,87,435
"Norte","CS INGLESES",2018,7,87,435
"Norte","CS INGLESES",2018,4,27,436
"Norte","CS INGLESES",2018,5,49,436
"Norte","CS INGLESES",2018,6,79,436
"Norte","CS INGLESES",2018,7,94,436
"Norte","CS INGLESES",2018,4,12,437
"Norte","CS INGLESES",2018,5,14,437
"Norte","CS INGLESES",2018,6,18,437
"Norte","CS INGLESES",2018,7,33,437
"Norte","CS INGLESES",2018,4,5,438
"Norte","CS INGLESES",2018,5,14,438
"Norte","CS INGLESES",2018,6,27,438
"Norte","CS INGLESES",2018,7,21,438
"Norte","CS JURERE",2018,4,10,390
"Norte","CS JURERE",2018,5,43,390
"Norte","CS JURERE",2018,6,60,390
"Norte","CS JURERE",2018,7,66,390
"Norte","CS PONTA DAS CANAS",2018,4,17,370
"Norte","CS PONTA DAS CANAS",2018,5,27,370
"Norte","CS PONTA DAS CANAS",2018,6,48,370
"Norte","CS PONTA DAS CANAS",2018,7,39,370
"Norte","CS PONTA DAS CANAS",2018,4,8,371
"Norte","CS PONTA DAS CANAS",2018,5,10,371
"Norte","CS PONTA DAS CANAS",2018,6,23,371
"Norte","CS PONTA DAS CANAS",2018,7,18,371
"Norte","CS RATONES",2018,4,12,350
"Norte","CS RATONES",2018,5,12,350
"Norte","CS RATONES",2018,6,27,350
"Norte","CS RATONES",2018,7,28,350
"Norte","CS RATONES",2018,4,10,351
"Norte","CS RATONES",2018,5,8,351
"Norte","CS RATONES",2018,6,18,351
"Norte","CS RATONES",2018,7,13,351
"Norte","CS RIO VERMELHO",2018,4,22,420
"Norte","CS RIO VERMELHO",2018,5,49,420
"Norte","CS RIO VERMELHO",2018,6,82,420
"Norte","CS RIO VERMELHO",2018,7,85,420
"Norte","CS RIO VERMELHO",2018,4,24,421
"Norte","CS RIO VERMELHO",2018,5,30,421
"Norte","CS RIO VERMELHO",2018,6,54,421
"Norte","CS RIO VERMELHO",2018,7,49,421
"Norte","CS RIO VERMELHO",2018,4,16,422
"Norte","CS RIO VERMELHO",2018,5,30,422
"Norte","CS RIO VERMELHO",2018,6,31,422
"Norte","CS RIO VERMELHO",2018,7,44,422
"Norte","CS RIO VERMELHO",2018,4,29,423
"Norte","CS RIO VERMELHO",2018,5,34,423
"Norte","CS RIO VERMELHO",2018,6,68,423
"Norte","CS RIO VERMELHO",2018,7,62,423
"Norte","CS RIO VERMELHO",2018,4,10,424
"Norte","CS RIO VERMELHO",2018,5,29,424
"Norte","CS RIO VERMELHO",2018,6,42,424
"Norte","CS RIO VERMELHO",2018,7,45,424
"Norte","CS SACO GRANDE",2018,4,8,330
"Norte","CS SACO GRANDE",2018,5,4,330
"Norte","CS SACO GRANDE",2018,6,10,330
"Norte","CS SACO GRANDE",2018,7,11,330
"Norte","CS SACO GRANDE",2018,4,3,331
"Norte","CS SACO GRANDE",2018,5,7,331
"Norte","CS SACO GRANDE",2018,6,22,331
"Norte","CS SACO GRANDE",2018,7,10,331
"Norte","CS SACO GRANDE",2018,4,12,332
"Norte","CS SACO GRANDE",2018,5,7,332
"Norte","CS SACO GRANDE",2018,6,9,332
"Norte","CS SACO GRANDE",2018,7,15,332
"Norte","CS SACO GRANDE",2018,4,8,333
"Norte","CS SACO GRANDE",2018,5,7,333
"Norte","CS SACO GRANDE",2018,6,12,333
"Norte","CS SACO GRANDE",2018,7,12,333
"Norte","CS SACO GRANDE",2018,5,6,334
"Norte","CS SACO GRANDE",2018,6,5,334
"Norte","CS SACO GRANDE",2018,7,5,334
"Norte","CS SACO GRANDE",2018,4,11,335
"Norte","CS SACO GRANDE",2018,5,8,335
"Norte","CS SACO GRANDE",2018,6,9,335
"Norte","CS SACO GRANDE",2018,7,18,335
"Norte","CS SANTINHO",2018,4,25,980
"Norte","CS SANTINHO",2018,5,37,980
"Norte","CS SANTINHO",2018,6,75,980
"Norte","CS SANTINHO",2018,7,64,980
"Norte","CS SANTINHO",2018,4,25,981
"Norte","CS SANTINHO",2018,5,35,981
"Norte","CS SANTINHO",2018,6,66,981
"Norte","CS SANTINHO",2018,7,74,981
"Norte","CS SANTO ANTONIO LISBOA",2018,4,20,360
"Norte","CS SANTO ANTONIO LISBOA",2018,5,13,360
"Norte","CS SANTO ANTONIO LISBOA",2018,6,15,360
"Norte","CS SANTO ANTONIO LISBOA",2018,7,46,360
"Norte","CS SANTO ANTONIO LISBOA",2018,4,34,361
"Norte","CS SANTO ANTONIO LISBOA",2018,5,11,361
"Norte","CS SANTO ANTONIO LISBOA",2018,6,26,361
"Norte","CS SANTO ANTONIO LISBOA",2018,7,43,361
"Norte","CS VARGEM GRANDE",2018,4,55,410
"Norte","CS VARGEM GRANDE",2018,5,73,410
"Norte","CS VARGEM GRANDE",2018,6,95,410
"Norte","CS VARGEM GRANDE",2018,7,103,410
