"DISTRITO","UNIDADE","TRIMESTRE","VALOR"
"Continente","CS ABRAÃO","2018 Q2",16
"Centro","CS AGRONÔMICA","2018 Q2",69
"Sul","CS ALTO RIBEIRÃO","2018 Q2",216
"Sul","CS ARMAÇÃO","2018 Q2",123
"Continente","CS BALNEÁRIO","2018 Q2",3
"Norte","CS BARRA DA LAGOA","2018 Q2",107
"Norte","CS CACHOEIRA BOM JESUS","2018 Q2",286
"Sul","CS CAIEIRA BARRA DO SUL","2018 Q2",44
"Sul","CS CAMPECHE","2018 Q2",429
"Norte","CS CANASVIEIRAS","2018 Q2",948
"Sul","CS CANTO DA LAGOA","2018 Q2",74
"Continente","CS CAPOEIRAS","2018 Q2",12
"Sul","CS CARIANOS","2018 Q2",101
"Centro","CS CENTRO","2018 Q2",52
"Continente","CS COLONINHA","2018 Q2",9
"Continente","CS COQUEIROS","2018 Q2",16
"Centro","CS CÓRREGO GRANDE","2018 Q2",33
"Sul","CS COSTA DA LAGOA","2018 Q2",10
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2018 Q2",269
"Continente","CS ESTREITO","2018 Q2",6
"Sul","CS FAZENDA DO RIO TAVARES","2018 Q2",408
"Norte","CS INGLESES","2018 Q2",1017
"Centro","CS ITACORUBI","2018 Q2",56
"Continente","CS JARDIM ATLÂNTICO","2018 Q2",9
"Centro","CS JOÃO PAULO","2018 Q2",13
"Norte","CS JURERE","2018 Q2",113
"Sul","CS LAGOA DA CONCEIÇÃO","2018 Q2",110
"Continente","CS MONTE CRISTO","2018 Q2",18
"Centro","CS MONTE SERRAT","2018 Q2",42
"Sul","CS MORRO DAS PEDRAS","2018 Q2",354
"Continente","CS NOVO CONTINENTE","2018 Q2",9
"Centro","CS PANTANAL","2018 Q2",85
"Sul","CS PANTANO DO SUL","2018 Q2",50
"Norte","CS PONTA DAS CANAS","2018 Q2",133
"Centro","CS PRAINHA","2018 Q2",91
"Norte","CS RATONES","2018 Q2",87
"Sul","CS RIBEIRÃO DA ILHA","2018 Q2",68
"Sul","CS RIO TAVARES","2018 Q2",276
"Norte","CS RIO VERMELHO","2018 Q2",550
"Centro","CS SACO DOS LIMÕES","2018 Q2",160
"Norte","CS SACO GRANDE","2018 Q2",148
"Norte","CS SANTINHO","2018 Q2",263
"Norte","CS SANTO ANTONIO LISBOA","2018 Q2",119
"Continente","CS SAPE","2018 Q2",6
"Sul","CS TAPERA","2018 Q2",348
"Centro","CS TRINDADE","2018 Q2",139
"Norte","CS VARGEM GRANDE","2018 Q2",223
"Norte","CS VARGEM PEQUENA","2018 Q2",66
"Continente","CS VILA APARECIDA","2018 Q2",10
"Continente","CS ABRAÃO","2013 Q1",53
"Centro","CS AGRONÔMICA","2013 Q1",282
"Sul","CS ALTO RIBEIRÃO","2013 Q1",325
"Sul","CS ARMAÇÃO","2013 Q1",301
"Continente","CS BALNEÁRIO","2013 Q1",19
"Norte","CS BARRA DA LAGOA","2013 Q1",183
"Norte","CS CACHOEIRA BOM JESUS","2013 Q1",499
"Sul","CS CAIEIRA BARRA DO SUL","2013 Q1",112
"Sul","CS CAMPECHE","2013 Q1",695
"Norte","CS CANASVIEIRAS","2013 Q1",1256
"Sul","CS CANTO DA LAGOA","2013 Q1",86
"Continente","CS CAPOEIRAS","2013 Q1",46
"Sul","CS CARIANOS","2013 Q1",309
"Centro","CS CENTRO","2013 Q1",159
"Continente","CS COLONINHA","2013 Q1",43
"Continente","CS COQUEIROS","2013 Q1",55
"Centro","CS CÓRREGO GRANDE","2013 Q1",76
"Sul","CS COSTA DA LAGOA","2013 Q1",17
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2013 Q1",723
"Continente","CS ESTREITO","2013 Q1",51
"Sul","CS FAZENDA DO RIO TAVARES","2013 Q1",628
"Norte","CS INGLESES","2013 Q1",1229
"Centro","CS ITACORUBI","2013 Q1",137
"Continente","CS JARDIM ATLÂNTICO","2013 Q1",34
"Centro","CS JOÃO PAULO","2013 Q1",44
"Norte","CS JURERE","2013 Q1",172
"Sul","CS LAGOA DA CONCEIÇÃO","2013 Q1",217
"Continente","CS MONTE CRISTO","2013 Q1",79
"Centro","CS MONTE SERRAT","2013 Q1",118
"Sul","CS MORRO DAS PEDRAS","2013 Q1",556
"Continente","CS NOVO CONTINENTE","2013 Q1",69
"Centro","CS PANTANAL","2013 Q1",83
"Sul","CS PANTANO DO SUL","2013 Q1",170
"Norte","CS PONTA DAS CANAS","2013 Q1",217
"Centro","CS PRAINHA","2013 Q1",256
"Norte","CS RATONES","2013 Q1",196
"Sul","CS RIBEIRÃO DA ILHA","2013 Q1",139
"Sul","CS RIO TAVARES","2013 Q1",420
"Norte","CS RIO VERMELHO","2013 Q1",803
"Centro","CS SACO DOS LIMÕES","2013 Q1",451
"Norte","CS SACO GRANDE","2013 Q1",229
"Norte","CS SANTINHO","2013 Q1",370
"Norte","CS SANTO ANTONIO LISBOA","2013 Q1",171
"Continente","CS SAPE","2013 Q1",31
"Sul","CS TAPERA","2013 Q1",691
"Centro","CS TRINDADE","2013 Q1",244
"Norte","CS VARGEM GRANDE","2013 Q1",179
"Norte","CS VARGEM PEQUENA","2013 Q1",101
"Continente","CS VILA APARECIDA","2013 Q1",27
"Continente","CS ABRAÃO","2013 Q2",43
"Centro","CS AGRONÔMICA","2013 Q2",251
"Sul","CS ALTO RIBEIRÃO","2013 Q2",301
"Sul","CS ARMAÇÃO","2013 Q2",255
"Continente","CS BALNEÁRIO","2013 Q2",11
"Norte","CS BARRA DA LAGOA","2013 Q2",130
"Norte","CS CACHOEIRA BOM JESUS","2013 Q2",579
"Sul","CS CAIEIRA BARRA DO SUL","2013 Q2",74
"Sul","CS CAMPECHE","2013 Q2",559
"Norte","CS CANASVIEIRAS","2013 Q2",1453
"Sul","CS CANTO DA LAGOA","2013 Q2",75
"Continente","CS CAPOEIRAS","2013 Q2",33
"Sul","CS CARIANOS","2013 Q2",245
"Centro","CS CENTRO","2013 Q2",131
"Continente","CS COLONINHA","2013 Q2",36
"Continente","CS COQUEIROS","2013 Q2",52
"Centro","CS CÓRREGO GRANDE","2013 Q2",60
"Sul","CS COSTA DA LAGOA","2013 Q2",15
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2013 Q2",631
"Continente","CS ESTREITO","2013 Q2",40
"Sul","CS FAZENDA DO RIO TAVARES","2013 Q2",532
"Norte","CS INGLESES","2013 Q2",1457
"Centro","CS ITACORUBI","2013 Q2",147
"Continente","CS JARDIM ATLÂNTICO","2013 Q2",23
"Centro","CS JOÃO PAULO","2013 Q2",50
"Norte","CS JURERE","2013 Q2",212
"Sul","CS LAGOA DA CONCEIÇÃO","2013 Q2",177
"Continente","CS MONTE CRISTO","2013 Q2",65
"Centro","CS MONTE SERRAT","2013 Q2",96
"Sul","CS MORRO DAS PEDRAS","2013 Q2",454
"Continente","CS NOVO CONTINENTE","2013 Q2",46
"Centro","CS PANTANAL","2013 Q2",69
"Sul","CS PANTANO DO SUL","2013 Q2",132
"Norte","CS PONTA DAS CANAS","2013 Q2",324
"Centro","CS PRAINHA","2013 Q2",225
"Norte","CS RATONES","2013 Q2",207
"Sul","CS RIBEIRÃO DA ILHA","2013 Q2",93
