"DISTRITO","TRIMESTRE","VALOR"
"Centro","2018 Q2",740
"Continente","2018 Q2",114
"Norte","2018 Q2",4060
"Sul","2018 Q2",2880
"Centro","2013 Q1",1850
"Continente","2013 Q1",507
"Norte","2013 Q1",5605
"Sul","2013 Q1",5389
"Centro","2013 Q2",1752
"Continente","2013 Q2",391
"Norte","2013 Q2",6520
"Sul","2013 Q2",4474
"Centro","2013 Q3",1812
"Continente","2013 Q3",439
"Norte","2013 Q3",7313
"Sul","2013 Q3",4591
"Centro","2013 Q4",1418
"Continente","2013 Q4",400
"Norte","2013 Q4",6650
"Sul","2013 Q4",3437
"Centro","2014 Q1",1606
"Continente","2014 Q1",386
"Norte","2014 Q1",6734
"Sul","2014 Q1",4092
"Centro","2014 Q2",1486
"Continente","2014 Q2",331
"Norte","2014 Q2",6535
"Sul","2014 Q2",3907
"Centro","2014 Q3",1754
"Continente","2014 Q3",371
"Norte","2014 Q3",7212
"Sul","2014 Q3",4547
"Centro","2014 Q4",1619
"Continente","2014 Q4",332
"Norte","2014 Q4",6908
"Sul","2014 Q4",4626
"Centro","2015 Q1",1577
"Continente","2015 Q1",321
"Norte","2015 Q1",6866
"Sul","2015 Q1",4397
"Centro","2015 Q2",1230
"Continente","2015 Q2",253
"Norte","2015 Q2",6091
"Sul","2015 Q2",3435
"Centro","2015 Q3",1566
"Continente","2015 Q3",271
"Norte","2015 Q3",7581
"Sul","2015 Q3",4670
"Centro","2015 Q4",1333
"Continente","2015 Q4",284
"Norte","2015 Q4",6532
"Sul","2015 Q4",4448
"Centro","2016 Q1",1130
"Continente","2016 Q1",239
"Norte","2016 Q1",4961
"Sul","2016 Q1",3625
"Centro","2016 Q2",1388
"Continente","2016 Q2",300
"Norte","2016 Q2",6646
"Sul","2016 Q2",4432
"Centro","2016 Q3",1303
"Continente","2016 Q3",263
"Norte","2016 Q3",6664
"Sul","2016 Q3",4753
"Centro","2016 Q4",1159
"Continente","2016 Q4",232
"Norte","2016 Q4",6281
"Sul","2016 Q4",4029
"Centro","2017 Q1",700
"Continente","2017 Q1",137
"Norte","2017 Q1",3400
"Sul","2017 Q1",2433
"Centro","2017 Q2",1175
"Continente","2017 Q2",238
"Norte","2017 Q2",5979
"Sul","2017 Q2",4390
"Centro","2017 Q3",1301
"Continente","2017 Q3",212
"Norte","2017 Q3",6271
"Sul","2017 Q3",4204
"Centro","2017 Q4",872
"Continente","2017 Q4",138
"Norte","2017 Q4",3628
"Sul","2017 Q4",3054
"Centro","2018 Q1",1036
"Continente","2018 Q1",146
"Norte","2018 Q1",5170
"Sul","2018 Q1",3785
