"DISTRITO","UNIDADE","AREA","TRIMESTRE","VALOR"
"Continente","CS JARDIM ATLÂNTICO",10,"2013 Q1",17
"Continente","CS NOVO CONTINENTE",100,"2013 Q1",21
"Continente","CS NOVO CONTINENTE",101,"2013 Q1",19
"Continente","CS NOVO CONTINENTE",102,"2013 Q1",20
"Continente","CS NOVO CONTINENTE",103,"2013 Q1",9
"Continente","CS JARDIM ATLÂNTICO",11,"2013 Q1",17
"Centro","CS MONTE SERRAT",120,"2013 Q1",47
"Centro","CS MONTE SERRAT",121,"2013 Q1",38
"Centro","CS MONTE SERRAT",122,"2013 Q1",33
"Centro","CS PRAINHA",130,"2013 Q1",77
"Centro","CS PRAINHA",131,"2013 Q1",85
"Centro","CS PRAINHA",132,"2013 Q1",94
"Centro","CS PANTANAL",160,"2013 Q1",51
"Centro","CS PANTANAL",161,"2013 Q1",32
"Centro","CS CÓRREGO GRANDE",170,"2013 Q1",31
"Centro","CS CÓRREGO GRANDE",171,"2013 Q1",21
"Centro","CS CÓRREGO GRANDE",172,"2013 Q1",24
"Centro","CS ITACORUBI",190,"2013 Q1",38
"Centro","CS ITACORUBI",191,"2013 Q1",42
"Centro","CS ITACORUBI",192,"2013 Q1",38
"Centro","CS ITACORUBI",193,"2013 Q1",19
"Continente","CS BALNEÁRIO",20,"2013 Q1",10
"Sul","CS CAIEIRA BARRA DO SUL",200,"2013 Q1",112
"Continente","CS BALNEÁRIO",21,"2013 Q1",9
"Sul","CS ALTO RIBEIRÃO",210,"2013 Q1",325
"Sul","CS RIBEIRÃO DA ILHA",220,"2013 Q1",139
"Sul","CS PANTANO DO SUL",230,"2013 Q1",170
"Sul","CS ARMAÇÃO",240,"2013 Q1",165
"Sul","CS ARMAÇÃO",241,"2013 Q1",117
"Sul","CS ARMAÇÃO",242,"2013 Q1",19
"Sul","CS MORRO DAS PEDRAS",250,"2013 Q1",247
"Sul","CS MORRO DAS PEDRAS",251,"2013 Q1",309
"Sul","CS TAPERA",260,"2013 Q1",173
"Sul","CS TAPERA",261,"2013 Q1",139
"Sul","CS TAPERA",262,"2013 Q1",218
"Sul","CS TAPERA",263,"2013 Q1",161
"Sul","CS CARIANOS",270,"2013 Q1",143
"Sul","CS CARIANOS",271,"2013 Q1",154
"Sul","CS CARIANOS",272,"2013 Q1",12
"Sul","CS CAMPECHE",280,"2013 Q1",421
"Sul","CS CAMPECHE",281,"2013 Q1",274
"Sul","CS RIO TAVARES",290,"2013 Q1",163
"Sul","CS RIO TAVARES",291,"2013 Q1",153
"Sul","CS RIO TAVARES",292,"2013 Q1",80
"Sul","CS RIO TAVARES",293,"2013 Q1",24
"Continente","CS SAPE",30,"2013 Q1",22
"Sul","CS COSTEIRA DO PIRAJUBAÉ",300,"2013 Q1",246
"Sul","CS COSTEIRA DO PIRAJUBAÉ",301,"2013 Q1",238
"Sul","CS COSTEIRA DO PIRAJUBAÉ",302,"2013 Q1",239
"Continente","CS SAPE",31,"2013 Q1",9
"Centro","CS SACO DOS LIMÕES",310,"2013 Q1",80
"Centro","CS SACO DOS LIMÕES",311,"2013 Q1",140
"Centro","CS SACO DOS LIMÕES",312,"2013 Q1",183
"Centro","CS SACO DOS LIMÕES",313,"2013 Q1",37
"Centro","CS SACO DOS LIMÕES",314,"2013 Q1",11
"Centro","CS JOÃO PAULO",320,"2013 Q1",24
"Centro","CS JOÃO PAULO",321,"2013 Q1",20
"Norte","CS SACO GRANDE",330,"2013 Q1",36
"Norte","CS SACO GRANDE",331,"2013 Q1",47
"Norte","CS SACO GRANDE",332,"2013 Q1",43
"Norte","CS SACO GRANDE",333,"2013 Q1",20
"Norte","CS SACO GRANDE",334,"2013 Q1",34
"Norte","CS SACO GRANDE",335,"2013 Q1",49
"Norte","CS VARGEM PEQUENA",340,"2013 Q1",101
"Norte","CS RATONES",350,"2013 Q1",106
"Norte","CS RATONES",351,"2013 Q1",90
"Norte","CS SANTO ANTONIO LISBOA",360,"2013 Q1",85
"Norte","CS SANTO ANTONIO LISBOA",361,"2013 Q1",86
"Norte","CS PONTA DAS CANAS",370,"2013 Q1",134
"Norte","CS PONTA DAS CANAS",371,"2013 Q1",83
"Norte","CS CANASVIEIRAS",380,"2013 Q1",285
"Norte","CS CANASVIEIRAS",381,"2013 Q1",286
"Norte","CS CANASVIEIRAS",382,"2013 Q1",235
"Norte","CS CANASVIEIRAS",383,"2013 Q1",232
"Norte","CS CANASVIEIRAS",384,"2013 Q1",218
"Norte","CS JURERE",390,"2013 Q1",172
"Continente","CS MONTE CRISTO",40,"2013 Q1",10
"Norte","CS CACHOEIRA BOM JESUS",400,"2013 Q1",253
"Norte","CS CACHOEIRA BOM JESUS",401,"2013 Q1",246
"Continente","CS MONTE CRISTO",41,"2013 Q1",11
"Norte","CS VARGEM GRANDE",410,"2013 Q1",179
"Continente","CS MONTE CRISTO",42,"2013 Q1",12
"Norte","CS RIO VERMELHO",420,"2013 Q1",212
"Norte","CS RIO VERMELHO",421,"2013 Q1",159
"Norte","CS RIO VERMELHO",422,"2013 Q1",140
"Norte","CS RIO VERMELHO",423,"2013 Q1",180
"Norte","CS RIO VERMELHO",424,"2013 Q1",112
"Continente","CS MONTE CRISTO",43,"2013 Q1",10
"Norte","CS INGLESES",431,"2013 Q1",137
"Norte","CS INGLESES",432,"2013 Q1",257
"Norte","CS INGLESES",433,"2013 Q1",189
"Norte","CS INGLESES",434,"2013 Q1",123
"Norte","CS INGLESES",435,"2013 Q1",199
"Norte","CS INGLESES",436,"2013 Q1",225
"Norte","CS INGLESES",437,"2013 Q1",60
"Norte","CS INGLESES",438,"2013 Q1",39
"Continente","CS MONTE CRISTO",44,"2013 Q1",16
"Norte","CS BARRA DA LAGOA",440,"2013 Q1",69
"Norte","CS BARRA DA LAGOA",441,"2013 Q1",86
"Norte","CS BARRA DA LAGOA",442,"2013 Q1",28
"Continente","CS MONTE CRISTO",45,"2013 Q1",17
"Sul","CS CANTO DA LAGOA",450,"2013 Q1",86
"Continente","CS MONTE CRISTO",46,"2013 Q1",3
"Sul","CS COSTA DA LAGOA",460,"2013 Q1",17
"Sul","CS LAGOA DA CONCEIÇÃO",470,"2013 Q1",81
"Sul","CS LAGOA DA CONCEIÇÃO",471,"2013 Q1",72
"Sul","CS LAGOA DA CONCEIÇÃO",472,"2013 Q1",64
"Continente","CS ABRAÃO",570,"2013 Q1",24
"Continente","CS ABRAÃO",571,"2013 Q1",16
"Continente","CS ABRAÃO",572,"2013 Q1",13
"Continente","CS CAPOEIRAS",60,"2013 Q1",14
"Continente","CS COQUEIROS",600,"2013 Q1",20
"Continente","CS COQUEIROS",601,"2013 Q1",14
"Continente","CS COQUEIROS",602,"2013 Q1",21
"Continente","CS CAPOEIRAS",61,"2013 Q1",14
"Continente","CS CAPOEIRAS",62,"2013 Q1",18
"Centro","CS AGRONÔMICA",690,"2013 Q1",74
"Centro","CS AGRONÔMICA",691,"2013 Q1",90
"Centro","CS AGRONÔMICA",692,"2013 Q1",61
"Centro","CS AGRONÔMICA",693,"2013 Q1",57
"Continente","CS COLONINHA",70,"2013 Q1",14
"Continente","CS COLONINHA",71,"2013 Q1",16
"Continente","CS COLONINHA",72,"2013 Q1",13
