"DISTRITO","UNIDADE","ANO","MES","CITOPATO","PESSOAS","AREA"
"Centro","CS AGRONÔMICA",2018,4,6,153,690
"Centro","CS AGRONÔMICA",2018,5,8,195,690
"Centro","CS AGRONÔMICA",2018,6,22,211,690
"Centro","CS AGRONÔMICA",2018,7,18,154,690
"Centro","CS AGRONÔMICA",2018,4,5,121,691
"Centro","CS AGRONÔMICA",2018,5,5,155,691
"Centro","CS AGRONÔMICA",2018,6,14,195,691
"Centro","CS AGRONÔMICA",2018,7,4,193,691
"Centro","CS AGRONÔMICA",2018,4,2,82,692
"Centro","CS AGRONÔMICA",2018,5,3,118,692
"Centro","CS AGRONÔMICA",2018,6,12,164,692
"Centro","CS AGRONÔMICA",2018,7,10,130,692
"Centro","CS AGRONÔMICA",2018,4,12,126,693
"Centro","CS AGRONÔMICA",2018,5,4,160,693
"Centro","CS AGRONÔMICA",2018,6,9,170,693
"Centro","CS AGRONÔMICA",2018,7,16,192,693
"Centro","CS CENTRO",2018,4,16,168,950
"Centro","CS CENTRO",2018,5,13,155,950
"Centro","CS CENTRO",2018,6,10,190,950
"Centro","CS CENTRO",2018,7,17,181,950
"Centro","CS CENTRO",2018,4,3,87,951
"Centro","CS CENTRO",2018,5,2,81,951
"Centro","CS CENTRO",2018,6,4,88,951
"Centro","CS CENTRO",2018,7,8,101,951
"Centro","CS CENTRO",2018,4,12,118,952
"Centro","CS CENTRO",2018,5,1,108,952
"Centro","CS CENTRO",2018,6,6,104,952
"Centro","CS CENTRO",2018,7,13,117,952
"Centro","CS CÓRREGO GRANDE",2018,4,3,76,170
"Centro","CS CÓRREGO GRANDE",2018,5,6,103,170
"Centro","CS CÓRREGO GRANDE",2018,6,21,139,170
"Centro","CS CÓRREGO GRANDE",2018,4,6,71,171
"Centro","CS CÓRREGO GRANDE",2018,5,14,122,171
"Centro","CS CÓRREGO GRANDE",2018,6,19,136,171
"Centro","CS CÓRREGO GRANDE",2018,7,21,139,171
"Centro","CS ITACORUBI",2018,4,8,159,190
"Centro","CS ITACORUBI",2018,5,18,143,190
"Centro","CS ITACORUBI",2018,6,6,151,190
"Centro","CS ITACORUBI",2018,7,7,164,190
"Centro","CS ITACORUBI",2018,4,20,162,191
"Centro","CS ITACORUBI",2018,5,27,158,191
"Centro","CS ITACORUBI",2018,6,10,176,191
"Centro","CS ITACORUBI",2018,7,26,209,191
"Centro","CS ITACORUBI",2018,4,5,110,192
"Centro","CS ITACORUBI",2018,5,9,134,192
"Centro","CS ITACORUBI",2018,6,5,139,192
"Centro","CS ITACORUBI",2018,7,11,146,192
"Centro","CS ITACORUBI",2018,4,5,57,193
"Centro","CS ITACORUBI",2018,5,11,91,193
"Centro","CS ITACORUBI",2018,6,6,94,193
"Centro","CS ITACORUBI",2018,7,9,104,193
"Centro","CS JOÃO PAULO",2018,4,11,153,320
"Centro","CS JOÃO PAULO",2018,5,4,156,320
"Centro","CS JOÃO PAULO",2018,6,16,196,320
"Centro","CS JOÃO PAULO",2018,7,21,203,320
"Centro","CS JOÃO PAULO",2018,4,1,113,321
"Centro","CS JOÃO PAULO",2018,5,3,111,321
"Centro","CS JOÃO PAULO",2018,6,2,118,321
"Centro","CS JOÃO PAULO",2018,7,9,130,321
"Centro","CS MONTE SERRAT",2018,4,8,119,120
"Centro","CS MONTE SERRAT",2018,5,2,137,120
"Centro","CS MONTE SERRAT",2018,6,7,137,120
"Centro","CS MONTE SERRAT",2018,7,9,161,120
"Centro","CS MONTE SERRAT",2018,4,4,102,121
"Centro","CS MONTE SERRAT",2018,5,2,109,121
"Centro","CS MONTE SERRAT",2018,6,5,123,121
"Centro","CS MONTE SERRAT",2018,7,2,102,121
"Centro","CS MONTE SERRAT",2018,4,10,162,122
"Centro","CS MONTE SERRAT",2018,5,6,188,122
"Centro","CS MONTE SERRAT",2018,6,5,181,122
"Centro","CS MONTE SERRAT",2018,7,2,182,122
"Centro","CS PANTANAL",2018,5,11,121,160
"Centro","CS PANTANAL",2018,6,16,121,160
"Centro","CS PANTANAL",2018,7,9,128,160
"Centro","CS PANTANAL",2018,5,8,103,161
"Centro","CS PANTANAL",2018,6,10,109,161
"Centro","CS PANTANAL",2018,7,3,96,161
"Centro","CS PRAINHA",2018,4,5,89,130
"Centro","CS PRAINHA",2018,5,6,133,130
"Centro","CS PRAINHA",2018,6,13,178,130
"Centro","CS PRAINHA",2018,7,6,163,130
"Centro","CS PRAINHA",2018,4,2,54,131
"Centro","CS PRAINHA",2018,5,2,107,131
"Centro","CS PRAINHA",2018,6,5,108,131
"Centro","CS PRAINHA",2018,7,7,132,131
"Centro","CS PRAINHA",2018,4,1,67,132
"Centro","CS PRAINHA",2018,5,1,100,132
"Centro","CS PRAINHA",2018,6,6,125,132
"Centro","CS PRAINHA",2018,7,9,144,132
"Centro","CS SACO DOS LIMÕES",2018,4,2,61,310
"Centro","CS SACO DOS LIMÕES",2018,5,2,94,310
"Centro","CS SACO DOS LIMÕES",2018,6,3,124,310
"Centro","CS SACO DOS LIMÕES",2018,7,3,123,310
"Centro","CS SACO DOS LIMÕES",2018,4,1,91,311
"Centro","CS SACO DOS LIMÕES",2018,5,3,126,311
"Centro","CS SACO DOS LIMÕES",2018,6,9,141,311
"Centro","CS SACO DOS LIMÕES",2018,7,9,157,311
"Centro","CS SACO DOS LIMÕES",2018,4,5,120,312
"Centro","CS SACO DOS LIMÕES",2018,5,8,145,312
"Centro","CS SACO DOS LIMÕES",2018,6,13,209,312
"Centro","CS SACO DOS LIMÕES",2018,7,14,201,312
"Centro","CS SACO DOS LIMÕES",2018,6,2,33,313
"Centro","CS SACO DOS LIMÕES",2018,7,2,37,313
"Centro","CS SACO DOS LIMÕES",2018,4,1,14,314
"Centro","CS SACO DOS LIMÕES",2018,6,1,23,314
"Centro","CS TRINDADE",2018,4,6,80,850
"Centro","CS TRINDADE",2018,5,12,110,850
"Centro","CS TRINDADE",2018,6,8,141,850
"Centro","CS TRINDADE",2018,4,1,104,851
"Centro","CS TRINDADE",2018,5,7,149,851
"Centro","CS TRINDADE",2018,6,17,161,851
"Centro","CS TRINDADE",2018,7,14,159,851
"Centro","CS TRINDADE",2018,4,7,99,852
"Centro","CS TRINDADE",2018,5,6,132,852
"Centro","CS TRINDADE",2018,6,15,153,852
"Centro","CS TRINDADE",2018,7,15,159,852
"Centro","CS TRINDADE",2018,4,4,84,853
"Centro","CS TRINDADE",2018,5,15,125,853
"Centro","CS TRINDADE",2018,6,14,132,853
"Centro","CS TRINDADE",2018,7,12,135,853
"Centro","CS TRINDADE",2018,4,3,67,854
"Centro","CS TRINDADE",2018,5,3,80,854
"Centro","CS TRINDADE",2018,6,11,105,854
"Centro","CS TRINDADE",2018,7,9,99,854
"Centro","CS TRINDADE",2018,5,1,17,NA
"Centro","CS TRINDADE",2018,6,4,27,NA
"Centro","CS TRINDADE",2018,7,2,16,NA
"Continente","CS ABRAÃO",2018,4,6,94,570
"Continente","CS ABRAÃO",2018,5,2,113,570
"Continente","CS ABRAÃO",2018,6,8,124,570
"Continente","CS ABRAÃO",2018,7,11,135,570
"Continente","CS ABRAÃO",2018,4,9,79,571
"Continente","CS ABRAÃO",2018,6,4,111,571
"Continente","CS ABRAÃO",2018,7,11,117,571
"Continente","CS ABRAÃO",2018,4,5,49,572
"Continente","CS ABRAÃO",2018,6,3,75,572
"Continente","CS ABRAÃO",2018,7,7,86,572
"Continente","CS BALNEÁRIO",2018,4,5,79,20
"Continente","CS BALNEÁRIO",2018,5,9,105,20
"Continente","CS BALNEÁRIO",2018,6,7,100,20
"Continente","CS BALNEÁRIO",2018,7,8,96,20
"Continente","CS BALNEÁRIO",2018,4,10,102,21
"Continente","CS BALNEÁRIO",2018,5,7,119,21
