"DISTRITO","UNIDADE","TRIMESTRE","VALOR"
"Continente","CS ABRAÃO","2018 Q2",17.2093023255814
"Centro","CS AGRONÔMICA","2018 Q2",16.5405405405405
"Sul","CS ALTO RIBEIRÃO","2018 Q2",24.2472266244057
"Sul","CS ARMAÇÃO","2018 Q2",19.4845360824742
"Continente","CS BALNEÁRIO","2018 Q2",25.8957654723127
"Norte","CS BARRA DA LAGOA","2018 Q2",10.6164383561644
"Norte","CS CACHOEIRA BOM JESUS","2018 Q2",14.8648648648649
"Sul","CS CAIEIRA BARRA DO SUL","2018 Q2",11.8811881188119
"Sul","CS CAMPECHE","2018 Q2",28.4114052953157
"Norte","CS CANASVIEIRAS","2018 Q2",15.9658344283837
"Sul","CS CANTO DA LAGOA","2018 Q2",14.1176470588235
"Continente","CS CAPOEIRAS","2018 Q2",31.3617606602476
"Sul","CS CARIANOS","2018 Q2",21.406411582213
"Centro","CS CENTRO","2018 Q2",18.2893539581438
"Continente","CS COLONINHA","2018 Q2",29.493545183714
"Continente","CS COQUEIROS","2018 Q2",18.503937007874
"Centro","CS CÓRREGO GRANDE","2018 Q2",31.9938176197836
"Sul","CS COSTA DA LAGOA","2018 Q2",31.8181818181818
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2018 Q2",13.3246244284781
"Continente","CS ESTREITO","2018 Q2",23.6111111111111
"Sul","CS FAZENDA DO RIO TAVARES","2018 Q2",24.514811031665
"Norte","CS INGLESES","2018 Q2",20.3957867858283
"Centro","CS ITACORUBI","2018 Q2",24.7776365946633
"Continente","CS JARDIM ATLÂNTICO","2018 Q2",14.8351648351648
"Centro","CS JOÃO PAULO","2018 Q2",13.1050767414404
"Norte","CS JURERE","2018 Q2",34.5521023765996
"Sul","CS LAGOA DA CONCEIÇÃO","2018 Q2",32.062966031483
"Continente","CS MONTE CRISTO","2018 Q2",13.2133282267331
"Centro","CS MONTE SERRAT","2018 Q2",11.6852146263911
"Sul","CS MORRO DAS PEDRAS","2018 Q2",18.0873180873181
"Continente","CS NOVO CONTINENTE","2018 Q2",17.2862453531599
"Centro","CS PANTANAL","2018 Q2",29.7356828193833
"Sul","CS PANTANO DO SUL","2018 Q2",19.661733615222
"Norte","CS PONTA DAS CANAS","2018 Q2",15.979381443299
"Centro","CS PRAINHA","2018 Q2",12.7991675338189
"Norte","CS RATONES","2018 Q2",22.5352112676056
"Sul","CS RIBEIRÃO DA ILHA","2018 Q2",36.3380281690141
"Sul","CS RIO TAVARES","2018 Q2",25.3052164261931
"Norte","CS RIO VERMELHO","2018 Q2",10.1195559350982
"Centro","CS SACO DOS LIMÕES","2018 Q2",12.701100762066
"Norte","CS SACO GRANDE","2018 Q2",14.7299509001637
"Norte","CS SANTINHO","2018 Q2",31.306990881459
"Norte","CS SANTO ANTONIO LISBOA","2018 Q2",9.53461975028377
"Continente","CS SAPE","2018 Q2",33.5463258785943
"Sul","CS TAPERA","2018 Q2",18.8622754491018
"Centro","CS TRINDADE","2018 Q2",22.7633069082673
"Norte","CS VARGEM GRANDE","2018 Q2",27.0058708414873
"Norte","CS VARGEM PEQUENA","2018 Q2",26.5486725663717
"Continente","CS VILA APARECIDA","2018 Q2",31.858407079646
"Continente","CS ABRAÃO","2013 Q1",27.0348837209302
"Centro","CS AGRONÔMICA","2013 Q1",22.2222222222222
"Sul","CS ALTO RIBEIRÃO","2013 Q1",14.4128113879004
"Sul","CS ARMAÇÃO","2013 Q1",14.0233722871452
"Continente","CS BALNEÁRIO","2013 Q1",27.4038461538462
"Norte","CS BARRA DA LAGOA","2013 Q1",30.0992282249173
"Norte","CS CACHOEIRA BOM JESUS","2013 Q1",35
"Sul","CS CAIEIRA BARRA DO SUL","2013 Q1",27.5618374558304
"Sul","CS CAMPECHE","2013 Q1",23.8826815642458
"Norte","CS CANASVIEIRAS","2013 Q1",27.2900763358779
"Sul","CS CANTO DA LAGOA","2013 Q1",27.8688524590164
"Continente","CS CAPOEIRAS","2013 Q1",22.5718194254446
"Sul","CS CARIANOS","2013 Q1",32.2388059701493
"Centro","CS CENTRO","2013 Q1",22.181146025878
"Continente","CS COLONINHA","2013 Q1",31.5947843530592
"Continente","CS COQUEIROS","2013 Q1",28.7234042553192
"Centro","CS CÓRREGO GRANDE","2013 Q1",31.4159292035398
"Sul","CS COSTA DA LAGOA","2013 Q1",19.3548387096774
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2013 Q1",20.3703703703704
"Continente","CS ESTREITO","2013 Q1",28.2
"Sul","CS FAZENDA DO RIO TAVARES","2013 Q1",20
"Norte","CS INGLESES","2013 Q1",22.8590694538098
"Centro","CS ITACORUBI","2013 Q1",27.6558384547849
"Continente","CS JARDIM ATLÂNTICO","2013 Q1",69.375
"Centro","CS JOÃO PAULO","2013 Q1",20.242214532872
"Norte","CS JURERE","2013 Q1",9.41704035874439
"Sul","CS LAGOA DA CONCEIÇÃO","2013 Q1",21.7812197483059
"Continente","CS MONTE CRISTO","2013 Q1",5.37772087067862
"Centro","CS MONTE SERRAT","2013 Q1",13.3481646273637
"Sul","CS MORRO DAS PEDRAS","2013 Q1",7.12871287128713
"Continente","CS NOVO CONTINENTE","2013 Q1",12.0498614958449
"Centro","CS PANTANAL","2013 Q1",10.9947643979058
"Sul","CS PANTANO DO SUL","2013 Q1",18.5483870967742
"Norte","CS PONTA DAS CANAS","2013 Q1",17.6943699731903
"Centro","CS PRAINHA","2013 Q1",15.1821862348178
"Norte","CS RATONES","2013 Q1",30.7692307692308
"Sul","CS RIBEIRÃO DA ILHA","2013 Q1",8.54092526690392
"Sul","CS RIO TAVARES","2013 Q1",30.1775147928994
"Norte","CS RIO VERMELHO","2013 Q1",28.2253521126761
"Centro","CS SACO DOS LIMÕES","2013 Q1",17.5182481751825
"Norte","CS SACO GRANDE","2013 Q1",14.498933901919
"Norte","CS SANTINHO","2013 Q1",20.5479452054795
"Norte","CS SANTO ANTONIO LISBOA","2013 Q1",19.9421965317919
"Continente","CS SAPE","2013 Q1",10.8778625954198
"Sul","CS TAPERA","2013 Q1",20.2983484283431
"Centro","CS TRINDADE","2013 Q1",26.099706744868
"Norte","CS VARGEM GRANDE","2013 Q1",23.7623762376238
"Norte","CS VARGEM PEQUENA","2013 Q1",21.6867469879518
"Continente","CS VILA APARECIDA","2013 Q1",18.3673469387755
"Continente","CS ABRAÃO","2013 Q2",14.7129186602871
"Centro","CS AGRONÔMICA","2013 Q2",20.9932279909707
"Sul","CS ALTO RIBEIRÃO","2013 Q2",23.9819004524887
"Sul","CS ARMAÇÃO","2013 Q2",17.2284644194757
"Continente","CS BALNEÁRIO","2013 Q2",28.5714285714286
"Norte","CS BARRA DA LAGOA","2013 Q2",20.2040816326531
"Norte","CS CACHOEIRA BOM JESUS","2013 Q2",31.4350797266515
"Sul","CS CAIEIRA BARRA DO SUL","2013 Q2",25.7142857142857
"Sul","CS CAMPECHE","2013 Q2",15.0174621653085
"Norte","CS CANASVIEIRAS","2013 Q2",23.6220472440945
"Sul","CS CANTO DA LAGOA","2013 Q2",26.1261261261261
"Continente","CS CAPOEIRAS","2013 Q2",20.9959623149394
"Sul","CS CARIANOS","2013 Q2",39.0713476783692
"Centro","CS CENTRO","2013 Q2",17.3989455184534
"Continente","CS COLONINHA","2013 Q2",31.6685584562997
"Continente","CS COQUEIROS","2013 Q2",29.6551724137931
"Centro","CS CÓRREGO GRANDE","2013 Q2",16.4310954063604
"Sul","CS COSTA DA LAGOA","2013 Q2",12.9032258064516
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2013 Q2",16.6219839142091
"Continente","CS ESTREITO","2013 Q2",26.9230769230769
"Sul","CS FAZENDA DO RIO TAVARES","2013 Q2",24.3928194297782
"Norte","CS INGLESES","2013 Q2",22.9867788461538
"Centro","CS ITACORUBI","2013 Q2",38.4016973125884
"Continente","CS JARDIM ATLÂNTICO","2013 Q2",46.3235294117647
"Centro","CS JOÃO PAULO","2013 Q2",23.6413043478261
"Norte","CS JURERE","2013 Q2",5.30973451327434
"Sul","CS LAGOA DA CONCEIÇÃO","2013 Q2",27.2968197879859
"Continente","CS MONTE CRISTO","2013 Q2",12.7729257641921
"Centro","CS MONTE SERRAT","2013 Q2",17.904993909866
"Sul","CS MORRO DAS PEDRAS","2013 Q2",16.9565217391304
"Continente","CS NOVO CONTINENTE","2013 Q2",9.45454545454546
"Centro","CS PANTANAL","2013 Q2",11.7824773413897
"Sul","CS PANTANO DO SUL","2013 Q2",29.3296089385475
"Norte","CS PONTA DAS CANAS","2013 Q2",34.3434343434343
"Centro","CS PRAINHA","2013 Q2",15.2284263959391
"Norte","CS RATONES","2013 Q2",32.7272727272727
"Sul","CS RIBEIRÃO DA ILHA","2013 Q2",17.3210161662818
"Sul","CS RIO TAVARES","2013 Q2",29.8969072164948
"Norte","CS RIO VERMELHO","2013 Q2",19.7680548234054
"Centro","CS SACO DOS LIMÕES","2013 Q2",17.2006745362563
"Norte","CS SACO GRANDE","2013 Q2",9.86418870621873
"Norte","CS SANTINHO","2013 Q2",23.3644859813084
"Norte","CS SANTO ANTONIO LISBOA","2013 Q2",22.1092757306226
"Continente","CS SAPE","2013 Q2",31.6363636363636
"Sul","CS TAPERA","2013 Q2",12.1167883211679
"Centro","CS TRINDADE","2013 Q2",16.0028449502134
"Norte","CS VARGEM GRANDE","2013 Q2",21.2389380530973
"Norte","CS VARGEM PEQUENA","2013 Q2",12.9186602870813
"Continente","CS VILA APARECIDA","2013 Q2",7.28744939271255
"Continente","CS ABRAÃO","2013 Q3",28.9198606271777
"Centro","CS AGRONÔMICA","2013 Q3",25.5414488424197
"Sul","CS ALTO RIBEIRÃO","2013 Q3",15.9332321699545
"Sul","CS ARMAÇÃO","2013 Q3",30.4
"Continente","CS BALNEÁRIO","2013 Q3",24.3243243243243
"Norte","CS BARRA DA LAGOA","2013 Q3",33.8192419825073
"Norte","CS CACHOEIRA BOM JESUS","2013 Q3",40.7628128724672
"Sul","CS CAIEIRA BARRA DO SUL","2013 Q3",16.8224299065421
"Sul","CS CAMPECHE","2013 Q3",33.7704918032787
"Norte","CS CANASVIEIRAS","2013 Q3",25.7557436517533
"Sul","CS CANTO DA LAGOA","2013 Q3",29.7213622291022
"Continente","CS CAPOEIRAS","2013 Q3",31.7857142857143
"Sul","CS CARIANOS","2013 Q3",33.433734939759
"Centro","CS CENTRO","2013 Q3",40.6871609403255
"Continente","CS COLONINHA","2013 Q3",33.8666666666667
"Continente","CS COQUEIROS","2013 Q3",27.3273273273273
"Centro","CS CÓRREGO GRANDE","2013 Q3",18.8571428571429
"Sul","CS COSTA DA LAGOA","2013 Q3",12.7659574468085
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2013 Q3",24.2983159582999
"Continente","CS ESTREITO","2013 Q3",33.2741792369122
"Sul","CS FAZENDA DO RIO TAVARES","2013 Q3",29.8200514138817
"Norte","CS INGLESES","2013 Q3",26.1758027894908
"Centro","CS ITACORUBI","2013 Q3",30.640243902439
"Continente","CS JARDIM ATLÂNTICO","2013 Q3",77.720207253886
"Centro","CS JOÃO PAULO","2013 Q3",13.3047210300429
"Norte","CS JURERE","2013 Q3",4.74308300395257
"Sul","CS LAGOA DA CONCEIÇÃO","2013 Q3",12.5130344108446
"Continente","CS MONTE CRISTO","2013 Q3",20.3235591506572
"Centro","CS MONTE SERRAT","2013 Q3",21.9165085388994
"Sul","CS MORRO DAS PEDRAS","2013 Q3",12.9657228017884
"Continente","CS NOVO CONTINENTE","2013 Q3",19.4904458598726
"Centro","CS PANTANAL","2013 Q3",15.6645569620253
