"DISTRITO","TRIMESTRE","VALOR"
"Centro","2013 Q1",21.0462555066079
"Continente","2013 Q1",23.067383216205
"Norte","2013 Q1",23.0683257581402
"Sul","2013 Q1",20.7180634662327
"Centro","2013 Q2",20.6113989637306
"Continente","2013 Q2",21.2958551691282
"Norte","2013 Q2",20.310442796757
"Sul","2013 Q2",21.4174991388219
"Centro","2013 Q3",25.3101004134672
"Continente","2013 Q3",28.9621621621622
"Norte","2013 Q3",24.1596784253933
"Sul","2013 Q3",24.3868427528505
"Centro","2013 Q4",25.2138452357271
"Continente","2013 Q4",35.8779518353986
"Norte","2013 Q4",27.7273438722805
"Sul","2013 Q4",26.0999727841785
"Centro","2014 Q1",21.8018018018018
"Continente","2014 Q1",26.4252336448598
"Norte","2014 Q1",26.6753908671396
"Sul","2014 Q1",23.953113055296
"Centro","2014 Q2",23.3912356889064
"Continente","2014 Q2",26.714188730482
"Norte","2014 Q2",26.5429171465348
"Sul","2014 Q2",23.2441471571906
"Centro","2014 Q3",22.3231489127443
"Continente","2014 Q3",26.4742268041237
"Norte","2014 Q3",26.114844227245
"Sul","2014 Q3",22.9882509421414
"Centro","2014 Q4",19.9101796407186
"Continente","2014 Q4",30.8565647482014
"Norte","2014 Q4",26.7745618158619
"Sul","2014 Q4",25.4705646776131
"Centro","2015 Q1",21.0741270165407
"Continente","2015 Q1",24.9941410827279
"Norte","2015 Q1",24.0564214865387
"Sul","2015 Q1",20.5944024067827
"Centro","2015 Q2",18.3386654478976
"Continente","2015 Q2",24.6935792196109
"Norte","2015 Q2",25.7920336532141
"Sul","2015 Q2",22.1304855065961
"Centro","2015 Q3",24.0996503496503
"Continente","2015 Q3",28.9600582294605
"Norte","2015 Q3",31.0413223140496
"Sul","2015 Q3",29.4462154347987
"Centro","2015 Q4",27.7335404932997
"Continente","2015 Q4",28.6943471735868
"Norte","2015 Q4",30.6930693069307
"Sul","2015 Q4",31.9223985890653
"Centro","2016 Q1",17.7221760797342
"Continente","2016 Q1",17.8828365878726
"Norte","2016 Q1",19.7581431636435
"Sul","2016 Q1",21.0986042323278
"Centro","2016 Q2",20.9853528628495
"Continente","2016 Q2",25.2738654147105
"Norte","2016 Q2",28.5564507228783
"Sul","2016 Q2",24.7309417040359
"Centro","2016 Q3",20.9812957441041
"Continente","2016 Q3",22.9234947092424
"Norte","2016 Q3",27.5765539305302
"Sul","2016 Q3",23.3231005372218
"Centro","2016 Q4",20.2871287128713
"Continente","2016 Q4",20.3484388763825
"Norte","2016 Q4",28.4273836900761
"Sul","2016 Q4",27.8575046429174
"Centro","2017 Q1",17.2636224749618
"Continente","2017 Q1",19.9825632083697
"Norte","2017 Q1",21.8241365621278
"Sul","2017 Q1",19.5047850524077
"Centro","2017 Q2",23.1161473087819
"Continente","2017 Q2",26.9707207207207
"Norte","2017 Q2",27.3953819996709
"Sul","2017 Q2",26.5900503778338
"Centro","2017 Q3",25.1511887996024
"Continente","2017 Q3",24.9036237471087
"Norte","2017 Q3",27.6901812224839
"Sul","2017 Q3",27.389665114216
"Centro","2017 Q4",24.3579121789561
"Continente","2017 Q4",21.9718309859155
"Norte","2017 Q4",23.4910800128191
"Sul","2017 Q4",25.3649499814746
"Centro","2018 Q1",21.4446201214946
"Continente","2018 Q1",23.2733906697941
"Norte","2018 Q1",21.786130051555
"Sul","2018 Q1",22.7514506769826
