"DISTRITO","UNIDADE","AREA","TRIMESTRE","VALOR"
"Continente","CS JARDIM ATLÂNTICO",10,"2013 Q1",48.3870967741936
"Continente","CS NOVO CONTINENTE",100,"2013 Q1",12.5435540069686
"Continente","CS NOVO CONTINENTE",101,"2013 Q1",15.0837988826816
"Continente","CS NOVO CONTINENTE",102,"2013 Q1",9.375
"Continente","CS JARDIM ATLÂNTICO",11,"2013 Q1",98.5074626865672
"Centro","CS MONTE SERRAT",120,"2013 Q1",15.8357771260997
"Centro","CS MONTE SERRAT",121,"2013 Q1",10.5726872246696
"Centro","CS MONTE SERRAT",122,"2013 Q1",12.6888217522659
"Centro","CS PRAINHA",130,"2013 Q1",20.2702702702703
"Centro","CS PRAINHA",131,"2013 Q1",14.1509433962264
"Centro","CS PRAINHA",132,"2013 Q1",12.0320855614973
"Centro","CS PANTANAL",160,"2013 Q1",8.88157894736842
"Centro","CS PANTANAL",161,"2013 Q1",13.3828996282528
"Centro","CS CÓRREGO GRANDE",170,"2013 Q1",29.9065420560748
"Centro","CS CÓRREGO GRANDE",171,"2013 Q1",27.7310924369748
"Centro","CS CÓRREGO GRANDE",172,"2013 Q1",42.8571428571429
"Centro","CS ITACORUBI",190,"2013 Q1",23.2323232323232
"Centro","CS ITACORUBI",191,"2013 Q1",35.8333333333333
"Centro","CS ITACORUBI",192,"2013 Q1",23.3009708737864
"Centro","CS ITACORUBI",193,"2013 Q1",26.0115606936416
"Continente","CS BALNEÁRIO",20,"2013 Q1",30.9859154929577
"Sul","CS CAIEIRA BARRA DO SUL",200,"2013 Q1",27.5618374558304
"Continente","CS BALNEÁRIO",21,"2013 Q1",23.6453201970443
"Sul","CS ALTO RIBEIRÃO",210,"2013 Q1",14.4128113879004
"Sul","CS RIBEIRÃO DA ILHA",220,"2013 Q1",8.54092526690392
"Sul","CS PANTANO DO SUL",230,"2013 Q1",18.5483870967742
"Sul","CS ARMAÇÃO",240,"2013 Q1",13.0872483221477
"Sul","CS ARMAÇÃO",241,"2013 Q1",14.9501661129568
"Sul","CS MORRO DAS PEDRAS",250,"2013 Q1",5.31914893617021
"Sul","CS MORRO DAS PEDRAS",251,"2013 Q1",9.41704035874439
"Sul","CS TAPERA",260,"2013 Q1",15.7894736842105
"Sul","CS TAPERA",261,"2013 Q1",18.796992481203
"Sul","CS TAPERA",262,"2013 Q1",20.2486678507993
"Sul","CS TAPERA",263,"2013 Q1",26.5909090909091
"Sul","CS CARIANOS",270,"2013 Q1",33.0882352941176
"Sul","CS CARIANOS",271,"2013 Q1",29.9168975069252
"Sul","CS CARIANOS",272,"2013 Q1",48.6486486486486
"Sul","CS CAMPECHE",280,"2013 Q1",24.3654822335025
"Sul","CS CAMPECHE",281,"2013 Q1",23.2919254658385
"Sul","CS RIO TAVARES",290,"2013 Q1",28.4122562674095
"Sul","CS RIO TAVARES",291,"2013 Q1",32.8767123287671
"Sul","CS RIO TAVARES",292,"2013 Q1",22.7272727272727
"Sul","CS RIO TAVARES",293,"2013 Q1",46.875
"Continente","CS SAPE",30,"2013 Q1",10.5882352941176
"Sul","CS COSTEIRA DO PIRAJUBAÉ",300,"2013 Q1",21.1764705882353
"Sul","CS COSTEIRA DO PIRAJUBAÉ",301,"2013 Q1",21.1267605633803
"Sul","CS COSTEIRA DO PIRAJUBAÉ",302,"2013 Q1",18.5567010309278
"Continente","CS SAPE",31,"2013 Q1",11.1524163568773
"Centro","CS SACO DOS LIMÕES",310,"2013 Q1",26.2886597938144
"Centro","CS SACO DOS LIMÕES",311,"2013 Q1",17.2205438066465
"Centro","CS SACO DOS LIMÕES",312,"2013 Q1",12.4352331606218
"Centro","CS SACO DOS LIMÕES",313,"2013 Q1",18.75
"Centro","CS SACO DOS LIMÕES",314,"2013 Q1",37.5
"Centro","CS JOÃO PAULO",320,"2013 Q1",14.2857142857143
"Centro","CS JOÃO PAULO",321,"2013 Q1",29.8642533936652
"Norte","CS SACO GRANDE",330,"2013 Q1",17.2248803827751
"Norte","CS SACO GRANDE",331,"2013 Q1",9.3167701863354
"Norte","CS SACO GRANDE",332,"2013 Q1",13.8
"Norte","CS SACO GRANDE",333,"2013 Q1",5.69105691056911
"Norte","CS SACO GRANDE",334,"2013 Q1",22.6744186046512
"Norte","CS SACO GRANDE",335,"2013 Q1",15.9090909090909
"Norte","CS VARGEM PEQUENA",340,"2013 Q1",21.6867469879518
"Norte","CS RATONES",350,"2013 Q1",29.4392523364486
"Norte","CS RATONES",351,"2013 Q1",33.6734693877551
"Norte","CS SANTO ANTONIO LISBOA",360,"2013 Q1",20.6611570247934
"Norte","CS SANTO ANTONIO LISBOA",361,"2013 Q1",19.1489361702128
"Norte","CS PONTA DAS CANAS",370,"2013 Q1",12.992125984252
"Norte","CS PONTA DAS CANAS",371,"2013 Q1",27.7310924369748
"Norte","CS CANASVIEIRAS",380,"2013 Q1",17.0886075949367
"Norte","CS CANASVIEIRAS",381,"2013 Q1",34.6153846153846
"Norte","CS CANASVIEIRAS",382,"2013 Q1",24.5733788395904
"Norte","CS CANASVIEIRAS",383,"2013 Q1",25.1824817518248
"Norte","CS CANASVIEIRAS",384,"2013 Q1",33.2307692307692
"Norte","CS JURERE",390,"2013 Q1",9.41704035874439
"Continente","CS MONTE CRISTO",40,"2013 Q1",3.2258064516129
"Norte","CS CACHOEIRA BOM JESUS",400,"2013 Q1",34.8993288590604
"Norte","CS CACHOEIRA BOM JESUS",401,"2013 Q1",35.1351351351351
"Continente","CS MONTE CRISTO",41,"2013 Q1",3.79746835443038
"Norte","CS VARGEM GRANDE",410,"2013 Q1",23.7623762376238
"Continente","CS MONTE CRISTO",42,"2013 Q1",15
"Norte","CS RIO VERMELHO",420,"2013 Q1",26.3948497854077
"Norte","CS RIO VERMELHO",421,"2013 Q1",33.5820895522388
"Norte","CS RIO VERMELHO",422,"2013 Q1",24.9169435215947
"Norte","CS RIO VERMELHO",423,"2013 Q1",27.4932614555256
"Norte","CS RIO VERMELHO",424,"2013 Q1",28.0851063829787
"Norte","CS INGLESES",431,"2013 Q1",21.2041884816754
"Norte","CS INGLESES",432,"2013 Q1",23.156089193825
"Norte","CS INGLESES",433,"2013 Q1",21.4723926380368
"Norte","CS INGLESES",434,"2013 Q1",23.5849056603774
"Norte","CS INGLESES",435,"2013 Q1",25.7142857142857
"Norte","CS INGLESES",436,"2013 Q1",19.3370165745856
"Norte","CS INGLESES",437,"2013 Q1",41.1290322580645
"Norte","CS INGLESES",438,"2013 Q1",12.5
"Continente","CS MONTE CRISTO",44,"2013 Q1",2.30769230769231
"Norte","CS BARRA DA LAGOA",440,"2013 Q1",35.042735042735
"Norte","CS BARRA DA LAGOA",441,"2013 Q1",24.2152466367713
"Norte","CS BARRA DA LAGOA",442,"2013 Q1",38.1818181818182
"Continente","CS MONTE CRISTO",45,"2013 Q1",8.42696629213483
"Sul","CS CANTO DA LAGOA",450,"2013 Q1",27.8688524590164
"Continente","CS MONTE CRISTO",46,"2013 Q1",12.5
"Sul","CS COSTA DA LAGOA",460,"2013 Q1",19.3548387096774
"Sul","CS LAGOA DA CONCEIÇÃO",470,"2013 Q1",18.5567010309278
"Sul","CS LAGOA DA CONCEIÇÃO",471,"2013 Q1",23.6065573770492
"Sul","CS LAGOA DA CONCEIÇÃO",472,"2013 Q1",23.8235294117647
"Continente","CS ABRAÃO",570,"2013 Q1",24
"Continente","CS ABRAÃO",571,"2013 Q1",37.9120879120879
"Continente","CS ABRAÃO",572,"2013 Q1",21.5469613259669
"Continente","CS CAPOEIRAS",60,"2013 Q1",21.8543046357616
"Continente","CS COQUEIROS",600,"2013 Q1",29.3617021276596
"Continente","CS COQUEIROS",601,"2013 Q1",18.9274447949527
"Continente","CS COQUEIROS",602,"2013 Q1",38.7755102040816
