"DISTRITO","UNIDADE","TRIMESTRE","TIPO","VALOR"
"Continente","CS ABRAÃO","2013 Q1","PORCENT_ESP_MED",63.91
"Centro","CS AGRONÔMICA","2013 Q1","PORCENT_ESP_MED",76.76
"Sul","CS ALTO RIBEIRÃO","2013 Q1","PORCENT_ESP_MED",83.42
"Sul","CS ARMAÇÃO","2013 Q1","PORCENT_ESP_MED",80.36
"Continente","CS BALNEÁRIO","2013 Q1","PORCENT_ESP_MED",55.12
"Norte","CS BARRA DA LAGOA","2013 Q1","PORCENT_ESP_MED",78.22
"Norte","CS CACHOEIRA BOM JESUS","2013 Q1","PORCENT_ESP_MED",70.76
"Sul","CS CAIEIRA BARRA DO SUL","2013 Q1","PORCENT_ESP_MED",68.6
"Sul","CS CAMPECHE","2013 Q1","PORCENT_ESP_MED",68.51
"Norte","CS CANASVIEIRAS","2013 Q1","PORCENT_ESP_MED",82.07
"Sul","CS CANTO DA LAGOA","2013 Q1","PORCENT_ESP_MED",80.81
"Continente","CS CAPOEIRAS","2013 Q1","PORCENT_ESP_MED",75.79
"Sul","CS CARIANOS","2013 Q1","PORCENT_ESP_MED",72
"Centro","CS CENTRO","2013 Q1","PORCENT_ESP_MED",67.38
"Continente","CS COLONINHA","2013 Q1","PORCENT_ESP_MED",63.82
"Continente","CS COQUEIROS","2013 Q1","PORCENT_ESP_MED",68.9
"Centro","CS CÓRREGO GRANDE","2013 Q1","PORCENT_ESP_MED",58.44
"Sul","CS COSTA DA LAGOA","2013 Q1","PORCENT_ESP_MED",73.76
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2013 Q1","PORCENT_ESP_MED",81.75
"Continente","CS ESTREITO","2013 Q1","PORCENT_ESP_MED",53.84
"Sul","CS FAZENDA DO RIO TAVARES","2013 Q1","PORCENT_ESP_MED",78.92
"Norte","CS INGLESES","2013 Q1","PORCENT_ESP_MED",79.21
"Centro","CS ITACORUBI","2013 Q1","PORCENT_ESP_MED",83.93
"Continente","CS JARDIM ATLÂNTICO","2013 Q1","PORCENT_ESP_MED",75.37
"Centro","CS JOÃO PAULO","2013 Q1","PORCENT_ESP_MED",81.53
"Norte","CS JURERE","2013 Q1","PORCENT_ESP_MED",69.76
"Sul","CS LAGOA DA CONCEIÇÃO","2013 Q1","PORCENT_ESP_MED",78.13
"Continente","CS MONTE CRISTO","2013 Q1","PORCENT_ESP_MED",83.13
"Centro","CS MONTE SERRAT","2013 Q1","PORCENT_ESP_MED",75.07
"Sul","CS MORRO DAS PEDRAS","2013 Q1","PORCENT_ESP_MED",80.33
"Continente","CS NOVO CONTINENTE","2013 Q1","PORCENT_ESP_MED",77.43
"Centro","CS PANTANAL","2013 Q1","PORCENT_ESP_MED",72.07
"Sul","CS PANTANO DO SUL","2013 Q1","PORCENT_ESP_MED",79.1
"Norte","CS PONTA DAS CANAS","2013 Q1","PORCENT_ESP_MED",55.92
"Centro","CS PRAINHA","2013 Q1","PORCENT_ESP_MED",64.94
"Norte","CS RATONES","2013 Q1","PORCENT_ESP_MED",39.34
"Sul","CS RIBEIRÃO DA ILHA","2013 Q1","PORCENT_ESP_MED",80.71
"Sul","CS RIO TAVARES","2013 Q1","PORCENT_ESP_MED",77.79
"Norte","CS RIO VERMELHO","2013 Q1","PORCENT_ESP_MED",83.41
"Centro","CS SACO DOS LIMÕES","2013 Q1","PORCENT_ESP_MED",76.3
"Norte","CS SACO GRANDE","2013 Q1","PORCENT_ESP_MED",90.81
"Norte","CS SANTINHO","2013 Q1","PORCENT_ESP_MED",65.26
"Norte","CS SANTO ANTONIO LISBOA","2013 Q1","PORCENT_ESP_MED",67.35
"Continente","CS SAPE","2013 Q1","PORCENT_ESP_MED",63.86
"Sul","CS TAPERA","2013 Q1","PORCENT_ESP_MED",90.91
"Centro","CS TRINDADE","2013 Q1","PORCENT_ESP_MED",84.45
"Norte","CS VARGEM GRANDE","2013 Q1","PORCENT_ESP_MED",83.64
"Norte","CS VARGEM PEQUENA","2013 Q1","PORCENT_ESP_MED",58.96
"Continente","CS VILA APARECIDA","2013 Q1","PORCENT_ESP_MED",87.43
"Continente","CS ABRAÃO","2013 Q2","PORCENT_ESP_MED",56.18
"Centro","CS AGRONÔMICA","2013 Q2","PORCENT_ESP_MED",81.34
"Sul","CS ALTO RIBEIRÃO","2013 Q2","PORCENT_ESP_MED",79.47
"Sul","CS ARMAÇÃO","2013 Q2","PORCENT_ESP_MED",82.69
"Continente","CS BALNEÁRIO","2013 Q2","PORCENT_ESP_MED",49.84
"Norte","CS BARRA DA LAGOA","2013 Q2","PORCENT_ESP_MED",67.26
"Norte","CS CACHOEIRA BOM JESUS","2013 Q2","PORCENT_ESP_MED",69.54
"Sul","CS CAIEIRA BARRA DO SUL","2013 Q2","PORCENT_ESP_MED",73.83
"Sul","CS CAMPECHE","2013 Q2","PORCENT_ESP_MED",60.47
"Norte","CS CANASVIEIRAS","2013 Q2","PORCENT_ESP_MED",78.51
"Sul","CS CANTO DA LAGOA","2013 Q2","PORCENT_ESP_MED",71.93
"Continente","CS CAPOEIRAS","2013 Q2","PORCENT_ESP_MED",75.63
"Sul","CS CARIANOS","2013 Q2","PORCENT_ESP_MED",73.84
"Centro","CS CENTRO","2013 Q2","PORCENT_ESP_MED",70.3
"Continente","CS COLONINHA","2013 Q2","PORCENT_ESP_MED",60.81
"Continente","CS COQUEIROS","2013 Q2","PORCENT_ESP_MED",69.44
"Centro","CS CÓRREGO GRANDE","2013 Q2","PORCENT_ESP_MED",57.5
"Sul","CS COSTA DA LAGOA","2013 Q2","PORCENT_ESP_MED",90.19
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2013 Q2","PORCENT_ESP_MED",82.62
"Continente","CS ESTREITO","2013 Q2","PORCENT_ESP_MED",54.52
"Sul","CS FAZENDA DO RIO TAVARES","2013 Q2","PORCENT_ESP_MED",79.43
"Norte","CS INGLESES","2013 Q2","PORCENT_ESP_MED",80.3
"Centro","CS ITACORUBI","2013 Q2","PORCENT_ESP_MED",82.14
"Continente","CS JARDIM ATLÂNTICO","2013 Q2","PORCENT_ESP_MED",67.76
"Centro","CS JOÃO PAULO","2013 Q2","PORCENT_ESP_MED",79.31
"Norte","CS JURERE","2013 Q2","PORCENT_ESP_MED",75.06
"Sul","CS LAGOA DA CONCEIÇÃO","2013 Q2","PORCENT_ESP_MED",77.7
"Continente","CS MONTE CRISTO","2013 Q2","PORCENT_ESP_MED",85.52
"Centro","CS MONTE SERRAT","2013 Q2","PORCENT_ESP_MED",75.4
"Sul","CS MORRO DAS PEDRAS","2013 Q2","PORCENT_ESP_MED",81.11
"Continente","CS NOVO CONTINENTE","2013 Q2","PORCENT_ESP_MED",81.84
"Centro","CS PANTANAL","2013 Q2","PORCENT_ESP_MED",75.64
"Sul","CS PANTANO DO SUL","2013 Q2","PORCENT_ESP_MED",86.18
"Norte","CS PONTA DAS CANAS","2013 Q2","PORCENT_ESP_MED",58.28
"Centro","CS PRAINHA","2013 Q2","PORCENT_ESP_MED",62.11
"Norte","CS RATONES","2013 Q2","PORCENT_ESP_MED",49.82
"Sul","CS RIBEIRÃO DA ILHA","2013 Q2","PORCENT_ESP_MED",73.87
"Sul","CS RIO TAVARES","2013 Q2","PORCENT_ESP_MED",65.25
"Norte","CS RIO VERMELHO","2013 Q2","PORCENT_ESP_MED",83.56
"Centro","CS SACO DOS LIMÕES","2013 Q2","PORCENT_ESP_MED",79
"Norte","CS SACO GRANDE","2013 Q2","PORCENT_ESP_MED",90.48
"Norte","CS SANTINHO","2013 Q2","PORCENT_ESP_MED",62.62
"Norte","CS SANTO ANTONIO LISBOA","2013 Q2","PORCENT_ESP_MED",67.39
"Continente","CS SAPE","2013 Q2","PORCENT_ESP_MED",55.77
"Sul","CS TAPERA","2013 Q2","PORCENT_ESP_MED",88.25
"Centro","CS TRINDADE","2013 Q2","PORCENT_ESP_MED",81.93
"Norte","CS VARGEM GRANDE","2013 Q2","PORCENT_ESP_MED",77.16
"Norte","CS VARGEM PEQUENA","2013 Q2","PORCENT_ESP_MED",71.56
"Continente","CS VILA APARECIDA","2013 Q2","PORCENT_ESP_MED",77.84
"Continente","CS ABRAÃO","2013 Q3","PORCENT_ESP_MED",55.01
"Centro","CS AGRONÔMICA","2013 Q3","PORCENT_ESP_MED",77.78
"Sul","CS ALTO RIBEIRÃO","2013 Q3","PORCENT_ESP_MED",84.67
"Sul","CS ARMAÇÃO","2013 Q3","PORCENT_ESP_MED",82.02
"Continente","CS BALNEÁRIO","2013 Q3","PORCENT_ESP_MED",61.99
"Norte","CS BARRA DA LAGOA","2013 Q3","PORCENT_ESP_MED",65.83
"Norte","CS CACHOEIRA BOM JESUS","2013 Q3","PORCENT_ESP_MED",73.51
"Sul","CS CAIEIRA BARRA DO SUL","2013 Q3","PORCENT_ESP_MED",71.22
"Sul","CS CAMPECHE","2013 Q3","PORCENT_ESP_MED",67.6
"Norte","CS CANASVIEIRAS","2013 Q3","PORCENT_ESP_MED",72.81
"Sul","CS CANTO DA LAGOA","2013 Q3","PORCENT_ESP_MED",73.38
"Continente","CS CAPOEIRAS","2013 Q3","PORCENT_ESP_MED",82.04
"Sul","CS CARIANOS","2013 Q3","PORCENT_ESP_MED",72.17
"Centro","CS CENTRO","2013 Q3","PORCENT_ESP_MED",74.14
"Continente","CS COLONINHA","2013 Q3","PORCENT_ESP_MED",63.44
"Continente","CS COQUEIROS","2013 Q3","PORCENT_ESP_MED",76.43
"Centro","CS CÓRREGO GRANDE","2013 Q3","PORCENT_ESP_MED",61.96
"Sul","CS COSTA DA LAGOA","2013 Q3","PORCENT_ESP_MED",88.42
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2013 Q3","PORCENT_ESP_MED",81.91
"Continente","CS ESTREITO","2013 Q3","PORCENT_ESP_MED",54.68
"Sul","CS FAZENDA DO RIO TAVARES","2013 Q3","PORCENT_ESP_MED",78.99
"Norte","CS INGLESES","2013 Q3","PORCENT_ESP_MED",81.08
"Centro","CS ITACORUBI","2013 Q3","PORCENT_ESP_MED",83.91
"Continente","CS JARDIM ATLÂNTICO","2013 Q3","PORCENT_ESP_MED",81.03
"Centro","CS JOÃO PAULO","2013 Q3","PORCENT_ESP_MED",79.09
"Norte","CS JURERE","2013 Q3","PORCENT_ESP_MED",79.67
"Sul","CS LAGOA DA CONCEIÇÃO","2013 Q3","PORCENT_ESP_MED",93.61
"Continente","CS MONTE CRISTO","2013 Q3","PORCENT_ESP_MED",82.95
"Centro","CS MONTE SERRAT","2013 Q3","PORCENT_ESP_MED",79.15
"Sul","CS MORRO DAS PEDRAS","2013 Q3","PORCENT_ESP_MED",82.98
"Continente","CS NOVO CONTINENTE","2013 Q3","PORCENT_ESP_MED",83.29
"Centro","CS PANTANAL","2013 Q3","PORCENT_ESP_MED",73.12
"Sul","CS PANTANO DO SUL","2013 Q3","PORCENT_ESP_MED",88.6
"Norte","CS PONTA DAS CANAS","2013 Q3","PORCENT_ESP_MED",59.3
"Centro","CS PRAINHA","2013 Q3","PORCENT_ESP_MED",75.95
"Norte","CS RATONES","2013 Q3","PORCENT_ESP_MED",51.92
"Sul","CS RIBEIRÃO DA ILHA","2013 Q3","PORCENT_ESP_MED",70.59
"Sul","CS RIO TAVARES","2013 Q3","PORCENT_ESP_MED",71.88
"Norte","CS RIO VERMELHO","2013 Q3","PORCENT_ESP_MED",87
"Centro","CS SACO DOS LIMÕES","2013 Q3","PORCENT_ESP_MED",84.9
"Norte","CS SACO GRANDE","2013 Q3","PORCENT_ESP_MED",89.97
"Norte","CS SANTINHO","2013 Q3","PORCENT_ESP_MED",54.75
"Norte","CS SANTO ANTONIO LISBOA","2013 Q3","PORCENT_ESP_MED",67.29
"Continente","CS SAPE","2013 Q3","PORCENT_ESP_MED",59.5
"Sul","CS TAPERA","2013 Q3","PORCENT_ESP_MED",90.1
"Centro","CS TRINDADE","2013 Q3","PORCENT_ESP_MED",82.09
"Norte","CS VARGEM GRANDE","2013 Q3","PORCENT_ESP_MED",74.13
"Norte","CS VARGEM PEQUENA","2013 Q3","PORCENT_ESP_MED",51.9
"Continente","CS VILA APARECIDA","2013 Q3","PORCENT_ESP_MED",81.82
"Continente","CS ABRAÃO","2013 Q4","PORCENT_ESP_MED",61.09
"Centro","CS AGRONÔMICA","2013 Q4","PORCENT_ESP_MED",78.7
"Sul","CS ALTO RIBEIRÃO","2013 Q4","PORCENT_ESP_MED",87.46
"Sul","CS ARMAÇÃO","2013 Q4","PORCENT_ESP_MED",84.07
"Continente","CS BALNEÁRIO","2013 Q4","PORCENT_ESP_MED",94.49
"Norte","CS BARRA DA LAGOA","2013 Q4","PORCENT_ESP_MED",69.9
"Norte","CS CACHOEIRA BOM JESUS","2013 Q4","PORCENT_ESP_MED",78.13
"Sul","CS CAIEIRA BARRA DO SUL","2013 Q4","PORCENT_ESP_MED",65.77
"Sul","CS CAMPECHE","2013 Q4","PORCENT_ESP_MED",66.8
"Norte","CS CANASVIEIRAS","2013 Q4","PORCENT_ESP_MED",78.45
"Sul","CS CANTO DA LAGOA","2013 Q4","PORCENT_ESP_MED",74.86
"Continente","CS CAPOEIRAS","2013 Q4","PORCENT_ESP_MED",79.84
"Sul","CS CARIANOS","2013 Q4","PORCENT_ESP_MED",74.23
"Centro","CS CENTRO","2013 Q4","PORCENT_ESP_MED",74.2
"Continente","CS COLONINHA","2013 Q4","PORCENT_ESP_MED",60.15
"Continente","CS COQUEIROS","2013 Q4","PORCENT_ESP_MED",81.93
"Centro","CS CÓRREGO GRANDE","2013 Q4","PORCENT_ESP_MED",72.53
"Sul","CS COSTA DA LAGOA","2013 Q4","PORCENT_ESP_MED",90.15
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2013 Q4","PORCENT_ESP_MED",85.17
"Continente","CS ESTREITO","2013 Q4","PORCENT_ESP_MED",54.36
"Sul","CS FAZENDA DO RIO TAVARES","2013 Q4","PORCENT_ESP_MED",79.84
"Norte","CS INGLESES","2013 Q4","PORCENT_ESP_MED",77.73
"Centro","CS ITACORUBI","2013 Q4","PORCENT_ESP_MED",84.73
"Continente","CS JARDIM ATLÂNTICO","2013 Q4","PORCENT_ESP_MED",80.25
"Centro","CS JOÃO PAULO","2013 Q4","PORCENT_ESP_MED",80.57
"Norte","CS JURERE","2013 Q4","PORCENT_ESP_MED",81.89
"Sul","CS LAGOA DA CONCEIÇÃO","2013 Q4","PORCENT_ESP_MED",93.77
"Continente","CS MONTE CRISTO","2013 Q4","PORCENT_ESP_MED",88.01
"Centro","CS MONTE SERRAT","2013 Q4","PORCENT_ESP_MED",86.2
"Sul","CS MORRO DAS PEDRAS","2013 Q4","PORCENT_ESP_MED",79.18
"Continente","CS NOVO CONTINENTE","2013 Q4","PORCENT_ESP_MED",82.99
"Centro","CS PANTANAL","2013 Q4","PORCENT_ESP_MED",80.37
"Sul","CS PANTANO DO SUL","2013 Q4","PORCENT_ESP_MED",93.06
"Norte","CS PONTA DAS CANAS","2013 Q4","PORCENT_ESP_MED",70.46
"Centro","CS PRAINHA","2013 Q4","PORCENT_ESP_MED",79.29
"Norte","CS RATONES","2013 Q4","PORCENT_ESP_MED",51.21
"Sul","CS RIBEIRÃO DA ILHA","2013 Q4","PORCENT_ESP_MED",72.49
"Sul","CS RIO TAVARES","2013 Q4","PORCENT_ESP_MED",76.71
"Norte","CS RIO VERMELHO","2013 Q4","PORCENT_ESP_MED",85.78
"Centro","CS SACO DOS LIMÕES","2013 Q4","PORCENT_ESP_MED",82.29
"Norte","CS SACO GRANDE","2013 Q4","PORCENT_ESP_MED",91.9
"Norte","CS SANTINHO","2013 Q4","PORCENT_ESP_MED",65.62
