"DISTRITO","TRIMESTRE","TIPO","VALOR"
"Centro","2018 Q2","PORCENT_ESP_MED",88.22
"Continente","2018 Q2","PORCENT_ESP_MED",91.17
"Norte","2018 Q2","PORCENT_ESP_MED",83.81
"Sul","2018 Q2","PORCENT_ESP_MED",88.39
"Centro","2018 Q2","PORCENT_ESP_ENF",93.66
"Continente","2018 Q2","PORCENT_ESP_ENF",90.47
"Norte","2018 Q2","PORCENT_ESP_ENF",89.5
"Sul","2018 Q2","PORCENT_ESP_ENF",90.11
"Centro","2018 Q2","PORCENT_ESP_ODO",68.47
"Continente","2018 Q2","PORCENT_ESP_ODO",66.5
"Norte","2018 Q2","PORCENT_ESP_ODO",56.24
"Sul","2018 Q2","PORCENT_ESP_ODO",71.42
"Centro","2013 Q1","PORCENT_ESP_MED",75.28
"Continente","2013 Q1","PORCENT_ESP_MED",70.38
"Norte","2013 Q1","PORCENT_ESP_MED",78.98
"Sul","2013 Q1","PORCENT_ESP_MED",80.6
"Centro","2013 Q2","PORCENT_ESP_MED",75.83
"Continente","2013 Q2","PORCENT_ESP_MED",69.35
"Norte","2013 Q2","PORCENT_ESP_MED",78.83
"Sul","2013 Q2","PORCENT_ESP_MED",79.07
"Centro","2013 Q3","PORCENT_ESP_MED",78.08
"Continente","2013 Q3","PORCENT_ESP_MED",70.54
"Norte","2013 Q3","PORCENT_ESP_MED",78.02
"Sul","2013 Q3","PORCENT_ESP_MED",81.77
"Centro","2013 Q4","PORCENT_ESP_MED",80.99
"Continente","2013 Q4","PORCENT_ESP_MED",74.17
"Norte","2013 Q4","PORCENT_ESP_MED",78.91
"Sul","2013 Q4","PORCENT_ESP_MED",82.83
"Centro","2014 Q1","PORCENT_ESP_MED",76.86
"Continente","2014 Q1","PORCENT_ESP_MED",68.95
"Norte","2014 Q1","PORCENT_ESP_MED",76.26
"Sul","2014 Q1","PORCENT_ESP_MED",81.07
"Centro","2014 Q2","PORCENT_ESP_MED",74.45
"Continente","2014 Q2","PORCENT_ESP_MED",69.6
"Norte","2014 Q2","PORCENT_ESP_MED",76.36
"Sul","2014 Q2","PORCENT_ESP_MED",81.27
