"DISTRITO","UNIDADE","AREA","TRIMESTRE","TIPO","VALOR"
"Continente","CS JARDIM ATLÂNTICO","10","2018 Q2","PORCENT_ESP_MED",91.2
"Continente","CS NOVO CONTINENTE","100","2018 Q2","PORCENT_ESP_MED",99.83
"Continente","CS NOVO CONTINENTE","101","2018 Q2","PORCENT_ESP_MED",94.34
"Continente","CS NOVO CONTINENTE","102","2018 Q2","PORCENT_ESP_MED",93.12
"Continente","CS JARDIM ATLÂNTICO","11","2018 Q2","PORCENT_ESP_MED",92.46
"Centro","CS MONTE SERRAT","120","2018 Q2","PORCENT_ESP_MED",91.33
"Centro","CS MONTE SERRAT","121","2018 Q2","PORCENT_ESP_MED",91.43
"Centro","CS MONTE SERRAT","122","2018 Q2","PORCENT_ESP_MED",92.31
"Centro","CS PRAINHA","130","2018 Q2","PORCENT_ESP_MED",85.19
"Centro","CS PRAINHA","131","2018 Q2","PORCENT_ESP_MED",90.43
"Centro","CS PRAINHA","132","2018 Q2","PORCENT_ESP_MED",87.17
"Centro","CS PANTANAL","160","2018 Q2","PORCENT_ESP_MED",91.99
"Centro","CS PANTANAL","161","2018 Q2","PORCENT_ESP_MED",85.83
"Centro","CS CÓRREGO GRANDE","170","2018 Q2","PORCENT_ESP_MED",93.5
"Centro","CS CÓRREGO GRANDE","171","2018 Q2","PORCENT_ESP_MED",91.42
"Centro","CS ITACORUBI","190","2018 Q2","PORCENT_ESP_MED",89.64
"Centro","CS ITACORUBI","191","2018 Q2","PORCENT_ESP_MED",93.68
"Centro","CS ITACORUBI","192","2018 Q2","PORCENT_ESP_MED",88.13
"Centro","CS ITACORUBI","193","2018 Q2","PORCENT_ESP_MED",82.75
"Continente","CS BALNEÁRIO","20","2018 Q2","PORCENT_ESP_MED",81.41
"Sul","CS CAIEIRA BARRA DO SUL","200","2018 Q2","PORCENT_ESP_MED",73.89
"Continente","CS BALNEÁRIO","21","2018 Q2","PORCENT_ESP_MED",87.59
"Sul","CS ALTO RIBEIRÃO","210","2018 Q2","PORCENT_ESP_MED",89.9
"Sul","CS RIBEIRÃO DA ILHA","220","2018 Q2","PORCENT_ESP_MED",74.08
"Sul","CS PANTANO DO SUL","230","2018 Q2","PORCENT_ESP_MED",99.49
"Sul","CS ARMAÇÃO","240","2018 Q2","PORCENT_ESP_MED",90.2
"Sul","CS ARMAÇÃO","241","2018 Q2","PORCENT_ESP_MED",91.95
"Sul","CS ARMAÇÃO","242","2018 Q2","PORCENT_ESP_MED",85.95
"Sul","CS MORRO DAS PEDRAS","250","2018 Q2","PORCENT_ESP_MED",76.38
"Sul","CS MORRO DAS PEDRAS","251","2018 Q2","PORCENT_ESP_MED",79.63
"Sul","CS TAPERA","260","2018 Q2","PORCENT_ESP_MED",93.15
"Sul","CS TAPERA","261","2018 Q2","PORCENT_ESP_MED",94.58
"Sul","CS TAPERA","262","2018 Q2","PORCENT_ESP_MED",92.43
"Sul","CS TAPERA","263","2018 Q2","PORCENT_ESP_MED",94.92
"Sul","CS CARIANOS","270","2018 Q2","PORCENT_ESP_MED",86.01
"Sul","CS CARIANOS","271","2018 Q2","PORCENT_ESP_MED",85.82
"Sul","CS CARIANOS","272","2018 Q2","PORCENT_ESP_MED",91.26
"Sul","CS CAMPECHE","280","2018 Q2","PORCENT_ESP_MED",85.64
"Sul","CS CAMPECHE","281","2018 Q2","PORCENT_ESP_MED",90.96
"Sul","CS RIO TAVARES","290","2018 Q2","PORCENT_ESP_MED",94.73
"Sul","CS RIO TAVARES","291","2018 Q2","PORCENT_ESP_MED",96.08
"Sul","CS RIO TAVARES","292","2018 Q2","PORCENT_ESP_MED",96.9
"Sul","CS RIO TAVARES","293","2018 Q2","PORCENT_ESP_MED",96.92
"Continente","CS SAPE","30","2018 Q2","PORCENT_ESP_MED",94.2
"Sul","CS COSTEIRA DO PIRAJUBAÉ","300","2018 Q2","PORCENT_ESP_MED",86.25
"Sul","CS COSTEIRA DO PIRAJUBAÉ","301","2018 Q2","PORCENT_ESP_MED",85.16
"Sul","CS COSTEIRA DO PIRAJUBAÉ","302","2018 Q2","PORCENT_ESP_MED",75.52
"Continente","CS SAPE","31","2018 Q2","PORCENT_ESP_MED",91.14
