"DISTRITO","UNIDADE","TRIMESTRE","TIPO","VALOR"
"Continente","CS ABRAÃO","2018 Q2","CONSULTA_MED",2010
"Centro","CS AGRONÔMICA","2018 Q2","CONSULTA_MED",5322
"Sul","CS ALTO RIBEIRÃO","2018 Q2","CONSULTA_MED",1267
"Sul","CS ARMAÇÃO","2018 Q2","CONSULTA_MED",2209
"Continente","CS BALNEÁRIO","2018 Q2","CONSULTA_MED",1658
"Norte","CS BARRA DA LAGOA","2018 Q2","CONSULTA_MED",1462
"Norte","CS CACHOEIRA BOM JESUS","2018 Q2","CONSULTA_MED",1369
"Sul","CS CAIEIRA BARRA DO SUL","2018 Q2","CONSULTA_MED",835
"Sul","CS CAMPECHE","2018 Q2","CONSULTA_MED",2364
"Norte","CS CANASVIEIRAS","2018 Q2","CONSULTA_MED",3767
"Sul","CS CANTO DA LAGOA","2018 Q2","CONSULTA_MED",489
"Continente","CS CAPOEIRAS","2018 Q2","CONSULTA_MED",1585
"Sul","CS CARIANOS","2018 Q2","CONSULTA_MED",1784
"Centro","CS CENTRO","2018 Q2","CONSULTA_MED",2493
"Continente","CS COLONINHA","2018 Q2","CONSULTA_MED",2815
"Continente","CS COQUEIROS","2018 Q2","CONSULTA_MED",2661
"Centro","CS CÓRREGO GRANDE","2018 Q2","CONSULTA_MED",1585
"Sul","CS COSTA DA LAGOA","2018 Q2","CONSULTA_MED",432
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2018 Q2","CONSULTA_MED",2332
"Continente","CS ESTREITO","2018 Q2","CONSULTA_MED",2924
"Sul","CS FAZENDA DO RIO TAVARES","2018 Q2","CONSULTA_MED",1615
"Norte","CS INGLESES","2018 Q2","CONSULTA_MED",5671
"Centro","CS ITACORUBI","2018 Q2","CONSULTA_MED",3224
"Continente","CS JARDIM ATLÂNTICO","2018 Q2","CONSULTA_MED",536
"Centro","CS JOÃO PAULO","2018 Q2","CONSULTA_MED",2991
"Norte","CS JURERE","2018 Q2","CONSULTA_MED",1030
"Sul","CS LAGOA DA CONCEIÇÃO","2018 Q2","CONSULTA_MED",2699
"Continente","CS MONTE CRISTO","2018 Q2","CONSULTA_MED",6970
"Centro","CS MONTE SERRAT","2018 Q2","CONSULTA_MED",2442
"Sul","CS MORRO DAS PEDRAS","2018 Q2","CONSULTA_MED",1943
"Continente","CS NOVO CONTINENTE","2018 Q2","CONSULTA_MED",2932
"Centro","CS PANTANAL","2018 Q2","CONSULTA_MED",1544
"Sul","CS PANTANO DO SUL","2018 Q2","CONSULTA_MED",1380
"Norte","CS PONTA DAS CANAS","2018 Q2","CONSULTA_MED",1124
"Centro","CS PRAINHA","2018 Q2","CONSULTA_MED",1929
"Norte","CS RATONES","2018 Q2","CONSULTA_MED",1053
