"DISTRITO","TRIMESTRE","TIPO","VALOR"
"Centro","2018 Q2","CONSULTA_MED",28946
"Continente","2018 Q2","CONSULTA_MED",26256
"Norte","2018 Q2","CONSULTA_MED",34634
"Sul","2018 Q2","CONSULTA_MED",27338
"Centro","2018 Q2","CONSULTA_ODO",3907
"Continente","2018 Q2","CONSULTA_ODO",4818
"Norte","2018 Q2","CONSULTA_ODO",7176
"Sul","2018 Q2","CONSULTA_ODO",4527
"Centro","2018 Q2","ENCS_MED",2138
"Continente","2018 Q2","ENCS_MED",1815
"Norte","2018 Q2","ENCS_MED",2996
"Sul","2018 Q2","ENCS_MED",2130
"Centro","2018 Q2","ENCS_ODO",210
"Continente","2018 Q2","ENCS_ODO",228
"Norte","2018 Q2","ENCS_ODO",289
"Sul","2018 Q2","ENCS_ODO",227
"Centro","2018 Q2","PORCENT_ENCAMINHAMENTOS_MED",7.39
"Continente","2018 Q2","PORCENT_ENCAMINHAMENTOS_MED",6.91
"Norte","2018 Q2","PORCENT_ENCAMINHAMENTOS_MED",8.65
"Sul","2018 Q2","PORCENT_ENCAMINHAMENTOS_MED",7.79
"Centro","2018 Q2","PORCENT_ENCAMINHAMENTOS_ODO",5.37
"Continente","2018 Q2","PORCENT_ENCAMINHAMENTOS_ODO",4.73
"Norte","2018 Q2","PORCENT_ENCAMINHAMENTOS_ODO",4.03
"Sul","2018 Q2","PORCENT_ENCAMINHAMENTOS_ODO",5.01
"Centro","2013 Q1","CONSULTA_MED",20682
"Continente","2013 Q1","CONSULTA_MED",19308
"Norte","2013 Q1","CONSULTA_MED",28988
"Sul","2013 Q1","CONSULTA_MED",20923
"Centro","2013 Q2","CONSULTA_MED",22592
"Continente","2013 Q2","CONSULTA_MED",18546
"Norte","2013 Q2","CONSULTA_MED",31672
"Sul","2013 Q2","CONSULTA_MED",26187
"Centro","2013 Q3","CONSULTA_MED",22718
"Continente","2013 Q3","CONSULTA_MED",19704
"Norte","2013 Q3","CONSULTA_MED",31549
"Sul","2013 Q3","CONSULTA_MED",26911
"Centro","2013 Q4","CONSULTA_MED",21981
"Continente","2013 Q4","CONSULTA_MED",17673
"Norte","2013 Q4","CONSULTA_MED",27557
"Sul","2013 Q4","CONSULTA_MED",24677
"Centro","2014 Q1","CONSULTA_MED",23250
"Continente","2014 Q1","CONSULTA_MED",19265
"Norte","2014 Q1","CONSULTA_MED",32802
"Sul","2014 Q1","CONSULTA_MED",27358
"Centro","2014 Q2","CONSULTA_MED",23440
"Continente","2014 Q2","CONSULTA_MED",18592
"Norte","2014 Q2","CONSULTA_MED",30185
"Sul","2014 Q2","CONSULTA_MED",28232
"Centro","2014 Q3","CONSULTA_MED",24613
"Continente","2014 Q3","CONSULTA_MED",22081
"Norte","2014 Q3","CONSULTA_MED",35008
"Sul","2014 Q3","CONSULTA_MED",31567
"Centro","2014 Q4","CONSULTA_MED",22039
"Continente","2014 Q4","CONSULTA_MED",20455
"Norte","2014 Q4","CONSULTA_MED",31088
