"DISTRITO","UNIDADE","AREA","TRIMESTRE","TIPO","VALOR"
"Continente","CS JARDIM ATLÂNTICO",10,"2013 Q1","CONSULTA_MED",103
"Continente","CS NOVO CONTINENTE",100,"2013 Q1","CONSULTA_MED",505
"Continente","CS NOVO CONTINENTE",101,"2013 Q1","CONSULTA_MED",378
"Continente","CS NOVO CONTINENTE",102,"2013 Q1","CONSULTA_MED",432
"Continente","CS JARDIM ATLÂNTICO",11,"2013 Q1","CONSULTA_MED",103
"Centro","CS MONTE SERRAT",120,"2013 Q1","CONSULTA_MED",825
"Centro","CS MONTE SERRAT",121,"2013 Q1","CONSULTA_MED",455
"Centro","CS MONTE SERRAT",122,"2013 Q1","CONSULTA_MED",779
"Centro","CS PRAINHA",130,"2013 Q1","CONSULTA_MED",591
"Centro","CS PRAINHA",131,"2013 Q1","CONSULTA_MED",590
"Centro","CS PRAINHA",132,"2013 Q1","CONSULTA_MED",822
"Centro","CS PANTANAL",160,"2013 Q1","CONSULTA_MED",672
"Centro","CS PANTANAL",161,"2013 Q1","CONSULTA_MED",639
"Centro","CS CÓRREGO GRANDE",170,"2013 Q1","CONSULTA_MED",760
"Centro","CS CÓRREGO GRANDE",171,"2013 Q1","CONSULTA_MED",577
"Centro","CS CÓRREGO GRANDE",172,"2013 Q1","CONSULTA_MED",287
"Centro","CS ITACORUBI",190,"2013 Q1","CONSULTA_MED",846
"Centro","CS ITACORUBI",191,"2013 Q1","CONSULTA_MED",827
"Centro","CS ITACORUBI",192,"2013 Q1","CONSULTA_MED",827
"Centro","CS ITACORUBI",193,"2013 Q1","CONSULTA_MED",422
"Continente","CS BALNEÁRIO",20,"2013 Q1","CONSULTA_MED",435
"Sul","CS CAIEIRA BARRA DO SUL",200,"2013 Q1","CONSULTA_MED",574
"Continente","CS BALNEÁRIO",21,"2013 Q1","CONSULTA_MED",569
"Sul","CS ALTO RIBEIRÃO",210,"2013 Q1","CONSULTA_MED",1340
"Sul","CS RIBEIRÃO DA ILHA",220,"2013 Q1","CONSULTA_MED",854
"Sul","CS PANTANO DO SUL",230,"2013 Q1","CONSULTA_MED",847
"Sul","CS ARMAÇÃO",240,"2013 Q1","CONSULTA_MED",581
"Sul","CS ARMAÇÃO",241,"2013 Q1","CONSULTA_MED",669
"Sul","CS ARMAÇÃO",242,"2013 Q1","CONSULTA_MED",122
"Sul","CS MORRO DAS PEDRAS",250,"2013 Q1","CONSULTA_MED",592
"Sul","CS MORRO DAS PEDRAS",251,"2013 Q1","CONSULTA_MED",342
"Sul","CS TAPERA",260,"2013 Q1","CONSULTA_MED",1124
"Sul","CS TAPERA",261,"2013 Q1","CONSULTA_MED",892
"Sul","CS TAPERA",262,"2013 Q1","CONSULTA_MED",1228
"Sul","CS TAPERA",263,"2013 Q1","CONSULTA_MED",950
"Sul","CS CARIANOS",270,"2013 Q1","CONSULTA_MED",382
"Sul","CS CARIANOS",271,"2013 Q1","CONSULTA_MED",749
"Sul","CS CARIANOS",272,"2013 Q1","CONSULTA_MED",83
"Sul","CS CAMPECHE",280,"2013 Q1","CONSULTA_MED",657
"Sul","CS CAMPECHE",281,"2013 Q1","CONSULTA_MED",531
"Sul","CS RIO TAVARES",290,"2013 Q1","CONSULTA_MED",784
"Sul","CS RIO TAVARES",291,"2013 Q1","CONSULTA_MED",504
"Sul","CS RIO TAVARES",292,"2013 Q1","CONSULTA_MED",204
"Sul","CS RIO TAVARES",293,"2013 Q1","CONSULTA_MED",100
"Continente","CS SAPE",30,"2013 Q1","CONSULTA_MED",535
"Sul","CS COSTEIRA DO PIRAJUBAÉ",300,"2013 Q1","CONSULTA_MED",432
"Sul","CS COSTEIRA DO PIRAJUBAÉ",301,"2013 Q1","CONSULTA_MED",981
"Sul","CS COSTEIRA DO PIRAJUBAÉ",302,"2013 Q1","CONSULTA_MED",697
"Continente","CS SAPE",31,"2013 Q1","CONSULTA_MED",640
"Centro","CS SACO DOS LIMÕES",310,"2013 Q1","CONSULTA_MED",340
"Centro","CS SACO DOS LIMÕES",311,"2013 Q1","CONSULTA_MED",759
"Centro","CS SACO DOS LIMÕES",312,"2013 Q1","CONSULTA_MED",855
"Centro","CS SACO DOS LIMÕES",313,"2013 Q1","CONSULTA_MED",115
"Centro","CS SACO DOS LIMÕES",314,"2013 Q1","CONSULTA_MED",69
"Centro","CS JOÃO PAULO",320,"2013 Q1","CONSULTA_MED",1224
"Centro","CS JOÃO PAULO",321,"2013 Q1","CONSULTA_MED",602
"Norte","CS SACO GRANDE",330,"2013 Q1","CONSULTA_MED",1227
"Norte","CS SACO GRANDE",331,"2013 Q1","CONSULTA_MED",972
"Norte","CS SACO GRANDE",332,"2013 Q1","CONSULTA_MED",1319
"Norte","CS SACO GRANDE",333,"2013 Q1","CONSULTA_MED",1015
"Norte","CS SACO GRANDE",334,"2013 Q1","CONSULTA_MED",1344
"Norte","CS SACO GRANDE",335,"2013 Q1","CONSULTA_MED",1455
"Norte","CS VARGEM PEQUENA",340,"2013 Q1","CONSULTA_MED",528
"Norte","CS RATONES",350,"2013 Q1","CONSULTA_MED",429
"Norte","CS RATONES",351,"2013 Q1","CONSULTA_MED",208
"Norte","CS SANTO ANTONIO LISBOA",360,"2013 Q1","CONSULTA_MED",802
"Norte","CS SANTO ANTONIO LISBOA",361,"2013 Q1","CONSULTA_MED",752
"Norte","CS PONTA DAS CANAS",370,"2013 Q1","CONSULTA_MED",574
"Norte","CS PONTA DAS CANAS",371,"2013 Q1","CONSULTA_MED",216
"Norte","CS CANASVIEIRAS",380,"2013 Q1","CONSULTA_MED",588
"Norte","CS CANASVIEIRAS",381,"2013 Q1","CONSULTA_MED",720
"Norte","CS CANASVIEIRAS",382,"2013 Q1","CONSULTA_MED",685
"Norte","CS CANASVIEIRAS",383,"2013 Q1","CONSULTA_MED",467
"Norte","CS CANASVIEIRAS",384,"2013 Q1","CONSULTA_MED",565
"Norte","CS JURERE",390,"2013 Q1","CONSULTA_MED",849
"Continente","CS MONTE CRISTO",40,"2013 Q1","CONSULTA_MED",624
"Norte","CS CACHOEIRA BOM JESUS",400,"2013 Q1","CONSULTA_MED",812
"Norte","CS CACHOEIRA BOM JESUS",401,"2013 Q1","CONSULTA_MED",508
"Continente","CS MONTE CRISTO",41,"2013 Q1","CONSULTA_MED",910
"Norte","CS VARGEM GRANDE",410,"2013 Q1","CONSULTA_MED",215
"Continente","CS MONTE CRISTO",42,"2013 Q1","CONSULTA_MED",367
"Norte","CS RIO VERMELHO",420,"2013 Q1","CONSULTA_MED",853
"Norte","CS RIO VERMELHO",421,"2013 Q1","CONSULTA_MED",756
"Norte","CS RIO VERMELHO",422,"2013 Q1","CONSULTA_MED",534
"Norte","CS RIO VERMELHO",423,"2013 Q1","CONSULTA_MED",668
"Norte","CS RIO VERMELHO",424,"2013 Q1","CONSULTA_MED",443
"Continente","CS MONTE CRISTO",43,"2013 Q1","CONSULTA_MED",636
"Norte","CS INGLESES",431,"2013 Q1","CONSULTA_MED",657
"Norte","CS INGLESES",432,"2013 Q1","CONSULTA_MED",1149
"Norte","CS INGLESES",433,"2013 Q1","CONSULTA_MED",876
"Norte","CS INGLESES",434,"2013 Q1","CONSULTA_MED",620
"Norte","CS INGLESES",435,"2013 Q1","CONSULTA_MED",988
"Norte","CS INGLESES",436,"2013 Q1","CONSULTA_MED",1236
"Norte","CS INGLESES",437,"2013 Q1","CONSULTA_MED",251
"Norte","CS INGLESES",438,"2013 Q1","CONSULTA_MED",157
"Continente","CS MONTE CRISTO",44,"2013 Q1","CONSULTA_MED",854
"Norte","CS BARRA DA LAGOA",440,"2013 Q1","CONSULTA_MED",795
"Norte","CS BARRA DA LAGOA",441,"2013 Q1","CONSULTA_MED",1031
"Norte","CS BARRA DA LAGOA",442,"2013 Q1","CONSULTA_MED",244
"Continente","CS MONTE CRISTO",45,"2013 Q1","CONSULTA_MED",591
"Sul","CS CANTO DA LAGOA",450,"2013 Q1","CONSULTA_MED",585
"Continente","CS MONTE CRISTO",46,"2013 Q1","CONSULTA_MED",172
"Sul","CS COSTA DA LAGOA",460,"2013 Q1","CONSULTA_MED",585
"Sul","CS LAGOA DA CONCEIÇÃO",470,"2013 Q1","CONSULTA_MED",772
"Sul","CS LAGOA DA CONCEIÇÃO",471,"2013 Q1","CONSULTA_MED",663
