"TRIMESTRE","TIPO","VALOR"
"2013 Q1","CONSULTA_MED",89901
"2013 Q2","CONSULTA_MED",98997
"2013 Q3","CONSULTA_MED",100882
"2013 Q4","CONSULTA_MED",91888
"2014 Q1","CONSULTA_MED",102675
"2014 Q2","CONSULTA_MED",100449
"2014 Q3","CONSULTA_MED",113269
"2014 Q4","CONSULTA_MED",100504
"2015 Q1","CONSULTA_MED",99626
"2015 Q2","CONSULTA_MED",98661
"2015 Q3","CONSULTA_MED",119031
"2015 Q4","CONSULTA_MED",102653
"2016 Q1","CONSULTA_MED",109962
"2016 Q2","CONSULTA_MED",124430
"2016 Q3","CONSULTA_MED",118161
"2016 Q4","CONSULTA_MED",107530
"2017 Q1","CONSULTA_MED",77939
"2017 Q2","CONSULTA_MED",114513
"2017 Q3","CONSULTA_MED",127637
"2017 Q4","CONSULTA_MED",124303
"2018 Q1","CONSULTA_MED",127251
"2013 Q1","CONSULTA_ODO",20252
"2013 Q2","CONSULTA_ODO",21131
"2013 Q3","CONSULTA_ODO",23457
"2013 Q4","CONSULTA_ODO",18113
"2014 Q1","CONSULTA_ODO",18873
"2014 Q2","CONSULTA_ODO",20166
"2014 Q3","CONSULTA_ODO",24517
"2014 Q4","CONSULTA_ODO",20602
"2015 Q1","CONSULTA_ODO",17937
"2015 Q2","CONSULTA_ODO",17991
"2015 Q3","CONSULTA_ODO",23795
"2015 Q4","CONSULTA_ODO",19214
"2016 Q1","CONSULTA_ODO",17722
"2016 Q2","CONSULTA_ODO",22737
"2016 Q3","CONSULTA_ODO",23734
"2016 Q4","CONSULTA_ODO",20068
"2017 Q1","CONSULTA_ODO",12246
"2017 Q2","CONSULTA_ODO",23358
"2017 Q3","CONSULTA_ODO",26246
"2017 Q4","CONSULTA_ODO",21807
"2018 Q1","CONSULTA_ODO",21153
"2013 Q1","ENCS_MED",8867
"2013 Q2","ENCS_MED",9833
"2013 Q3","ENCS_MED",9982
"2013 Q4","ENCS_MED",9019
"2014 Q1","ENCS_MED",10195
"2014 Q2","ENCS_MED",10466
"2014 Q3","ENCS_MED",11449
"2014 Q4","ENCS_MED",9624
"2015 Q1","ENCS_MED",9623
"2015 Q2","ENCS_MED",9229
"2015 Q3","ENCS_MED",11330
"2015 Q4","ENCS_MED",8893
"2016 Q1","ENCS_MED",9591
"2016 Q2","ENCS_MED",10624
"2016 Q3","ENCS_MED",9636
"2016 Q4","ENCS_MED",8529
"2017 Q1","ENCS_MED",5614
"2017 Q2","ENCS_MED",9172
"2017 Q3","ENCS_MED",10746
"2017 Q4","ENCS_MED",9783
"2018 Q1","ENCS_MED",9858
"2013 Q1","ENCS_ODO",747
"2013 Q2","ENCS_ODO",852
"2013 Q3","ENCS_ODO",1018
"2013 Q4","ENCS_ODO",714
"2014 Q1","ENCS_ODO",683
"2014 Q2","ENCS_ODO",662
"2014 Q3","ENCS_ODO",880
"2014 Q4","ENCS_ODO",761
"2015 Q1","ENCS_ODO",672
"2015 Q2","ENCS_ODO",599
"2015 Q3","ENCS_ODO",1036
"2015 Q4","ENCS_ODO",760
"2016 Q1","ENCS_ODO",704
"2016 Q2","ENCS_ODO",818
"2016 Q3","ENCS_ODO",1077
"2016 Q4","ENCS_ODO",961
"2017 Q1","ENCS_ODO",540
"2017 Q2","ENCS_ODO",1087
"2017 Q3","ENCS_ODO",1274
"2017 Q4","ENCS_ODO",1102
"2018 Q1","ENCS_ODO",1115
"2013 Q1","PORCENT_ENCAMINHAMENTOS_MED",9.86
"2013 Q2","PORCENT_ENCAMINHAMENTOS_MED",9.93
"2013 Q3","PORCENT_ENCAMINHAMENTOS_MED",9.89
"2013 Q4","PORCENT_ENCAMINHAMENTOS_MED",9.82
"2014 Q1","PORCENT_ENCAMINHAMENTOS_MED",9.93
"2014 Q2","PORCENT_ENCAMINHAMENTOS_MED",10.42
"2014 Q3","PORCENT_ENCAMINHAMENTOS_MED",10.11
"2014 Q4","PORCENT_ENCAMINHAMENTOS_MED",9.58
"2015 Q1","PORCENT_ENCAMINHAMENTOS_MED",9.66
"2015 Q2","PORCENT_ENCAMINHAMENTOS_MED",9.35
"2015 Q3","PORCENT_ENCAMINHAMENTOS_MED",9.52
"2015 Q4","PORCENT_ENCAMINHAMENTOS_MED",8.66
"2016 Q1","PORCENT_ENCAMINHAMENTOS_MED",8.72
"2016 Q2","PORCENT_ENCAMINHAMENTOS_MED",8.54
"2016 Q3","PORCENT_ENCAMINHAMENTOS_MED",8.15
"2016 Q4","PORCENT_ENCAMINHAMENTOS_MED",7.93
"2017 Q1","PORCENT_ENCAMINHAMENTOS_MED",7.2
"2017 Q2","PORCENT_ENCAMINHAMENTOS_MED",8.01
"2017 Q3","PORCENT_ENCAMINHAMENTOS_MED",8.42
"2017 Q4","PORCENT_ENCAMINHAMENTOS_MED",7.87
"2018 Q1","PORCENT_ENCAMINHAMENTOS_MED",7.75
"2013 Q1","PORCENT_ENCAMINHAMENTOS_ODO",3.69
"2013 Q2","PORCENT_ENCAMINHAMENTOS_ODO",4.03
"2013 Q3","PORCENT_ENCAMINHAMENTOS_ODO",4.34
"2013 Q4","PORCENT_ENCAMINHAMENTOS_ODO",3.94
"2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",3.62
"2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",3.28
"2014 Q3","PORCENT_ENCAMINHAMENTOS_ODO",3.59
"2014 Q4","PORCENT_ENCAMINHAMENTOS_ODO",3.69
"2015 Q1","PORCENT_ENCAMINHAMENTOS_ODO",3.75
"2015 Q2","PORCENT_ENCAMINHAMENTOS_ODO",3.33
"2015 Q3","PORCENT_ENCAMINHAMENTOS_ODO",4.35
"2015 Q4","PORCENT_ENCAMINHAMENTOS_ODO",3.96
"2016 Q1","PORCENT_ENCAMINHAMENTOS_ODO",3.97
"2016 Q2","PORCENT_ENCAMINHAMENTOS_ODO",3.6
"2016 Q3","PORCENT_ENCAMINHAMENTOS_ODO",4.54
"2016 Q4","PORCENT_ENCAMINHAMENTOS_ODO",4.79
"2017 Q1","PORCENT_ENCAMINHAMENTOS_ODO",4.41
"2017 Q2","PORCENT_ENCAMINHAMENTOS_ODO",4.65
"2017 Q3","PORCENT_ENCAMINHAMENTOS_ODO",4.85
"2017 Q4","PORCENT_ENCAMINHAMENTOS_ODO",5.05
"2018 Q1","PORCENT_ENCAMINHAMENTOS_ODO",5.27
