"DISTRITO","UNIDADE","ANO","MES","CONSULTA_MED","CONSULTA_ODO","ENCS_MED","ENCS_ODO","AREA"
"Centro","CS AGRONÔMICA",2018,4,405,70,28,2,690
"Centro","CS AGRONÔMICA",2018,5,499,87,48,8,690
"Centro","CS AGRONÔMICA",2018,6,657,90,57,1,690
"Centro","CS AGRONÔMICA",2018,7,282,116,19,7,690
"Centro","CS AGRONÔMICA",2018,4,310,40,16,0,691
"Centro","CS AGRONÔMICA",2018,5,397,63,28,3,691
"Centro","CS AGRONÔMICA",2018,6,490,72,32,2,691
"Centro","CS AGRONÔMICA",2018,7,498,79,44,0,691
"Centro","CS AGRONÔMICA",2018,4,246,58,20,0,692
"Centro","CS AGRONÔMICA",2018,5,399,50,31,4,692
"Centro","CS AGRONÔMICA",2018,6,478,67,41,0,692
"Centro","CS AGRONÔMICA",2018,7,456,68,40,0,692
"Centro","CS AGRONÔMICA",2018,4,344,62,20,6,693
"Centro","CS AGRONÔMICA",2018,5,495,63,31,10,693
"Centro","CS AGRONÔMICA",2018,6,602,69,42,3,693
"Centro","CS AGRONÔMICA",2018,7,620,56,45,1,693
"Centro","CS CENTRO",2018,4,451,81,47,4,950
"Centro","CS CENTRO",2018,5,374,79,38,5,950
"Centro","CS CENTRO",2018,6,415,54,54,2,950
"Centro","CS CENTRO",2018,7,488,79,44,5,950
"Centro","CS CENTRO",2018,4,200,32,34,1,951
"Centro","CS CENTRO",2018,5,180,38,25,1,951
"Centro","CS CENTRO",2018,6,189,10,24,0,951
"Centro","CS CENTRO",2018,7,178,25,28,1,951
"Centro","CS CENTRO",2018,4,228,44,34,6,952
"Centro","CS CENTRO",2018,5,198,30,28,1,952
"Centro","CS CENTRO",2018,6,258,15,30,1,952
"Centro","CS CENTRO",2018,7,296,50,22,2,952
"Centro","CS CÓRREGO GRANDE",2018,4,163,29,6,0,170
"Centro","CS CÓRREGO GRANDE",2018,5,264,55,23,3,170
"Centro","CS CÓRREGO GRANDE",2018,6,342,71,35,1,170
"Centro","CS CÓRREGO GRANDE",2018,7,379,21,38,0,170
"Centro","CS CÓRREGO GRANDE",2018,4,188,47,10,1,171
"Centro","CS CÓRREGO GRANDE",2018,5,280,49,15,2,171
"Centro","CS CÓRREGO GRANDE",2018,6,348,47,27,0,171
"Centro","CS CÓRREGO GRANDE",2018,7,336,30,38,0,171
"Centro","CS ITACORUBI",2018,4,244,22,20,1,190
"Centro","CS ITACORUBI",2018,5,303,3,23,0,190
"Centro","CS ITACORUBI",2018,6,331,31,27,1,190
"Centro","CS ITACORUBI",2018,7,328,39,27,1,190
"Centro","CS ITACORUBI",2018,4,299,32,8,2,191
"Centro","CS ITACORUBI",2018,5,193,4,10,0,191
"Centro","CS ITACORUBI",2018,6,457,56,36,3,191
"Centro","CS ITACORUBI",2018,7,387,61,12,1,191
"Centro","CS ITACORUBI",2018,4,269,62,22,1,192
"Centro","CS ITACORUBI",2018,5,275,13,24,1,192
"Centro","CS ITACORUBI",2018,6,366,62,24,4,192
"Centro","CS ITACORUBI",2018,7,417,65,22,3,192
"Centro","CS ITACORUBI",2018,4,71,15,3,1,193
"Centro","CS ITACORUBI",2018,5,181,8,14,0,193
"Centro","CS ITACORUBI",2018,6,235,33,24,1,193
"Centro","CS ITACORUBI",2018,7,235,31,9,0,193
"Centro","CS JOÃO PAULO",2018,4,519,76,22,1,320
"Centro","CS JOÃO PAULO",2018,5,585,109,24,0,320
"Centro","CS JOÃO PAULO",2018,6,660,54,31,0,320
"Centro","CS JOÃO PAULO",2018,7,690,84,43,0,320
"Centro","CS JOÃO PAULO",2018,4,432,53,13,1,321
"Centro","CS JOÃO PAULO",2018,5,389,25,13,1,321
"Centro","CS JOÃO PAULO",2018,6,406,70,18,1,321
"Centro","CS JOÃO PAULO",2018,7,450,34,12,0,321
"Centro","CS MONTE SERRAT",2018,4,165,41,17,4,120
"Centro","CS MONTE SERRAT",2018,5,274,32,24,3,120
"Centro","CS MONTE SERRAT",2018,6,334,36,17,0,120
"Centro","CS MONTE SERRAT",2018,7,442,42,34,3,120
"Centro","CS MONTE SERRAT",2018,4,140,25,15,7,121
"Centro","CS MONTE SERRAT",2018,5,104,20,5,1,121
"Centro","CS MONTE SERRAT",2018,6,293,28,32,1,121
"Centro","CS MONTE SERRAT",2018,7,277,36,37,3,121
"Centro","CS MONTE SERRAT",2018,4,224,45,17,2,122
"Centro","CS MONTE SERRAT",2018,5,392,44,26,6,122
"Centro","CS MONTE SERRAT",2018,6,516,47,30,3,122
"Centro","CS MONTE SERRAT",2018,7,532,59,33,4,122
"Centro","CS PANTANAL",2018,4,187,5,22,0,160
"Centro","CS PANTANAL",2018,5,261,24,21,3,160
"Centro","CS PANTANAL",2018,6,376,45,28,0,160
"Centro","CS PANTANAL",2018,7,400,53,29,4,160
"Centro","CS PANTANAL",2018,4,153,3,16,0,161
"Centro","CS PANTANAL",2018,5,253,13,30,2,161
"Centro","CS PANTANAL",2018,6,314,64,37,4,161
"Centro","CS PANTANAL",2018,7,251,33,15,6,161
"Centro","CS PRAINHA",2018,4,176,25,12,1,130
"Centro","CS PRAINHA",2018,5,291,48,21,4,130
"Centro","CS PRAINHA",2018,6,438,71,26,2,130
"Centro","CS PRAINHA",2018,7,383,74,21,4,130
"Centro","CS PRAINHA",2018,4,120,23,10,4,131
"Centro","CS PRAINHA",2018,5,203,45,21,3,131
"Centro","CS PRAINHA",2018,6,210,52,23,1,131
"Centro","CS PRAINHA",2018,7,314,64,25,0,131
"Centro","CS PRAINHA",2018,4,83,46,4,4,132
"Centro","CS PRAINHA",2018,5,172,59,9,3,132
"Centro","CS PRAINHA",2018,6,236,98,13,9,132
"Centro","CS PRAINHA",2018,7,278,83,27,1,132
"Centro","CS SACO DOS LIMÕES",2018,4,197,5,7,0,310
"Centro","CS SACO DOS LIMÕES",2018,5,338,5,9,0,310
"Centro","CS SACO DOS LIMÕES",2018,6,472,20,11,0,310
"Centro","CS SACO DOS LIMÕES",2018,7,443,13,12,1,310
"Centro","CS SACO DOS LIMÕES",2018,4,155,13,6,1,311
"Centro","CS SACO DOS LIMÕES",2018,5,308,10,20,0,311
"Centro","CS SACO DOS LIMÕES",2018,6,328,14,35,2,311
"Centro","CS SACO DOS LIMÕES",2018,7,359,13,34,0,311
"Centro","CS SACO DOS LIMÕES",2018,4,183,18,5,4,312
"Centro","CS SACO DOS LIMÕES",2018,5,163,18,3,1,312
"Centro","CS SACO DOS LIMÕES",2018,6,458,29,31,2,312
"Centro","CS SACO DOS LIMÕES",2018,7,414,31,28,2,312
"Centro","CS SACO DOS LIMÕES",2018,4,90,7,4,0,313
"Centro","CS SACO DOS LIMÕES",2018,5,130,2,9,0,313
"Centro","CS SACO DOS LIMÕES",2018,6,151,1,4,0,313
"Centro","CS SACO DOS LIMÕES",2018,7,137,0,6,0,313
"Centro","CS SACO DOS LIMÕES",2018,4,49,2,4,0,314
"Centro","CS SACO DOS LIMÕES",2018,5,73,1,3,0,314
"Centro","CS SACO DOS LIMÕES",2018,6,79,3,3,0,314
"Centro","CS SACO DOS LIMÕES",2018,7,91,1,4,1,314
"Centro","CS SACO DOS LIMÕES",2018,4,2,0,0,0,NA
"Centro","CS SACO DOS LIMÕES",2018,6,2,0,0,0,NA
"Centro","CS SACO DOS LIMÕES",2018,7,1,0,0,0,NA
"Centro","CS TRINDADE",2018,4,136,24,8,3,850
"Centro","CS TRINDADE",2018,5,288,37,19,3,850
"Centro","CS TRINDADE",2018,6,337,62,20,4,850
"Centro","CS TRINDADE",2018,7,309,68,25,8,850
"Centro","CS TRINDADE",2018,4,217,37,20,6,851
"Centro","CS TRINDADE",2018,5,329,51,17,4,851
"Centro","CS TRINDADE",2018,6,418,53,17,4,851
"Centro","CS TRINDADE",2018,7,203,66,4,4,851
"Centro","CS TRINDADE",2018,4,214,28,21,2,852
