"DISTRITO","UNIDADE","ANO","MES","CONS_ENF","CONS_MED","CONS_ODO","FALTAS_ENF","FALTAS_MED","FALTAS_ODO","AREA"
"Centro","CS AGRONÔMICA",2018,4,94,405,70,4,9,17,690
"Centro","CS AGRONÔMICA",2018,5,180,499,87,11,7,7,690
"Centro","CS AGRONÔMICA",2018,6,135,657,90,13,7,13,690
"Centro","CS AGRONÔMICA",2018,7,299,282,116,41,2,17,690
"Centro","CS AGRONÔMICA",2018,4,104,311,40,4,4,4,691
"Centro","CS AGRONÔMICA",2018,5,126,397,63,5,3,1,691
"Centro","CS AGRONÔMICA",2018,6,205,490,72,8,5,4,691
"Centro","CS AGRONÔMICA",2018,7,182,499,79,6,6,2,691
"Centro","CS AGRONÔMICA",2018,4,39,246,58,0,2,9,692
"Centro","CS AGRONÔMICA",2018,5,163,399,50,7,10,9,692
"Centro","CS AGRONÔMICA",2018,6,171,480,67,8,10,7,692
"Centro","CS AGRONÔMICA",2018,7,131,456,68,6,7,9,692
"Centro","CS AGRONÔMICA",2018,4,70,344,62,0,3,5,693
"Centro","CS AGRONÔMICA",2018,5,152,495,63,2,6,4,693
"Centro","CS AGRONÔMICA",2018,6,181,602,69,2,12,11,693
"Centro","CS AGRONÔMICA",2018,7,185,620,56,5,20,3,693
"Centro","CS CENTRO",2018,4,241,451,81,6,25,10,950
"Centro","CS CENTRO",2018,5,276,374,79,3,16,16,950
"Centro","CS CENTRO",2018,6,338,417,54,10,39,8,950
"Centro","CS CENTRO",2018,7,410,488,79,11,17,11,950
"Centro","CS CENTRO",2018,4,109,200,32,0,18,5,951
"Centro","CS CENTRO",2018,5,132,180,38,1,16,4,951
"Centro","CS CENTRO",2018,6,127,190,10,5,19,1,951
"Centro","CS CENTRO",2018,7,174,177,25,8,18,4,951
"Centro","CS CENTRO",2018,4,137,228,44,1,17,9,952
"Centro","CS CENTRO",2018,5,197,198,30,5,15,3,952
"Centro","CS CENTRO",2018,6,211,258,15,6,27,3,952
"Centro","CS CENTRO",2018,7,228,296,50,9,19,1,952
"Centro","CS CÓRREGO GRANDE",2018,4,128,163,29,2,3,0,170
"Centro","CS CÓRREGO GRANDE",2018,5,187,264,55,7,4,5,170
"Centro","CS CÓRREGO GRANDE",2018,6,198,342,71,14,6,5,170
"Centro","CS CÓRREGO GRANDE",2018,7,20,380,21,1,13,2,170
"Centro","CS CÓRREGO GRANDE",2018,4,164,188,47,9,5,9,171
"Centro","CS CÓRREGO GRANDE",2018,5,254,280,49,2,2,12,171
"Centro","CS CÓRREGO GRANDE",2018,6,232,348,47,6,6,7,171
"Centro","CS CÓRREGO GRANDE",2018,7,168,336,30,6,9,1,171
"Centro","CS ITACORUBI",2018,4,365,244,22,19,7,2,190
"Centro","CS ITACORUBI",2018,5,248,303,3,6,10,0,190
"Centro","CS ITACORUBI",2018,6,210,331,31,5,8,2,190
"Centro","CS ITACORUBI",2018,7,238,328,39,13,9,2,190
"Centro","CS ITACORUBI",2018,4,380,299,32,2,3,2,191
"Centro","CS ITACORUBI",2018,5,357,194,4,2,4,1,191
"Centro","CS ITACORUBI",2018,6,68,457,56,2,4,3,191
"Centro","CS ITACORUBI",2018,7,407,387,61,2,3,2,191
"Centro","CS ITACORUBI",2018,4,158,269,62,10,13,3,192
"Centro","CS ITACORUBI",2018,5,161,275,13,10,9,0,192
"Centro","CS ITACORUBI",2018,6,111,366,62,11,16,3,192
"Centro","CS ITACORUBI",2018,7,145,417,65,18,18,5,192
"Centro","CS ITACORUBI",2018,4,128,71,15,3,1,3,193
"Centro","CS ITACORUBI",2018,5,144,181,8,9,14,1,193
"Centro","CS ITACORUBI",2018,6,74,235,33,5,10,2,193
"Centro","CS ITACORUBI",2018,7,125,235,31,3,14,5,193
"Centro","CS JOÃO PAULO",2018,4,254,519,76,1,40,3,320
"Centro","CS JOÃO PAULO",2018,5,364,586,109,1,26,6,320
"Centro","CS JOÃO PAULO",2018,6,373,663,54,5,35,4,320
"Centro","CS JOÃO PAULO",2018,7,404,695,84,6,63,2,320
"Centro","CS JOÃO PAULO",2018,4,129,432,53,0,40,10,321
"Centro","CS JOÃO PAULO",2018,5,209,393,25,1,12,0,321
"Centro","CS JOÃO PAULO",2018,6,177,419,70,1,33,7,321
"Centro","CS JOÃO PAULO",2018,7,184,455,34,2,30,0,321
"Centro","CS MONTE SERRAT",2018,4,258,165,41,9,15,12,120
"Centro","CS MONTE SERRAT",2018,5,201,275,32,11,13,20,120
"Centro","CS MONTE SERRAT",2018,6,286,335,36,10,25,16,120
"Centro","CS MONTE SERRAT",2018,7,218,442,42,16,33,18,120
"Centro","CS MONTE SERRAT",2018,4,100,140,25,6,11,4,121
"Centro","CS MONTE SERRAT",2018,5,143,104,20,6,2,9,121
"Centro","CS MONTE SERRAT",2018,6,91,293,28,4,13,8,121
"Centro","CS MONTE SERRAT",2018,7,41,277,36,7,6,11,121
"Centro","CS MONTE SERRAT",2018,4,277,224,45,16,29,16,122
"Centro","CS MONTE SERRAT",2018,5,207,393,44,19,15,11,122
"Centro","CS MONTE SERRAT",2018,6,263,516,47,12,44,23,122
"Centro","CS MONTE SERRAT",2018,7,196,532,59,13,30,18,122
"Centro","CS PANTANAL",2018,4,29,187,5,1,1,0,160
"Centro","CS PANTANAL",2018,5,136,261,24,15,6,4,160
"Centro","CS PANTANAL",2018,6,146,376,45,12,17,5,160
"Centro","CS PANTANAL",2018,7,154,401,53,7,15,2,160
"Centro","CS PANTANAL",2018,4,16,153,3,1,3,0,161
"Centro","CS PANTANAL",2018,5,180,253,13,4,15,5,161
"Centro","CS PANTANAL",2018,6,110,314,64,14,31,10,161
"Centro","CS PANTANAL",2018,7,74,251,33,7,45,4,161
"Centro","CS PRAINHA",2018,4,75,178,25,5,19,1,130
"Centro","CS PRAINHA",2018,5,150,294,48,8,17,2,130
"Centro","CS PRAINHA",2018,6,196,441,71,13,31,11,130
"Centro","CS PRAINHA",2018,7,168,386,74,11,42,13,130
"Centro","CS PRAINHA",2018,4,66,120,23,3,3,1,131
"Centro","CS PRAINHA",2018,5,107,203,45,7,5,3,131
"Centro","CS PRAINHA",2018,6,124,210,52,5,12,8,131
"Centro","CS PRAINHA",2018,7,121,314,64,11,20,14,131
"Centro","CS PRAINHA",2018,4,127,83,46,8,2,5,132
"Centro","CS PRAINHA",2018,5,110,173,59,7,6,7,132
"Centro","CS PRAINHA",2018,6,130,239,98,9,17,13,132
"Centro","CS PRAINHA",2018,7,146,281,83,7,19,22,132
"Centro","CS SACO DOS LIMÕES",2018,4,50,197,5,0,7,0,310
"Centro","CS SACO DOS LIMÕES",2018,5,53,338,5,1,7,0,310
"Centro","CS SACO DOS LIMÕES",2018,6,90,472,20,7,22,1,310
"Centro","CS SACO DOS LIMÕES",2018,7,95,443,13,9,12,1,310
"Centro","CS SACO DOS LIMÕES",2018,4,131,155,13,14,10,2,311
"Centro","CS SACO DOS LIMÕES",2018,5,125,308,10,6,2,0,311
"Centro","CS SACO DOS LIMÕES",2018,6,162,328,14,6,2,1,311
"Centro","CS SACO DOS LIMÕES",2018,7,162,359,13,2,8,4,311
"Centro","CS SACO DOS LIMÕES",2018,4,276,183,18,10,6,0,312
"Centro","CS SACO DOS LIMÕES",2018,5,331,163,18,6,1,0,312
"Centro","CS SACO DOS LIMÕES",2018,6,376,458,29,3,15,6,312
"Centro","CS SACO DOS LIMÕES",2018,7,304,414,31,16,17,3,312
"Centro","CS SACO DOS LIMÕES",2018,4,24,90,7,0,3,0,313
"Centro","CS SACO DOS LIMÕES",2018,5,27,130,2,2,6,0,313
"Centro","CS SACO DOS LIMÕES",2018,6,46,151,1,2,6,1,313
"Centro","CS SACO DOS LIMÕES",2018,7,51,137,0,1,7,0,313
"Centro","CS SACO DOS LIMÕES",2018,4,9,49,2,0,2,0,314
"Centro","CS SACO DOS LIMÕES",2018,5,9,73,1,0,1,0,314
"Centro","CS SACO DOS LIMÕES",2018,6,20,79,3,1,0,1,314
"Centro","CS SACO DOS LIMÕES",2018,7,8,91,1,0,3,0,314
"Centro","CS TRINDADE",2018,4,83,137,24,7,8,10,850
"Centro","CS TRINDADE",2018,5,84,288,37,3,1,22,850
"Centro","CS TRINDADE",2018,6,157,338,62,5,11,7,850
"Centro","CS TRINDADE",2018,7,67,309,68,0,10,11,850
"Centro","CS TRINDADE",2018,4,133,218,37,3,10,23,851
"Centro","CS TRINDADE",2018,5,168,329,51,3,9,14,851
"Centro","CS TRINDADE",2018,6,194,420,53,3,6,17,851
"Centro","CS TRINDADE",2018,7,371,203,66,0,2,16,851
"Centro","CS TRINDADE",2018,4,52,214,28,1,21,3,852
"Centro","CS TRINDADE",2018,5,138,359,46,2,20,1,852
"Centro","CS TRINDADE",2018,6,212,386,47,8,3,10,852
