"DISTRITO","UNIDADE","TRIMESTRE","TIPO","VALOR"
"Continente","CS ABRAÃO","2013 Q1","PERCENTUAL_FALTAS_ODONTO",26.530612244898
"Centro","CS AGRONÔMICA","2013 Q1","PERCENTUAL_FALTAS_ODONTO",14.6373056994819
"Sul","CS ALTO RIBEIRÃO","2013 Q1","PERCENTUAL_FALTAS_ODONTO",43.2773109243698
"Sul","CS ARMAÇÃO","2013 Q1","PERCENTUAL_FALTAS_ODONTO",25.3424657534247
"Continente","CS BALNEÁRIO","2013 Q1","PERCENTUAL_FALTAS_ODONTO",11.4457831325301
"Norte","CS BARRA DA LAGOA","2013 Q1","PERCENTUAL_FALTAS_ODONTO",12.9411764705882
"Norte","CS CACHOEIRA BOM JESUS","2013 Q1","PERCENTUAL_FALTAS_ODONTO",30.0248138957816
"Sul","CS CAIEIRA BARRA DO SUL","2013 Q1","PERCENTUAL_FALTAS_ODONTO",22.7941176470588
"Sul","CS CAMPECHE","2013 Q1","PERCENTUAL_FALTAS_ODONTO",11.3445378151261
"Norte","CS CANASVIEIRAS","2013 Q1","PERCENTUAL_FALTAS_ODONTO",28.4860557768924
"Sul","CS CANTO DA LAGOA","2013 Q1","PERCENTUAL_FALTAS_ODONTO",15.3846153846154
"Continente","CS CAPOEIRAS","2013 Q1","PERCENTUAL_FALTAS_ODONTO",15.7349896480331
"Sul","CS CARIANOS","2013 Q1","PERCENTUAL_FALTAS_ODONTO",19.6638655462185
"Centro","CS CENTRO","2013 Q1","PERCENTUAL_FALTAS_ODONTO",20.25
"Continente","CS COLONINHA","2013 Q1","PERCENTUAL_FALTAS_ODONTO",9.63081861958267
"Continente","CS COQUEIROS","2013 Q1","PERCENTUAL_FALTAS_ODONTO",10.6891701828411
"Centro","CS CÓRREGO GRANDE","2013 Q1","PERCENTUAL_FALTAS_ODONTO",11.6731517509728
"Sul","CS COSTA DA LAGOA","2013 Q1","PERCENTUAL_FALTAS_ODONTO",23.1578947368421
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2013 Q1","PERCENTUAL_FALTAS_ODONTO",20.4188481675393
"Continente","CS ESTREITO","2013 Q1","PERCENTUAL_FALTAS_ODONTO",15.1041666666667
"Sul","CS FAZENDA DO RIO TAVARES","2013 Q1","PERCENTUAL_FALTAS_ODONTO",26.1648745519713
"Norte","CS INGLESES","2013 Q1","PERCENTUAL_FALTAS_ODONTO",8.81316098707403
"Centro","CS ITACORUBI","2013 Q1","PERCENTUAL_FALTAS_ODONTO",13.8662316476346
"Continente","CS JARDIM ATLÂNTICO","2013 Q1","PERCENTUAL_FALTAS_ODONTO",11.4427860696517
"Centro","CS JOÃO PAULO","2013 Q1","PERCENTUAL_FALTAS_ODONTO",15.954415954416
"Norte","CS JURERE","2013 Q1","PERCENTUAL_FALTAS_ODONTO",30.6666666666667
"Sul","CS LAGOA DA CONCEIÇÃO","2013 Q1","PERCENTUAL_FALTAS_ODONTO",14.6835443037975
"Continente","CS MONTE CRISTO","2013 Q1","PERCENTUAL_FALTAS_ODONTO",11.340206185567
"Centro","CS MONTE SERRAT","2013 Q1","PERCENTUAL_FALTAS_ODONTO",31.1475409836066
"Sul","CS MORRO DAS PEDRAS","2013 Q1","PERCENTUAL_FALTAS_ODONTO",16.8639053254438
"Continente","CS NOVO CONTINENTE","2013 Q1","PERCENTUAL_FALTAS_ODONTO",12.6074498567335
"Centro","CS PANTANAL","2013 Q1","PERCENTUAL_FALTAS_ODONTO",21.9251336898396
"Sul","CS PANTANO DO SUL","2013 Q1","PERCENTUAL_FALTAS_ODONTO",16.5775401069519
"Norte","CS PONTA DAS CANAS","2013 Q1","PERCENTUAL_FALTAS_ODONTO",16.5384615384615
"Centro","CS PRAINHA","2013 Q1","PERCENTUAL_FALTAS_ODONTO",25.1107828655835
"Norte","CS RATONES","2013 Q1","PERCENTUAL_FALTAS_ODONTO",19.6078431372549
"Sul","CS RIBEIRÃO DA ILHA","2013 Q1","PERCENTUAL_FALTAS_ODONTO",15.6862745098039
"Sul","CS RIO TAVARES","2013 Q1","PERCENTUAL_FALTAS_ODONTO",6.2043795620438
"Norte","CS RIO VERMELHO","2013 Q1","PERCENTUAL_FALTAS_ODONTO",12.957157784744
"Centro","CS SACO DOS LIMÕES","2013 Q1","PERCENTUAL_FALTAS_ODONTO",17.8947368421053
"Norte","CS SACO GRANDE","2013 Q1","PERCENTUAL_FALTAS_ODONTO",11.1736334405145
"Norte","CS SANTINHO","2013 Q1","PERCENTUAL_FALTAS_ODONTO",20.979020979021
"Norte","CS SANTO ANTONIO LISBOA","2013 Q1","PERCENTUAL_FALTAS_ODONTO",28.7878787878788
"Continente","CS SAPE","2013 Q1","PERCENTUAL_FALTAS_ODONTO",6.2200956937799
"Sul","CS TAPERA","2013 Q1","PERCENTUAL_FALTAS_ODONTO",14.5275035260931
"Centro","CS TRINDADE","2013 Q1","PERCENTUAL_FALTAS_ODONTO",13.5986733001658
"Norte","CS VARGEM GRANDE","2013 Q1","PERCENTUAL_FALTAS_ODONTO",15.6862745098039
"Norte","CS VARGEM PEQUENA","2013 Q1","PERCENTUAL_FALTAS_ODONTO",12.9411764705882
"Continente","CS VILA APARECIDA","2013 Q1","PERCENTUAL_FALTAS_ODONTO",17.8321678321678
"Continente","CS ABRAÃO","2013 Q2","PERCENTUAL_FALTAS_ODONTO",21.2
"Centro","CS AGRONÔMICA","2013 Q2","PERCENTUAL_FALTAS_ODONTO",15.8490566037736
"Sul","CS ALTO RIBEIRÃO","2013 Q2","PERCENTUAL_FALTAS_ODONTO",29.4372294372294
"Sul","CS ARMAÇÃO","2013 Q2","PERCENTUAL_FALTAS_ODONTO",25.2396166134185
"Continente","CS BALNEÁRIO","2013 Q2","PERCENTUAL_FALTAS_ODONTO",8.23529411764706
"Norte","CS BARRA DA LAGOA","2013 Q2","PERCENTUAL_FALTAS_ODONTO",10.459587955626
"Norte","CS CACHOEIRA BOM JESUS","2013 Q2","PERCENTUAL_FALTAS_ODONTO",25.830258302583
"Sul","CS CAIEIRA BARRA DO SUL","2013 Q2","PERCENTUAL_FALTAS_ODONTO",15.8878504672897
"Sul","CS CAMPECHE","2013 Q2","PERCENTUAL_FALTAS_ODONTO",14.3266475644699
"Norte","CS CANASVIEIRAS","2013 Q2","PERCENTUAL_FALTAS_ODONTO",23.9130434782609
"Sul","CS CANTO DA LAGOA","2013 Q2","PERCENTUAL_FALTAS_ODONTO",8.28729281767956
"Continente","CS CAPOEIRAS","2013 Q2","PERCENTUAL_FALTAS_ODONTO",22.2748815165877
"Sul","CS CARIANOS","2013 Q2","PERCENTUAL_FALTAS_ODONTO",14.8669796557121
"Centro","CS CENTRO","2013 Q2","PERCENTUAL_FALTAS_ODONTO",22.5721784776903
"Continente","CS COLONINHA","2013 Q2","PERCENTUAL_FALTAS_ODONTO",6.51085141903172
"Continente","CS COQUEIROS","2013 Q2","PERCENTUAL_FALTAS_ODONTO",17.6470588235294
"Centro","CS CÓRREGO GRANDE","2013 Q2","PERCENTUAL_FALTAS_ODONTO",13.4897360703812
"Sul","CS COSTA DA LAGOA","2013 Q2","PERCENTUAL_FALTAS_ODONTO",8.60927152317881
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2013 Q2","PERCENTUAL_FALTAS_ODONTO",17.9431072210066
"Continente","CS ESTREITO","2013 Q2","PERCENTUAL_FALTAS_ODONTO",20.162932790224
"Sul","CS FAZENDA DO RIO TAVARES","2013 Q2","PERCENTUAL_FALTAS_ODONTO",17.0149253731343
"Norte","CS INGLESES","2013 Q2","PERCENTUAL_FALTAS_ODONTO",8.68167202572347
"Centro","CS ITACORUBI","2013 Q2","PERCENTUAL_FALTAS_ODONTO",14.8293963254593
"Continente","CS JARDIM ATLÂNTICO","2013 Q2","PERCENTUAL_FALTAS_ODONTO",12.6168224299065
"Centro","CS JOÃO PAULO","2013 Q2","PERCENTUAL_FALTAS_ODONTO",22.5316455696203
"Norte","CS JURERE","2013 Q2","PERCENTUAL_FALTAS_ODONTO",20.3947368421053
"Sul","CS LAGOA DA CONCEIÇÃO","2013 Q2","PERCENTUAL_FALTAS_ODONTO",16.1057692307692
"Continente","CS MONTE CRISTO","2013 Q2","PERCENTUAL_FALTAS_ODONTO",11.2739571589628
"Centro","CS MONTE SERRAT","2013 Q2","PERCENTUAL_FALTAS_ODONTO",35.1548269581056
"Sul","CS MORRO DAS PEDRAS","2013 Q2","PERCENTUAL_FALTAS_ODONTO",19.3251533742331
"Continente","CS NOVO CONTINENTE","2013 Q2","PERCENTUAL_FALTAS_ODONTO",10.9311740890688
"Centro","CS PANTANAL","2013 Q2","PERCENTUAL_FALTAS_ODONTO",17.2185430463576
"Sul","CS PANTANO DO SUL","2013 Q2","PERCENTUAL_FALTAS_ODONTO",15.6146179401993
"Norte","CS PONTA DAS CANAS","2013 Q2","PERCENTUAL_FALTAS_ODONTO",15.1515151515152
"Centro","CS PRAINHA","2013 Q2","PERCENTUAL_FALTAS_ODONTO",27.4131274131274
