"DISTRITO","TRIMESTRE","TIPO","VALOR"
"Centro","2018 Q2","PERCENTUAL_FALTAS_ODONTO",15.6604747162023
"Continente","2018 Q2","PERCENTUAL_FALTAS_ODONTO",12.3367198838897
"Norte","2018 Q2","PERCENTUAL_FALTAS_ODONTO",12.6532887402453
"Sul","2018 Q2","PERCENTUAL_FALTAS_ODONTO",8.96643109540636
"Centro","2018 Q2","PERCENTUAL_FALTAS_ENF",3.49578317131269
"Continente","2018 Q2","PERCENTUAL_FALTAS_ENF",4.71192154459087
"Norte","2018 Q2","PERCENTUAL_FALTAS_ENF",5.35244223457151
"Sul","2018 Q2","PERCENTUAL_FALTAS_ENF",5.77266415393771
"Centro","2018 Q2","PERCENTUAL_FALTAS_MED",4.03225806451613
"Continente","2018 Q2","PERCENTUAL_FALTAS_MED",2.79331734977357
"Norte","2018 Q2","PERCENTUAL_FALTAS_MED",3.45205795762859
"Sul","2018 Q2","PERCENTUAL_FALTAS_MED",5.4064907093053
"Centro","2013 Q1","PERCENTUAL_FALTAS_ODONTO",18.5569147833299
"Continente","2013 Q1","PERCENTUAL_FALTAS_ODONTO",13.1428571428571
"Norte","2013 Q1","PERCENTUAL_FALTAS_ODONTO",16.8397752426358
"Sul","2013 Q1","PERCENTUAL_FALTAS_ODONTO",19.050593379138
"Centro","2013 Q2","PERCENTUAL_FALTAS_ODONTO",19.3190815518606
"Continente","2013 Q2","PERCENTUAL_FALTAS_ODONTO",14.4718792866941
"Norte","2013 Q2","PERCENTUAL_FALTAS_ODONTO",15.3686892817328
"Sul","2013 Q2","PERCENTUAL_FALTAS_ODONTO",17.0536875348319
"Centro","2013 Q3","PERCENTUAL_FALTAS_ODONTO",20.3759531831885
"Continente","2013 Q3","PERCENTUAL_FALTAS_ODONTO",13.4608509116911
"Norte","2013 Q3","PERCENTUAL_FALTAS_ODONTO",18.0949491885333
"Sul","2013 Q3","PERCENTUAL_FALTAS_ODONTO",17.9885673454805
"Centro","2013 Q4","PERCENTUAL_FALTAS_ODONTO",19.9912029909831
"Continente","2013 Q4","PERCENTUAL_FALTAS_ODONTO",14.0245313584818
"Norte","2013 Q4","PERCENTUAL_FALTAS_ODONTO",18.5560975609756
"Sul","2013 Q4","PERCENTUAL_FALTAS_ODONTO",17.21773205976
"Centro","2014 Q1","PERCENTUAL_FALTAS_ODONTO",16.3397283897392
"Continente","2014 Q1","PERCENTUAL_FALTAS_ODONTO",12.3152709359606
"Norte","2014 Q1","PERCENTUAL_FALTAS_ODONTO",17.4456626274284
"Sul","2014 Q1","PERCENTUAL_FALTAS_ODONTO",15.3744493392071
"Centro","2014 Q2","PERCENTUAL_FALTAS_ODONTO",17.3939272069174
"Continente","2014 Q2","PERCENTUAL_FALTAS_ODONTO",13.0479522535501
"Norte","2014 Q2","PERCENTUAL_FALTAS_ODONTO",15.0891882053149
