"DISTRITO","UNIDADE","AREA","TRIMESTRE","TIPO","VALOR"
"Continente","CS JARDIM ATLÂNTICO",10,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",4.23728813559322
"Continente","CS NOVO CONTINENTE",100,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",12.0689655172414
"Continente","CS NOVO CONTINENTE",101,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",11.1111111111111
"Continente","CS NOVO CONTINENTE",102,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",14.8936170212766
"Continente","CS JARDIM ATLÂNTICO",11,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",21.6867469879518
"Centro","CS MONTE SERRAT",120,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",36.8715083798883
"Centro","CS MONTE SERRAT",121,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",27.6785714285714
"Centro","CS MONTE SERRAT",122,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",27.9187817258883
"Centro","CS PRAINHA",130,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",26.984126984127
"Centro","CS PRAINHA",131,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",22.4299065420561
"Centro","CS PRAINHA",132,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",25.9124087591241
"Centro","CS PANTANAL",160,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",21.2121212121212
"Centro","CS PANTANAL",161,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",22.7272727272727
"Centro","CS CÓRREGO GRANDE",170,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",6.99300699300699
"Centro","CS CÓRREGO GRANDE",171,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",16.8831168831169
"Centro","CS CÓRREGO GRANDE",172,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",18.9189189189189
"Centro","CS ITACORUBI",190,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",15.0326797385621
"Centro","CS ITACORUBI",191,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",12.8205128205128
"Centro","CS ITACORUBI",192,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",15.4867256637168
"Centro","CS ITACORUBI",193,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",8.97435897435897
"Continente","CS BALNEÁRIO",20,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",18.8405797101449
"Sul","CS CAIEIRA BARRA DO SUL",200,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",22.7941176470588
"Continente","CS BALNEÁRIO",21,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",6.18556701030928
"Sul","CS ALTO RIBEIRÃO",210,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",43.2773109243698
"Sul","CS RIBEIRÃO DA ILHA",220,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",15.6862745098039
"Sul","CS PANTANO DO SUL",230,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",16.5775401069519
"Sul","CS ARMAÇÃO",240,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",27.2321428571429
"Sul","CS ARMAÇÃO",241,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",22.6744186046512
"Sul","CS ARMAÇÃO",242,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",26.1904761904762
"Sul","CS MORRO DAS PEDRAS",250,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",11.5384615384615
"Sul","CS MORRO DAS PEDRAS",251,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",21.4285714285714
"Sul","CS TAPERA",260,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",10.4166666666667
"Sul","CS TAPERA",261,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",14.2857142857143
"Sul","CS TAPERA",262,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",14.1361256544503
"Sul","CS TAPERA",263,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",19.3548387096774
"Sul","CS CARIANOS",270,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",20.6422018348624
"Sul","CS CARIANOS",271,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",18.7861271676301
"Sul","CS CARIANOS",272,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",22.5806451612903
"Sul","CS CAMPECHE",280,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",8.57142857142857
"Sul","CS CAMPECHE",281,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",15.3061224489796
"Sul","CS RIO TAVARES",290,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",11.2244897959184
"Sul","CS RIO TAVARES",291,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",2.97029702970297
"Sul","CS RIO TAVARES",292,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",6
"Sul","CS RIO TAVARES",293,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",0
"Continente","CS SAPE",30,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",3.2
"Sul","CS COSTEIRA DO PIRAJUBAÉ",300,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",30.2857142857143
"Sul","CS COSTEIRA DO PIRAJUBAÉ",301,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",18.2242990654206
"Sul","CS COSTEIRA DO PIRAJUBAÉ",302,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",13.5869565217391
"Continente","CS SAPE",31,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",10.7142857142857
"Centro","CS SACO DOS LIMÕES",310,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",17.7966101694915
"Centro","CS SACO DOS LIMÕES",311,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",24.1071428571429
"Centro","CS SACO DOS LIMÕES",312,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",15.3846153846154
"Centro","CS SACO DOS LIMÕES",313,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",17.0731707317073
"Centro","CS SACO DOS LIMÕES",314,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",0
"Centro","CS JOÃO PAULO",320,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",17.156862745098
"Centro","CS JOÃO PAULO",321,"2013 Q1","PERCENTUAL_FALTAS_ODONTO",14.2857142857143
