"DISTRITO","UNIDADE","ANO","MES","GESTANTES","GESTANTES_7_CONS","GEST_TODOS_TRI","GEST_ODONTO","AREA"
"Centro","CS AGRONÔMICA",2018,4,11,10,8,2,690
"Centro","CS AGRONÔMICA",2018,5,4,4,3,2,690
"Centro","CS AGRONÔMICA",2018,6,2,1,0,1,690
"Centro","CS AGRONÔMICA",2018,7,6,5,5,0,690
"Centro","CS AGRONÔMICA",2018,4,6,6,3,1,691
"Centro","CS AGRONÔMICA",2018,5,3,3,3,0,691
"Centro","CS AGRONÔMICA",2018,6,2,2,1,0,691
"Centro","CS AGRONÔMICA",2018,7,4,4,4,0,691
"Centro","CS AGRONÔMICA",2018,4,4,3,3,3,692
"Centro","CS AGRONÔMICA",2018,5,1,1,1,0,692
"Centro","CS AGRONÔMICA",2018,6,2,1,1,1,692
"Centro","CS AGRONÔMICA",2018,7,3,2,1,1,692
"Centro","CS AGRONÔMICA",2018,4,5,3,3,1,693
"Centro","CS AGRONÔMICA",2018,5,3,3,2,1,693
"Centro","CS AGRONÔMICA",2018,6,8,7,4,3,693
"Centro","CS CENTRO",2018,4,3,1,1,0,950
"Centro","CS CENTRO",2018,5,3,3,2,1,950
"Centro","CS CENTRO",2018,6,2,0,0,0,950
"Centro","CS CENTRO",2018,7,6,3,1,2,950
"Centro","CS CENTRO",2018,7,1,1,1,0,951
"Centro","CS CENTRO",2018,5,1,1,0,0,952
"Centro","CS CENTRO",2018,7,1,0,0,0,952
"Centro","CS CÓRREGO GRANDE",2018,4,1,0,0,0,170
"Centro","CS CÓRREGO GRANDE",2018,5,2,2,1,0,170
"Centro","CS CÓRREGO GRANDE",2018,6,1,1,1,0,170
"Centro","CS CÓRREGO GRANDE",2018,7,3,2,1,1,170
"Centro","CS CÓRREGO GRANDE",2018,4,3,2,3,0,171
"Centro","CS CÓRREGO GRANDE",2018,5,2,1,1,1,171
"Centro","CS CÓRREGO GRANDE",2018,6,3,3,2,2,171
"Centro","CS CÓRREGO GRANDE",2018,7,3,2,2,0,171
"Centro","CS ITACORUBI",2018,4,2,1,1,1,190
"Centro","CS ITACORUBI",2018,5,2,1,2,1,190
"Centro","CS ITACORUBI",2018,7,1,0,0,0,190
"Centro","CS ITACORUBI",2018,4,4,4,3,1,191
"Centro","CS ITACORUBI",2018,5,2,2,2,1,191
"Centro","CS ITACORUBI",2018,6,1,1,1,0,191
"Centro","CS ITACORUBI",2018,7,1,1,1,0,191
"Centro","CS ITACORUBI",2018,4,4,4,3,1,192
"Centro","CS ITACORUBI",2018,5,4,3,3,1,192
"Centro","CS ITACORUBI",2018,7,4,4,4,1,192
"Centro","CS ITACORUBI",2018,4,1,1,1,0,193
"Centro","CS ITACORUBI",2018,5,2,2,2,1,193
"Centro","CS ITACORUBI",2018,6,1,0,1,0,193
"Centro","CS ITACORUBI",2018,7,2,1,0,0,193
"Centro","CS JOÃO PAULO",2018,4,4,3,3,1,320
"Centro","CS JOÃO PAULO",2018,5,1,1,1,0,320
"Centro","CS JOÃO PAULO",2018,6,1,1,0,0,320
"Centro","CS JOÃO PAULO",2018,7,2,2,1,0,320
"Centro","CS JOÃO PAULO",2018,4,4,4,3,0,321
"Centro","CS JOÃO PAULO",2018,6,1,1,1,0,321
"Centro","CS JOÃO PAULO",2018,7,2,2,2,2,321
"Centro","CS MONTE SERRAT",2018,4,2,2,2,0,120
"Centro","CS MONTE SERRAT",2018,5,8,6,5,1,120
"Centro","CS MONTE SERRAT",2018,6,3,3,3,1,120
"Centro","CS MONTE SERRAT",2018,7,1,1,0,0,120
"Centro","CS MONTE SERRAT",2018,5,1,0,0,0,121
"Centro","CS MONTE SERRAT",2018,7,2,2,1,0,121
"Centro","CS MONTE SERRAT",2018,4,11,10,7,2,122
"Centro","CS MONTE SERRAT",2018,5,3,1,1,0,122
"Centro","CS MONTE SERRAT",2018,6,2,2,2,1,122
"Centro","CS MONTE SERRAT",2018,7,3,3,3,0,122
"Centro","CS PANTANAL",2018,4,2,1,1,2,160
"Centro","CS PANTANAL",2018,5,1,0,1,0,160
"Centro","CS PANTANAL",2018,6,3,3,2,0,160
"Centro","CS PANTANAL",2018,7,1,1,0,1,160
"Centro","CS PANTANAL",2018,4,2,2,2,0,161
