"DISTRITO","TRIMESTRE","TIPO","VALOR"
"Centro","2013 Q1","GESTANTES",198
"Continente","2013 Q1","GESTANTES",201
"Norte","2013 Q1","GESTANTES",368
"Sul","2013 Q1","GESTANTES",193
"Centro","2013 Q2","GESTANTES",214
"Continente","2013 Q2","GESTANTES",181
"Norte","2013 Q2","GESTANTES",360
"Sul","2013 Q2","GESTANTES",220
"Centro","2013 Q3","GESTANTES",184
"Continente","2013 Q3","GESTANTES",184
"Norte","2013 Q3","GESTANTES",324
"Sul","2013 Q3","GESTANTES",208
"Centro","2013 Q4","GESTANTES",191
"Continente","2013 Q4","GESTANTES",181
"Norte","2013 Q4","GESTANTES",310
"Sul","2013 Q4","GESTANTES",205
"Centro","2014 Q1","GESTANTES",213
"Continente","2014 Q1","GESTANTES",198
"Norte","2014 Q1","GESTANTES",344
"Sul","2014 Q1","GESTANTES",217
"Centro","2014 Q2","GESTANTES",233
"Continente","2014 Q2","GESTANTES",194
"Norte","2014 Q2","GESTANTES",375
"Sul","2014 Q2","GESTANTES",216
"Centro","2014 Q3","GESTANTES",192
"Continente","2014 Q3","GESTANTES",148
"Norte","2014 Q3","GESTANTES",371
"Sul","2014 Q3","GESTANTES",226
"Centro","2014 Q4","GESTANTES",171
"Continente","2014 Q4","GESTANTES",174
"Norte","2014 Q4","GESTANTES",330
"Sul","2014 Q4","GESTANTES",190
"Centro","2015 Q1","GESTANTES",195
"Continente","2015 Q1","GESTANTES",195
"Norte","2015 Q1","GESTANTES",387
"Sul","2015 Q1","GESTANTES",235
"Centro","2015 Q2","GESTANTES",198
"Continente","2015 Q2","GESTANTES",186
"Norte","2015 Q2","GESTANTES",379
"Sul","2015 Q2","GESTANTES",237
"Centro","2015 Q3","GESTANTES",236
"Continente","2015 Q3","GESTANTES",183
"Norte","2015 Q3","GESTANTES",395
"Sul","2015 Q3","GESTANTES",190
"Centro","2015 Q4","GESTANTES",209
"Continente","2015 Q4","GESTANTES",190
"Norte","2015 Q4","GESTANTES",393
"Sul","2015 Q4","GESTANTES",204
"Centro","2016 Q1","GESTANTES",205
"Continente","2016 Q1","GESTANTES",185
"Norte","2016 Q1","GESTANTES",418
"Sul","2016 Q1","GESTANTES",229
"Centro","2016 Q2","GESTANTES",242
"Continente","2016 Q2","GESTANTES",200
"Norte","2016 Q2","GESTANTES",420
"Sul","2016 Q2","GESTANTES",238
"Centro","2016 Q3","GESTANTES",222
"Continente","2016 Q3","GESTANTES",213
"Norte","2016 Q3","GESTANTES",457
"Sul","2016 Q3","GESTANTES",248
"Centro","2016 Q4","GESTANTES",216
"Continente","2016 Q4","GESTANTES",173
"Norte","2016 Q4","GESTANTES",376
"Sul","2016 Q4","GESTANTES",213
"Centro","2017 Q1","GESTANTES",248
"Continente","2017 Q1","GESTANTES",195
"Norte","2017 Q1","GESTANTES",455
"Sul","2017 Q1","GESTANTES",225
"Centro","2017 Q2","GESTANTES",254
"Continente","2017 Q2","GESTANTES",214
"Norte","2017 Q2","GESTANTES",468
"Sul","2017 Q2","GESTANTES",247
"Centro","2017 Q3","GESTANTES",228
"Continente","2017 Q3","GESTANTES",208
"Norte","2017 Q3","GESTANTES",421
"Sul","2017 Q3","GESTANTES",223
"Centro","2017 Q4","GESTANTES",217
"Continente","2017 Q4","GESTANTES",138
"Norte","2017 Q4","GESTANTES",433
"Sul","2017 Q4","GESTANTES",206
"Centro","2018 Q1","GESTANTES",231
"Continente","2018 Q1","GESTANTES",210
"Norte","2018 Q1","GESTANTES",465
"Sul","2018 Q1","GESTANTES",217
"Centro","2013 Q1","GESTANTES_7_CONS",131
"Continente","2013 Q1","GESTANTES_7_CONS",134
"Norte","2013 Q1","GESTANTES_7_CONS",263
"Sul","2013 Q1","GESTANTES_7_CONS",123
"Centro","2013 Q2","GESTANTES_7_CONS",145
"Continente","2013 Q2","GESTANTES_7_CONS",126
"Norte","2013 Q2","GESTANTES_7_CONS",268
"Sul","2013 Q2","GESTANTES_7_CONS",144
"Centro","2013 Q3","GESTANTES_7_CONS",136
"Continente","2013 Q3","GESTANTES_7_CONS",128
"Norte","2013 Q3","GESTANTES_7_CONS",229
"Sul","2013 Q3","GESTANTES_7_CONS",159
"Centro","2013 Q4","GESTANTES_7_CONS",139
"Continente","2013 Q4","GESTANTES_7_CONS",113
"Norte","2013 Q4","GESTANTES_7_CONS",201
"Sul","2013 Q4","GESTANTES_7_CONS",141
"Centro","2014 Q1","GESTANTES_7_CONS",161
"Continente","2014 Q1","GESTANTES_7_CONS",141
"Norte","2014 Q1","GESTANTES_7_CONS",242
"Sul","2014 Q1","GESTANTES_7_CONS",155
"Centro","2014 Q2","GESTANTES_7_CONS",163
"Continente","2014 Q2","GESTANTES_7_CONS",126
"Norte","2014 Q2","GESTANTES_7_CONS",261
"Sul","2014 Q2","GESTANTES_7_CONS",162
"Centro","2014 Q3","GESTANTES_7_CONS",138
"Continente","2014 Q3","GESTANTES_7_CONS",109
"Norte","2014 Q3","GESTANTES_7_CONS",257
"Sul","2014 Q3","GESTANTES_7_CONS",183
"Centro","2014 Q4","GESTANTES_7_CONS",121
"Continente","2014 Q4","GESTANTES_7_CONS",117
"Norte","2014 Q4","GESTANTES_7_CONS",239
"Sul","2014 Q4","GESTANTES_7_CONS",151
"Centro","2015 Q1","GESTANTES_7_CONS",135
"Continente","2015 Q1","GESTANTES_7_CONS",145
"Norte","2015 Q1","GESTANTES_7_CONS",285
"Sul","2015 Q1","GESTANTES_7_CONS",175
"Centro","2015 Q2","GESTANTES_7_CONS",139
"Continente","2015 Q2","GESTANTES_7_CONS",141
"Norte","2015 Q2","GESTANTES_7_CONS",284
"Sul","2015 Q2","GESTANTES_7_CONS",164
"Centro","2015 Q3","GESTANTES_7_CONS",175
"Continente","2015 Q3","GESTANTES_7_CONS",136
"Norte","2015 Q3","GESTANTES_7_CONS",304
"Sul","2015 Q3","GESTANTES_7_CONS",144
"Centro","2015 Q4","GESTANTES_7_CONS",140
"Continente","2015 Q4","GESTANTES_7_CONS",134
"Norte","2015 Q4","GESTANTES_7_CONS",288
"Sul","2015 Q4","GESTANTES_7_CONS",156
"Centro","2016 Q1","GESTANTES_7_CONS",152
"Continente","2016 Q1","GESTANTES_7_CONS",146
"Norte","2016 Q1","GESTANTES_7_CONS",309
"Sul","2016 Q1","GESTANTES_7_CONS",174
"Centro","2016 Q2","GESTANTES_7_CONS",176
"Continente","2016 Q2","GESTANTES_7_CONS",166
"Norte","2016 Q2","GESTANTES_7_CONS",316
"Sul","2016 Q2","GESTANTES_7_CONS",173
"Centro","2016 Q3","GESTANTES_7_CONS",169
"Continente","2016 Q3","GESTANTES_7_CONS",165
"Norte","2016 Q3","GESTANTES_7_CONS",351
"Sul","2016 Q3","GESTANTES_7_CONS",195
"Centro","2016 Q4","GESTANTES_7_CONS",164
"Continente","2016 Q4","GESTANTES_7_CONS",135
"Norte","2016 Q4","GESTANTES_7_CONS",278
"Sul","2016 Q4","GESTANTES_7_CONS",167
"Centro","2017 Q1","GESTANTES_7_CONS",171
"Continente","2017 Q1","GESTANTES_7_CONS",145
"Norte","2017 Q1","GESTANTES_7_CONS",335
"Sul","2017 Q1","GESTANTES_7_CONS",157
"Centro","2017 Q2","GESTANTES_7_CONS",173
"Continente","2017 Q2","GESTANTES_7_CONS",159
"Norte","2017 Q2","GESTANTES_7_CONS",344
"Sul","2017 Q2","GESTANTES_7_CONS",197
"Centro","2017 Q3","GESTANTES_7_CONS",173
"Continente","2017 Q3","GESTANTES_7_CONS",145
"Norte","2017 Q3","GESTANTES_7_CONS",318
"Sul","2017 Q3","GESTANTES_7_CONS",156
"Centro","2017 Q4","GESTANTES_7_CONS",170
"Continente","2017 Q4","GESTANTES_7_CONS",105
"Norte","2017 Q4","GESTANTES_7_CONS",332
"Sul","2017 Q4","GESTANTES_7_CONS",157
"Centro","2018 Q1","GESTANTES_7_CONS",176
"Continente","2018 Q1","GESTANTES_7_CONS",160
"Norte","2018 Q1","GESTANTES_7_CONS",366
"Sul","2018 Q1","GESTANTES_7_CONS",159
"Centro","2013 Q1","GEST_TODOS_TRI",95
"Continente","2013 Q1","GEST_TODOS_TRI",93
"Norte","2013 Q1","GEST_TODOS_TRI",210
"Sul","2013 Q1","GEST_TODOS_TRI",92
"Centro","2013 Q2","GEST_TODOS_TRI",117
"Continente","2013 Q2","GEST_TODOS_TRI",94
"Norte","2013 Q2","GEST_TODOS_TRI",192
"Sul","2013 Q2","GEST_TODOS_TRI",108
"Centro","2013 Q3","GEST_TODOS_TRI",88
"Continente","2013 Q3","GEST_TODOS_TRI",85
"Norte","2013 Q3","GEST_TODOS_TRI",168
"Sul","2013 Q3","GEST_TODOS_TRI",110
"Centro","2013 Q4","GEST_TODOS_TRI",100
"Continente","2013 Q4","GEST_TODOS_TRI",74
"Norte","2013 Q4","GEST_TODOS_TRI",150
"Sul","2013 Q4","GEST_TODOS_TRI",106
"Centro","2014 Q1","GEST_TODOS_TRI",113
"Continente","2014 Q1","GEST_TODOS_TRI",89
"Norte","2014 Q1","GEST_TODOS_TRI",189
"Sul","2014 Q1","GEST_TODOS_TRI",127
"Centro","2014 Q2","GEST_TODOS_TRI",132
"Continente","2014 Q2","GEST_TODOS_TRI",85
"Norte","2014 Q2","GEST_TODOS_TRI",201
"Sul","2014 Q2","GEST_TODOS_TRI",127
"Centro","2014 Q3","GEST_TODOS_TRI",103
"Continente","2014 Q3","GEST_TODOS_TRI",73
"Norte","2014 Q3","GEST_TODOS_TRI",183
"Sul","2014 Q3","GEST_TODOS_TRI",142
"Centro","2014 Q4","GEST_TODOS_TRI",89
"Continente","2014 Q4","GEST_TODOS_TRI",85
"Norte","2014 Q4","GEST_TODOS_TRI",167
"Sul","2014 Q4","GEST_TODOS_TRI",121
"Centro","2015 Q1","GEST_TODOS_TRI",96
"Continente","2015 Q1","GEST_TODOS_TRI",104
"Norte","2015 Q1","GEST_TODOS_TRI",213
"Sul","2015 Q1","GEST_TODOS_TRI",147
"Centro","2015 Q2","GEST_TODOS_TRI",112
"Continente","2015 Q2","GEST_TODOS_TRI",106
"Norte","2015 Q2","GEST_TODOS_TRI",221
"Sul","2015 Q2","GEST_TODOS_TRI",145
"Centro","2015 Q3","GEST_TODOS_TRI",132
"Continente","2015 Q3","GEST_TODOS_TRI",93
"Norte","2015 Q3","GEST_TODOS_TRI",234
"Sul","2015 Q3","GEST_TODOS_TRI",117
"Centro","2015 Q4","GEST_TODOS_TRI",100
"Continente","2015 Q4","GEST_TODOS_TRI",93
"Norte","2015 Q4","GEST_TODOS_TRI",209
"Sul","2015 Q4","GEST_TODOS_TRI",117
"Centro","2016 Q1","GEST_TODOS_TRI",118
"Continente","2016 Q1","GEST_TODOS_TRI",112
"Norte","2016 Q1","GEST_TODOS_TRI",246
"Sul","2016 Q1","GEST_TODOS_TRI",145
"Centro","2016 Q2","GEST_TODOS_TRI",131
"Continente","2016 Q2","GEST_TODOS_TRI",122
"Norte","2016 Q2","GEST_TODOS_TRI",267
"Sul","2016 Q2","GEST_TODOS_TRI",140
"Centro","2016 Q3","GEST_TODOS_TRI",130
"Continente","2016 Q3","GEST_TODOS_TRI",111
"Norte","2016 Q3","GEST_TODOS_TRI",268
"Sul","2016 Q3","GEST_TODOS_TRI",159
"Centro","2016 Q4","GEST_TODOS_TRI",119
"Continente","2016 Q4","GEST_TODOS_TRI",97
"Norte","2016 Q4","GEST_TODOS_TRI",217
"Sul","2016 Q4","GEST_TODOS_TRI",135
"Centro","2017 Q1","GEST_TODOS_TRI",126
"Continente","2017 Q1","GEST_TODOS_TRI",113
"Norte","2017 Q1","GEST_TODOS_TRI",261
"Sul","2017 Q1","GEST_TODOS_TRI",129
"Centro","2017 Q2","GEST_TODOS_TRI",135
"Continente","2017 Q2","GEST_TODOS_TRI",131
"Norte","2017 Q2","GEST_TODOS_TRI",297
"Sul","2017 Q2","GEST_TODOS_TRI",156
"Centro","2017 Q3","GEST_TODOS_TRI",119
"Continente","2017 Q3","GEST_TODOS_TRI",84
"Norte","2017 Q3","GEST_TODOS_TRI",232
"Sul","2017 Q3","GEST_TODOS_TRI",117
"Centro","2017 Q4","GEST_TODOS_TRI",125
"Continente","2017 Q4","GEST_TODOS_TRI",81
"Norte","2017 Q4","GEST_TODOS_TRI",260
"Sul","2017 Q4","GEST_TODOS_TRI",120
"Centro","2018 Q1","GEST_TODOS_TRI",140
"Continente","2018 Q1","GEST_TODOS_TRI",119
"Norte","2018 Q1","GEST_TODOS_TRI",275
"Sul","2018 Q1","GEST_TODOS_TRI",134
"Centro","2013 Q1","PERCENTUAL_GESTANTES_7_CONS",66.1616161616162
"Continente","2013 Q1","PERCENTUAL_GESTANTES_7_CONS",66.6666666666667
"Norte","2013 Q1","PERCENTUAL_GESTANTES_7_CONS",71.4673913043478
"Sul","2013 Q1","PERCENTUAL_GESTANTES_7_CONS",63.7305699481865
"Centro","2013 Q2","PERCENTUAL_GESTANTES_7_CONS",67.7570093457944
"Continente","2013 Q2","PERCENTUAL_GESTANTES_7_CONS",69.6132596685083
"Norte","2013 Q2","PERCENTUAL_GESTANTES_7_CONS",74.4444444444444
"Sul","2013 Q2","PERCENTUAL_GESTANTES_7_CONS",65.4545454545455
"Centro","2013 Q3","PERCENTUAL_GESTANTES_7_CONS",73.9130434782609
"Continente","2013 Q3","PERCENTUAL_GESTANTES_7_CONS",69.5652173913043
"Norte","2013 Q3","PERCENTUAL_GESTANTES_7_CONS",70.679012345679
"Sul","2013 Q3","PERCENTUAL_GESTANTES_7_CONS",76.4423076923077
"Centro","2013 Q4","PERCENTUAL_GESTANTES_7_CONS",72.7748691099476
"Continente","2013 Q4","PERCENTUAL_GESTANTES_7_CONS",62.4309392265193
"Norte","2013 Q4","PERCENTUAL_GESTANTES_7_CONS",64.8387096774194
"Sul","2013 Q4","PERCENTUAL_GESTANTES_7_CONS",68.780487804878
"Centro","2014 Q1","PERCENTUAL_GESTANTES_7_CONS",75.5868544600939
"Continente","2014 Q1","PERCENTUAL_GESTANTES_7_CONS",71.2121212121212
"Norte","2014 Q1","PERCENTUAL_GESTANTES_7_CONS",70.3488372093023
"Sul","2014 Q1","PERCENTUAL_GESTANTES_7_CONS",71.4285714285714
"Centro","2014 Q2","PERCENTUAL_GESTANTES_7_CONS",69.9570815450644
"Continente","2014 Q2","PERCENTUAL_GESTANTES_7_CONS",64.9484536082474
"Norte","2014 Q2","PERCENTUAL_GESTANTES_7_CONS",69.6
"Sul","2014 Q2","PERCENTUAL_GESTANTES_7_CONS",75
"Centro","2014 Q3","PERCENTUAL_GESTANTES_7_CONS",71.875
"Continente","2014 Q3","PERCENTUAL_GESTANTES_7_CONS",73.6486486486486
"Norte","2014 Q3","PERCENTUAL_GESTANTES_7_CONS",69.2722371967655
"Sul","2014 Q3","PERCENTUAL_GESTANTES_7_CONS",80.9734513274336
"Centro","2014 Q4","PERCENTUAL_GESTANTES_7_CONS",70.7602339181287
"Continente","2014 Q4","PERCENTUAL_GESTANTES_7_CONS",67.2413793103448
"Norte","2014 Q4","PERCENTUAL_GESTANTES_7_CONS",72.4242424242424
"Sul","2014 Q4","PERCENTUAL_GESTANTES_7_CONS",79.4736842105263
"Centro","2015 Q1","PERCENTUAL_GESTANTES_7_CONS",69.2307692307692
"Continente","2015 Q1","PERCENTUAL_GESTANTES_7_CONS",74.3589743589744
"Norte","2015 Q1","PERCENTUAL_GESTANTES_7_CONS",73.6434108527132
"Sul","2015 Q1","PERCENTUAL_GESTANTES_7_CONS",74.468085106383
"Centro","2015 Q2","PERCENTUAL_GESTANTES_7_CONS",70.2020202020202
"Continente","2015 Q2","PERCENTUAL_GESTANTES_7_CONS",75.8064516129032
"Norte","2015 Q2","PERCENTUAL_GESTANTES_7_CONS",74.934036939314
"Sul","2015 Q2","PERCENTUAL_GESTANTES_7_CONS",69.1983122362869
"Centro","2015 Q3","PERCENTUAL_GESTANTES_7_CONS",74.1525423728814
"Continente","2015 Q3","PERCENTUAL_GESTANTES_7_CONS",74.3169398907104
"Norte","2015 Q3","PERCENTUAL_GESTANTES_7_CONS",76.9620253164557
"Sul","2015 Q3","PERCENTUAL_GESTANTES_7_CONS",75.7894736842105
"Centro","2015 Q4","PERCENTUAL_GESTANTES_7_CONS",66.9856459330144
"Continente","2015 Q4","PERCENTUAL_GESTANTES_7_CONS",70.5263157894737
"Norte","2015 Q4","PERCENTUAL_GESTANTES_7_CONS",73.2824427480916
"Sul","2015 Q4","PERCENTUAL_GESTANTES_7_CONS",76.4705882352941
"Centro","2016 Q1","PERCENTUAL_GESTANTES_7_CONS",74.1463414634146
