"DISTRITO","UNIDADE","AREA","TRIMESTRE","TIPO","VALOR"
"Continente","CS JARDIM ATLÂNTICO","10","2018 Q2","GESTANTES",1
"Continente","CS NOVO CONTINENTE","100","2018 Q2","GESTANTES",8
"Continente","CS NOVO CONTINENTE","101","2018 Q2","GESTANTES",4
"Continente","CS NOVO CONTINENTE","102","2018 Q2","GESTANTES",12
"Continente","CS JARDIM ATLÂNTICO","11","2018 Q2","GESTANTES",2
"Centro","CS MONTE SERRAT","120","2018 Q2","GESTANTES",13
"Centro","CS MONTE SERRAT","121","2018 Q2","GESTANTES",1
"Centro","CS MONTE SERRAT","122","2018 Q2","GESTANTES",16
"Centro","CS PRAINHA","130","2018 Q2","GESTANTES",14
"Centro","CS PRAINHA","131","2018 Q2","GESTANTES",11
"Centro","CS PRAINHA","132","2018 Q2","GESTANTES",13
"Centro","CS PANTANAL","160","2018 Q2","GESTANTES",6
"Centro","CS PANTANAL","161","2018 Q2","GESTANTES",6
"Centro","CS CÓRREGO GRANDE","170","2018 Q2","GESTANTES",4
"Centro","CS CÓRREGO GRANDE","171","2018 Q2","GESTANTES",8
"Centro","CS ITACORUBI","190","2018 Q2","GESTANTES",4
"Centro","CS ITACORUBI","191","2018 Q2","GESTANTES",7
"Centro","CS ITACORUBI","192","2018 Q2","GESTANTES",8
"Centro","CS ITACORUBI","193","2018 Q2","GESTANTES",4
"Continente","CS BALNEÁRIO","21","2018 Q2","GESTANTES",3
"Sul","CS ALTO RIBEIRÃO","210","2018 Q2","GESTANTES",8
"Sul","CS RIBEIRÃO DA ILHA","220","2018 Q2","GESTANTES",6
"Sul","CS PANTANO DO SUL","230","2018 Q2","GESTANTES",3
"Sul","CS ARMAÇÃO","240","2018 Q2","GESTANTES",12
"Sul","CS ARMAÇÃO","241","2018 Q2","GESTANTES",7
"Sul","CS ARMAÇÃO","242","2018 Q2","GESTANTES",1
"Sul","CS MORRO DAS PEDRAS","250","2018 Q2","GESTANTES",10
"Sul","CS MORRO DAS PEDRAS","251","2018 Q2","GESTANTES",9
"Sul","CS TAPERA","260","2018 Q2","GESTANTES",12
"Sul","CS TAPERA","261","2018 Q2","GESTANTES",12
"Sul","CS TAPERA","262","2018 Q2","GESTANTES",13
"Sul","CS TAPERA","263","2018 Q2","GESTANTES",15
"Sul","CS CARIANOS","270","2018 Q2","GESTANTES",10
"Sul","CS CARIANOS","271","2018 Q2","GESTANTES",15
"Sul","CS CARIANOS","272","2018 Q2","GESTANTES",2
"Sul","CS CAMPECHE","280","2018 Q2","GESTANTES",8
"Sul","CS CAMPECHE","281","2018 Q2","GESTANTES",14
"Sul","CS RIO TAVARES","290","2018 Q2","GESTANTES",12
"Sul","CS RIO TAVARES","291","2018 Q2","GESTANTES",5
"Sul","CS RIO TAVARES","292","2018 Q2","GESTANTES",8
"Continente","CS SAPE","30","2018 Q2","GESTANTES",6
"Sul","CS COSTEIRA DO PIRAJUBAÉ","300","2018 Q2","GESTANTES",9
"Sul","CS COSTEIRA DO PIRAJUBAÉ","301","2018 Q2","GESTANTES",6
"Sul","CS COSTEIRA DO PIRAJUBAÉ","302","2018 Q2","GESTANTES",7
"Continente","CS SAPE","31","2018 Q2","GESTANTES",6
"Centro","CS SACO DOS LIMÕES","310","2018 Q2","GESTANTES",4
"Centro","CS SACO DOS LIMÕES","311","2018 Q2","GESTANTES",10
"Centro","CS SACO DOS LIMÕES","312","2018 Q2","GESTANTES",21
"Centro","CS JOÃO PAULO","320","2018 Q2","GESTANTES",6
"Centro","CS JOÃO PAULO","321","2018 Q2","GESTANTES",5
"Norte","CS SACO GRANDE","330","2018 Q2","GESTANTES",8
"Norte","CS SACO GRANDE","331","2018 Q2","GESTANTES",10
"Norte","CS SACO GRANDE","332","2018 Q2","GESTANTES",12
"Norte","CS SACO GRANDE","333","2018 Q2","GESTANTES",10
"Norte","CS SACO GRANDE","334","2018 Q2","GESTANTES",14
"Norte","CS SACO GRANDE","335","2018 Q2","GESTANTES",13
"Norte","CS VARGEM PEQUENA","340","2018 Q2","GESTANTES",2
