"TRIMESTRE","TIPO","VALOR"
"2018 Q2","GESTANTES",1208
"2018 Q2","GESTANTES_7_CONS",922
"2018 Q2","GEST_TODOS_TRI",741
"2018 Q2","PERCENTUAL_GESTANTES_7_CONS",76.3245033112583
"2018 Q2","PERCENTUAL_TODOS_TRI",61.341059602649
"2013 Q1","GESTANTES",960
"2013 Q2","GESTANTES",975
"2013 Q3","GESTANTES",900
"2013 Q4","GESTANTES",887
"2014 Q1","GESTANTES",972
"2014 Q2","GESTANTES",1018
"2014 Q3","GESTANTES",937
"2014 Q4","GESTANTES",865
"2015 Q1","GESTANTES",1012
"2015 Q2","GESTANTES",1000
"2015 Q3","GESTANTES",1004
"2015 Q4","GESTANTES",996
"2016 Q1","GESTANTES",1037
"2016 Q2","GESTANTES",1100
"2016 Q3","GESTANTES",1140
"2016 Q4","GESTANTES",978
"2017 Q1","GESTANTES",1123
"2017 Q2","GESTANTES",1183
"2017 Q3","GESTANTES",1080
"2017 Q4","GESTANTES",994
"2018 Q1","GESTANTES",1123
"2013 Q1","GESTANTES_7_CONS",651
"2013 Q2","GESTANTES_7_CONS",683
"2013 Q3","GESTANTES_7_CONS",652
"2013 Q4","GESTANTES_7_CONS",594
"2014 Q1","GESTANTES_7_CONS",699
"2014 Q2","GESTANTES_7_CONS",712
"2014 Q3","GESTANTES_7_CONS",687
"2014 Q4","GESTANTES_7_CONS",628
"2015 Q1","GESTANTES_7_CONS",740
"2015 Q2","GESTANTES_7_CONS",728
"2015 Q3","GESTANTES_7_CONS",759
"2015 Q4","GESTANTES_7_CONS",718
"2016 Q1","GESTANTES_7_CONS",781
"2016 Q2","GESTANTES_7_CONS",831
"2016 Q3","GESTANTES_7_CONS",880
"2016 Q4","GESTANTES_7_CONS",744
"2017 Q1","GESTANTES_7_CONS",808
"2017 Q2","GESTANTES_7_CONS",873
"2017 Q3","GESTANTES_7_CONS",792
"2017 Q4","GESTANTES_7_CONS",764
"2018 Q1","GESTANTES_7_CONS",861
"2013 Q1","GEST_TODOS_TRI",490
"2013 Q2","GEST_TODOS_TRI",511
"2013 Q3","GEST_TODOS_TRI",451
"2013 Q4","GEST_TODOS_TRI",430
"2014 Q1","GEST_TODOS_TRI",518
"2014 Q2","GEST_TODOS_TRI",545
"2014 Q3","GEST_TODOS_TRI",501
