"DISTRITO","UNIDADE","TRIMESTRE","TIPO","VALOR"
"Continente","CS ABRAÃO","2013 Q1","GESTANTES",8
"Centro","CS AGRONÔMICA","2013 Q1","GESTANTES",31
"Sul","CS ALTO RIBEIRÃO","2013 Q1","GESTANTES",19
"Sul","CS ARMAÇÃO","2013 Q1","GESTANTES",10
"Continente","CS BALNEÁRIO","2013 Q1","GESTANTES",3
"Norte","CS BARRA DA LAGOA","2013 Q1","GESTANTES",14
"Norte","CS CACHOEIRA BOM JESUS","2013 Q1","GESTANTES",28
"Sul","CS CAIEIRA BARRA DO SUL","2013 Q1","GESTANTES",1
"Sul","CS CAMPECHE","2013 Q1","GESTANTES",14
"Norte","CS CANASVIEIRAS","2013 Q1","GESTANTES",63
"Sul","CS CANTO DA LAGOA","2013 Q1","GESTANTES",2
"Continente","CS CAPOEIRAS","2013 Q1","GESTANTES",14
"Sul","CS CARIANOS","2013 Q1","GESTANTES",8
"Centro","CS CENTRO","2013 Q1","GESTANTES",16
"Continente","CS COLONINHA","2013 Q1","GESTANTES",24
"Continente","CS COQUEIROS","2013 Q1","GESTANTES",14
"Centro","CS CÓRREGO GRANDE","2013 Q1","GESTANTES",8
"Sul","CS COSTA DA LAGOA","2013 Q1","GESTANTES",1
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2013 Q1","GESTANTES",24
"Continente","CS ESTREITO","2013 Q1","GESTANTES",6
"Sul","CS FAZENDA DO RIO TAVARES","2013 Q1","GESTANTES",18
"Norte","CS INGLESES","2013 Q1","GESTANTES",76
"Centro","CS ITACORUBI","2013 Q1","GESTANTES",24
"Continente","CS JARDIM ATLÂNTICO","2013 Q1","GESTANTES",5
"Centro","CS JOÃO PAULO","2013 Q1","GESTANTES",7
"Norte","CS JURERE","2013 Q1","GESTANTES",8
"Sul","CS LAGOA DA CONCEIÇÃO","2013 Q1","GESTANTES",12
"Continente","CS MONTE CRISTO","2013 Q1","GESTANTES",71
"Centro","CS MONTE SERRAT","2013 Q1","GESTANTES",20
"Sul","CS MORRO DAS PEDRAS","2013 Q1","GESTANTES",21
"Continente","CS NOVO CONTINENTE","2013 Q1","GESTANTES",24
"Centro","CS PANTANAL","2013 Q1","GESTANTES",9
"Sul","CS PANTANO DO SUL","2013 Q1","GESTANTES",9
"Norte","CS PONTA DAS CANAS","2013 Q1","GESTANTES",12
"Centro","CS PRAINHA","2013 Q1","GESTANTES",25
"Norte","CS RATONES","2013 Q1","GESTANTES",18
"Sul","CS RIBEIRÃO DA ILHA","2013 Q1","GESTANTES",7
"Sul","CS RIO TAVARES","2013 Q1","GESTANTES",10
"Norte","CS RIO VERMELHO","2013 Q1","GESTANTES",50
"Centro","CS SACO DOS LIMÕES","2013 Q1","GESTANTES",28
"Norte","CS SACO GRANDE","2013 Q1","GESTANTES",52
"Norte","CS SANTINHO","2013 Q1","GESTANTES",24
"Norte","CS SANTO ANTONIO LISBOA","2013 Q1","GESTANTES",18
"Continente","CS SAPE","2013 Q1","GESTANTES",25
"Sul","CS TAPERA","2013 Q1","GESTANTES",37
"Centro","CS TRINDADE","2013 Q1","GESTANTES",30
"Norte","CS VARGEM GRANDE","2013 Q1","GESTANTES",4
"Norte","CS VARGEM PEQUENA","2013 Q1","GESTANTES",1
"Continente","CS VILA APARECIDA","2013 Q1","GESTANTES",7
"Continente","CS ABRAÃO","2013 Q2","GESTANTES",12
"Centro","CS AGRONÔMICA","2013 Q2","GESTANTES",46
"Sul","CS ALTO RIBEIRÃO","2013 Q2","GESTANTES",11
"Sul","CS ARMAÇÃO","2013 Q2","GESTANTES",17
