"DISTRITO","TRIMESTRE","TIPO","VALOR"
"Centro","2018 Q2","GESTANTES",262
"Continente","2018 Q2","GESTANTES",185
"Norte","2018 Q2","GESTANTES",500
"Sul","2018 Q2","GESTANTES",261
"Centro","2018 Q2","GEST_ODONTO",68
"Continente","2018 Q2","GEST_ODONTO",61
"Norte","2018 Q2","GEST_ODONTO",142
"Sul","2018 Q2","GEST_ODONTO",79
"Centro","2018 Q2","PERCENTUAL_GEST_ODONTO",25.9541984732824
"Continente","2018 Q2","PERCENTUAL_GEST_ODONTO",32.972972972973
"Norte","2018 Q2","PERCENTUAL_GEST_ODONTO",28.4
"Sul","2018 Q2","PERCENTUAL_GEST_ODONTO",30.2681992337165
"Centro","2013 Q1","GESTANTES",198
"Continente","2013 Q1","GESTANTES",201
"Norte","2013 Q1","GESTANTES",368
"Sul","2013 Q1","GESTANTES",193
"Centro","2013 Q2","GESTANTES",214
"Continente","2013 Q2","GESTANTES",181
"Norte","2013 Q2","GESTANTES",360
"Sul","2013 Q2","GESTANTES",220
"Centro","2013 Q3","GESTANTES",184
"Continente","2013 Q3","GESTANTES",184
"Norte","2013 Q3","GESTANTES",324
"Sul","2013 Q3","GESTANTES",208
"Centro","2013 Q4","GESTANTES",191
"Continente","2013 Q4","GESTANTES",181
"Norte","2013 Q4","GESTANTES",310
"Sul","2013 Q4","GESTANTES",205
"Centro","2014 Q1","GESTANTES",213
"Continente","2014 Q1","GESTANTES",198
"Norte","2014 Q1","GESTANTES",344
"Sul","2014 Q1","GESTANTES",217
"Centro","2014 Q2","GESTANTES",233
"Continente","2014 Q2","GESTANTES",194
"Norte","2014 Q2","GESTANTES",375
"Sul","2014 Q2","GESTANTES",216
"Centro","2014 Q3","GESTANTES",192
"Continente","2014 Q3","GESTANTES",148
"Norte","2014 Q3","GESTANTES",371
"Sul","2014 Q3","GESTANTES",226
"Centro","2014 Q4","GESTANTES",171
"Continente","2014 Q4","GESTANTES",174
"Norte","2014 Q4","GESTANTES",330
"Sul","2014 Q4","GESTANTES",190
"Centro","2015 Q1","GESTANTES",195
"Continente","2015 Q1","GESTANTES",195
"Norte","2015 Q1","GESTANTES",387
"Sul","2015 Q1","GESTANTES",235
"Centro","2015 Q2","GESTANTES",198
"Continente","2015 Q2","GESTANTES",186
"Norte","2015 Q2","GESTANTES",379
"Sul","2015 Q2","GESTANTES",237
"Centro","2015 Q3","GESTANTES",236
"Continente","2015 Q3","GESTANTES",183
"Norte","2015 Q3","GESTANTES",395
"Sul","2015 Q3","GESTANTES",190
"Centro","2015 Q4","GESTANTES",209
"Continente","2015 Q4","GESTANTES",190
"Norte","2015 Q4","GESTANTES",393
"Sul","2015 Q4","GESTANTES",204
"Centro","2016 Q1","GESTANTES",205
"Continente","2016 Q1","GESTANTES",185
"Norte","2016 Q1","GESTANTES",418
"Sul","2016 Q1","GESTANTES",229
"Centro","2016 Q2","GESTANTES",242
"Continente","2016 Q2","GESTANTES",200
"Norte","2016 Q2","GESTANTES",420
"Sul","2016 Q2","GESTANTES",238
"Centro","2016 Q3","GESTANTES",222
"Continente","2016 Q3","GESTANTES",213
"Norte","2016 Q3","GESTANTES",457
"Sul","2016 Q3","GESTANTES",248
"Centro","2016 Q4","GESTANTES",216
"Continente","2016 Q4","GESTANTES",173
"Norte","2016 Q4","GESTANTES",376
"Sul","2016 Q4","GESTANTES",213
"Centro","2017 Q1","GESTANTES",248
"Continente","2017 Q1","GESTANTES",195
"Norte","2017 Q1","GESTANTES",455
"Sul","2017 Q1","GESTANTES",225
"Centro","2017 Q2","GESTANTES",254
"Continente","2017 Q2","GESTANTES",214
"Norte","2017 Q2","GESTANTES",468
"Sul","2017 Q2","GESTANTES",247
"Centro","2017 Q3","GESTANTES",228
"Continente","2017 Q3","GESTANTES",208
"Norte","2017 Q3","GESTANTES",421
"Sul","2017 Q3","GESTANTES",223
"Centro","2017 Q4","GESTANTES",217
"Continente","2017 Q4","GESTANTES",138
"Norte","2017 Q4","GESTANTES",433
"Sul","2017 Q4","GESTANTES",206
"Centro","2018 Q1","GESTANTES",231
"Continente","2018 Q1","GESTANTES",210
"Norte","2018 Q1","GESTANTES",465
"Sul","2018 Q1","GESTANTES",217
"Centro","2013 Q1","GEST_ODONTO",52
"Continente","2013 Q1","GEST_ODONTO",63
"Norte","2013 Q1","GEST_ODONTO",79
"Sul","2013 Q1","GEST_ODONTO",42
"Centro","2013 Q2","GEST_ODONTO",56
"Continente","2013 Q2","GEST_ODONTO",53
"Norte","2013 Q2","GEST_ODONTO",81
"Sul","2013 Q2","GEST_ODONTO",59
"Centro","2013 Q3","GEST_ODONTO",51
"Continente","2013 Q3","GEST_ODONTO",39
"Norte","2013 Q3","GEST_ODONTO",87
"Sul","2013 Q3","GEST_ODONTO",53
"Centro","2013 Q4","GEST_ODONTO",30
