"TRIMESTRE","TIPO","VALOR"
"2018 Q2","GESTANTES",1208
"2018 Q2","GEST_ODONTO",350
"2018 Q2","PERCENTUAL_GEST_ODONTO",28.9735099337748
"2013 Q1","GESTANTES",960
"2013 Q2","GESTANTES",975
"2013 Q3","GESTANTES",900
"2013 Q4","GESTANTES",887
"2014 Q1","GESTANTES",972
"2014 Q2","GESTANTES",1018
"2014 Q3","GESTANTES",937
"2014 Q4","GESTANTES",865
"2015 Q1","GESTANTES",1012
"2015 Q2","GESTANTES",1000
"2015 Q3","GESTANTES",1004
"2015 Q4","GESTANTES",996
"2016 Q1","GESTANTES",1037
"2016 Q2","GESTANTES",1100
"2016 Q3","GESTANTES",1140
"2016 Q4","GESTANTES",978
"2017 Q1","GESTANTES",1123
"2017 Q2","GESTANTES",1183
"2017 Q3","GESTANTES",1080
"2017 Q4","GESTANTES",994
"2018 Q1","GESTANTES",1123
"2013 Q1","GEST_ODONTO",236
"2013 Q2","GEST_ODONTO",249
"2013 Q3","GEST_ODONTO",230
"2013 Q4","GEST_ODONTO",192
"2014 Q1","GEST_ODONTO",232
"2014 Q2","GEST_ODONTO",224
"2014 Q3","GEST_ODONTO",213
"2014 Q4","GEST_ODONTO",205
"2015 Q1","GEST_ODONTO",246
"2015 Q2","GEST_ODONTO",226
"2015 Q3","GEST_ODONTO",221
"2015 Q4","GEST_ODONTO",224
"2016 Q1","GEST_ODONTO",268
"2016 Q2","GEST_ODONTO",290
"2016 Q3","GEST_ODONTO",298
"2016 Q4","GEST_ODONTO",275
"2017 Q1","GEST_ODONTO",296
"2017 Q2","GEST_ODONTO",315
"2017 Q3","GEST_ODONTO",307
"2017 Q4","GEST_ODONTO",319
"2018 Q1","GEST_ODONTO",353
"2013 Q1","PERCENTUAL_GEST_ODONTO",24.5833333333333
"2013 Q2","PERCENTUAL_GEST_ODONTO",25.5384615384615
"2013 Q3","PERCENTUAL_GEST_ODONTO",25.5555555555556
"2013 Q4","PERCENTUAL_GEST_ODONTO",21.6459977452086
"2014 Q1","PERCENTUAL_GEST_ODONTO",23.8683127572016
"2014 Q2","PERCENTUAL_GEST_ODONTO",22.0039292730845
"2014 Q3","PERCENTUAL_GEST_ODONTO",22.7321237993597
"2014 Q4","PERCENTUAL_GEST_ODONTO",23.6994219653179
"2015 Q1","PERCENTUAL_GEST_ODONTO",24.3083003952569
"2015 Q2","PERCENTUAL_GEST_ODONTO",22.6
"2015 Q3","PERCENTUAL_GEST_ODONTO",22.0119521912351
"2015 Q4","PERCENTUAL_GEST_ODONTO",22.4899598393574
"2016 Q1","PERCENTUAL_GEST_ODONTO",25.8437801350048
"2016 Q2","PERCENTUAL_GEST_ODONTO",26.3636363636364
"2016 Q3","PERCENTUAL_GEST_ODONTO",26.140350877193
"2016 Q4","PERCENTUAL_GEST_ODONTO",28.118609406953
"2017 Q1","PERCENTUAL_GEST_ODONTO",26.3579697239537
"2017 Q2","PERCENTUAL_GEST_ODONTO",26.6272189349112
"2017 Q3","PERCENTUAL_GEST_ODONTO",28.4259259259259
"2017 Q4","PERCENTUAL_GEST_ODONTO",32.092555331992
"2018 Q1","PERCENTUAL_GEST_ODONTO",31.4336598397151
