"DISTRITO","UNIDADE","AREA","ANO","MES","ESPECIALIDADE","VALOR"
"Centro","CS AGRONÔMICA",0,2018,4,"Médico e Enfermeiro",373
"Centro","CS AGRONÔMICA",0,2018,5,"Médico e Enfermeiro",485
"Centro","CS AGRONÔMICA",0,2018,6,"Médico e Enfermeiro",561
"Centro","CS AGRONÔMICA",0,2018,7,"Médico e Enfermeiro",363
"Centro","CS AGRONÔMICA",1,2018,4,"Médico e Enfermeiro",286
"Centro","CS AGRONÔMICA",1,2018,5,"Médico e Enfermeiro",364
"Centro","CS AGRONÔMICA",1,2018,6,"Médico e Enfermeiro",456
"Centro","CS AGRONÔMICA",1,2018,7,"Médico e Enfermeiro",426
"Centro","CS AGRONÔMICA",2,2018,4,"Médico e Enfermeiro",219
"Centro","CS AGRONÔMICA",2,2018,5,"Médico e Enfermeiro",354
"Centro","CS AGRONÔMICA",2,2018,6,"Médico e Enfermeiro",416
"Centro","CS AGRONÔMICA",2,2018,7,"Médico e Enfermeiro",389
"Centro","CS AGRONÔMICA",3,2018,4,"Médico e Enfermeiro",309
"Centro","CS AGRONÔMICA",3,2018,5,"Médico e Enfermeiro",453
"Centro","CS AGRONÔMICA",3,2018,6,"Médico e Enfermeiro",503
"Centro","CS AGRONÔMICA",3,2018,7,"Médico e Enfermeiro",513
"Centro","CS CENTRO",0,2018,4,"Médico e Enfermeiro",464
"Centro","CS CENTRO",0,2018,5,"Médico e Enfermeiro",434
"Centro","CS CENTRO",0,2018,6,"Médico e Enfermeiro",475
"Centro","CS CENTRO",0,2018,7,"Médico e Enfermeiro",540
"Centro","CS CENTRO",1,2018,4,"Médico e Enfermeiro",211
"Centro","CS CENTRO",1,2018,5,"Médico e Enfermeiro",229
"Centro","CS CENTRO",1,2018,6,"Médico e Enfermeiro",217
"Centro","CS CENTRO",1,2018,7,"Médico e Enfermeiro",214
"Centro","CS CENTRO",2,2018,4,"Médico e Enfermeiro",256
"Centro","CS CENTRO",2,2018,5,"Médico e Enfermeiro",265
"Centro","CS CENTRO",2,2018,6,"Médico e Enfermeiro",291
"Centro","CS CENTRO",2,2018,7,"Médico e Enfermeiro",331
"Centro","CS CÓRREGO GRANDE",0,2018,4,"Médico e Enfermeiro",191
"Centro","CS CÓRREGO GRANDE",0,2018,5,"Médico e Enfermeiro",275
"Centro","CS CÓRREGO GRANDE",0,2018,6,"Médico e Enfermeiro",347
"Centro","CS CÓRREGO GRANDE",0,2018,7,"Médico e Enfermeiro",333
"Centro","CS CÓRREGO GRANDE",1,2018,4,"Médico e Enfermeiro",215
