"DISTRITO","UNIDADE","TRIMESTRE","ESPECIALIDADE","VALOR"
"Continente","CS ABRAÃO","2018 Q2","Enfermeiro",671
"Centro","CS AGRONÔMICA","2018 Q2","Enfermeiro",1446
"Sul","CS ALTO RIBEIRÃO","2018 Q2","Enfermeiro",522
"Sul","CS ARMAÇÃO","2018 Q2","Enfermeiro",1056
"Continente","CS BALNEÁRIO","2018 Q2","Enfermeiro",745
"Norte","CS BARRA DA LAGOA","2018 Q2","Enfermeiro",1678
"Norte","CS CACHOEIRA BOM JESUS","2018 Q2","Enfermeiro",1050
"Sul","CS CAIEIRA BARRA DO SUL","2018 Q2","Enfermeiro",230
"Sul","CS CAMPECHE","2018 Q2","Enfermeiro",918
"Norte","CS CANASVIEIRAS","2018 Q2","Enfermeiro",1651
"Sul","CS CANTO DA LAGOA","2018 Q2","Enfermeiro",102
"Continente","CS CAPOEIRAS","2018 Q2","Enfermeiro",987
"Sul","CS CARIANOS","2018 Q2","Enfermeiro",1106
"Centro","CS CENTRO","2018 Q2","Enfermeiro",1437
"Continente","CS COLONINHA","2018 Q2","Enfermeiro",656
"Continente","CS COQUEIROS","2018 Q2","Enfermeiro",776
"Centro","CS CÓRREGO GRANDE","2018 Q2","Enfermeiro",1030
"Sul","CS COSTA DA LAGOA","2018 Q2","Enfermeiro",39
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2018 Q2","Enfermeiro",2837
"Continente","CS ESTREITO","2018 Q2","Enfermeiro",1220
"Sul","CS FAZENDA DO RIO TAVARES","2018 Q2","Enfermeiro",1176
"Norte","CS INGLESES","2018 Q2","Enfermeiro",3910
"Centro","CS ITACORUBI","2018 Q2","Enfermeiro",1923
"Continente","CS JARDIM ATLÂNTICO","2018 Q2","Enfermeiro",404
"Centro","CS JOÃO PAULO","2018 Q2","Enfermeiro",1217
"Norte","CS JURERE","2018 Q2","Enfermeiro",579
"Sul","CS LAGOA DA CONCEIÇÃO","2018 Q2","Enfermeiro",1133
"Continente","CS MONTE CRISTO","2018 Q2","Enfermeiro",3386
"Centro","CS MONTE SERRAT","2018 Q2","Enfermeiro",1589
"Sul","CS MORRO DAS PEDRAS","2018 Q2","Enfermeiro",693
"Continente","CS NOVO CONTINENTE","2018 Q2","Enfermeiro",1112
"Centro","CS PANTANAL","2018 Q2","Enfermeiro",539
"Sul","CS PANTANO DO SUL","2018 Q2","Enfermeiro",444
"Norte","CS PONTA DAS CANAS","2018 Q2","Enfermeiro",316
"Centro","CS PRAINHA","2018 Q2","Enfermeiro",945
"Norte","CS RATONES","2018 Q2","Enfermeiro",556
"Sul","CS RIBEIRÃO DA ILHA","2018 Q2","Enfermeiro",284
"Sul","CS RIO TAVARES","2018 Q2","Enfermeiro",568
"Norte","CS RIO VERMELHO","2018 Q2","Enfermeiro",2423
"Centro","CS SACO DOS LIMÕES","2018 Q2","Enfermeiro",1515
"Norte","CS SACO GRANDE","2018 Q2","Enfermeiro",2315
"Norte","CS SANTINHO","2018 Q2","Enfermeiro",843
"Norte","CS SANTO ANTONIO LISBOA","2018 Q2","Enfermeiro",904
"Continente","CS SAPE","2018 Q2","Enfermeiro",787
"Sul","CS TAPERA","2018 Q2","Enfermeiro",1775
"Centro","CS TRINDADE","2018 Q2","Enfermeiro",1616
"Norte","CS VARGEM GRANDE","2018 Q2","Enfermeiro",806
"Norte","CS VARGEM PEQUENA","2018 Q2","Enfermeiro",340
"Continente","CS VILA APARECIDA","2018 Q2","Enfermeiro",352
"Continente","CS ABRAÃO","2018 Q2","Médico",1664
"Centro","CS AGRONÔMICA","2018 Q2","Médico",4273
"Sul","CS ALTO RIBEIRÃO","2018 Q2","Médico",1143
"Sul","CS ARMAÇÃO","2018 Q2","Médico",1844
"Continente","CS BALNEÁRIO","2018 Q2","Médico",1404
"Norte","CS BARRA DA LAGOA","2018 Q2","Médico",1261
"Norte","CS CACHOEIRA BOM JESUS","2018 Q2","Médico",1206
"Sul","CS CAIEIRA BARRA DO SUL","2018 Q2","Médico",699
"Sul","CS CAMPECHE","2018 Q2","Médico",1878
"Norte","CS CANASVIEIRAS","2018 Q2","Médico",3168
"Sul","CS CANTO DA LAGOA","2018 Q2","Médico",427
"Continente","CS CAPOEIRAS","2018 Q2","Médico",1369
"Sul","CS CARIANOS","2018 Q2","Médico",1559
"Centro","CS CENTRO","2018 Q2","Médico",2140
"Continente","CS COLONINHA","2018 Q2","Médico",2261
"Continente","CS COQUEIROS","2018 Q2","Médico",2222
"Centro","CS CÓRREGO GRANDE","2018 Q2","Médico",1302
"Sul","CS COSTA DA LAGOA","2018 Q2","Médico",321
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2018 Q2","Médico",2007
"Continente","CS ESTREITO","2018 Q2","Médico",2434
"Sul","CS FAZENDA DO RIO TAVARES","2018 Q2","Médico",1378
"Norte","CS INGLESES","2018 Q2","Médico",4805
"Centro","CS ITACORUBI","2018 Q2","Médico",2654
"Continente","CS JARDIM ATLÂNTICO","2018 Q2","Médico",476
"Centro","CS JOÃO PAULO","2018 Q2","Médico",2042
"Norte","CS JURERE","2018 Q2","Médico",885
"Sul","CS LAGOA DA CONCEIÇÃO","2018 Q2","Médico",2146
"Continente","CS MONTE CRISTO","2018 Q2","Médico",5611
"Centro","CS MONTE SERRAT","2018 Q2","Médico",2091
"Sul","CS MORRO DAS PEDRAS","2018 Q2","Médico",1648
"Continente","CS NOVO CONTINENTE","2018 Q2","Médico",2421
"Centro","CS PANTANAL","2018 Q2","Médico",1280
"Sul","CS PANTANO DO SUL","2018 Q2","Médico",1090
"Norte","CS PONTA DAS CANAS","2018 Q2","Médico",962
"Centro","CS PRAINHA","2018 Q2","Médico",1585
"Norte","CS RATONES","2018 Q2","Médico",927
"Sul","CS RIBEIRÃO DA ILHA","2018 Q2","Médico",580
"Sul","CS RIO TAVARES","2018 Q2","Médico",1455
"Norte","CS RIO VERMELHO","2018 Q2","Médico",4977
"Centro","CS SACO DOS LIMÕES","2018 Q2","Médico",2422
"Norte","CS SACO GRANDE","2018 Q2","Médico",6200
"Norte","CS SANTINHO","2018 Q2","Médico",1729
"Norte","CS SANTO ANTONIO LISBOA","2018 Q2","Médico",1813
"Continente","CS SAPE","2018 Q2","Médico",1066
"Sul","CS TAPERA","2018 Q2","Médico",4499
"Centro","CS TRINDADE","2018 Q2","Médico",3563
"Norte","CS VARGEM GRANDE","2018 Q2","Médico",650
"Norte","CS VARGEM PEQUENA","2018 Q2","Médico",611
"Continente","CS VILA APARECIDA","2018 Q2","Médico",773
"Continente","CS ABRAÃO","2018 Q2","Médico e Enfermeiro",2335
"Centro","CS AGRONÔMICA","2018 Q2","Médico e Enfermeiro",5719
"Sul","CS ALTO RIBEIRÃO","2018 Q2","Médico e Enfermeiro",1665
"Sul","CS ARMAÇÃO","2018 Q2","Médico e Enfermeiro",2900
"Continente","CS BALNEÁRIO","2018 Q2","Médico e Enfermeiro",2149
"Norte","CS BARRA DA LAGOA","2018 Q2","Médico e Enfermeiro",2939
"Norte","CS CACHOEIRA BOM JESUS","2018 Q2","Médico e Enfermeiro",2256
"Sul","CS CAIEIRA BARRA DO SUL","2018 Q2","Médico e Enfermeiro",929
"Sul","CS CAMPECHE","2018 Q2","Médico e Enfermeiro",2796
"Norte","CS CANASVIEIRAS","2018 Q2","Médico e Enfermeiro",4819
