"DISTRITO","UNIDADE","TRIMESTRE","VALOR","ESPECIALIDADE","AREA"
"Continente","CS ABRAÃO","2013 Q1",545,"Médico",570
"Centro","CS AGRONÔMICA","2013 Q1",504,"Médico",690
"Sul","CS ALTO RIBEIRÃO","2013 Q1",1156,"Médico",210
"Sul","CS ARMAÇÃO","2013 Q1",507,"Médico",240
"Continente","CS BALNEÁRIO","2013 Q1",404,"Médico",20
"Norte","CS BARRA DA LAGOA","2013 Q1",651,"Médico",440
"Norte","CS CACHOEIRA BOM JESUS","2013 Q1",692,"Médico",400
"Sul","CS CAIEIRA BARRA DO SUL","2013 Q1",491,"Médico",200
"Sul","CS CAMPECHE","2013 Q1",562,"Médico",280
"Norte","CS CANASVIEIRAS","2013 Q1",529,"Médico",380
"Sul","CS CANTO DA LAGOA","2013 Q1",506,"Médico",450
"Continente","CS CAPOEIRAS","2013 Q1",602,"Médico",60
"Sul","CS CARIANOS","2013 Q1",354,"Médico",270
"Centro","CS CENTRO","2013 Q1",771,"Médico",950
"Continente","CS COLONINHA","2013 Q1",766,"Médico",70
"Continente","CS COQUEIROS","2013 Q1",487,"Médico",600
"Centro","CS CÓRREGO GRANDE","2013 Q1",652,"Médico",170
"Sul","CS COSTA DA LAGOA","2013 Q1",449,"Médico",460
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2013 Q1",378,"Médico",300
"Continente","CS ESTREITO","2013 Q1",565,"Médico",80
"Sul","CS FAZENDA DO RIO TAVARES","2013 Q1",530,"Médico",780
"Centro","CS ITACORUBI","2013 Q1",633,"Médico",190
"Continente","CS JARDIM ATLÂNTICO","2013 Q1",92,"Médico",10
"Centro","CS JOÃO PAULO","2013 Q1",889,"Médico",320
"Norte","CS JURERE","2013 Q1",713,"Médico",390
"Sul","CS LAGOA DA CONCEIÇÃO","2013 Q1",661,"Médico",470
"Continente","CS MONTE CRISTO","2013 Q1",531,"Médico",40
"Centro","CS MONTE SERRAT","2013 Q1",707,"Médico",120
"Sul","CS MORRO DAS PEDRAS","2013 Q1",528,"Médico",250
"Continente","CS NOVO CONTINENTE","2013 Q1",437,"Médico",100
"Centro","CS PANTANAL","2013 Q1",582,"Médico",160
"Sul","CS PANTANO DO SUL","2013 Q1",750,"Médico",230
"Norte","CS PONTA DAS CANAS","2013 Q1",500,"Médico",370
"Centro","CS PRAINHA","2013 Q1",530,"Médico",130
"Norte","CS RATONES","2013 Q1",392,"Médico",350
"Sul","CS RIBEIRÃO DA ILHA","2013 Q1",712,"Médico",220
"Sul","CS RIO TAVARES","2013 Q1",664,"Médico",290
"Norte","CS RIO VERMELHO","2013 Q1",749,"Médico",420
"Centro","CS SACO DOS LIMÕES","2013 Q1",306,"Médico",310
"Norte","CS SACO GRANDE","2013 Q1",946,"Médico",330
