UNIDADE,DISTRITO,AREA,INDICADOR,BIENIO,VALOR,X,Y,DESCRICAO
CS ABRAÃO,Continente,570,PRENATAL_TODOS_TRIM,2013/2014,53,-48.596048,-27.603667,"Coordenador: Sandra Elizabete Just<br>Horários: 08:00 - 12:00 / 13:00 - 17:00<br>Endereço: R. João Meirelles, s/n. <br>T: (48) 3249-5844 / 3249-5962"
CS ABRAÃO,Continente,572,PRENATAL_TODOS_TRIM,2015/2016,75,-48.596048,-27.603667,"Coordenador: Sandra Elizabete Just<br>Horários: 08:00 - 12:00 / 13:00 - 17:00<br>Endereço: R. João Meirelles, s/n. <br>T: (48) 3249-5844 / 3249-5962"
CS ABRAÃO,Continente,571,PRENATAL_TODOS_TRIM,2015/2016,59,-48.596048,-27.603667,"Coordenador: Sandra Elizabete Just<br>Horários: 08:00 - 12:00 / 13:00 - 17:00<br>Endereço: R. João Meirelles, s/n. <br>T: (48) 3249-5844 / 3249-5962"
CS ABRAÃO,Continente,572,PRENATAL_TODOS_TRIM,2013/2014,40,-48.596048,-27.603667,"Coordenador: Sandra Elizabete Just<br>Horários: 08:00 - 12:00 / 13:00 - 17:00<br>Endereço: R. João Meirelles, s/n. <br>T: (48) 3249-5844 / 3249-5962"
CS ABRAÃO,Continente,570,PRENATAL_TODOS_TRIM,2015/2016,62,-48.596048,-27.603667,"Coordenador: Sandra Elizabete Just<br>Horários: 08:00 - 12:00 / 13:00 - 17:00<br>Endereço: R. João Meirelles, s/n. <br>T: (48) 3249-5844 / 3249-5962"
CS ABRAÃO,Continente,571,PRENATAL_TODOS_TRIM,2013/2014,58,-48.596048,-27.603667,"Coordenador: Sandra Elizabete Just<br>Horários: 08:00 - 12:00 / 13:00 - 17:00<br>Endereço: R. João Meirelles, s/n. <br>T: (48) 3249-5844 / 3249-5962"
CS AGRONÔMICA,Centro,693,PRENATAL_TODOS_TRIM,2013/2014,41,-48.537053,-27.574558,"Coordenador: Vanessa Andrade<br>Horários: 08:00 - 12:00 / 13:00 - 17:00<br>Endereço: R. Rui Barbosa, s/n. <br>T: (48) 3228-1310 / 3228-1809"
CS AGRONÔMICA,Centro,690,PRENATAL_TODOS_TRIM,2015/2016,59,-48.537053,-27.574558,"Coordenador: Vanessa Andrade<br>Horários: 08:00 - 12:00 / 13:00 - 17:00<br>Endereço: R. Rui Barbosa, s/n. <br>T: (48) 3228-1310 / 3228-1809"
CS AGRONÔMICA,Centro,692,PRENATAL_TODOS_TRIM,2015/2016,53,-48.537053,-27.574558,"Coordenador: Vanessa Andrade<br>Horários: 08:00 - 12:00 / 13:00 - 17:00<br>Endereço: R. Rui Barbosa, s/n. <br>T: (48) 3228-1310 / 3228-1809"
CS AGRONÔMICA,Centro,690,PRENATAL_TODOS_TRIM,2013/2014,43,-48.537053,-27.574558,"Coordenador: Vanessa Andrade<br>Horários: 08:00 - 12:00 / 13:00 - 17:00<br>Endereço: R. Rui Barbosa, s/n. <br>T: (48) 3228-1310 / 3228-1809"
CS AGRONÔMICA,Centro,691,PRENATAL_TODOS_TRIM,2013/2014,48,-48.537053,-27.574558,"Coordenador: Vanessa Andrade<br>Horários: 08:00 - 12:00 / 13:00 - 17:00<br>Endereço: R. Rui Barbosa, s/n. <br>T: (48) 3228-1310 / 3228-1809"
CS AGRONÔMICA,Centro,691,PRENATAL_TODOS_TRIM,2015/2016,44,-48.537053,-27.574558,"Coordenador: Vanessa Andrade<br>Horários: 08:00 - 12:00 / 13:00 - 17:00<br>Endereço: R. Rui Barbosa, s/n. <br>T: (48) 3228-1310 / 3228-1809"
CS AGRONÔMICA,Centro,693,PRENATAL_TODOS_TRIM,2015/2016,54,-48.537053,-27.574558,"Coordenador: Vanessa Andrade<br>Horários: 08:00 - 12:00 / 13:00 - 17:00<br>Endereço: R. Rui Barbosa, s/n. <br>T: (48) 3228-1310 / 3228-1809"
CS AGRONÔMICA,Centro,692,PRENATAL_TODOS_TRIM,2013/2014,46,-48.537053,-27.574558,"Coordenador: Vanessa Andrade<br>Horários: 08:00 - 12:00 / 13:00 - 17:00<br>Endereço: R. Rui Barbosa, s/n. <br>T: (48) 3228-1310 / 3228-1809"
CS ALTO RIBEIRÃO,Sul,210,PRENATAL_TODOS_TRIM,2013/2014,53,-48.533872,-27.703927,"Coordenador: Laércio Gnecco<br>Horários: 08:00 - 12:00 / 13:00 - 17:00<br>Endereço: R:Severiano Firmino Martins, 69.<br>T: (48) 3269-9917 / 3233-3989"
CS ALTO RIBEIRÃO,Sul,210,PRENATAL_TODOS_TRIM,2015/2016,78,-48.533872,-27.703927,"Coordenador: Laércio Gnecco<br>Horários: 08:00 - 12:00 / 13:00 - 17:00<br>Endereço: R:Severiano Firmino Martins, 69.<br>T: (48) 3269-9917 / 3233-3989"
CS ARMAÇÃO,Sul,240,PRENATAL_TODOS_TRIM,2013/2014,57,-48.510121,-27.752719,"Coordenador: Laura Denize Reboa Castillo<br>Horários: 08:00 - 12:00 / 13:00 - 17:00<br>Endereço: Rod. SC-406, 6.074.<br>T: (48) 3389-5014 / 3389-5120"
CS ARMAÇÃO,Sul,242,PRENATAL_TODOS_TRIM,2013/2014,57,-48.510121,-27.752719,"Coordenador: Laura Denize Reboa Castillo<br>Horários: 08:00 - 12:00 / 13:00 - 17:00<br>Endereço: Rod. SC-406, 6.074.<br>T: (48) 3389-5014 / 3389-5120"
CS ARMAÇÃO,Sul,242,PRENATAL_TODOS_TRIM,2015/2016,57,-48.510121,-27.752719,"Coordenador: Laura Denize Reboa Castillo<br>Horários: 08:00 - 12:00 / 13:00 - 17:00<br>Endereço: Rod. SC-406, 6.074.<br>T: (48) 3389-5014 / 3389-5120"
CS ARMAÇÃO,Sul,241,PRENATAL_TODOS_TRIM,2015/2016,76,-48.510121,-27.752719,"Coordenador: Laura Denize Reboa Castillo<br>Horários: 08:00 - 12:00 / 13:00 - 17:00<br>Endereço: Rod. SC-406, 6.074.<br>T: (48) 3389-5014 / 3389-5120"
CS ARMAÇÃO,Sul,241,PRENATAL_TODOS_TRIM,2013/2014,77,-48.510121,-27.752719,"Coordenador: Laura Denize Reboa Castillo<br>Horários: 08:00 - 12:00 / 13:00 - 17:00<br>Endereço: Rod. SC-406, 6.074.<br>T: (48) 3389-5014 / 3389-5120"
CS ARMAÇÃO,Sul,240,PRENATAL_TODOS_TRIM,2015/2016,68,-48.510121,-27.752719,"Coordenador: Laura Denize Reboa Castillo<br>Horários: 08:00 - 12:00 / 13:00 - 17:00<br>Endereço: Rod. SC-406, 6.074.<br>T: (48) 3389-5014 / 3389-5120"
CS BALNEÁRIO,Continente,21,PRENATAL_TODOS_TRIM,2015/2016,60,-48.583331,-27.579612,"Coordenador: Júlio Cesar de Almeida Fogliato<br>Horários: 08:00 - 12:00 / 13:00 - 17:00<br>Endereço: Av. Santa Catarina, 1.570. <br>T: (48) 3248-1620 / 3244-4904"
CS BALNEÁRIO,Continente,20,PRENATAL_TODOS_TRIM,2013/2014,25,-48.583331,-27.579612,"Coordenador: Júlio Cesar de Almeida Fogliato<br>Horários: 08:00 - 12:00 / 13:00 - 17:00<br>Endereço: Av. Santa Catarina, 1.570. <br>T: (48) 3248-1620 / 3244-4904"
CS BALNEÁRIO,Continente,20,PRENATAL_TODOS_TRIM,2015/2016,50,-48.583331,-27.579612,"Coordenador: Júlio Cesar de Almeida Fogliato<br>Horários: 08:00 - 12:00 / 13:00 - 17:00<br>Endereço: Av. Santa Catarina, 1.570. <br>T: (48) 3248-1620 / 3244-4904"
CS BALNEÁRIO,Continente,21,PRENATAL_TODOS_TRIM,2013/2014,14,-48.583331,-27.579612,"Coordenador: Júlio Cesar de Almeida Fogliato<br>Horários: 08:00 - 12:00 / 13:00 - 17:00<br>Endereço: Av. Santa Catarina, 1.570. <br>T: (48) 3248-1620 / 3244-4904"
CS BARRA DA LAGOA,Norte,441,PRENATAL_TODOS_TRIM,2015/2016,50,-48.433335,-27.578852,"Coordenador: Elizabete Amódio Estorílio<br>Horários: 08:00 - 12:00 / 13:00 - 17:00<br>Endereço: R. Altamiro Barcelos Dutra, 659.<br>T: (48) 3232-3302 / 3226-7281"
CS BARRA DA LAGOA,Norte,442,PRENATAL_TODOS_TRIM,2015/2016,50,-48.433335,-27.578852,"Coordenador: Elizabete Amódio Estorílio<br>Horários: 08:00 - 12:00 / 13:00 - 17:00<br>Endereço: R. Altamiro Barcelos Dutra, 659.<br>T: (48) 3232-3302 / 3226-7281"
CS BARRA DA LAGOA,Norte,440,PRENATAL_TODOS_TRIM,2013/2014,47,-48.433335,-27.578852,"Coordenador: Elizabete Amódio Estorílio<br>Horários: 08:00 - 12:00 / 13:00 - 17:00<br>Endereço: R. Altamiro Barcelos Dutra, 659.<br>T: (48) 3232-3302 / 3226-7281"
CS BARRA DA LAGOA,Norte,442,PRENATAL_TODOS_TRIM,2013/2014,57,-48.433335,-27.578852,"Coordenador: Elizabete Amódio Estorílio<br>Horários: 08:00 - 12:00 / 13:00 - 17:00<br>Endereço: R. Altamiro Barcelos Dutra, 659.<br>T: (48) 3232-3302 / 3226-7281"
CS BARRA DA LAGOA,Norte,441,PRENATAL_TODOS_TRIM,2013/2014,41,-48.433335,-27.578852,"Coordenador: Elizabete Amódio Estorílio<br>Horários: 08:00 - 12:00 / 13:00 - 17:00<br>Endereço: R. Altamiro Barcelos Dutra, 659.<br>T: (48) 3232-3302 / 3226-7281"
