"DISTRITO","UNIDADE","ANO","MES","QUANTIDADE","AREA"
"Centro","CS AGRONÔMICA",2018,4,25,690
"Centro","CS AGRONÔMICA",2018,5,26,690
"Centro","CS AGRONÔMICA",2018,6,41,690
"Centro","CS AGRONÔMICA",2018,7,42,690
"Centro","CS AGRONÔMICA",2018,4,18,691
"Centro","CS AGRONÔMICA",2018,5,23,691
"Centro","CS AGRONÔMICA",2018,6,39,691
"Centro","CS AGRONÔMICA",2018,7,39,691
"Centro","CS AGRONÔMICA",2018,4,14,692
"Centro","CS AGRONÔMICA",2018,5,12,692
"Centro","CS AGRONÔMICA",2018,6,29,692
"Centro","CS AGRONÔMICA",2018,7,20,692
"Centro","CS AGRONÔMICA",2018,4,19,693
"Centro","CS AGRONÔMICA",2018,5,20,693
"Centro","CS AGRONÔMICA",2018,6,18,693
"Centro","CS AGRONÔMICA",2018,7,16,693
"Centro","CS CENTRO",2018,4,25,950
"Centro","CS CENTRO",2018,5,26,950
"Centro","CS CENTRO",2018,6,13,950
"Centro","CS CENTRO",2018,7,25,950
"Centro","CS CENTRO",2018,4,14,951
"Centro","CS CENTRO",2018,5,7,951
"Centro","CS CENTRO",2018,6,1,951
"Centro","CS CENTRO",2018,7,7,951
"Centro","CS CENTRO",2018,4,15,952
"Centro","CS CENTRO",2018,5,4,952
"Centro","CS CENTRO",2018,6,3,952
"Centro","CS CENTRO",2018,7,7,952
"Centro","CS CÓRREGO GRANDE",2018,4,19,170
"Centro","CS CÓRREGO GRANDE",2018,5,22,170
"Centro","CS CÓRREGO GRANDE",2018,6,33,170
"Centro","CS CÓRREGO GRANDE",2018,7,6,170
"Centro","CS CÓRREGO GRANDE",2018,4,17,171
"Centro","CS CÓRREGO GRANDE",2018,5,24,171
"Centro","CS CÓRREGO GRANDE",2018,6,19,171
"Centro","CS CÓRREGO GRANDE",2018,7,7,171
"Centro","CS ITACORUBI",2018,4,3,190
"Centro","CS ITACORUBI",2018,5,0,190
"Centro","CS ITACORUBI",2018,6,0,190
"Centro","CS ITACORUBI",2018,7,0,190
"Centro","CS ITACORUBI",2018,4,3,191
"Centro","CS ITACORUBI",2018,5,2,191
"Centro","CS ITACORUBI",2018,6,5,191
"Centro","CS ITACORUBI",2018,7,1,191
"Centro","CS ITACORUBI",2018,4,17,192
"Centro","CS ITACORUBI",2018,5,2,192
"Centro","CS ITACORUBI",2018,6,1,192
"Centro","CS ITACORUBI",2018,7,0,192
"Centro","CS ITACORUBI",2018,4,2,193
"Centro","CS ITACORUBI",2018,5,1,193
"Centro","CS ITACORUBI",2018,6,0,193
"Centro","CS ITACORUBI",2018,7,0,193
"Centro","CS JOÃO PAULO",2018,4,3,320
"Centro","CS JOÃO PAULO",2018,5,0,320
"Centro","CS JOÃO PAULO",2018,6,7,320
"Centro","CS JOÃO PAULO",2018,7,0,320
"Centro","CS JOÃO PAULO",2018,4,16,321
"Centro","CS JOÃO PAULO",2018,5,0,321
"Centro","CS JOÃO PAULO",2018,6,21,321
"Centro","CS JOÃO PAULO",2018,7,1,321
"Centro","CS MONTE SERRAT",2018,4,13,120
"Centro","CS MONTE SERRAT",2018,5,4,120
"Centro","CS MONTE SERRAT",2018,6,9,120
"Centro","CS MONTE SERRAT",2018,7,7,120
"Centro","CS MONTE SERRAT",2018,4,9,121
"Centro","CS MONTE SERRAT",2018,5,5,121
"Centro","CS MONTE SERRAT",2018,6,7,121
"Centro","CS MONTE SERRAT",2018,7,4,121
"Centro","CS MONTE SERRAT",2018,4,13,122
"Centro","CS MONTE SERRAT",2018,5,11,122
"Centro","CS MONTE SERRAT",2018,6,6,122
"Centro","CS MONTE SERRAT",2018,7,12,122
"Centro","CS PANTANAL",2018,4,2,160
"Centro","CS PANTANAL",2018,5,17,160
"Centro","CS PANTANAL",2018,6,31,160
"Centro","CS PANTANAL",2018,7,26,160
"Centro","CS PANTANAL",2018,4,1,161
"Centro","CS PANTANAL",2018,5,8,161
"Centro","CS PANTANAL",2018,6,43,161
"Centro","CS PANTANAL",2018,7,14,161
"Centro","CS PRAINHA",2018,4,7,130
"Centro","CS PRAINHA",2018,5,12,130
"Centro","CS PRAINHA",2018,6,19,130
"Centro","CS PRAINHA",2018,7,29,130
"Centro","CS PRAINHA",2018,4,9,131
"Centro","CS PRAINHA",2018,5,11,131
"Centro","CS PRAINHA",2018,6,8,131
"Centro","CS PRAINHA",2018,7,18,131
"Centro","CS PRAINHA",2018,4,13,132
"Centro","CS PRAINHA",2018,5,13,132
"Centro","CS PRAINHA",2018,6,26,132
"Centro","CS PRAINHA",2018,7,19,132
"Centro","CS SACO DOS LIMÕES",2018,4,1,310
"Centro","CS SACO DOS LIMÕES",2018,5,1,310
"Centro","CS SACO DOS LIMÕES",2018,6,3,310
"Centro","CS SACO DOS LIMÕES",2018,7,1,310
"Centro","CS SACO DOS LIMÕES",2018,4,1,311
"Centro","CS SACO DOS LIMÕES",2018,5,5,311
"Centro","CS SACO DOS LIMÕES",2018,6,0,311
"Centro","CS SACO DOS LIMÕES",2018,7,0,311
"Centro","CS SACO DOS LIMÕES",2018,4,2,312
"Centro","CS SACO DOS LIMÕES",2018,5,8,312
"Centro","CS SACO DOS LIMÕES",2018,6,7,312
"Centro","CS SACO DOS LIMÕES",2018,7,4,312
"Centro","CS SACO DOS LIMÕES",2018,4,0,313
"Centro","CS SACO DOS LIMÕES",2018,5,1,313
"Centro","CS SACO DOS LIMÕES",2018,6,0,313
"Centro","CS SACO DOS LIMÕES",2018,4,0,314
"Centro","CS SACO DOS LIMÕES",2018,5,0,314
"Centro","CS SACO DOS LIMÕES",2018,6,0,314
"Centro","CS SACO DOS LIMÕES",2018,7,0,314
"Centro","CS TRINDADE",2018,4,8,850
"Centro","CS TRINDADE",2018,5,11,850
"Centro","CS TRINDADE",2018,6,14,850
"Centro","CS TRINDADE",2018,7,18,850
"Centro","CS TRINDADE",2018,4,15,851
"Centro","CS TRINDADE",2018,5,13,851
"Centro","CS TRINDADE",2018,6,15,851
"Centro","CS TRINDADE",2018,7,20,851
"Centro","CS TRINDADE",2018,4,4,852
"Centro","CS TRINDADE",2018,5,13,852
"Centro","CS TRINDADE",2018,6,11,852
"Centro","CS TRINDADE",2018,7,19,852
"Centro","CS TRINDADE",2018,4,3,853
"Centro","CS TRINDADE",2018,5,10,853
"Centro","CS TRINDADE",2018,6,9,853
"Centro","CS TRINDADE",2018,7,13,853
"Centro","CS TRINDADE",2018,4,8,854
"Centro","CS TRINDADE",2018,5,4,854
"Centro","CS TRINDADE",2018,6,10,854
"Centro","CS TRINDADE",2018,7,11,854
"Centro","CS TRINDADE",2018,4,0,NA
"Centro","CS TRINDADE",2018,5,4,NA
"Centro","CS TRINDADE",2018,6,5,NA
"Centro","CS TRINDADE",2018,7,4,NA
"Continente","CS ABRAÃO",2018,4,9,570
"Continente","CS ABRAÃO",2018,5,11,570
"Continente","CS ABRAÃO",2018,6,27,570
"Continente","CS ABRAÃO",2018,7,7,570
"Continente","CS ABRAÃO",2018,4,2,571
"Continente","CS ABRAÃO",2018,5,14,571
"Continente","CS ABRAÃO",2018,6,9,571
"Continente","CS ABRAÃO",2018,7,23,571
"Continente","CS ABRAÃO",2018,4,3,572
"Continente","CS ABRAÃO",2018,5,9,572
"Continente","CS ABRAÃO",2018,6,10,572
"Continente","CS ABRAÃO",2018,7,21,572
"Continente","CS BALNEÁRIO",2018,4,6,20
"Continente","CS BALNEÁRIO",2018,5,19,20
"Continente","CS BALNEÁRIO",2018,6,29,20
"Continente","CS BALNEÁRIO",2018,7,9,20
"Continente","CS BALNEÁRIO",2018,4,9,21
"Continente","CS BALNEÁRIO",2018,5,13,21
"Continente","CS BALNEÁRIO",2018,6,23,21
"Continente","CS BALNEÁRIO",2018,7,37,21
"Continente","CS CAPOEIRAS",2018,4,29,60
"Continente","CS CAPOEIRAS",2018,5,28,60
"Continente","CS CAPOEIRAS",2018,6,14,60
"Continente","CS CAPOEIRAS",2018,7,26,60
"Continente","CS CAPOEIRAS",2018,4,19,61
"Continente","CS CAPOEIRAS",2018,5,19,61
"Continente","CS CAPOEIRAS",2018,6,15,61
"Continente","CS CAPOEIRAS",2018,7,15,61
"Continente","CS CAPOEIRAS",2018,4,15,62
"Continente","CS CAPOEIRAS",2018,5,22,62
"Continente","CS CAPOEIRAS",2018,6,11,62
"Continente","CS CAPOEIRAS",2018,7,20,62
"Continente","CS COLONINHA",2018,4,13,70
"Continente","CS COLONINHA",2018,5,10,70
"Continente","CS COLONINHA",2018,6,42,70
"Continente","CS COLONINHA",2018,7,38,70
"Continente","CS COLONINHA",2018,4,0,71
"Continente","CS COLONINHA",2018,5,22,71
"Continente","CS COLONINHA",2018,6,31,71
"Continente","CS COLONINHA",2018,7,28,71
"Continente","CS COLONINHA",2018,4,28,72
"Continente","CS COLONINHA",2018,5,2,72
"Continente","CS COLONINHA",2018,6,50,72
"Continente","CS COLONINHA",2018,7,48,72
"Continente","CS COQUEIROS",2018,4,14,600
"Continente","CS COQUEIROS",2018,5,33,600
"Continente","CS COQUEIROS",2018,6,33,600
"Continente","CS COQUEIROS",2018,7,23,600
"Continente","CS COQUEIROS",2018,4,17,601
"Continente","CS COQUEIROS",2018,5,26,601
"Continente","CS COQUEIROS",2018,6,0,601
"Continente","CS COQUEIROS",2018,7,59,601
"Continente","CS COQUEIROS",2018,4,29,602
"Continente","CS COQUEIROS",2018,5,22,602
"Continente","CS COQUEIROS",2018,6,47,602
"Continente","CS COQUEIROS",2018,7,41,602
"Continente","CS ESTREITO",2018,4,11,80
"Continente","CS ESTREITO",2018,5,15,80
"Continente","CS ESTREITO",2018,6,23,80
"Continente","CS ESTREITO",2018,7,11,80
"Continente","CS ESTREITO",2018,4,3,81
"Continente","CS ESTREITO",2018,5,8,81
"Continente","CS ESTREITO",2018,6,10,81
"Continente","CS ESTREITO",2018,7,9,81
"Continente","CS ESTREITO",2018,4,1,82
"Continente","CS ESTREITO",2018,5,11,82
"Continente","CS ESTREITO",2018,6,18,82
"Continente","CS ESTREITO",2018,7,17,82
"Continente","CS ESTREITO",2018,4,1,83
"Continente","CS ESTREITO",2018,5,4,83
"Continente","CS ESTREITO",2018,6,5,83
"Continente","CS ESTREITO",2018,7,52,83
"Continente","CS JARDIM ATLÂNTICO",2018,4,11,10
"Continente","CS JARDIM ATLÂNTICO",2018,5,13,10
"Continente","CS JARDIM ATLÂNTICO",2018,6,39,10
"Continente","CS JARDIM ATLÂNTICO",2018,7,38,10
"Continente","CS JARDIM ATLÂNTICO",2018,4,6,11
"Continente","CS JARDIM ATLÂNTICO",2018,5,19,11
"Continente","CS JARDIM ATLÂNTICO",2018,6,28,11
"Continente","CS JARDIM ATLÂNTICO",2018,7,22,11
"Continente","CS MONTE CRISTO",2018,4,20,40
"Continente","CS MONTE CRISTO",2018,5,6,40
"Continente","CS MONTE CRISTO",2018,6,12,40
"Continente","CS MONTE CRISTO",2018,7,21,40
"Continente","CS MONTE CRISTO",2018,4,14,41
"Continente","CS MONTE CRISTO",2018,5,12,41
"Continente","CS MONTE CRISTO",2018,6,14,41
"Continente","CS MONTE CRISTO",2018,7,34,41
"Continente","CS MONTE CRISTO",2018,4,9,42
"Continente","CS MONTE CRISTO",2018,5,8,42
"Continente","CS MONTE CRISTO",2018,6,5,42
"Continente","CS MONTE CRISTO",2018,7,14,42
"Continente","CS MONTE CRISTO",2018,4,6,43
"Continente","CS MONTE CRISTO",2018,5,7,43
"Continente","CS MONTE CRISTO",2018,6,10,43
"Continente","CS MONTE CRISTO",2018,7,15,43
"Continente","CS MONTE CRISTO",2018,4,11,44
"Continente","CS MONTE CRISTO",2018,5,10,44
"Continente","CS MONTE CRISTO",2018,6,10,44
"Continente","CS MONTE CRISTO",2018,7,32,44
"Continente","CS MONTE CRISTO",2018,4,8,45
"Continente","CS MONTE CRISTO",2018,5,5,45
"Continente","CS MONTE CRISTO",2018,6,5,45
"Continente","CS MONTE CRISTO",2018,7,12,45
"Continente","CS MONTE CRISTO",2018,4,5,46
"Continente","CS MONTE CRISTO",2018,5,2,46
"Continente","CS MONTE CRISTO",2018,6,3,46
"Continente","CS MONTE CRISTO",2018,7,4,46
"Continente","CS NOVO CONTINENTE",2018,4,0,100
"Continente","CS NOVO CONTINENTE",2018,5,13,100
"Continente","CS NOVO CONTINENTE",2018,6,21,100
"Continente","CS NOVO CONTINENTE",2018,7,19,100
"Continente","CS NOVO CONTINENTE",2018,4,0,101
"Continente","CS NOVO CONTINENTE",2018,5,6,101
"Continente","CS NOVO CONTINENTE",2018,6,11,101
"Continente","CS NOVO CONTINENTE",2018,7,8,101
"Continente","CS NOVO CONTINENTE",2018,4,0,102
"Continente","CS NOVO CONTINENTE",2018,5,8,102
"Continente","CS NOVO CONTINENTE",2018,6,18,102
"Continente","CS NOVO CONTINENTE",2018,7,16,102
"Continente","CS SAPE",2018,4,5,30
"Continente","CS SAPE",2018,5,13,30
"Continente","CS SAPE",2018,6,11,30
"Continente","CS SAPE",2018,7,17,30
"Continente","CS SAPE",2018,4,8,31
"Continente","CS SAPE",2018,5,4,31
"Continente","CS SAPE",2018,6,5,31
"Continente","CS SAPE",2018,7,13,31
"Continente","CS VILA APARECIDA",2018,4,8,90
"Continente","CS VILA APARECIDA",2018,5,9,90
"Continente","CS VILA APARECIDA",2018,6,5,90
"Continente","CS VILA APARECIDA",2018,7,13,90
"Continente","CS VILA APARECIDA",2018,4,15,91
"Continente","CS VILA APARECIDA",2018,5,5,91
"Continente","CS VILA APARECIDA",2018,6,3,91
"Continente","CS VILA APARECIDA",2018,7,12,91
"Norte","CS BARRA DA LAGOA",2018,4,13,440
"Norte","CS BARRA DA LAGOA",2018,5,1,440
"Norte","CS BARRA DA LAGOA",2018,6,20,440
"Norte","CS BARRA DA LAGOA",2018,7,14,440
"Norte","CS BARRA DA LAGOA",2018,4,18,441
"Norte","CS BARRA DA LAGOA",2018,5,4,441
"Norte","CS BARRA DA LAGOA",2018,6,30,441
"Norte","CS BARRA DA LAGOA",2018,7,9,441
"Norte","CS BARRA DA LAGOA",2018,4,2,442
"Norte","CS BARRA DA LAGOA",2018,5,0,442
"Norte","CS BARRA DA LAGOA",2018,6,10,442
"Norte","CS BARRA DA LAGOA",2018,7,6,442
"Norte","CS CACHOEIRA BOM JESUS",2018,4,13,400
"Norte","CS CACHOEIRA BOM JESUS",2018,5,34,400
"Norte","CS CACHOEIRA BOM JESUS",2018,6,51,400
"Norte","CS CACHOEIRA BOM JESUS",2018,7,19,400
