"DISTRITO","UNIDADE","TRIMESTRE","VALOR"
"Continente","CS ABRAÃO","2018 Q2",94
"Centro","CS AGRONÔMICA","2018 Q2",284
"Sul","CS ALTO RIBEIRÃO","2018 Q2",57
"Sul","CS ARMAÇÃO","2018 Q2",203
"Continente","CS BALNEÁRIO","2018 Q2",99
"Norte","CS BARRA DA LAGOA","2018 Q2",98
"Norte","CS CACHOEIRA BOM JESUS","2018 Q2",156
"Sul","CS CAIEIRA BARRA DO SUL","2018 Q2",6
"Sul","CS CAMPECHE","2018 Q2",114
"Norte","CS CANASVIEIRAS","2018 Q2",200
"Sul","CS CANTO DA LAGOA","2018 Q2",30
"Continente","CS CAPOEIRAS","2018 Q2",172
"Sul","CS CARIANOS","2018 Q2",243
"Centro","CS CENTRO","2018 Q2",108
"Continente","CS COLONINHA","2018 Q2",198
"Continente","CS COQUEIROS","2018 Q2",221
"Centro","CS CÓRREGO GRANDE","2018 Q2",134
"Sul","CS COSTA DA LAGOA","2018 Q2",8
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2018 Q2",134
"Continente","CS ESTREITO","2018 Q2",110
"Sul","CS FAZENDA DO RIO TAVARES","2018 Q2",102
"Norte","CS INGLESES","2018 Q2",349
"Centro","CS ITACORUBI","2018 Q2",36
"Continente","CS JARDIM ATLÂNTICO","2018 Q2",116
"Centro","CS JOÃO PAULO","2018 Q2",47
"Norte","CS JURERE","2018 Q2",95
"Sul","CS LAGOA DA CONCEIÇÃO","2018 Q2",115
"Continente","CS MONTE CRISTO","2018 Q2",182
"Centro","CS MONTE SERRAT","2018 Q2",77
"Sul","CS MORRO DAS PEDRAS","2018 Q2",173
"Continente","CS NOVO CONTINENTE","2018 Q2",77
"Centro","CS PANTANAL","2018 Q2",102
"Sul","CS PANTANO DO SUL","2018 Q2",79
"Norte","CS PONTA DAS CANAS","2018 Q2",37
"Centro","CS PRAINHA","2018 Q2",118
"Norte","CS RATONES","2018 Q2",76
"Sul","CS RIBEIRÃO DA ILHA","2018 Q2",55
"Sul","CS RIO TAVARES","2018 Q2",69
"Norte","CS RIO VERMELHO","2018 Q2",307
"Centro","CS SACO DOS LIMÕES","2018 Q2",29
"Norte","CS SACO GRANDE","2018 Q2",352
"Norte","CS SANTINHO","2018 Q2",318
"Norte","CS SANTO ANTONIO LISBOA","2018 Q2",165
"Continente","CS SAPE","2018 Q2",46
"Sul","CS TAPERA","2018 Q2",98
"Centro","CS TRINDADE","2018 Q2",157
"Norte","CS VARGEM GRANDE","2018 Q2",35
"Norte","CS VARGEM PEQUENA","2018 Q2",126
"Continente","CS VILA APARECIDA","2018 Q2",45
"Continente","CS ABRAÃO","2013 Q1",128
"Centro","CS AGRONÔMICA","2013 Q1",273
"Sul","CS ALTO RIBEIRÃO","2013 Q1",46
"Sul","CS ARMAÇÃO","2013 Q1",179
"Continente","CS BALNEÁRIO","2013 Q1",60
"Norte","CS BARRA DA LAGOA","2013 Q1",155
"Norte","CS CACHOEIRA BOM JESUS","2013 Q1",53
"Sul","CS CAIEIRA BARRA DO SUL","2013 Q1",8
"Sul","CS CAMPECHE","2013 Q1",107
"Norte","CS CANASVIEIRAS","2013 Q1",134
"Sul","CS CANTO DA LAGOA","2013 Q1",27
"Continente","CS CAPOEIRAS","2013 Q1",203
"Sul","CS CARIANOS","2013 Q1",123
"Centro","CS CENTRO","2013 Q1",152
"Continente","CS COLONINHA","2013 Q1",179
"Continente","CS COQUEIROS","2013 Q1",280
"Centro","CS CÓRREGO GRANDE","2013 Q1",125
"Sul","CS COSTA DA LAGOA","2013 Q1",28
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2013 Q1",146
"Continente","CS ESTREITO","2013 Q1",82
"Sul","CS FAZENDA DO RIO TAVARES","2013 Q1",31
"Norte","CS INGLESES","2013 Q1",425
"Centro","CS ITACORUBI","2013 Q1",240
"Continente","CS JARDIM ATLÂNTICO","2013 Q1",87
