"DISTRITO","TRIMESTRE","VALOR"
"Centro","2013 Q1",1836
"Continente","2013 Q1",1461
"Norte","2013 Q1",2157
"Sul","2013 Q1",1389
"Centro","2013 Q2",1814
"Continente","2013 Q2",1258
"Norte","2013 Q2",2236
"Sul","2013 Q2",1604
"Centro","2013 Q3",1848
"Continente","2013 Q3",1593
"Norte","2013 Q3",1995
"Sul","2013 Q3",1476
"Centro","2013 Q4",1324
"Continente","2013 Q4",1082
"Norte","2013 Q4",1401
"Sul","2013 Q4",964
"Centro","2014 Q1",1758
"Continente","2014 Q1",1427
"Norte","2014 Q1",1789
"Sul","2014 Q1",1593
"Centro","2014 Q2",1729
"Continente","2014 Q2",1381
"Norte","2014 Q2",1597
"Sul","2014 Q2",1429
"Centro","2014 Q3",1921
"Continente","2014 Q3",1573
"Norte","2014 Q3",1911
"Sul","2014 Q3",1314
"Centro","2014 Q4",1191
"Continente","2014 Q4",1088
"Norte","2014 Q4",1445
"Sul","2014 Q4",1009
"Centro","2015 Q1",1470
"Continente","2015 Q1",1299
"Norte","2015 Q1",1653
"Sul","2015 Q1",1404
"Centro","2015 Q2",1273
"Continente","2015 Q2",1220
"Norte","2015 Q2",1464
"Sul","2015 Q2",1131
"Centro","2015 Q3",1511
"Continente","2015 Q3",1549
"Norte","2015 Q3",1954
"Sul","2015 Q3",1328
"Centro","2015 Q4",1308
"Continente","2015 Q4",1145
"Norte","2015 Q4",1615
"Sul","2015 Q4",926
"Centro","2016 Q1",1665
"Continente","2016 Q1",1316
"Norte","2016 Q1",1472
"Sul","2016 Q1",1209
"Centro","2016 Q2",1640
"Continente","2016 Q2",1865
"Norte","2016 Q2",2561
"Sul","2016 Q2",1471
"Centro","2016 Q3",1690
"Continente","2016 Q3",1351
"Norte","2016 Q3",2035
"Sul","2016 Q3",1909
"Centro","2016 Q4",1239
"Continente","2016 Q4",1012
"Norte","2016 Q4",1764
"Sul","2016 Q4",1219
"Centro","2017 Q1",1048
"Continente","2017 Q1",874
"Norte","2017 Q1",1371
"Sul","2017 Q1",860
"Centro","2017 Q2",1773
"Continente","2017 Q2",2059
"Norte","2017 Q2",2351
"Sul","2017 Q2",1656
"Centro","2017 Q3",1805
"Continente","2017 Q3",2014
"Norte","2017 Q3",2607
"Sul","2017 Q3",1798
"Centro","2017 Q4",1311
"Continente","2017 Q4",1506
"Norte","2017 Q4",2179
"Sul","2017 Q4",1408
"Centro","2018 Q1",1484
"Continente","2018 Q1",1722
"Norte","2018 Q1",2087
"Sul","2018 Q1",1563
