"DISTRITO","UNIDADE","TRIMESTRE","TIPO","ESPECIALIDADE","VALOR"
"Continente","CS ABRAÃO","2018 Q2","CANTOPLASTIA","Médico",0
"Centro","CS AGRONÔMICA","2018 Q2","CANTOPLASTIA","Médico",8
"Sul","CS ALTO RIBEIRÃO","2018 Q2","CANTOPLASTIA","Médico",0
"Sul","CS ARMAÇÃO","2018 Q2","CANTOPLASTIA","Médico",1
"Continente","CS BALNEÁRIO","2018 Q2","CANTOPLASTIA","Médico",2
"Norte","CS BARRA DA LAGOA","2018 Q2","CANTOPLASTIA","Médico",0
"Norte","CS CACHOEIRA BOM JESUS","2018 Q2","CANTOPLASTIA","Médico",1
"Sul","CS CAIEIRA BARRA DO SUL","2018 Q2","CANTOPLASTIA","Médico",1
"Sul","CS CAMPECHE","2018 Q2","CANTOPLASTIA","Médico",0
"Norte","CS CANASVIEIRAS","2018 Q2","CANTOPLASTIA","Médico",2
"Sul","CS CANTO DA LAGOA","2018 Q2","CANTOPLASTIA","Médico",0
"Continente","CS CAPOEIRAS","2018 Q2","CANTOPLASTIA","Médico",0
"Sul","CS CARIANOS","2018 Q2","CANTOPLASTIA","Médico",2
"Centro","CS CENTRO","2018 Q2","CANTOPLASTIA","Médico",0
"Continente","CS COLONINHA","2018 Q2","CANTOPLASTIA","Médico",1
"Continente","CS COQUEIROS","2018 Q2","CANTOPLASTIA","Médico",1
"Centro","CS CÓRREGO GRANDE","2018 Q2","CANTOPLASTIA","Médico",2
"Sul","CS COSTA DA LAGOA","2018 Q2","CANTOPLASTIA","Médico",0
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2018 Q2","CANTOPLASTIA","Médico",0
"Continente","CS ESTREITO","2018 Q2","CANTOPLASTIA","Médico",1
"Sul","CS FAZENDA DO RIO TAVARES","2018 Q2","CANTOPLASTIA","Médico",4
"Norte","CS INGLESES","2018 Q2","CANTOPLASTIA","Médico",3
"Centro","CS ITACORUBI","2018 Q2","CANTOPLASTIA","Médico",3
"Continente","CS JARDIM ATLÂNTICO","2018 Q2","CANTOPLASTIA","Médico",0
"Centro","CS JOÃO PAULO","2018 Q2","CANTOPLASTIA","Médico",2
"Norte","CS JURERE","2018 Q2","CANTOPLASTIA","Médico",0
"Sul","CS LAGOA DA CONCEIÇÃO","2018 Q2","CANTOPLASTIA","Médico",3
"Continente","CS MONTE CRISTO","2018 Q2","CANTOPLASTIA","Médico",6
"Centro","CS MONTE SERRAT","2018 Q2","CANTOPLASTIA","Médico",1
"Sul","CS MORRO DAS PEDRAS","2018 Q2","CANTOPLASTIA","Médico",0
"Continente","CS NOVO CONTINENTE","2018 Q2","CANTOPLASTIA","Médico",0
"Centro","CS PANTANAL","2018 Q2","CANTOPLASTIA","Médico",0
"Sul","CS PANTANO DO SUL","2018 Q2","CANTOPLASTIA","Médico",0
"Norte","CS PONTA DAS CANAS","2018 Q2","CANTOPLASTIA","Médico",0
"Centro","CS PRAINHA","2018 Q2","CANTOPLASTIA","Médico",3
"Norte","CS RATONES","2018 Q2","CANTOPLASTIA","Médico",0
"Sul","CS RIBEIRÃO DA ILHA","2018 Q2","CANTOPLASTIA","Médico",0
"Sul","CS RIO TAVARES","2018 Q2","CANTOPLASTIA","Médico",0
"Norte","CS RIO VERMELHO","2018 Q2","CANTOPLASTIA","Médico",6
"Centro","CS SACO DOS LIMÕES","2018 Q2","CANTOPLASTIA","Médico",3
"Centro","CS SACO GRANDE","2018 Q2","CANTOPLASTIA","Médico",5
"Norte","CS SANTINHO","2018 Q2","CANTOPLASTIA","Médico",2
"Norte","CS SANTO ANTONIO LISBOA","2018 Q2","CANTOPLASTIA","Médico",0
"Continente","CS SAPE","2018 Q2","CANTOPLASTIA","Médico",0
"Sul","CS TAPERA","2018 Q2","CANTOPLASTIA","Médico",2
"Centro","CS TRINDADE","2018 Q2","CANTOPLASTIA","Médico",3
"Norte","CS VARGEM GRANDE","2018 Q2","CANTOPLASTIA","Médico",0
"Norte","CS VARGEM PEQUENA","2018 Q2","CANTOPLASTIA","Médico",0
"Continente","CS VILA APARECIDA","2018 Q2","CANTOPLASTIA","Médico",0
"Continente","CS ABRAÃO","2018 Q2","EXERESE_CISTO","Médico",0
"Centro","CS AGRONÔMICA","2018 Q2","EXERESE_CISTO","Médico",2
"Sul","CS ALTO RIBEIRÃO","2018 Q2","EXERESE_CISTO","Médico",0
"Sul","CS ARMAÇÃO","2018 Q2","EXERESE_CISTO","Médico",1
"Continente","CS BALNEÁRIO","2018 Q2","EXERESE_CISTO","Médico",3
"Norte","CS BARRA DA LAGOA","2018 Q2","EXERESE_CISTO","Médico",0
"Norte","CS CACHOEIRA BOM JESUS","2018 Q2","EXERESE_CISTO","Médico",0
"Sul","CS CAIEIRA BARRA DO SUL","2018 Q2","EXERESE_CISTO","Médico",0
"Sul","CS CAMPECHE","2018 Q2","EXERESE_CISTO","Médico",1
"Norte","CS CANASVIEIRAS","2018 Q2","EXERESE_CISTO","Médico",1
"Sul","CS CANTO DA LAGOA","2018 Q2","EXERESE_CISTO","Médico",0
"Continente","CS CAPOEIRAS","2018 Q2","EXERESE_CISTO","Médico",0
"Sul","CS CARIANOS","2018 Q2","EXERESE_CISTO","Médico",1
"Centro","CS CENTRO","2018 Q2","EXERESE_CISTO","Médico",1
"Continente","CS COLONINHA","2018 Q2","EXERESE_CISTO","Médico",4
"Continente","CS COQUEIROS","2018 Q2","EXERESE_CISTO","Médico",0
"Centro","CS CÓRREGO GRANDE","2018 Q2","EXERESE_CISTO","Médico",0
"Sul","CS COSTA DA LAGOA","2018 Q2","EXERESE_CISTO","Médico",1
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2018 Q2","EXERESE_CISTO","Médico",0
"Continente","CS ESTREITO","2018 Q2","EXERESE_CISTO","Médico",2
"Sul","CS FAZENDA DO RIO TAVARES","2018 Q2","EXERESE_CISTO","Médico",6
"Norte","CS INGLESES","2018 Q2","EXERESE_CISTO","Médico",0
"Centro","CS ITACORUBI","2018 Q2","EXERESE_CISTO","Médico",0
"Continente","CS JARDIM ATLÂNTICO","2018 Q2","EXERESE_CISTO","Médico",0
"Centro","CS JOÃO PAULO","2018 Q2","EXERESE_CISTO","Médico",3
"Norte","CS JURERE","2018 Q2","EXERESE_CISTO","Médico",0
"Sul","CS LAGOA DA CONCEIÇÃO","2018 Q2","EXERESE_CISTO","Médico",2
"Continente","CS MONTE CRISTO","2018 Q2","EXERESE_CISTO","Médico",0
"Centro","CS MONTE SERRAT","2018 Q2","EXERESE_CISTO","Médico",0
"Sul","CS MORRO DAS PEDRAS","2018 Q2","EXERESE_CISTO","Médico",0
"Continente","CS NOVO CONTINENTE","2018 Q2","EXERESE_CISTO","Médico",1
"Centro","CS PANTANAL","2018 Q2","EXERESE_CISTO","Médico",0
"Sul","CS PANTANO DO SUL","2018 Q2","EXERESE_CISTO","Médico",0
"Norte","CS PONTA DAS CANAS","2018 Q2","EXERESE_CISTO","Médico",0
"Centro","CS PRAINHA","2018 Q2","EXERESE_CISTO","Médico",9
"Norte","CS RATONES","2018 Q2","EXERESE_CISTO","Médico",0
"Sul","CS RIBEIRÃO DA ILHA","2018 Q2","EXERESE_CISTO","Médico",0
"Sul","CS RIO TAVARES","2018 Q2","EXERESE_CISTO","Médico",1
"Norte","CS RIO VERMELHO","2018 Q2","EXERESE_CISTO","Médico",0
"Centro","CS SACO DOS LIMÕES","2018 Q2","EXERESE_CISTO","Médico",2
"Centro","CS SACO GRANDE","2018 Q2","EXERESE_CISTO","Médico",3
"Norte","CS SANTINHO","2018 Q2","EXERESE_CISTO","Médico",0
"Norte","CS SANTO ANTONIO LISBOA","2018 Q2","EXERESE_CISTO","Médico",0
"Continente","CS SAPE","2018 Q2","EXERESE_CISTO","Médico",0
"Sul","CS TAPERA","2018 Q2","EXERESE_CISTO","Médico",4
"Centro","CS TRINDADE","2018 Q2","EXERESE_CISTO","Médico",1
"Norte","CS VARGEM GRANDE","2018 Q2","EXERESE_CISTO","Médico",0
"Norte","CS VARGEM PEQUENA","2018 Q2","EXERESE_CISTO","Médico",0
"Continente","CS VILA APARECIDA","2018 Q2","EXERESE_CISTO","Médico",0
"Continente","CS ABRAÃO","2018 Q2","DIU","Médico",0
"Centro","CS AGRONÔMICA","2018 Q2","DIU","Médico",7
"Sul","CS ALTO RIBEIRÃO","2018 Q2","DIU","Médico",0
"Sul","CS ARMAÇÃO","2018 Q2","DIU","Médico",0
"Continente","CS BALNEÁRIO","2018 Q2","DIU","Médico",0
"Norte","CS BARRA DA LAGOA","2018 Q2","DIU","Médico",2
"Norte","CS CACHOEIRA BOM JESUS","2018 Q2","DIU","Médico",0
"Sul","CS CAIEIRA BARRA DO SUL","2018 Q2","DIU","Médico",0
"Sul","CS CAMPECHE","2018 Q2","DIU","Médico",4
"Norte","CS CANASVIEIRAS","2018 Q2","DIU","Médico",1
"Sul","CS CANTO DA LAGOA","2018 Q2","DIU","Médico",0
"Continente","CS CAPOEIRAS","2018 Q2","DIU","Médico",1
"Sul","CS CARIANOS","2018 Q2","DIU","Médico",15
"Centro","CS CENTRO","2018 Q2","DIU","Médico",1
"Continente","CS COLONINHA","2018 Q2","DIU","Médico",10
"Continente","CS COQUEIROS","2018 Q2","DIU","Médico",0
"Centro","CS CÓRREGO GRANDE","2018 Q2","DIU","Médico",1
"Sul","CS COSTA DA LAGOA","2018 Q2","DIU","Médico",0
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2018 Q2","DIU","Médico",0
"Continente","CS ESTREITO","2018 Q2","DIU","Médico",7
"Sul","CS FAZENDA DO RIO TAVARES","2018 Q2","DIU","Médico",2
"Norte","CS INGLESES","2018 Q2","DIU","Médico",8
"Centro","CS ITACORUBI","2018 Q2","DIU","Médico",29
"Continente","CS JARDIM ATLÂNTICO","2018 Q2","DIU","Médico",0
"Centro","CS JOÃO PAULO","2018 Q2","DIU","Médico",6
"Norte","CS JURERE","2018 Q2","DIU","Médico",0
"Sul","CS LAGOA DA CONCEIÇÃO","2018 Q2","DIU","Médico",7
"Continente","CS MONTE CRISTO","2018 Q2","DIU","Médico",17
"Centro","CS MONTE SERRAT","2018 Q2","DIU","Médico",1
"Sul","CS MORRO DAS PEDRAS","2018 Q2","DIU","Médico",0
"Continente","CS NOVO CONTINENTE","2018 Q2","DIU","Médico",2
"Centro","CS PANTANAL","2018 Q2","DIU","Médico",1
"Sul","CS PANTANO DO SUL","2018 Q2","DIU","Médico",0
"Norte","CS PONTA DAS CANAS","2018 Q2","DIU","Médico",0
"Centro","CS PRAINHA","2018 Q2","DIU","Médico",5
"Norte","CS RATONES","2018 Q2","DIU","Médico",0
"Sul","CS RIBEIRÃO DA ILHA","2018 Q2","DIU","Médico",0
"Sul","CS RIO TAVARES","2018 Q2","DIU","Médico",1
"Norte","CS RIO VERMELHO","2018 Q2","DIU","Médico",6
"Centro","CS SACO DOS LIMÕES","2018 Q2","DIU","Médico",14
"Centro","CS SACO GRANDE","2018 Q2","DIU","Médico",9
"Norte","CS SANTINHO","2018 Q2","DIU","Médico",17
"Norte","CS SANTO ANTONIO LISBOA","2018 Q2","DIU","Médico",0
"Continente","CS SAPE","2018 Q2","DIU","Médico",1
"Sul","CS TAPERA","2018 Q2","DIU","Médico",2
"Centro","CS TRINDADE","2018 Q2","DIU","Médico",10
"Norte","CS VARGEM GRANDE","2018 Q2","DIU","Médico",0
"Norte","CS VARGEM PEQUENA","2018 Q2","DIU","Médico",0
"Continente","CS VILA APARECIDA","2018 Q2","DIU","Médico",0
"Continente","CS ABRAÃO","2018 Q2","RETIRADA_CERUME","Médico",3
"Centro","CS AGRONÔMICA","2018 Q2","RETIRADA_CERUME","Médico",5
"Sul","CS ALTO RIBEIRÃO","2018 Q2","RETIRADA_CERUME","Médico",2
"Sul","CS ARMAÇÃO","2018 Q2","RETIRADA_CERUME","Médico",7
"Continente","CS BALNEÁRIO","2018 Q2","RETIRADA_CERUME","Médico",1
"Norte","CS BARRA DA LAGOA","2018 Q2","RETIRADA_CERUME","Médico",3
"Norte","CS CACHOEIRA BOM JESUS","2018 Q2","RETIRADA_CERUME","Médico",3
"Sul","CS CAIEIRA BARRA DO SUL","2018 Q2","RETIRADA_CERUME","Médico",0
"Sul","CS CAMPECHE","2018 Q2","RETIRADA_CERUME","Médico",14
"Norte","CS CANASVIEIRAS","2018 Q2","RETIRADA_CERUME","Médico",13
"Sul","CS CANTO DA LAGOA","2018 Q2","RETIRADA_CERUME","Médico",0
"Continente","CS CAPOEIRAS","2018 Q2","RETIRADA_CERUME","Médico",0
"Sul","CS CARIANOS","2018 Q2","RETIRADA_CERUME","Médico",3
"Centro","CS CENTRO","2018 Q2","RETIRADA_CERUME","Médico",5
"Continente","CS COLONINHA","2018 Q2","RETIRADA_CERUME","Médico",4
"Continente","CS COQUEIROS","2018 Q2","RETIRADA_CERUME","Médico",6
"Centro","CS CÓRREGO GRANDE","2018 Q2","RETIRADA_CERUME","Médico",4
"Sul","CS COSTA DA LAGOA","2018 Q2","RETIRADA_CERUME","Médico",0
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2018 Q2","RETIRADA_CERUME","Médico",3
"Continente","CS ESTREITO","2018 Q2","RETIRADA_CERUME","Médico",0
"Sul","CS FAZENDA DO RIO TAVARES","2018 Q2","RETIRADA_CERUME","Médico",1
"Norte","CS INGLESES","2018 Q2","RETIRADA_CERUME","Médico",8
"Centro","CS ITACORUBI","2018 Q2","RETIRADA_CERUME","Médico",6
"Continente","CS JARDIM ATLÂNTICO","2018 Q2","RETIRADA_CERUME","Médico",1
"Centro","CS JOÃO PAULO","2018 Q2","RETIRADA_CERUME","Médico",3
"Norte","CS JURERE","2018 Q2","RETIRADA_CERUME","Médico",0
"Sul","CS LAGOA DA CONCEIÇÃO","2018 Q2","RETIRADA_CERUME","Médico",9
"Continente","CS MONTE CRISTO","2018 Q2","RETIRADA_CERUME","Médico",5
"Centro","CS MONTE SERRAT","2018 Q2","RETIRADA_CERUME","Médico",4
"Sul","CS MORRO DAS PEDRAS","2018 Q2","RETIRADA_CERUME","Médico",0
"Continente","CS NOVO CONTINENTE","2018 Q2","RETIRADA_CERUME","Médico",1
"Centro","CS PANTANAL","2018 Q2","RETIRADA_CERUME","Médico",1
"Sul","CS PANTANO DO SUL","2018 Q2","RETIRADA_CERUME","Médico",1
"Norte","CS PONTA DAS CANAS","2018 Q2","RETIRADA_CERUME","Médico",6
"Centro","CS PRAINHA","2018 Q2","RETIRADA_CERUME","Médico",5
"Norte","CS RATONES","2018 Q2","RETIRADA_CERUME","Médico",6
"Sul","CS RIBEIRÃO DA ILHA","2018 Q2","RETIRADA_CERUME","Médico",6
"Sul","CS RIO TAVARES","2018 Q2","RETIRADA_CERUME","Médico",0
"Norte","CS RIO VERMELHO","2018 Q2","RETIRADA_CERUME","Médico",23
"Centro","CS SACO DOS LIMÕES","2018 Q2","RETIRADA_CERUME","Médico",11
"Centro","CS SACO GRANDE","2018 Q2","RETIRADA_CERUME","Médico",12
"Norte","CS SANTINHO","2018 Q2","RETIRADA_CERUME","Médico",5
"Norte","CS SANTO ANTONIO LISBOA","2018 Q2","RETIRADA_CERUME","Médico",5
"Continente","CS SAPE","2018 Q2","RETIRADA_CERUME","Médico",8
"Sul","CS TAPERA","2018 Q2","RETIRADA_CERUME","Médico",8
"Centro","CS TRINDADE","2018 Q2","RETIRADA_CERUME","Médico",13
"Norte","CS VARGEM GRANDE","2018 Q2","RETIRADA_CERUME","Médico",2
