"DISTRITO","UNIDADE","AREA","TRIMESTRE","TIPO","VALOR","ESPECIALIDADE"
"Continente","CS JARDIM ATLÂNTICO","10","2018 Q2","CANTOPLASTIA",0,"Médico"
"Continente","CS NOVO CONTINENTE","100","2018 Q2","CANTOPLASTIA",0,"Médico"
"Continente","CS NOVO CONTINENTE","101","2018 Q2","CANTOPLASTIA",0,"Médico"
"Continente","CS NOVO CONTINENTE","102","2018 Q2","CANTOPLASTIA",0,"Médico"
"Continente","CS JARDIM ATLÂNTICO","11","2018 Q2","CANTOPLASTIA",0,"Médico"
"Centro","CS MONTE SERRAT","120","2018 Q2","CANTOPLASTIA",1,"Médico"
"Centro","CS MONTE SERRAT","121","2018 Q2","CANTOPLASTIA",0,"Médico"
"Centro","CS MONTE SERRAT","122","2018 Q2","CANTOPLASTIA",0,"Médico"
"Centro","CS PRAINHA","130","2018 Q2","CANTOPLASTIA",2,"Médico"
"Centro","CS PRAINHA","131","2018 Q2","CANTOPLASTIA",1,"Médico"
"Centro","CS PRAINHA","132","2018 Q2","CANTOPLASTIA",0,"Médico"
"Centro","CS PANTANAL","160","2018 Q2","CANTOPLASTIA",0,"Médico"
"Centro","CS PANTANAL","161","2018 Q2","CANTOPLASTIA",0,"Médico"
"Centro","CS CÓRREGO GRANDE","170","2018 Q2","CANTOPLASTIA",2,"Médico"
"Centro","CS CÓRREGO GRANDE","171","2018 Q2","CANTOPLASTIA",0,"Médico"
"Centro","CS ITACORUBI","190","2018 Q2","CANTOPLASTIA",2,"Médico"
"Centro","CS ITACORUBI","191","2018 Q2","CANTOPLASTIA",0,"Médico"
"Centro","CS ITACORUBI","192","2018 Q2","CANTOPLASTIA",0,"Médico"
"Centro","CS ITACORUBI","193","2018 Q2","CANTOPLASTIA",1,"Médico"
"Continente","CS BALNEÁRIO","20","2018 Q2","CANTOPLASTIA",1,"Médico"
"Sul","CS CAIEIRA BARRA DO SUL","200","2018 Q2","CANTOPLASTIA",1,"Médico"
"Continente","CS BALNEÁRIO","21","2018 Q2","CANTOPLASTIA",1,"Médico"
"Sul","CS ALTO RIBEIRÃO","210","2018 Q2","CANTOPLASTIA",0,"Médico"
"Sul","CS RIBEIRÃO DA ILHA","220","2018 Q2","CANTOPLASTIA",0,"Médico"
"Sul","CS PANTANO DO SUL","230","2018 Q2","CANTOPLASTIA",0,"Médico"
"Sul","CS ARMAÇÃO","240","2018 Q2","CANTOPLASTIA",0,"Médico"
"Sul","CS ARMAÇÃO","241","2018 Q2","CANTOPLASTIA",1,"Médico"
"Sul","CS ARMAÇÃO","242","2018 Q2","CANTOPLASTIA",0,"Médico"
"Sul","CS MORRO DAS PEDRAS","250","2018 Q2","CANTOPLASTIA",0,"Médico"
"Sul","CS MORRO DAS PEDRAS","251","2018 Q2","CANTOPLASTIA",0,"Médico"
"Sul","CS TAPERA","260","2018 Q2","CANTOPLASTIA",2,"Médico"
"Sul","CS TAPERA","261","2018 Q2","CANTOPLASTIA",0,"Médico"
"Sul","CS TAPERA","262","2018 Q2","CANTOPLASTIA",0,"Médico"
"Sul","CS TAPERA","263","2018 Q2","CANTOPLASTIA",0,"Médico"
"Sul","CS CARIANOS","270","2018 Q2","CANTOPLASTIA",0,"Médico"
"Sul","CS CARIANOS","271","2018 Q2","CANTOPLASTIA",2,"Médico"
"Sul","CS CARIANOS","272","2018 Q2","CANTOPLASTIA",0,"Médico"
"Sul","CS CAMPECHE","280","2018 Q2","CANTOPLASTIA",0,"Médico"
"Sul","CS CAMPECHE","281","2018 Q2","CANTOPLASTIA",0,"Médico"
"Sul","CS RIO TAVARES","290","2018 Q2","CANTOPLASTIA",0,"Médico"
"Sul","CS RIO TAVARES","291","2018 Q2","CANTOPLASTIA",0,"Médico"
"Sul","CS RIO TAVARES","292","2018 Q2","CANTOPLASTIA",0,"Médico"
"Sul","CS RIO TAVARES","293","2018 Q2","CANTOPLASTIA",0,"Médico"
"Continente","CS SAPE","30","2018 Q2","CANTOPLASTIA",0,"Médico"
"Sul","CS COSTEIRA DO PIRAJUBAÉ","300","2018 Q2","CANTOPLASTIA",0,"Médico"
"Sul","CS COSTEIRA DO PIRAJUBAÉ","301","2018 Q2","CANTOPLASTIA",0,"Médico"
"Sul","CS COSTEIRA DO PIRAJUBAÉ","302","2018 Q2","CANTOPLASTIA",0,"Médico"
"Continente","CS SAPE","31","2018 Q2","CANTOPLASTIA",0,"Médico"
"Centro","CS SACO DOS LIMÕES","310","2018 Q2","CANTOPLASTIA",1,"Médico"
"Centro","CS SACO DOS LIMÕES","311","2018 Q2","CANTOPLASTIA",0,"Médico"
"Centro","CS SACO DOS LIMÕES","312","2018 Q2","CANTOPLASTIA",0,"Médico"
"Centro","CS SACO DOS LIMÕES","313","2018 Q2","CANTOPLASTIA",2,"Médico"
"Centro","CS SACO DOS LIMÕES","314","2018 Q2","CANTOPLASTIA",0,"Médico"
"Centro","CS JOÃO PAULO","320","2018 Q2","CANTOPLASTIA",2,"Médico"
"Centro","CS JOÃO PAULO","321","2018 Q2","CANTOPLASTIA",0,"Médico"
"Centro","CS SACO GRANDE","330","2018 Q2","CANTOPLASTIA",2,"Médico"
"Centro","CS SACO GRANDE","331","2018 Q2","CANTOPLASTIA",0,"Médico"
"Centro","CS SACO GRANDE","332","2018 Q2","CANTOPLASTIA",0,"Médico"
"Centro","CS SACO GRANDE","333","2018 Q2","CANTOPLASTIA",2,"Médico"
"Centro","CS SACO GRANDE","334","2018 Q2","CANTOPLASTIA",0,"Médico"
