"DISTRITO","UNIDADE","ANO","MES","PESSOAS_SIFILIS","PESSOAS_TTO","AREA"
"Sul","CS TAPERA",2018,4,1,1,260
"Sul","CS TAPERA",2018,5,3,1,260
"Sul","CS TAPERA",2018,7,1,1,260
"Sul","CS TAPERA",2018,5,2,1,261
"Sul","CS TAPERA",2018,6,1,1,261
"Sul","CS TAPERA",2018,5,1,1,262
"Sul","CS TAPERA",2018,4,2,2,263
"Sul","CS TAPERA",2018,6,1,1,263
"Sul","CS ARMAÇÃO",2018,4,2,2,240
"Sul","CS ARMAÇÃO",2018,6,1,1,240
"Sul","CS ARMAÇÃO",2018,7,1,1,241
"Sul","CS ARMAÇÃO",2018,6,1,1,242
"Sul","CS ARMAÇÃO",2018,7,1,1,242
"Sul","CS CARIANOS",2018,4,2,2,270
"Sul","CS CARIANOS",2018,6,1,1,270
"Sul","CS CARIANOS",2018,7,1,1,270
"Sul","CS CARIANOS",2018,4,1,1,271
"Sul","CS CARIANOS",2018,6,1,0,271
"Sul","CS RIO TAVARES",2018,5,1,1,290
"Sul","CS RIO TAVARES",2018,4,2,1,291
"Sul","CS RIO TAVARES",2018,5,2,2,291
"Sul","CS RIO TAVARES",2018,7,1,1,291
"Sul","CS RIO TAVARES",2018,4,2,2,292
"Sul","CS RIO TAVARES",2018,5,1,0,293
"Sul","CS RIO TAVARES",2018,6,1,1,293
"Sul","CS ALTO RIBEIRÃO",2018,4,1,1,210
"Sul","CS ALTO RIBEIRÃO",2018,7,2,2,210
"Sul","CS PANTANO DO SUL",2018,5,1,1,230
"Sul","CS PANTANO DO SUL",2018,7,1,1,230
"Sul","CS MORRO DAS PEDRAS",2018,4,2,0,250
"Sul","CS MORRO DAS PEDRAS",2018,6,1,0,250
"Sul","CS MORRO DAS PEDRAS",2018,4,1,0,251
"Sul","CS MORRO DAS PEDRAS",2018,5,1,1,251
"Sul","CS MORRO DAS PEDRAS",2018,7,1,1,251
"Sul","CS RIBEIRÃO DA ILHA",2018,5,1,0,220
"Sul","CS RIBEIRÃO DA ILHA",2018,6,1,0,220
"Sul","CS LAGOA DA CONCEIÇÃO",2018,4,1,0,471
"Sul","CS LAGOA DA CONCEIÇÃO",2018,5,1,1,471
"Sul","CS LAGOA DA CONCEIÇÃO",2018,6,3,1,471
"Sul","CS CAIEIRA BARRA DO SUL",2018,7,2,0,200
"Sul","CS COSTEIRA DO PIRAJUBAÉ",2018,5,1,1,300
"Sul","CS COSTEIRA DO PIRAJUBAÉ",2018,6,2,2,300
"Sul","CS COSTEIRA DO PIRAJUBAÉ",2018,7,1,1,300
"Sul","CS COSTEIRA DO PIRAJUBAÉ",2018,4,2,1,301
"Sul","CS COSTEIRA DO PIRAJUBAÉ",2018,6,3,3,301
"Sul","CS COSTEIRA DO PIRAJUBAÉ",2018,7,1,1,301
"Sul","CS COSTEIRA DO PIRAJUBAÉ",2018,4,1,0,302
"Sul","CS FAZENDA DO RIO TAVARES",2018,4,1,1,780
"Sul","CS FAZENDA DO RIO TAVARES",2018,5,1,1,780
"Sul","CS FAZENDA DO RIO TAVARES",2018,6,3,1,780
"Sul","CS FAZENDA DO RIO TAVARES",2018,5,1,1,781
"Sul","CS FAZENDA DO RIO TAVARES",2018,6,3,2,781
"Sul","CS FAZENDA DO RIO TAVARES",2018,7,1,1,781
"Norte","CS JURERE",2018,5,3,2,390
"Norte","CS JURERE",2018,6,1,1,390
"Norte","CS JURERE",2018,7,1,1,390
"Norte","CS RATONES",2018,7,1,0,350
"Norte","CS INGLESES",2018,5,4,2,431
"Norte","CS INGLESES",2018,6,1,0,431
"Norte","CS INGLESES",2018,4,2,1,433
"Norte","CS INGLESES",2018,7,1,0,433
"Norte","CS INGLESES",2018,4,1,0,434
"Norte","CS INGLESES",2018,7,1,0,434
"Norte","CS INGLESES",2018,4,2,1,435
"Norte","CS INGLESES",2018,5,2,1,435
"Norte","CS INGLESES",2018,7,2,0,435
"Norte","CS INGLESES",2018,5,5,5,436
"Norte","CS INGLESES",2018,7,1,1,436
"Norte","CS INGLESES",2018,5,1,1,438
"Norte","CS INGLESES",2018,6,2,0,438
"Norte","CS SANTINHO",2018,4,2,2,980
"Norte","CS SANTINHO",2018,5,1,1,980
"Norte","CS SANTINHO",2018,6,3,3,980
"Norte","CS SANTINHO",2018,7,3,3,980
"Norte","CS SANTINHO",2018,4,3,3,981
"Norte","CS SANTINHO",2018,5,2,2,981
"Norte","CS SANTINHO",2018,7,3,3,981
"Norte","CS SACO GRANDE",2018,5,1,0,330
"Norte","CS SACO GRANDE",2018,6,4,1,330
"Norte","CS SACO GRANDE",2018,7,1,0,330
"Norte","CS SACO GRANDE",2018,4,1,1,331
"Norte","CS SACO GRANDE",2018,5,1,1,331
"Norte","CS SACO GRANDE",2018,6,1,0,332
"Norte","CS SACO GRANDE",2018,5,3,2,333
"Norte","CS SACO GRANDE",2018,6,2,1,333
"Norte","CS SACO GRANDE",2018,5,1,0,334
"Norte","CS SACO GRANDE",2018,6,1,1,334
"Norte","CS SACO GRANDE",2018,7,3,2,334
"Norte","CS SACO GRANDE",2018,6,4,4,335
"Norte","CS SACO GRANDE",2018,7,2,2,335
"Norte","CS CANASVIEIRAS",2018,5,3,2,380
"Norte","CS CANASVIEIRAS",2018,6,1,1,380
"Norte","CS CANASVIEIRAS",2018,7,1,1,380
"Norte","CS CANASVIEIRAS",2018,5,1,1,381
"Norte","CS CANASVIEIRAS",2018,6,3,3,381
"Norte","CS CANASVIEIRAS",2018,5,4,4,382
"Norte","CS CANASVIEIRAS",2018,6,3,3,382
"Norte","CS CANASVIEIRAS",2018,7,1,1,382
"Norte","CS CANASVIEIRAS",2018,5,1,1,383
"Norte","CS CANASVIEIRAS",2018,6,2,1,383
"Norte","CS CANASVIEIRAS",2018,7,1,1,383
"Norte","CS CANASVIEIRAS",2018,5,1,1,384
"Norte","CS CANASVIEIRAS",2018,6,3,3,384
"Norte","CS RIO VERMELHO",2018,4,2,2,420
"Norte","CS RIO VERMELHO",2018,5,4,1,420
"Norte","CS RIO VERMELHO",2018,7,1,1,420
"Norte","CS RIO VERMELHO",2018,4,2,2,421
"Norte","CS RIO VERMELHO",2018,5,1,0,421
"Norte","CS RIO VERMELHO",2018,6,1,1,421
"Norte","CS RIO VERMELHO",2018,7,2,2,421
"Norte","CS RIO VERMELHO",2018,6,1,0,422
"Norte","CS RIO VERMELHO",2018,7,1,1,422
"Norte","CS RIO VERMELHO",2018,7,1,1,423
"Norte","CS RIO VERMELHO",2018,4,1,1,424
"Norte","CS RIO VERMELHO",2018,7,1,1,424
"Norte","CS VARGEM GRANDE",2018,5,1,1,410
"Norte","CS VARGEM GRANDE",2018,6,2,2,410
"Norte","CS VARGEM GRANDE",2018,7,1,1,410
"Norte","CS BARRA DA LAGOA",2018,4,2,0,440
"Norte","CS BARRA DA LAGOA",2018,5,1,1,440
"Norte","CS BARRA DA LAGOA",2018,6,2,2,440
"Norte","CS BARRA DA LAGOA",2018,4,2,1,441
"Norte","CS BARRA DA LAGOA",2018,5,1,1,441
"Norte","CS BARRA DA LAGOA",2018,6,1,1,441
"Norte","CS VARGEM PEQUENA",2018,4,1,1,340
"Norte","CS VARGEM PEQUENA",2018,7,1,0,340
