"DISTRITO","UNIDADE","TRIMESTRE","TIPO","VALOR"
"Continente","CS ABRAÃO","2018 Q2","CASOS",5
"Centro","CS AGRONÔMICA","2018 Q2","CASOS",17
"Sul","CS ALTO RIBEIRÃO","2018 Q2","CASOS",1
"Sul","CS ARMAÇÃO","2018 Q2","CASOS",4
"Continente","CS BALNEÁRIO","2018 Q2","CASOS",1
"Norte","CS BARRA DA LAGOA","2018 Q2","CASOS",9
"Norte","CS CACHOEIRA BOM JESUS","2018 Q2","CASOS",8
"Norte","CS CANASVIEIRAS","2018 Q2","CASOS",22
"Continente","CS CAPOEIRAS","2018 Q2","CASOS",5
"Sul","CS CARIANOS","2018 Q2","CASOS",5
"Centro","CS CENTRO","2018 Q2","CASOS",8
"Continente","CS COLONINHA","2018 Q2","CASOS",6
"Continente","CS COQUEIROS","2018 Q2","CASOS",6
"Centro","CS CÓRREGO GRANDE","2018 Q2","CASOS",7
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2018 Q2","CASOS",9
"Continente","CS ESTREITO","2018 Q2","CASOS",10
"Sul","CS FAZENDA DO RIO TAVARES","2018 Q2","CASOS",9
"Norte","CS INGLESES","2018 Q2","CASOS",20
"Centro","CS ITACORUBI","2018 Q2","CASOS",6
"Continente","CS JARDIM ATLÂNTICO","2018 Q2","CASOS",4
"Centro","CS JOÃO PAULO","2018 Q2","CASOS",3
"Norte","CS JURERE","2018 Q2","CASOS",4
"Sul","CS LAGOA DA CONCEIÇÃO","2018 Q2","CASOS",5
"Continente","CS MONTE CRISTO","2018 Q2","CASOS",17
"Centro","CS MONTE SERRAT","2018 Q2","CASOS",20
"Sul","CS MORRO DAS PEDRAS","2018 Q2","CASOS",5
"Continente","CS NOVO CONTINENTE","2018 Q2","CASOS",8
"Centro","CS PANTANAL","2018 Q2","CASOS",4
"Sul","CS PANTANO DO SUL","2018 Q2","CASOS",1
"Norte","CS PONTA DAS CANAS","2018 Q2","CASOS",2
"Centro","CS PRAINHA","2018 Q2","CASOS",23
"Sul","CS RIBEIRÃO DA ILHA","2018 Q2","CASOS",2
"Sul","CS RIO TAVARES","2018 Q2","CASOS",9
"Norte","CS RIO VERMELHO","2018 Q2","CASOS",12
"Centro","CS SACO DOS LIMÕES","2018 Q2","CASOS",9
"Norte","CS SACO GRANDE","2018 Q2","CASOS",19
"Norte","CS SANTINHO","2018 Q2","CASOS",11
"Norte","CS SANTO ANTONIO LISBOA","2018 Q2","CASOS",2
"Continente","CS SAPE","2018 Q2","CASOS",7
"Sul","CS TAPERA","2018 Q2","CASOS",11
"Centro","CS TRINDADE","2018 Q2","CASOS",14
"Norte","CS VARGEM GRANDE","2018 Q2","CASOS",3
"Norte","CS VARGEM PEQUENA","2018 Q2","CASOS",1
"Continente","CS VILA APARECIDA","2018 Q2","CASOS",3
"Continente","CS ABRAÃO","2018 Q2","TRATADOS",5
"Centro","CS AGRONÔMICA","2018 Q2","TRATADOS",16
"Sul","CS ALTO RIBEIRÃO","2018 Q2","TRATADOS",1
"Sul","CS ARMAÇÃO","2018 Q2","TRATADOS",4
"Continente","CS BALNEÁRIO","2018 Q2","TRATADOS",1
"Norte","CS BARRA DA LAGOA","2018 Q2","TRATADOS",6
"Norte","CS CACHOEIRA BOM JESUS","2018 Q2","TRATADOS",7
"Norte","CS CANASVIEIRAS","2018 Q2","TRATADOS",20
"Continente","CS CAPOEIRAS","2018 Q2","TRATADOS",5
"Sul","CS CARIANOS","2018 Q2","TRATADOS",4
"Centro","CS CENTRO","2018 Q2","TRATADOS",5
"Continente","CS COLONINHA","2018 Q2","TRATADOS",5
"Continente","CS COQUEIROS","2018 Q2","TRATADOS",4
"Centro","CS CÓRREGO GRANDE","2018 Q2","TRATADOS",5
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2018 Q2","TRATADOS",7
"Continente","CS ESTREITO","2018 Q2","TRATADOS",10
"Sul","CS FAZENDA DO RIO TAVARES","2018 Q2","TRATADOS",6
"Norte","CS INGLESES","2018 Q2","TRATADOS",11
"Centro","CS ITACORUBI","2018 Q2","TRATADOS",4
"Continente","CS JARDIM ATLÂNTICO","2018 Q2","TRATADOS",2
"Centro","CS JOÃO PAULO","2018 Q2","TRATADOS",0
"Norte","CS JURERE","2018 Q2","TRATADOS",3
"Sul","CS LAGOA DA CONCEIÇÃO","2018 Q2","TRATADOS",2
"Continente","CS MONTE CRISTO","2018 Q2","TRATADOS",11
"Centro","CS MONTE SERRAT","2018 Q2","TRATADOS",8
"Sul","CS MORRO DAS PEDRAS","2018 Q2","TRATADOS",1
"Continente","CS NOVO CONTINENTE","2018 Q2","TRATADOS",3
"Centro","CS PANTANAL","2018 Q2","TRATADOS",0
"Sul","CS PANTANO DO SUL","2018 Q2","TRATADOS",1
"Norte","CS PONTA DAS CANAS","2018 Q2","TRATADOS",2
"Centro","CS PRAINHA","2018 Q2","TRATADOS",23
"Sul","CS RIBEIRÃO DA ILHA","2018 Q2","TRATADOS",0
"Sul","CS RIO TAVARES","2018 Q2","TRATADOS",7
"Norte","CS RIO VERMELHO","2018 Q2","TRATADOS",7
"Centro","CS SACO DOS LIMÕES","2018 Q2","TRATADOS",7
"Norte","CS SACO GRANDE","2018 Q2","TRATADOS",11
"Norte","CS SANTINHO","2018 Q2","TRATADOS",11
"Norte","CS SANTO ANTONIO LISBOA","2018 Q2","TRATADOS",1
"Continente","CS SAPE","2018 Q2","TRATADOS",2
"Sul","CS TAPERA","2018 Q2","TRATADOS",8
"Centro","CS TRINDADE","2018 Q2","TRATADOS",11
