"DISTRITO","TRIMESTRE","TIPO","VALOR"
"Centro","2013 Q1","CASOS",16
"Continente","2013 Q1","CASOS",12
"Norte","2013 Q1","CASOS",15
"Sul","2013 Q1","CASOS",6
"Centro","2013 Q2","CASOS",24
"Continente","2013 Q2","CASOS",13
"Norte","2013 Q2","CASOS",7
"Sul","2013 Q2","CASOS",9
"Centro","2013 Q3","CASOS",23
"Continente","2013 Q3","CASOS",8
"Norte","2013 Q3","CASOS",12
"Sul","2013 Q3","CASOS",14
"Centro","2013 Q4","CASOS",21
"Continente","2013 Q4","CASOS",14
"Norte","2013 Q4","CASOS",14
"Sul","2013 Q4","CASOS",17
"Centro","2014 Q1","CASOS",19
"Continente","2014 Q1","CASOS",7
"Norte","2014 Q1","CASOS",14
"Sul","2014 Q1","CASOS",6
"Centro","2014 Q2","CASOS",13
"Continente","2014 Q2","CASOS",14
"Norte","2014 Q2","CASOS",14
"Sul","2014 Q2","CASOS",10
"Centro","2014 Q3","CASOS",24
"Continente","2014 Q3","CASOS",11
"Norte","2014 Q3","CASOS",17
"Sul","2014 Q3","CASOS",19
"Centro","2014 Q4","CASOS",39
"Continente","2014 Q4","CASOS",35
"Norte","2014 Q4","CASOS",25
"Sul","2014 Q4","CASOS",12
"Centro","2015 Q1","CASOS",46
"Continente","2015 Q1","CASOS",37
"Norte","2015 Q1","CASOS",33
"Sul","2015 Q1","CASOS",26
"Centro","2015 Q2","CASOS",51
"Continente","2015 Q2","CASOS",23
"Norte","2015 Q2","CASOS",44
"Sul","2015 Q2","CASOS",22
"Centro","2015 Q3","CASOS",42
"Continente","2015 Q3","CASOS",45
"Norte","2015 Q3","CASOS",55
"Sul","2015 Q3","CASOS",41
"Centro","2015 Q4","CASOS",70
"Continente","2015 Q4","CASOS",45
"Norte","2015 Q4","CASOS",55
"Sul","2015 Q4","CASOS",50
"Centro","2016 Q1","CASOS",67
"Continente","2016 Q1","CASOS",57
"Norte","2016 Q1","CASOS",59
"Sul","2016 Q1","CASOS",48
"Centro","2016 Q2","CASOS",59
"Continente","2016 Q2","CASOS",62
"Norte","2016 Q2","CASOS",92
"Sul","2016 Q2","CASOS",45
"Centro","2016 Q3","CASOS",100
"Continente","2016 Q3","CASOS",58
"Norte","2016 Q3","CASOS",85
"Sul","2016 Q3","CASOS",65
"Centro","2016 Q4","CASOS",84
"Continente","2016 Q4","CASOS",63
"Norte","2016 Q4","CASOS",82
"Sul","2016 Q4","CASOS",39
"Centro","2017 Q1","CASOS",50
"Continente","2017 Q1","CASOS",43
"Norte","2017 Q1","CASOS",48
"Sul","2017 Q1","CASOS",25
"Centro","2017 Q2","CASOS",99
"Continente","2017 Q2","CASOS",81
"Norte","2017 Q2","CASOS",105
"Sul","2017 Q2","CASOS",47
"Centro","2017 Q3","CASOS",112
"Continente","2017 Q3","CASOS",85
"Norte","2017 Q3","CASOS",112
"Sul","2017 Q3","CASOS",61
"Centro","2017 Q4","CASOS",105
"Continente","2017 Q4","CASOS",73
"Norte","2017 Q4","CASOS",109
"Sul","2017 Q4","CASOS",43
"Centro","2018 Q1","CASOS",107
"Continente","2018 Q1","CASOS",71
"Norte","2018 Q1","CASOS",102
"Sul","2018 Q1","CASOS",43
"Centro","2013 Q1","TRATADOS",1
"Continente","2013 Q1","TRATADOS",0
"Norte","2013 Q1","TRATADOS",0
"Sul","2013 Q1","TRATADOS",1
"Centro","2013 Q2","TRATADOS",1
"Continente","2013 Q2","TRATADOS",0
"Norte","2013 Q2","TRATADOS",0
"Sul","2013 Q2","TRATADOS",0
"Centro","2013 Q3","TRATADOS",4
"Continente","2013 Q3","TRATADOS",1
"Norte","2013 Q3","TRATADOS",0
"Sul","2013 Q3","TRATADOS",1
"Centro","2013 Q4","TRATADOS",4
"Continente","2013 Q4","TRATADOS",1
"Norte","2013 Q4","TRATADOS",3
"Sul","2013 Q4","TRATADOS",0
"Centro","2014 Q1","TRATADOS",1
"Continente","2014 Q1","TRATADOS",1
"Norte","2014 Q1","TRATADOS",0
"Sul","2014 Q1","TRATADOS",1
"Centro","2014 Q2","TRATADOS",1
"Continente","2014 Q2","TRATADOS",4
"Norte","2014 Q2","TRATADOS",2
"Sul","2014 Q2","TRATADOS",0
"Centro","2014 Q3","TRATADOS",0
"Continente","2014 Q3","TRATADOS",1
"Norte","2014 Q3","TRATADOS",2
"Sul","2014 Q3","TRATADOS",0
"Centro","2014 Q4","TRATADOS",3
"Continente","2014 Q4","TRATADOS",4
"Norte","2014 Q4","TRATADOS",3
"Sul","2014 Q4","TRATADOS",0
"Centro","2015 Q1","TRATADOS",8
"Continente","2015 Q1","TRATADOS",3
"Norte","2015 Q1","TRATADOS",1
"Sul","2015 Q1","TRATADOS",1
"Centro","2015 Q2","TRATADOS",3
"Continente","2015 Q2","TRATADOS",0
"Norte","2015 Q2","TRATADOS",3
"Sul","2015 Q2","TRATADOS",1
"Centro","2015 Q3","TRATADOS",6
"Continente","2015 Q3","TRATADOS",5
"Norte","2015 Q3","TRATADOS",5
"Sul","2015 Q3","TRATADOS",4
"Centro","2015 Q4","TRATADOS",14
"Continente","2015 Q4","TRATADOS",4
"Norte","2015 Q4","TRATADOS",9
"Sul","2015 Q4","TRATADOS",6
"Centro","2016 Q1","TRATADOS",17
"Continente","2016 Q1","TRATADOS",11
"Norte","2016 Q1","TRATADOS",5
"Sul","2016 Q1","TRATADOS",4
"Centro","2016 Q2","TRATADOS",19
"Continente","2016 Q2","TRATADOS",19
"Norte","2016 Q2","TRATADOS",35
"Sul","2016 Q2","TRATADOS",6
"Centro","2016 Q3","TRATADOS",57
"Continente","2016 Q3","TRATADOS",28
"Norte","2016 Q3","TRATADOS",30
