"TRIMESTRE","TIPO","VALOR"
"2018 Q2","CASOS",357
"2018 Q2","TRATADOS",252
"2018 Q2","PERC_TRATAMENTO",70.5882352941177
"2013 Q1","CASOS",52
"2013 Q2","CASOS",56
"2013 Q3","CASOS",61
"2013 Q4","CASOS",68
"2014 Q1","CASOS",48
"2014 Q2","CASOS",51
"2014 Q3","CASOS",71
"2014 Q4","CASOS",115
"2015 Q1","CASOS",153
"2015 Q2","CASOS",144
"2015 Q3","CASOS",191
"2015 Q4","CASOS",227
"2016 Q1","CASOS",236
"2016 Q2","CASOS",266
"2016 Q3","CASOS",315
"2016 Q4","CASOS",276
"2017 Q1","CASOS",170
"2017 Q2","CASOS",337
"2017 Q3","CASOS",376
"2017 Q4","CASOS",337
"2018 Q1","CASOS",323
"2013 Q1","TRATADOS",2
"2013 Q2","TRATADOS",1
"2013 Q3","TRATADOS",7
"2013 Q4","TRATADOS",8
"2014 Q1","TRATADOS",3
"2014 Q2","TRATADOS",7
"2014 Q3","TRATADOS",3
"2014 Q4","TRATADOS",10
"2015 Q1","TRATADOS",14
"2015 Q2","TRATADOS",7
"2015 Q3","TRATADOS",21
"2015 Q4","TRATADOS",34
"2016 Q1","TRATADOS",38
"2016 Q2","TRATADOS",79
"2016 Q3","TRATADOS",139
"2016 Q4","TRATADOS",119
"2017 Q1","TRATADOS",83
"2017 Q2","TRATADOS",235
"2017 Q3","TRATADOS",223
"2017 Q4","TRATADOS",194
"2018 Q1","TRATADOS",201
"2013 Q1","PERC_TRATAMENTO",3.84615384615385
"2013 Q2","PERC_TRATAMENTO",1.78571428571429
"2013 Q3","PERC_TRATAMENTO",11.4754098360656
"2013 Q4","PERC_TRATAMENTO",11.7647058823529
"2014 Q1","PERC_TRATAMENTO",6.25
"2014 Q2","PERC_TRATAMENTO",13.7254901960784
"2014 Q3","PERC_TRATAMENTO",4.22535211267606
"2014 Q4","PERC_TRATAMENTO",8.69565217391304
"2015 Q1","PERC_TRATAMENTO",9.15032679738562
"2015 Q2","PERC_TRATAMENTO",4.86111111111111
"2015 Q3","PERC_TRATAMENTO",10.9947643979058
"2015 Q4","PERC_TRATAMENTO",14.9779735682819
"2016 Q1","PERC_TRATAMENTO",16.1016949152542
"2016 Q2","PERC_TRATAMENTO",29.6992481203008
"2016 Q3","PERC_TRATAMENTO",44.1269841269841
"2016 Q4","PERC_TRATAMENTO",43.1159420289855
"2017 Q1","PERC_TRATAMENTO",48.8235294117647
"2017 Q2","PERC_TRATAMENTO",69.7329376854599
"2017 Q3","PERC_TRATAMENTO",59.3085106382979
"2017 Q4","PERC_TRATAMENTO",57.566765578635
"2018 Q1","PERC_TRATAMENTO",62.2291021671827
