"DISTRITO","UNIDADE","ANO","MES","COD_PROCEDIMENTO","QUANTIDADE","AREA"
"Centro","CS AGRONÔMICA",2018,4,"0214010058",1,690
"Centro","CS AGRONÔMICA",2018,4,"0214010074",1,690
"Centro","CS AGRONÔMICA",2018,4,"0214010090",1,690
"Centro","CS AGRONÔMICA",2018,4,"0214010104",1,690
"Centro","CS AGRONÔMICA",2018,7,"0214010040",1,691
"Centro","CS AGRONÔMICA",2018,5,"0214010058",2,691
"Centro","CS AGRONÔMICA",2018,5,"0214010074",2,691
"Centro","CS AGRONÔMICA",2018,6,"0214010074",1,691
"Centro","CS AGRONÔMICA",2018,7,"0214010074",1,691
"Centro","CS AGRONÔMICA",2018,7,"0214010082",1,691
"Centro","CS AGRONÔMICA",2018,5,"0214010090",2,691
"Centro","CS AGRONÔMICA",2018,5,"0214010104",2,691
"Centro","CS AGRONÔMICA",2018,5,"0214010040",4,692
"Centro","CS AGRONÔMICA",2018,6,"0214010040",2,692
"Centro","CS AGRONÔMICA",2018,7,"0214010040",1,692
"Centro","CS AGRONÔMICA",2018,4,"0214010058",1,692
"Centro","CS AGRONÔMICA",2018,6,"0214010058",1,692
"Centro","CS AGRONÔMICA",2018,4,"0214010074",1,692
"Centro","CS AGRONÔMICA",2018,5,"0214010074",1,692
"Centro","CS AGRONÔMICA",2018,6,"0214010074",1,692
"Centro","CS AGRONÔMICA",2018,7,"0214010074",1,692
"Centro","CS AGRONÔMICA",2018,5,"0214010082",4,692
"Centro","CS AGRONÔMICA",2018,6,"0214010082",2,692
"Centro","CS AGRONÔMICA",2018,7,"0214010082",2,692
"Centro","CS AGRONÔMICA",2018,4,"0214010090",1,692
"Centro","CS AGRONÔMICA",2018,6,"0214010090",1,692
"Centro","CS AGRONÔMICA",2018,6,"0214010104",1,692
"Centro","CS AGRONÔMICA",2018,5,"0214010058",5,693
"Centro","CS AGRONÔMICA",2018,6,"0214010058",1,693
"Centro","CS AGRONÔMICA",2018,5,"0214010074",5,693
"Centro","CS AGRONÔMICA",2018,6,"0214010074",1,693
"Centro","CS AGRONÔMICA",2018,5,"0214010090",2,693
"Centro","CS AGRONÔMICA",2018,6,"0214010090",2,693
"Centro","CS AGRONÔMICA",2018,5,"0214010104",4,693
"Centro","CS AGRONÔMICA",2018,6,"0214010104",2,693
"Centro","CS CENTRO",2018,5,"0214010040",3,950
"Centro","CS CENTRO",2018,4,"0214010058",6,950
"Centro","CS CENTRO",2018,5,"0214010058",2,950
"Centro","CS CENTRO",2018,6,"0214010058",6,950
"Centro","CS CENTRO",2018,7,"0214010058",10,950
"Centro","CS CENTRO",2018,4,"0214010074",6,950
"Centro","CS CENTRO",2018,5,"0214010074",3,950
"Centro","CS CENTRO",2018,6,"0214010074",6,950
"Centro","CS CENTRO",2018,7,"0214010074",9,950
"Centro","CS CENTRO",2018,4,"0214010082",1,950
"Centro","CS CENTRO",2018,5,"0214010082",2,950
"Centro","CS CENTRO",2018,4,"0214010090",6,950
"Centro","CS CENTRO",2018,5,"0214010090",5,950
"Centro","CS CENTRO",2018,6,"0214010090",6,950
"Centro","CS CENTRO",2018,7,"0214010090",11,950
"Centro","CS CENTRO",2018,4,"0214010104",4,950
"Centro","CS CENTRO",2018,5,"0214010104",3,950
"Centro","CS CENTRO",2018,6,"0214010104",6,950
"Centro","CS CENTRO",2018,7,"0214010104",10,950
"Centro","CS CENTRO",2018,4,"0214010058",2,951
"Centro","CS CENTRO",2018,5,"0214010058",2,951
"Centro","CS CENTRO",2018,6,"0214010058",1,951
"Centro","CS CENTRO",2018,7,"0214010058",2,951
"Centro","CS CENTRO",2018,4,"0214010074",2,951
"Centro","CS CENTRO",2018,5,"0214010074",2,951
"Centro","CS CENTRO",2018,6,"0214010074",1,951
"Centro","CS CENTRO",2018,7,"0214010074",2,951
"Centro","CS CENTRO",2018,4,"0214010090",2,951
"Centro","CS CENTRO",2018,5,"0214010090",2,951
"Centro","CS CENTRO",2018,6,"0214010090",1,951
"Centro","CS CENTRO",2018,7,"0214010090",2,951
"Centro","CS CENTRO",2018,4,"0214010104",1,951
"Centro","CS CENTRO",2018,5,"0214010104",2,951
"Centro","CS CENTRO",2018,6,"0214010104",1,951
"Centro","CS CENTRO",2018,7,"0214010104",2,951
"Centro","CS CENTRO",2018,4,"0214010058",6,952
"Centro","CS CENTRO",2018,6,"0214010058",2,952
"Centro","CS CENTRO",2018,7,"0214010058",1,952
"Centro","CS CENTRO",2018,4,"0214010074",5,952
"Centro","CS CENTRO",2018,6,"0214010074",3,952
"Centro","CS CENTRO",2018,7,"0214010074",4,952
"Centro","CS CENTRO",2018,4,"0214010090",4,952
"Centro","CS CENTRO",2018,6,"0214010090",2,952
"Centro","CS CENTRO",2018,7,"0214010090",1,952
"Centro","CS CENTRO",2018,4,"0214010104",3,952
"Centro","CS CENTRO",2018,6,"0214010104",2,952
"Centro","CS CENTRO",2018,7,"0214010104",1,952
"Centro","CS CÓRREGO GRANDE",2018,4,"0214010058",2,170
"Centro","CS CÓRREGO GRANDE",2018,5,"0214010058",1,170
"Centro","CS CÓRREGO GRANDE",2018,6,"0214010058",1,170
"Centro","CS CÓRREGO GRANDE",2018,4,"0214010074",2,170
"Centro","CS CÓRREGO GRANDE",2018,5,"0214010074",1,170
"Centro","CS CÓRREGO GRANDE",2018,6,"0214010074",1,170
"Centro","CS CÓRREGO GRANDE",2018,4,"0214010090",1,170
"Centro","CS CÓRREGO GRANDE",2018,5,"0214010090",1,170
"Centro","CS CÓRREGO GRANDE",2018,6,"0214010090",1,170
"Centro","CS CÓRREGO GRANDE",2018,5,"0214010104",1,170
"Centro","CS CÓRREGO GRANDE",2018,6,"0214010104",3,170
"Centro","CS CÓRREGO GRANDE",2018,5,"0214010058",2,171
"Centro","CS CÓRREGO GRANDE",2018,6,"0214010058",2,171
"Centro","CS CÓRREGO GRANDE",2018,5,"0214010074",3,171
"Centro","CS CÓRREGO GRANDE",2018,6,"0214010074",3,171
"Centro","CS CÓRREGO GRANDE",2018,5,"0214010090",2,171
"Centro","CS CÓRREGO GRANDE",2018,6,"0214010090",2,171
"Centro","CS CÓRREGO GRANDE",2018,5,"0214010104",2,171
"Centro","CS CÓRREGO GRANDE",2018,6,"0214010104",2,171
