"DISTRITO","UNIDADE","TRIMESTRE","PROCEDIMENTO","VALOR"
"Sul","CS CAIEIRA BARRA DO SUL","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Centro","CS AGRONÔMICA","2016 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Sul","CS ARMAÇÃO","2016 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Continente","CS CAPOEIRAS","2016 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Centro","CS ITACORUBI","2016 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Norte","CS SANTINHO","2016 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",8
"Continente","CS SAPE","2016 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",4
"Continente","CS ABRAÃO","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",3
"Centro","CS AGRONÔMICA","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Sul","CS ARMAÇÃO","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",3
"Norte","CS CACHOEIRA BOM JESUS","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",36
"Sul","CS CAIEIRA BARRA DO SUL","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Norte","CS CANASVIEIRAS","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",3
"Continente","CS CAPOEIRAS","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",6
"Sul","CS CARIANOS","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",25
"Centro","CS CENTRO","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Continente","CS COLONINHA","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",13
"Continente","CS COQUEIROS","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",6
"Centro","CS CÓRREGO GRANDE","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Continente","CS ESTREITO","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",8
"Sul","CS FAZENDA DO RIO TAVARES","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",7
"Norte","CS INGLESES","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",19
"Centro","CS ITACORUBI","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",22
"Continente","CS JARDIM ATLÂNTICO","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",28
"Centro","CS JOÃO PAULO","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Sul","CS LAGOA DA CONCEIÇÃO","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Continente","CS MONTE CRISTO","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",5
"Centro","CS MONTE SERRAT","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",6
"Sul","CS MORRO DAS PEDRAS","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",4
