"DISTRITO","TRIMESTRE","PROCEDIMENTO","VALOR"
"Centro","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",215
"Continente","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",90
"Norte","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",106
"Sul","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",146
"Centro","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",212
"Continente","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",94
"Norte","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",101
"Sul","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",127
"Centro","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",254
"Continente","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",120
"Norte","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",145
"Sul","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",182
"Centro","2018 Q2","TESTE RÁPIDO PARA SÍFILIS",254
"Continente","2018 Q2","TESTE RÁPIDO PARA SÍFILIS",112
"Norte","2018 Q2","TESTE RÁPIDO PARA SÍFILIS",162
"Sul","2018 Q2","TESTE RÁPIDO PARA SÍFILIS",173
"Sul","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Centro","2016 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",4
"Continente","2016 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",5
"Norte","2016 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",8
"Sul","2016 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Centro","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",39
"Continente","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",76
"Norte","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",86
"Sul","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",70
"Centro","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",33
"Continente","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",72
"Norte","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",100
"Sul","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",54
"Centro","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",25
"Continente","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",49
"Norte","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",47
"Sul","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",46
"Centro","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",47
"Continente","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",78
"Norte","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",94
"Sul","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",55
"Centro","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",95
"Continente","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",71
"Norte","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",106
"Sul","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",112
"Centro","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",156
"Continente","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",93
"Norte","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",117
"Sul","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",98
"Centro","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",219
"Continente","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",118
"Norte","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",144
"Sul","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",134
"Centro","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",33
"Continente","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",39
"Norte","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",36
"Sul","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",49
"Centro","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",49
"Continente","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",77
"Norte","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",76
"Sul","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",58
"Centro","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",90
"Continente","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",71
"Norte","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",114
"Sul","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",98
"Centro","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",148
"Continente","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",91
"Norte","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",90
"Sul","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",86
"Centro","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",200
"Continente","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",125
"Norte","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",127
"Sul","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",107
"Centro","2014 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Continente","2014 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",5
"Norte","2014 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",3
"Sul","2014 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",1
"Centro","2015 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",28
"Continente","2015 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",28
"Norte","2015 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",27
"Sul","2015 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",17
"Centro","2015 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",15
"Continente","2015 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",13
"Norte","2015 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",26
"Sul","2015 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",18
"Centro","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",7
"Continente","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",27
"Norte","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",27
"Sul","2015 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",73
"Centro","2015 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV",35
