"DISTRITO","UNIDADE","AREA","TRIMESTRE","PROCEDIMENTO","VALOR"
"Continente","CS JARDIM ATLÂNTICO","10","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",12
"Continente","CS NOVO CONTINENTE","100","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Continente","CS NOVO CONTINENTE","101","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Continente","CS NOVO CONTINENTE","102","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Continente","CS JARDIM ATLÂNTICO","11","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",10
"Centro","CS MONTE SERRAT","120","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Centro","CS MONTE SERRAT","122","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",3
"Centro","CS PRAINHA","130","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",3
"Centro","CS PRAINHA","132","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",8
"Centro","CS PANTANAL","160","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",14
"Centro","CS PANTANAL","161","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",4
"Centro","CS CÓRREGO GRANDE","170","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",3
"Centro","CS CÓRREGO GRANDE","171","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",4
"Centro","CS ITACORUBI","190","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",28
"Centro","CS ITACORUBI","191","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",40
"Centro","CS ITACORUBI","192","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",8
"Centro","CS ITACORUBI","193","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",18
"Continente","CS BALNEÁRIO","20","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",4
"Sul","CS CAIEIRA BARRA DO SUL","200","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Continente","CS BALNEÁRIO","21","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Sul","CS ALTO RIBEIRÃO","210","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",10
"Sul","CS RIBEIRÃO DA ILHA","220","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",5
"Sul","CS PANTANO DO SUL","230","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",13
"Sul","CS ARMAÇÃO","240","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",6
"Sul","CS ARMAÇÃO","241","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",4
"Sul","CS ARMAÇÃO","242","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Sul","CS MORRO DAS PEDRAS","250","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Sul","CS MORRO DAS PEDRAS","251","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",4
"Sul","CS TAPERA","260","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",15
"Sul","CS TAPERA","261","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",7
"Sul","CS TAPERA","262","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",12
"Sul","CS TAPERA","263","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",8
"Sul","CS CARIANOS","270","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",5
"Sul","CS CARIANOS","271","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",11
"Sul","CS CARIANOS","272","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Sul","CS CAMPECHE","280","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",7
"Sul","CS CAMPECHE","281","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",7
"Continente","CS SAPE","30","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",7
"Sul","CS COSTEIRA DO PIRAJUBAÉ","300","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Sul","CS COSTEIRA DO PIRAJUBAÉ","301","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Continente","CS SAPE","31","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",12
"Centro","CS SACO DOS LIMÕES","310","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",3
"Centro","CS SACO DOS LIMÕES","311","2018 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",3
