"DISTRITO","UNIDADE","ANO","MES","QUANTIDADE","AREA"
"Centro","CS AGRONÔMICA",2018,4,21,690
"Centro","CS AGRONÔMICA",2018,5,20,690
"Centro","CS AGRONÔMICA",2018,6,26,690
"Centro","CS AGRONÔMICA",2018,7,46,690
"Centro","CS AGRONÔMICA",2018,4,6,691
"Centro","CS AGRONÔMICA",2018,5,14,691
"Centro","CS AGRONÔMICA",2018,6,20,691
"Centro","CS AGRONÔMICA",2018,7,12,691
"Centro","CS AGRONÔMICA",2018,4,12,692
"Centro","CS AGRONÔMICA",2018,5,8,692
"Centro","CS AGRONÔMICA",2018,6,20,692
"Centro","CS AGRONÔMICA",2018,7,13,692
"Centro","CS AGRONÔMICA",2018,4,21,693
"Centro","CS AGRONÔMICA",2018,5,19,693
"Centro","CS AGRONÔMICA",2018,6,22,693
"Centro","CS AGRONÔMICA",2018,7,12,693
"Centro","CS CENTRO",2018,4,14,950
"Centro","CS CENTRO",2018,5,10,950
"Centro","CS CENTRO",2018,6,13,950
"Centro","CS CENTRO",2018,7,18,950
"Centro","CS CENTRO",2018,4,4,951
"Centro","CS CENTRO",2018,5,6,951
"Centro","CS CENTRO",2018,6,3,951
"Centro","CS CENTRO",2018,7,6,951
"Centro","CS CENTRO",2018,4,7,952
"Centro","CS CENTRO",2018,5,9,952
"Centro","CS CENTRO",2018,6,1,952
"Centro","CS CENTRO",2018,7,17,952
"Centro","CS CÓRREGO GRANDE",2018,4,19,170
"Centro","CS CÓRREGO GRANDE",2018,5,18,170
"Centro","CS CÓRREGO GRANDE",2018,6,30,170
"Centro","CS CÓRREGO GRANDE",2018,7,4,170
"Centro","CS CÓRREGO GRANDE",2018,4,16,171
"Centro","CS CÓRREGO GRANDE",2018,5,20,171
"Centro","CS CÓRREGO GRANDE",2018,6,16,171
"Centro","CS CÓRREGO GRANDE",2018,7,6,171
"Centro","CS ITACORUBI",2018,4,2,190
"Centro","CS ITACORUBI",2018,5,0,190
"Centro","CS ITACORUBI",2018,6,0,190
"Centro","CS ITACORUBI",2018,7,0,190
"Centro","CS ITACORUBI",2018,4,1,191
"Centro","CS ITACORUBI",2018,5,1,191
"Centro","CS ITACORUBI",2018,6,3,191
"Centro","CS ITACORUBI",2018,7,3,191
"Centro","CS ITACORUBI",2018,4,4,192
"Centro","CS ITACORUBI",2018,5,0,192
"Centro","CS ITACORUBI",2018,6,2,192
"Centro","CS ITACORUBI",2018,7,0,192
"Centro","CS ITACORUBI",2018,4,0,193
"Centro","CS ITACORUBI",2018,5,0,193
"Centro","CS ITACORUBI",2018,6,0,193
"Centro","CS ITACORUBI",2018,7,1,193
"Centro","CS JOÃO PAULO",2018,4,10,320
"Centro","CS JOÃO PAULO",2018,5,19,320
"Centro","CS JOÃO PAULO",2018,6,6,320
"Centro","CS JOÃO PAULO",2018,7,8,320
"Centro","CS JOÃO PAULO",2018,4,10,321
"Centro","CS JOÃO PAULO",2018,5,3,321
"Centro","CS JOÃO PAULO",2018,6,7,321
"Centro","CS JOÃO PAULO",2018,7,5,321
"Centro","CS MONTE SERRAT",2018,4,6,120
"Centro","CS MONTE SERRAT",2018,5,3,120
"Centro","CS MONTE SERRAT",2018,6,6,120
"Centro","CS MONTE SERRAT",2018,7,3,120
"Centro","CS MONTE SERRAT",2018,4,2,121
"Centro","CS MONTE SERRAT",2018,5,3,121
"Centro","CS MONTE SERRAT",2018,6,6,121
"Centro","CS MONTE SERRAT",2018,7,5,121
"Centro","CS MONTE SERRAT",2018,4,5,122
"Centro","CS MONTE SERRAT",2018,5,7,122
"Centro","CS MONTE SERRAT",2018,6,5,122
"Centro","CS MONTE SERRAT",2018,7,7,122
"Centro","CS PANTANAL",2018,4,1,160
"Centro","CS PANTANAL",2018,5,12,160
"Centro","CS PANTANAL",2018,6,25,160
"Centro","CS PANTANAL",2018,7,20,160
"Centro","CS PANTANAL",2018,4,0,161
"Centro","CS PANTANAL",2018,5,6,161
"Centro","CS PANTANAL",2018,6,29,161
"Centro","CS PANTANAL",2018,7,7,161
"Centro","CS PRAINHA",2018,4,3,130
"Centro","CS PRAINHA",2018,5,6,130
"Centro","CS PRAINHA",2018,6,12,130
"Centro","CS PRAINHA",2018,7,13,130
"Centro","CS PRAINHA",2018,4,1,131
"Centro","CS PRAINHA",2018,5,4,131
"Centro","CS PRAINHA",2018,6,5,131
"Centro","CS PRAINHA",2018,7,13,131
"Centro","CS PRAINHA",2018,4,4,132
"Centro","CS PRAINHA",2018,5,11,132
"Centro","CS PRAINHA",2018,6,9,132
"Centro","CS PRAINHA",2018,7,15,132
"Centro","CS SACO DOS LIMÕES",2018,4,0,310
"Centro","CS SACO DOS LIMÕES",2018,5,0,310
"Centro","CS SACO DOS LIMÕES",2018,6,3,310
"Centro","CS SACO DOS LIMÕES",2018,7,0,310
"Centro","CS SACO DOS LIMÕES",2018,4,1,311
"Centro","CS SACO DOS LIMÕES",2018,5,4,311
"Centro","CS SACO DOS LIMÕES",2018,6,0,311
"Centro","CS SACO DOS LIMÕES",2018,7,0,311
"Centro","CS SACO DOS LIMÕES",2018,4,2,312
"Centro","CS SACO DOS LIMÕES",2018,5,3,312
"Centro","CS SACO DOS LIMÕES",2018,6,2,312
"Centro","CS SACO DOS LIMÕES",2018,7,1,312
"Centro","CS SACO DOS LIMÕES",2018,4,0,313
"Centro","CS SACO DOS LIMÕES",2018,5,0,313
"Centro","CS SACO DOS LIMÕES",2018,6,0,313
"Centro","CS SACO DOS LIMÕES",2018,4,0,314
"Centro","CS SACO DOS LIMÕES",2018,5,0,314
"Centro","CS SACO DOS LIMÕES",2018,6,0,314
"Centro","CS SACO DOS LIMÕES",2018,7,0,314
"Centro","CS TRINDADE",2018,4,2,850
"Centro","CS TRINDADE",2018,5,8,850
"Centro","CS TRINDADE",2018,6,11,850
"Centro","CS TRINDADE",2018,7,14,850
"Centro","CS TRINDADE",2018,4,8,851
"Centro","CS TRINDADE",2018,5,8,851
"Centro","CS TRINDADE",2018,6,7,851
"Centro","CS TRINDADE",2018,7,11,851
"Centro","CS TRINDADE",2018,4,6,852
"Centro","CS TRINDADE",2018,5,14,852
"Centro","CS TRINDADE",2018,6,8,852
"Centro","CS TRINDADE",2018,7,11,852
"Centro","CS TRINDADE",2018,4,3,853
"Centro","CS TRINDADE",2018,5,8,853
"Centro","CS TRINDADE",2018,6,10,853
"Centro","CS TRINDADE",2018,7,4,853
"Centro","CS TRINDADE",2018,4,1,854
"Centro","CS TRINDADE",2018,5,4,854
"Centro","CS TRINDADE",2018,6,7,854
"Centro","CS TRINDADE",2018,7,6,854
"Centro","CS TRINDADE",2018,4,1,NA
"Centro","CS TRINDADE",2018,5,2,NA
"Centro","CS TRINDADE",2018,6,2,NA
"Centro","CS TRINDADE",2018,7,6,NA
"Continente","CS ABRAÃO",2018,4,2,570
"Continente","CS ABRAÃO",2018,5,1,570
"Continente","CS ABRAÃO",2018,6,5,570
"Continente","CS ABRAÃO",2018,7,2,570
"Continente","CS ABRAÃO",2018,4,1,571
"Continente","CS ABRAÃO",2018,5,13,571
"Continente","CS ABRAÃO",2018,6,10,571
"Continente","CS ABRAÃO",2018,7,12,571
"Continente","CS ABRAÃO",2018,4,1,572
"Continente","CS ABRAÃO",2018,5,5,572
"Continente","CS ABRAÃO",2018,6,6,572
"Continente","CS ABRAÃO",2018,7,11,572
"Continente","CS BALNEÁRIO",2018,4,4,20
"Continente","CS BALNEÁRIO",2018,5,11,20
"Continente","CS BALNEÁRIO",2018,6,21,20
"Continente","CS BALNEÁRIO",2018,7,5,20
"Continente","CS BALNEÁRIO",2018,4,4,21
"Continente","CS BALNEÁRIO",2018,5,10,21
"Continente","CS BALNEÁRIO",2018,6,17,21
"Continente","CS BALNEÁRIO",2018,7,24,21
"Continente","CS CAPOEIRAS",2018,4,17,60
"Continente","CS CAPOEIRAS",2018,5,18,60
"Continente","CS CAPOEIRAS",2018,6,14,60
"Continente","CS CAPOEIRAS",2018,7,18,60
"Continente","CS CAPOEIRAS",2018,4,13,61
"Continente","CS CAPOEIRAS",2018,5,16,61
"Continente","CS CAPOEIRAS",2018,6,13,61
"Continente","CS CAPOEIRAS",2018,7,5,61
"Continente","CS CAPOEIRAS",2018,4,8,62
"Continente","CS CAPOEIRAS",2018,5,18,62
"Continente","CS CAPOEIRAS",2018,6,10,62
"Continente","CS CAPOEIRAS",2018,7,10,62
"Continente","CS COLONINHA",2018,4,13,70
"Continente","CS COLONINHA",2018,5,8,70
"Continente","CS COLONINHA",2018,6,28,70
"Continente","CS COLONINHA",2018,7,24,70
"Continente","CS COLONINHA",2018,4,0,71
"Continente","CS COLONINHA",2018,5,12,71
"Continente","CS COLONINHA",2018,6,24,71
"Continente","CS COLONINHA",2018,7,21,71
"Continente","CS COLONINHA",2018,4,20,72
"Continente","CS COLONINHA",2018,5,1,72
"Continente","CS COLONINHA",2018,6,45,72
"Continente","CS COLONINHA",2018,7,36,72
"Continente","CS COQUEIROS",2018,4,9,600
"Continente","CS COQUEIROS",2018,5,11,600
"Continente","CS COQUEIROS",2018,6,18,600
"Continente","CS COQUEIROS",2018,7,16,600
"Continente","CS COQUEIROS",2018,4,7,601
"Continente","CS COQUEIROS",2018,5,13,601
"Continente","CS COQUEIROS",2018,6,0,601
"Continente","CS COQUEIROS",2018,7,22,601
"Continente","CS COQUEIROS",2018,4,28,602
"Continente","CS COQUEIROS",2018,5,13,602
"Continente","CS COQUEIROS",2018,6,33,602
"Continente","CS COQUEIROS",2018,7,30,602
"Continente","CS ESTREITO",2018,4,9,80
"Continente","CS ESTREITO",2018,5,19,80
"Continente","CS ESTREITO",2018,6,31,80
"Continente","CS ESTREITO",2018,7,8,80
"Continente","CS ESTREITO",2018,4,3,81
"Continente","CS ESTREITO",2018,5,5,81
"Continente","CS ESTREITO",2018,6,8,81
"Continente","CS ESTREITO",2018,7,6,81
"Continente","CS ESTREITO",2018,4,3,82
"Continente","CS ESTREITO",2018,5,4,82
"Continente","CS ESTREITO",2018,6,11,82
"Continente","CS ESTREITO",2018,7,11,82
"Continente","CS ESTREITO",2018,4,1,83
"Continente","CS ESTREITO",2018,5,4,83
"Continente","CS ESTREITO",2018,6,2,83
"Continente","CS ESTREITO",2018,7,31,83
"Continente","CS JARDIM ATLÂNTICO",2018,4,11,10
"Continente","CS JARDIM ATLÂNTICO",2018,5,19,10
"Continente","CS JARDIM ATLÂNTICO",2018,6,31,10
"Continente","CS JARDIM ATLÂNTICO",2018,7,38,10
"Continente","CS JARDIM ATLÂNTICO",2018,4,4,11
"Continente","CS JARDIM ATLÂNTICO",2018,5,16,11
"Continente","CS JARDIM ATLÂNTICO",2018,6,21,11
"Continente","CS JARDIM ATLÂNTICO",2018,7,26,11
"Continente","CS MONTE CRISTO",2018,4,4,40
"Continente","CS MONTE CRISTO",2018,5,7,40
"Continente","CS MONTE CRISTO",2018,6,8,40
"Continente","CS MONTE CRISTO",2018,7,7,40
"Continente","CS MONTE CRISTO",2018,4,5,41
