"DISTRITO","UNIDADE","TRIMESTRE","VALOR"
"Continente","CS ABRAÃO","2018 Q2",44
"Centro","CS AGRONÔMICA","2018 Q2",209
"Sul","CS ALTO RIBEIRÃO","2018 Q2",37
"Sul","CS ARMAÇÃO","2018 Q2",49
"Continente","CS BALNEÁRIO","2018 Q2",67
"Norte","CS BARRA DA LAGOA","2018 Q2",68
"Norte","CS CACHOEIRA BOM JESUS","2018 Q2",103
"Sul","CS CAIEIRA BARRA DO SUL","2018 Q2",2
"Sul","CS CAMPECHE","2018 Q2",70
"Norte","CS CANASVIEIRAS","2018 Q2",112
"Sul","CS CANTO DA LAGOA","2018 Q2",20
"Continente","CS CAPOEIRAS","2018 Q2",127
"Sul","CS CARIANOS","2018 Q2",139
"Centro","CS CENTRO","2018 Q2",67
"Continente","CS COLONINHA","2018 Q2",151
"Continente","CS COQUEIROS","2018 Q2",132
"Centro","CS CÓRREGO GRANDE","2018 Q2",119
"Sul","CS COSTA DA LAGOA","2018 Q2",4
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2018 Q2",71
"Continente","CS ESTREITO","2018 Q2",100
"Sul","CS FAZENDA DO RIO TAVARES","2018 Q2",78
"Norte","CS INGLESES","2018 Q2",332
"Centro","CS ITACORUBI","2018 Q2",13
"Continente","CS JARDIM ATLÂNTICO","2018 Q2",102
"Centro","CS JOÃO PAULO","2018 Q2",55
"Norte","CS JURERE","2018 Q2",125
"Sul","CS LAGOA DA CONCEIÇÃO","2018 Q2",40
"Continente","CS MONTE CRISTO","2018 Q2",111
"Centro","CS MONTE SERRAT","2018 Q2",43
"Sul","CS MORRO DAS PEDRAS","2018 Q2",106
"Continente","CS NOVO CONTINENTE","2018 Q2",53
"Centro","CS PANTANAL","2018 Q2",73
"Sul","CS PANTANO DO SUL","2018 Q2",24
"Norte","CS PONTA DAS CANAS","2018 Q2",36
"Centro","CS PRAINHA","2018 Q2",55
"Norte","CS RATONES","2018 Q2",62
"Sul","CS RIBEIRÃO DA ILHA","2018 Q2",43
"Sul","CS RIO TAVARES","2018 Q2",50
"Norte","CS RIO VERMELHO","2018 Q2",248
"Centro","CS SACO DOS LIMÕES","2018 Q2",15
"Norte","CS SACO GRANDE","2018 Q2",255
"Norte","CS SANTINHO","2018 Q2",227
"Norte","CS SANTO ANTONIO LISBOA","2018 Q2",110
"Continente","CS SAPE","2018 Q2",30
"Sul","CS TAPERA","2018 Q2",67
"Centro","CS TRINDADE","2018 Q2",110
"Norte","CS VARGEM GRANDE","2018 Q2",8
"Norte","CS VARGEM PEQUENA","2018 Q2",120
"Continente","CS VILA APARECIDA","2018 Q2",37
"Continente","CS ABRAÃO","2013 Q1",80
"Centro","CS AGRONÔMICA","2013 Q1",154
"Sul","CS ALTO RIBEIRÃO","2013 Q1",5
"Sul","CS ARMAÇÃO","2013 Q1",68
"Continente","CS BALNEÁRIO","2013 Q1",36
"Norte","CS BARRA DA LAGOA","2013 Q1",92
"Norte","CS CACHOEIRA BOM JESUS","2013 Q1",11
"Sul","CS CAIEIRA BARRA DO SUL","2013 Q1",6
"Sul","CS CAMPECHE","2013 Q1",14
"Norte","CS CANASVIEIRAS","2013 Q1",45
"Sul","CS CANTO DA LAGOA","2013 Q1",11
"Continente","CS CAPOEIRAS","2013 Q1",101
"Sul","CS CARIANOS","2013 Q1",177
"Centro","CS CENTRO","2013 Q1",74
"Continente","CS COLONINHA","2013 Q1",123
"Continente","CS COQUEIROS","2013 Q1",171
"Centro","CS CÓRREGO GRANDE","2013 Q1",87
"Sul","CS COSTA DA LAGOA","2013 Q1",12
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2013 Q1",54
"Continente","CS ESTREITO","2013 Q1",49
"Sul","CS FAZENDA DO RIO TAVARES","2013 Q1",14
"Norte","CS INGLESES","2013 Q1",248
"Centro","CS ITACORUBI","2013 Q1",175
"Continente","CS JARDIM ATLÂNTICO","2013 Q1",32
"Centro","CS JOÃO PAULO","2013 Q1",55
"Norte","CS JURERE","2013 Q1",48
"Sul","CS LAGOA DA CONCEIÇÃO","2013 Q1",88
"Continente","CS MONTE CRISTO","2013 Q1",134
"Centro","CS MONTE SERRAT","2013 Q1",62
"Sul","CS MORRO DAS PEDRAS","2013 Q1",87
"Continente","CS NOVO CONTINENTE","2013 Q1",49
"Centro","CS PANTANAL","2013 Q1",52
"Sul","CS PANTANO DO SUL","2013 Q1",23
"Norte","CS PONTA DAS CANAS","2013 Q1",63
"Centro","CS PRAINHA","2013 Q1",106
"Norte","CS RATONES","2013 Q1",48
"Sul","CS RIBEIRÃO DA ILHA","2013 Q1",36
"Sul","CS RIO TAVARES","2013 Q1",49
"Norte","CS RIO VERMELHO","2013 Q1",166
"Centro","CS SACO DOS LIMÕES","2013 Q1",54
"Norte","CS SACO GRANDE","2013 Q1",279
"Norte","CS SANTINHO","2013 Q1",27
"Norte","CS SANTO ANTONIO LISBOA","2013 Q1",101
"Continente","CS SAPE","2013 Q1",9
"Sul","CS TAPERA","2013 Q1",68
"Centro","CS TRINDADE","2013 Q1",207
"Norte","CS VARGEM GRANDE","2013 Q1",6
"Norte","CS VARGEM PEQUENA","2013 Q1",51
"Continente","CS VILA APARECIDA","2013 Q1",12
"Continente","CS ABRAÃO","2013 Q2",54
"Centro","CS AGRONÔMICA","2013 Q2",171
"Sul","CS ALTO RIBEIRÃO","2013 Q2",8
"Sul","CS ARMAÇÃO","2013 Q2",89
"Continente","CS BALNEÁRIO","2013 Q2",78
"Norte","CS BARRA DA LAGOA","2013 Q2",122
"Norte","CS CACHOEIRA BOM JESUS","2013 Q2",17
"Sul","CS CAIEIRA BARRA DO SUL","2013 Q2",4
"Sul","CS CAMPECHE","2013 Q2",63
"Norte","CS CANASVIEIRAS","2013 Q2",80
"Sul","CS CANTO DA LAGOA","2013 Q2",37
"Continente","CS CAPOEIRAS","2013 Q2",74
"Sul","CS CARIANOS","2013 Q2",145
"Centro","CS CENTRO","2013 Q2",64
"Continente","CS COLONINHA","2013 Q2",169
"Continente","CS COQUEIROS","2013 Q2",107
"Centro","CS CÓRREGO GRANDE","2013 Q2",95
"Sul","CS COSTA DA LAGOA","2013 Q2",26
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2013 Q2",70
"Continente","CS ESTREITO","2013 Q2",91
"Sul","CS FAZENDA DO RIO TAVARES","2013 Q2",10
"Norte","CS INGLESES","2013 Q2",350
"Centro","CS ITACORUBI","2013 Q2",246
"Continente","CS JARDIM ATLÂNTICO","2013 Q2",32
"Centro","CS JOÃO PAULO","2013 Q2",42
"Norte","CS JURERE","2013 Q2",31
"Sul","CS LAGOA DA CONCEIÇÃO","2013 Q2",129
"Continente","CS MONTE CRISTO","2013 Q2",110
"Centro","CS MONTE SERRAT","2013 Q2",59
"Sul","CS MORRO DAS PEDRAS","2013 Q2",96
"Continente","CS NOVO CONTINENTE","2013 Q2",34
"Centro","CS PANTANAL","2013 Q2",69
"Sul","CS PANTANO DO SUL","2013 Q2",43
"Norte","CS PONTA DAS CANAS","2013 Q2",53
"Centro","CS PRAINHA","2013 Q2",66
"Norte","CS RATONES","2013 Q2",74
"Sul","CS RIBEIRÃO DA ILHA","2013 Q2",35
"Sul","CS RIO TAVARES","2013 Q2",61
"Norte","CS RIO VERMELHO","2013 Q2",184
"Centro","CS SACO DOS LIMÕES","2013 Q2",28
"Norte","CS SACO GRANDE","2013 Q2",256
"Norte","CS SANTINHO","2013 Q2",58
"Norte","CS SANTO ANTONIO LISBOA","2013 Q2",74
"Continente","CS SAPE","2013 Q2",14
"Sul","CS TAPERA","2013 Q2",90
"Centro","CS TRINDADE","2013 Q2",199
"Norte","CS VARGEM GRANDE","2013 Q2",11
"Norte","CS VARGEM PEQUENA","2013 Q2",58
"Continente","CS VILA APARECIDA","2013 Q2",1
"Continente","CS ABRAÃO","2013 Q3",67
"Centro","CS AGRONÔMICA","2013 Q3",181
"Sul","CS ALTO RIBEIRÃO","2013 Q3",10
"Sul","CS ARMAÇÃO","2013 Q3",85
"Continente","CS BALNEÁRIO","2013 Q3",97
"Norte","CS BARRA DA LAGOA","2013 Q3",102
"Norte","CS CACHOEIRA BOM JESUS","2013 Q3",50
"Sul","CS CAIEIRA BARRA DO SUL","2013 Q3",8
"Sul","CS CAMPECHE","2013 Q3",80
"Norte","CS CANASVIEIRAS","2013 Q3",117
"Sul","CS CANTO DA LAGOA","2013 Q3",35
"Continente","CS CAPOEIRAS","2013 Q3",99
"Sul","CS CARIANOS","2013 Q3",160
"Centro","CS CENTRO","2013 Q3",105
"Continente","CS COLONINHA","2013 Q3",178
